成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11411,公寓,台北市萬華區萬大路８５巷２０弄１０號二樓,1130,68.17,16.58,8.77,58.7,2,3,無,2,1,1,25.030128,121.501771,其他增建；
11411,大樓,台北市萬華區西藏路４２８巷９號八樓之１,1964.31,63.01,37.65,4.72,0.8,8,14,有,2,1,2,25.030215,121.497322,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市萬華區貴陽街二段３９號十七樓之２,334,18.16,18.39,1.5,8.3,17,19,無,3,2,2,25.039689,121.50504,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市萬華區昆明街１３６巷１３號五樓之２,280,39.86,7.02,1.7,48.3,5,5,無,1,0,1,25.042372,121.504186,
11411,華廈,台北市萬華區環河南路二段２３６之１號二樓,244,18.96,12.87,2.34,42.9,2,7,無,3,1,1,25.033518,121.492305,親友、員工、共有人或其他特殊關係間之交易；
11411,華廈,台北市萬華區西藏路２１９之１號六樓,2588,55.57,46.57,9.46,38.8,6,7,無,4,2,2,25.028432,121.494839,陽台外推；其他增建；
11411,大樓,台北市萬華區康定路１０３號四樓之１３,1260,79.93,15.76,1.07,10,4,26,無,1,1,1,25.039492,121.502062,
11411,公寓,台北市萬華區興寧街６０號二樓,400,53.82,7.43,2.23,53.7,2,4,無,2,2,1,25.032152,121.500077,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市萬華區大理街１２４號,1000,36.16,27.65,10.79,53.3,1,4,無,無隔間,0,0,25.034126,121.497044,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；
11411,公寓,台北市萬華區西藏路３３６號二樓,800,26.55,30.14,7.79,50.5,2,4,無,3,2,1,25.029532,121.499821,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市萬華區西藏路４２８巷７號十樓,4050,72.13,56.15,8.08,0.8,10,14,有,3,2,2,25.030124,121.497299,
11411,大樓,台北市萬華區貴陽街二段３９號十一樓,3238,79.9,45.2,3.01,8.3,11,19,有,3,2,2,25.039689,121.50504,
11411,大樓,台北市萬華區昆明街１８０號十三樓之１,1718,95.37,18.01,1.36,0.5,13,15,無,1,2,1,25.041797,121.504504,
11411,大樓,台北市萬華區中華路二段３６４巷１５號七樓,3950,81.68,48.36,12.52,12.7,7,14,有,3,2,2,25.028035,121.50452,其他增建；
11411,公寓,台北市萬華區和平西路三段３８２巷１２弄１０號三樓,1588,57.78,27.49,8.85,49.8,3,4,無,無隔間,0,0,25.034656,121.491158,建物現況:僅廁所有隔陽台外推；
11411,公寓,台北市萬華區和平西路三段３００之１２號,800,30.36,26.35,6.7,53.7,"1,夾層",5,無,3,2,1,25.035153,121.493374,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市萬華區長順街６５號四樓,800,38.89,20.57,6.35,52,4,4,無,3,2,2,25.031157,121.491253,頂樓加蓋；
11411,大樓,台北市萬華區康定路１０３號二十樓之９,3858,82.28,53.44,3.04,10,20,26,有,3,2,2,25.039492,121.502062,
11411,大樓,台北市萬華區昆明街１８０號十五樓之１,1620,89.93,18.01,1.36,0.5,15,15,無,1,1,1,25.041797,121.504504,
11411,華廈,台北市萬華區中華路二段４１６巷１０６號七樓,2300,56.13,40.98,14.58,34.7,7,10,無,3,2,2,25.02712,121.504098,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市萬華區西昌街２９巷８號十一樓之７,3080,82.64,40.46,5.28,1.4,11,13,有,3,2,2,25.042662,121.500955,
11411,大樓,台北市萬華區西藏路１２３號十三樓之１,4150,72.26,57.43,12.24,14.5,13,15,有,3,2,2,25.029426,121.501792,
11410,大樓,台北市萬華區西昌街２９巷８號十三樓之７,3132,86.11,39.64,5.14,1.4,13,13,有,3,2,2,25.042662,121.500955,
11410,公寓,台北市萬華區西寧南路１８２巷２號,2650,65.22,40.63,16.64,48.2,1,4,無,3,2,4,25.039677,121.505984,夾層；其他增建；
11410,大樓,台北市萬華區中華路二段３６４巷７號十二樓之２,4520,72.29,62.52,16.18,12.7,12,14,有,4,2,2,25.02855,121.503966,其他增建；
11410,大樓,台北市萬華區西昌街２９巷８號十三樓之１,4050,84.9,50.94,6.82,1.4,13,13,有,5,2,3,25.042662,121.500955,
11410,大樓,台北市萬華區西藏路４２８巷９號十二樓之１,2302.75,75.01,37.65,4.72,0.8,12,14,有,2,1,2,25.030215,121.497322,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市萬華區康定路１０３號三樓之１,1200,73.9,16.24,1.09,10,3,26,無,1,1,1,25.039492,121.502062,
