objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
雙敦學區台安高樓景觀三房,4350,4350,大樓,無,121.546949933,25.0483076181,4.21,31.35,2.82,105
翔譽面101高樓,1890,1890,大樓,無,121.574602098,25.0498449388,1.27,5.92,2.33,105
民生社區收租金店面,11200,11200,公寓,無,121.559944399,25.0587650563,15.81,38.2,3.86,105
敦南市民大道商圈店面,5888,5888,公寓,無,121.549823003,25.0453840407,8.77,26.96,2.9,105
&雙敦新廈低總一樓,1888,1888,華廈,無,121.545153655,25.0500972187,2.1,3.85,,105
松山捷運嘉磐101美廈,2480,2480,大樓,無,121.573985213,25.0501350004,1.69,9.49,0.85,105
饒河街觀光夜市內金店面,6380,6380,大樓,無,121.576195724,25.0507597236,0,17.02,0,105
復北民生金店面,4999,4999,大樓,公有,121.544460311,25.056493773,5.1,20.99,3.78,105
馥敦5A,2702,2702,華廈,無,121.544884516,25.045284076,16.15,6.47,1.42,105
基隆路挑高黃金店辦(商三),5680,5680,大樓,無,121.569596001,25.0502270825,5.04,14.74,19.71,105
饒河街觀光夜市內金店面,6380,6380,大樓,無,121.576195724,25.0507597236,,17.02,,105
雙敦鋼骨名邸+坡車,9950,9950,大樓,私有,121.55461951,25.0514220826,7.5,51.38,5.74,105
忠孝敦化捷運金三角,5888,5888,公寓,無,121.549823003,25.0453840407,8.77,26.96,2.9,105
國泰南京三民捷運3房車,5150,5150,大樓,私有,121.564674884,25.0511888222,6.08,36.77,4.36,105
191松山有間豪宅,15908,15908,大樓,私有,121.55484101,25.0457696743,14.65,46.54,7.88,105
X14民權東路邊間公寓,2990,2990,公寓,無,121.547374588,25.0615197506,10.95,33.63,3.92,105
捷運南京三民低總價店辦,2880,2880,公寓,無,121.568573021,25.0504478266,7.64,15.17,7,105
捷運南京三民站商二土地店辦,2888,2888,公寓,無,121.566744153,25.0511425902,6.23,31.57,0,105
聯合二村邊間美宅,4180,4180,公寓,無,121.560492339,25.0571620195,31.99,38.67,0,105
小巨蛋8米巷等都更金店面,4988,4988,公寓,無,121.553711721,25.0509915328,8.36,22.58,0,105
小巨蛋核心生活圈~大面寬店面,4988,4988,公寓,無,121.553711721,25.0509915328,8.36,19.82,2.75,105
八德路四段金店面,8980,8980,公寓,無,121.559768824,25.0485149159,9.3,29.92,0,105
南京復興北路面寬金店面,4999,4999,其他,無,121.544460311,25.056493773,5.1,20.99,3.78,105
敦化八德三角窗金店,5888,5888,公寓,無,121.549823003,25.0453840407,8.77,26.96,2.9,105
共構101摩根車位,2288,2288,大樓,私有,121.564962423,25.0515847505,1.47,9.53,1.52,105
光復八德金店,5680,5680,華廈,私有,121.558833774,25.0481847129,9.96,14.44,7.74,105
&微風麗弗高樓帝王戶,2988,2988,大樓,無,121.545298494,25.0477835145,1.85,10.74,3.38,105
415敦南景觀豪宅,7668,7668,大樓,可租,121.549258856,25.0457778095,8.51,50.96,4.31,105
