objName,age
D63台大公館萬隆捷運宅,9.6
景華街大器1樓美寓,46.1
文山木新晶晶透天厝,50.7
台大新新聞挑高夾層4房,28.3
專任景美有陽台裝潢小資首選,33.4
台北河畔首購精裝採光兩房,29.3
辛亥捷運金店面,43.4
近星巴克木新路金店,36.3
未來捷運金店面,45.3
和暘W精品寓所,-1
政大綠茵庭院挑高4.2米俬寓,15.6
靜心商圈景豐大戶三代同堂,51.1
木柵文教靜巷宅御書苑4房,41.2
未來捷運河景樓中樓,36.9
興旺丰隆明亮宅‧低總價幸福居,50.2
翡翠城堡無敵景觀捷運政大Y1A,28.8
木柵尊邸河景大戶,27.7
政大附小美三房,44.3
景美捷運大四房,42.2
萬芳醫院商圈頂加,43.5
景美國中旁邊間四房,42.2
景女旁方正頂佳,47.3
史丹佛綠景裝潢美邸,15.7
景華陽光森林美寓,42
B8793近捷運萬芳大樓商辦,28.9
S1458文山行旅木新路樓中樓,16
靜心小學旁自住投資房,45.8
#捷運辛亥靜院透天宅,42.2
忠順鼎佳美寓,50.7
捷運潤泰三房美寓+車位,43.7
萬芳捷運三房美廈,37.7
景美女中.木新路靜巷採光三房美寓,51.1
富春四季庭院戶,11.8
敦南綠景3房車位,25.8
稀有景美女中金店面-平車,31.3
國花透天花園別墅,44.3
文山邊間住辦,57.3
景美捷運康橋高樓,23.9
A699文山晶硯挑高小豪宅,3.9
美崙美奐精裝美寓,44.5
木柵捷運店面宅,55.6
敦南山林庭院別墅,33.7
捷運萬芳三樓美寓,43.4
3樓佰萬新潮工業度假風,42.6
文山行旅河岸樓中樓,16
尚青苑美妝五樓,11.6
永建國小典雅三房美宅,17.3
木柵公園社區庭院壹樓店辦,9.2
萬芳醫院捷運黃金三樓,46.9
文山萬龍捷運收租裝潢美居3F,49.9
政大二期重劃小豪宅,15.7
D64台大公館泰舍景觀尊爵戶,9.6
水沐青華超景觀戶,11.8
忠順大院稀有釋出景觀三房大車位,6.1
和風集成家二房,16.3
忠順大院二期高樓層景觀邸,6.1
發現之旅綠景大戶,26.6
未來捷運馬明潭邊間2樓,49
辛亥捷運站邊間黃金美屋,40.6
萬隆捷運2樓店辦,14.3
國泰書香世家正馬路邊間,36.3
Z1708616,14.9
木柵捷運稙村秀,25.2
景美溫馨北歐風電梯好宅,19.9
文山區緊鄰環狀線Y3站商一建地,
景美商場舖位,44.3
景美捷運庭院一樓四房平車,29.6
靜心學區旁美寓,54.6
木新路採光邊間五房鼎家,50.6
政大旁開心農場,
景美興隆木柵路三角窗店面,51.2
力霸南京志清三角窗,30
靜心明亮大四房有庭院,32.3
萬隆景美力霸二期金店,30
木柵電梯兩房,9.3
景美捷運美妝景觀三房,10.7
萬芳醫院捷運金店王,17.8
未來環狀線捷運Y3站投資土地,
文山萃A2棟7樓-露台大戶,-1
優美庭園文青店辦一樓附車位屋齡新,9.2
木柵公園旁電梯兩房,9.3
公園●質感●店面,14.2
文山萃A1棟13樓-頂級豪邸,-1
文山萃A1棟12樓-露台坡平車,-1
靜心干邑景觀三房車,11.8
萬芳醫院捷運電梯裝潢套房,10.8
獨家興隆公園旁別墅土地近67坪,46.9
羅斯福金旺店面,32.6
世新美套房,31
木新河岸庭院車位一樓,35.6
文山蔚來之森綠蔭雅居,0.4
木柵公園公寓頂樓大空間,44.8
日日芬多精景華山莊學區美景公寓,42
景美女中｜庭院四房車位,35.4
景華街4樓邊間採光3房頂加美寓,50.8
景華公園優質學區漂亮邊間頂加,50.8
靜心商圈景豐大戶三代同堂頂佳,51.1
萬芳醫院站黃金三樓公寓,46.9
木柵低總三房1號,43.4
萬隆捷運站邊間美三房,38.8
木柵低總三房2號,43.4
景美捷運大坪數公園綠地商一美寓,44.8
文山區溫馨三房,45.4
萬隆電梯邊間3房華廈,45.1
眺望101忠順大院高樓三房平車,6.1
木柵捷運住二持分土地,
萬隆捷運精裝收租自用極品,51.7
文山萃A2棟7樓-3房露台大戶,-1
文山萃A1棟13樓-頂級豪邸,-1
文山萃A1棟12樓-露台坡平車,-1
正辛亥路大面寬雙店面,43.1
興隆商圈邊間美寓,56.8
文山國花山莊獨棟帝王別墅,44.3
政大商圈首選店面,14.9
萬盛收租金雞母,49.3
敦南觀止3房雙平面車位,13.6
捷運旁收租金店面,25.2
景美捷運100秒3樓,42.2
靜心國小旁1樓,50.9
木柵透天別墅,17.4
建築年鑑唯一面公園四房,24.8
師大分部公寓2樓,47.8
彷彿秘境敦南觀止三房車,13.6
文山區低公設華廈一樓,31.4
專任-A16環遊市辛亥捷運車位,16.3
J14萬隆景美金店面,30
Y256萬隆捷運收租寶,54.3
木柵捷運面寬金店,32.3
臻愛典雅邊間兩房車位,17.3
捷運公館挑高景觀小品,18.4
全新富山匯2房車$,1.8
松雲石庭面河景觀三房車位,35.5
