objName,age
B3仁愛綠蔭高樓景觀宅,49.3
【敦南｜樹海景觀・挑高4米8】,50.8
附中住四大土地美寓,61.5
高屋建瓴・安沐居,3.1
中正國中一樓門前可停車,43.6
敦南林蔭景觀美宅,50.8
忠孝北科大面寬金店,26.4
忠孝建國捷運面寬店面,26.4
專．大安森林公園三樓,51.7
信義安和一樓邊間美辦,48.6
驚喜價師大夜市雙店面商業土地,55.2
信義安和站超值車位,17.1
仁愛敦南都更土地,
大安安居三房美廈,42.3
大安森林公園景觀四房坡車,37.1
附中學區電梯四房,47.2
稀有釋出捷運旁住辦大樓,44.3
微風合砌雲開美二房,4.8
微風合砌雲開高樓景觀,4.8
昇陽精緻2房,17.8
成功國宅亮麗3房,40.8
附中學區電梯4房,47.2
國館捷運電梯學區4房,38.6
文普國際景觀四房,44.7
雙捷運電梯3房美廈,45.7
E29信義安和美廈2樓3房3衛,44.3
文普國際精緻四房,44.7
信義安和華廈邊間3房,44.7
給愛車一個家,23.8
師大青見倉儲車位,16.6
公園捷運景觀三房,44.3
忠孝復興捷運三房雙衛,44.3
忠孝敦化國泰皇家,50.9
延吉公園電梯四房,43.3
雙仁愛學區大安名人巷名邸,55.3
辛亥.芳和學區宅,50.8
光復國小邊間4房,38.6
藏蘊金華中正國中電梯學區宅,11.8
樂利路靜巷獨戶大三房,42.3
安和敦安景觀雅緻三房,42.2
大安101醫生世家景觀四房,44.7
世貿文普景觀4房,44.7
忠孝敦化捷運電梯三房,47.2
忠孝敦化精品華廈,38.9
敦南傳家三角窗金店面,47.6
新生南路收租▲窗全家金店面,49.3
大安Money金華設籍美宅,1
文普精美大四房,44.5
新生金華設籍套房,42
大安面公園百坪大戶,50.8
南溫州超級金店面,46.9
大安區經典中的晶典電梯3房方正採光佳,17.4
仁愛安和華園名廈,41.9
仁愛樹景景觀美宅,38.8
溫州院書香名邸,0.8
專約忠孝復興統創精品宅,1.9
東帝士樓中樓+雙坡車,36.6
光復南一層美寓3房,54.2
東區SOGO精品宅,55.5
瑞安庭院精美大戶,40.6
E13六張犁4+5美寓,52.7
光復南傳家大土地透天,25.9
附中學區挑高美宅,17.4
信義安和站通化收租美寓,45.3
信義安和站通化收租美寓,45.3
森林公園新生金華整棟華廈,14.2
捷運六張犁黃金二樓,42.8
敦南電腦停車位,16.8
忠孝東路帝王景緻辦公,41.3
正東區統領美妝景觀辦公,41.3
忠孝敦化美妝邊間商辦,41.3
統領商業大樓,41.3
統領高樓辦公,41.3
忠孝統領高樓保值商辦,41.3
附中住辦新裝潢,47.2
正馬路三角窗店面,44.3
忠孝敦化高樓商辦,41.3
中正國中電梯大戶(原四房),39.9
台電大樓全新黃金來財店面,1
正基隆路雙捷運美廈,44.7
樂利安和捷運華廈,48.1
附中學區三房進大安森活圈,39.1
敦南安和大面寬店住,48.5
101景觀採光3+1房,44.7
忠孝復興國泰華廈,54.1
國館三青面寬店辦,44.1
信義御邸景觀樓,6.5
信安國際大樓辦公,44.5
忠孝復興站大面寬診所金店,49.2
大安站電梯三房有車位有裝潢,39.6
大安區標準電梯三房加車位,47.1
忠孝復興站收租金雞,53.1
40遠晀101文普高樓,44.7
林肯大廈敦南第一排潛力小宅,50.8
A11大安敦化南林蔭美兩房,50.8
信義安和一樓店辦,49.8
大安硯坡道平面大車位,15.8
金山南路店面,55.3
金山南大面寬金店面,55.3
E98東門捷運大路邊金店面,55.3
仁愛公園華廈鼎佳,48.3
敦南名園名邸+車位,32.3
安和遠企低總金店面,45.5
和平六張犁B2車位,22.4
正安和路一段美廈,49.8
E73忠孝SOGO收租高投報,47.8
世紀風華車位(全新裝潢),23.3
地上權麟光捷運10房2廳加車位,56.2
潤泰金融新鑽石大樓,39.4
中正國中庭院2房+坡車,2
敦南首都小宅,40.1
通化燙金收租店面,36.8
【忠孝敦化｜東區統領商業辦公】,41.4
信義安和101景觀樓中樓加車位,24.9
信義安和101景觀樓中樓加車位,24.9
近捷運忠孝新生2+1房,49.3
忠孝98景觀智慧純辦14,2.6
忠孝98綠意智慧純辦2,2.6
忠孝98景觀智慧純辦10,2.6
忠孝98帝景智慧純辦15,2.6
忠孝98景觀智慧純辦12,2.6
忠孝98景觀智慧純辦6,2.6
忠孝98綠意智慧純辦3,2.6
忠孝98綠意智慧純辦5,2.6
忠孝98景觀智慧純辦13,2.6
忠孝98景觀智慧純辦11,2.6
忠孝98綠意智慧純辦4,2.6
大安精裝低總價,49.3
麟光捷運安居兩房雅寓,52.7
忠孝敦化景觀商辦,41.3
信義安和站精裝優質豪辦,40.3
忠孝敦化全新裝潢商辦,41.3
師大附中學區高樓層景觀房,47.2
敦南邊間大三房,40.9
SOGO靜巷四房車,29.7
忠孝統領高樓商辦,41.3
敦南保富寰宇微型商辦,42.7
仁愛延吉商業店面,44.1
敦南陸裝高樓３房,40.9
安和遠企低總金店面,45.5
科技大樓捷運住辦,41.3
雙龍金華電梯二房,20.4
溫州溫馨2房,46.9
信義安和金雞母透天,37.8
成功國宅商鋪,40.8
師大收租金店面,55.8
永康商圈面寬雙金店,50.9
師大面寬美店面,55.3
東區面寬大店面,47.6
師大青田設籍金店面,48
安和路三角窗賺錢金店面,46.5
正青田街三角窗透天厝,93.8
師大商圈面寬收租店面,55
仁愛鑽石邊間四房,48.9
林蔭仁愛帝寶,20.4
台大三角窗黃金店面,52.2
敦南安和遠企金店辦,51.6
師大商圈台電大樓站一樓金店,44.8
E93敦南林蔭亮麗電梯五房,43.3
統創緻雙捷運精品,1.9
仁愛林蔭鑽石名邸,48.9
敦南信義金店面,36.4
敦南遠企樹海景觀廈,43.3
豪景帝寶豪門大戶-歡迎店配,20.4
金山南路金店面,55.3
正金山南路店面,55.3
台大南溫州電梯四房華廈,48
敦南復興中學美廈,47.5
敦南sogo氣派豪邸,55.3
忠孝復興微風小豪宅,4.8
*通安街精美華廈$,32.3
敦南名園名邸+車位,32.3
潤泰大安富陽2房附車,1.5
E20大安商圈低公設四房景觀宅,44.7
國父紀念館高樓採光4房,38.6
臨江夜市旁文普高樓景觀四房,44.7
國館捷運大巨蛋鼎加,44.8
大安森林公園電梯大戶,48.8
桓桓溫州高樓2房車,-1.4
信義安和優質地段兩房,50.8
瑞安信義全新高樓景觀宅,1.3
信義安和捷運都更透天洋房,72.7
中正國中大面寬一樓好停車6米巷,49.8
興盛【臨江夜市】鈔集透天店面,54.8
安和&仁愛雙學區三房1樓,48.6
文普國際醫生世家景觀四房,44.7
文普世貿高樓景觀美四房,44.7
&信義安和電梯三房,44.7
46東區阿波羅優質住辦,48.2
