objName,age
301民生圓環建成花園高樓,36.8
南京綠色捷運收租屋,34.1
民生社區撫遠三房美寓,51.7
民權景觀大空間,46.5
民權景觀大空間,46.5
A626復興南路微風廣場旁金店面,52.8
民生社區百萬裝潢鼎佳美寓,42.9
名人世界.24H保全.景觀.全,43.2
101景觀邊間電梯頂家,39.3
饒河街透天店面,48.8
雙敦微風邊間明亮住辦,44.3
南京尊爵捷運高樓質感宅,30.2
民權近中山國中站辦公大樓,41.5
八德透天金雞母,58.6
南京三民商旅,31.2
高樓河景辦公室,31.2
純辦南京東,34.5
428松山車站景觀商旅,31.2
典藏景觀商旅,31.2
高興興業大樓,31.2
高興至尊景觀商旅,31.2
南京三民收租電梯鼎佳,44.3
市民延吉店面,48
光復八德露台商辦,34.4
復北民生金店面,40.8
光復北優質一樓,37.1
松山光北京璽四房雙車,16.5
光北雙星2樓住辦,37.3
百坪保富通商大樓,41.5
復興北民生收租店面,40.8
敦北長庚贊泰小透天,36.8
復北雙捷優質店面,40.8
復興北捷運面寬一樓,40.8
南京三民都更危老1+2樓,58.7
捷運雙敦大戶四房,47.3
延壽街寬巷金店面,21.4
S1188復興北路黃金店面,40.8
三民捷運．收租鑽石店,16.7
雙敦學區全新一樓店面,2.3
南京東路經典店面,23.8
【南京復興｜慶城・三面採光】,43.8
西松國小正三民路金店面,16.7
八德路三角窗大面寬金店,46.3
V55復北民生收租金店面,40.8
松山饒河黃金店面,33.6
復北民生正馬路金店面,40.8
鋼骨建築賞住辦二房,23.8
南京三民金店辦,45.6
南京三民捷運樓中樓,41.3
$民生社區庭院五房,51.8
民生社區撫遠街庭院精裝一樓,50.9
民生社區陽光2樓美居,56
南京三民國泰一樓,47.1
南京三民電梯四房,39.9
富春邊間四房美廈,42.8
民權東面寬金店,43.3
大巨蛋黃金店,18.1
015-大巨蛋金店面,18.1
敦北捷運3房美廈可改4房,42.5
專約民生西華店辦一樓,46.3
捷運南京三民站｜電梯正一房一廳,36.3
八德方正低總美廈,43.5
南京三民捷運電梯美居,36.3
小巨蛋學區三房,48.1
復興南路微風廣場旁金店面,40.6
捷運南京三民臨路黃金店面,51.1
八德低總美寓,47.1
民生社區子母坡平車位,49.2
小巨蛋四房美廈,37.3
專-南京復興雙敦靜巷5房美寓,51.4
商三都更收租透天,66.1
高興興業河景商旅,31.2
084松山双捷運商辦大樓,31.2
南京三民純辦,34.5
南京三民企業總部,34.5
敦北映紅園美三房,42.5
雙敦學區一樓店住辦,48.4
大巨蛋景觀美辦,34.4
南京三民電梯美三房,43
介壽學區民權公園旁二樓雅寓,48.1
松山雙鐵河景美宅,3
南京三民電梯美三房,43
雙敦學區一層一戶邊間三房華廈,41.4
小巨蛋面寬金店面,48.7
翔譽101邊間,12.3
松山大土地坪數全新裝潢,47.1
松山捷運河景2房+車位,10.9
南京三民站雙車位樓中樓,41.3
松機民權臨路金店,45.6
雙敦慶城角窗店面,39.1
松機捷運電梯三房四套廁所,42.5
巨蛋雙敦景觀樓中樓,11.4
雙敦100巷邊間華廈,41.4
介壽學區超值二代宅,47.7
西華民生東雙店面,44.5
民生介壽國中電梯大3房,44.9
文華苑旁靜巷美妝華廈,41.6
南京興安高樓三房,40.8
近大巨蛋住辦大戶可掛招牌,37.3
敦北民生熱鬧店面,46.9
雙敦庭院壹樓,30.9
三民捷運基隆路商三店辦,45.6
保富通商Ａ辦,41.5
民生河畔小宅,21.1
南京三民三角窗金店,48.8
民生社區3+1房超美寓,51.7
民權大道上正店面,43.3
民權大道上正店面,43.3
松菸.大小巨蛋黃金地段可住辦,43.5
松菸.大小巨蛋黃金地段住辦,43.5
雙敦學區低總價美房,10.1
專約南京三民捷運時尚店面,48
南京三民站面寬角店,35.3
❤低公設賓士華廈+車位,44.5
6X萬入住民生社區,51.6
敦南店霸,49.2
敦南收租金店,49.2
雙敦學區增值一樓,51.6
興安金店面,41.6
三民捷運健康國小金店,21.4
182-南京三民捷運,42.1
南京復興北捷運面寬金店,40.8
復興北路金店面,40.8
南京三民捷運商業大樓,42.1
南京三民收租王,42.1
筑丰敦匯,-1
南京三民珍珠金店王,42.1
南京復興正收租店面,40.8
饒河街商圈金店面,79.9
民生重劃金店面,44.5
保富通商純辦大樓B戶,41.5
復興北民權捷運純辦II,41.5
復興北民權捷運純辦III,41.5
南京三民大面寬店辦,36.3
晴川河岸景觀宅,8.5
復北金融面寬金店,40.8
饒河街商圈金店,47.8
復北興安面寬金店面,40.8
八德路監理站透天,60.3
挑戰最低總價雙敦學區房,-1
民生介壽收租美寓,51.7
松山復北收租金店面,40.8
興安國宅東棟,40.8
民權黃金大面寬金店,51.7
❤雙敦都更中套房,40.6
敦化華廈1樓住店,42.4
近捷運黃金收租宅,40.8
181-饒河夜市金店面,45.5
511BS松山捷運站旁耐震宅,16.7
南京復興雙捷低總黃金店面,40.8
大巨蛋光復南金店面,39.6
饒河商三大透天,46.3
松山雙鐵景觀屋,16.7
稀有釋出南京三民金店面,35.8
西華民生雙金店面,44.5
摩根旭日東昇景觀屋,17
鋼骨建築賞住辦三房車,23.8
饒河夜市金鑽透天店面,47.8
南京三民收租金店,48.8
松山車站饒河夜市金店面,36.9
饒河商三金鑽透店,49.3
南京復興捷運兄弟飯店旁收租金店,40.8
松山饒河旁商三收租店面,44.3
映虹園電梯3房美居,42.5
敦化捷運3房,42.5
敦化學區小巨蛋站2樓,37.3
松山饒河景觀商旅,31.2
407邊間吉祥雙併4房,33.3
南京三民收租寶,47.1
名人電梯三室車,43.2
雙敦學區南京復興都更宅,40.6
敦化學區小巨蛋站2樓,37.3
敦小介壽四房坡平車位,37.3
光復北雙店面,37.3
敦化國小電梯美妝4房有車,37.3
光南靜巷美廈,39.5
南京三民站角窗景觀美辦2,35.2
南京三民站角窗景觀美辦,35.2
敦北禪風一樓,45.3
$民生社區靜巷美寓,53.8
E012華南花園一樓店住,48
南京三民電梯四房,39.9
太平洋映虹園電梯三房,42.5
429寶清收租庭院美五套,45.3
松山站饒河街全棟賣場金店,49.3
&光北年代財經純辦,34.6
南京名人大廈稀有釋出,43.9
光復北路面寬店面,37.3
小巨蛋雙敦美妝景觀大兩房(2),40.3
小巨蛋雙敦美妝景觀大兩房(4),40.3
❤雙敦學區 敦化香榭,40.6
小巨蛋雙敦美妝景觀大兩房1,40.3
❤雙敦香榭都更中,40.6
專約-雙敦靜巷小巨蛋美寓,51
南京東路金店面,20.2
中山國中伊邸高樓邊間2房車位,-1
中山國中伊邸露台景觀戶,-1
金店面近南京三民站,48.8
雙敦小巨蛋電梯房,40.3
中山國中伊邸景觀兩房車位,-1
J1饒河街夜市金店,102.6
面京華城大金店面,36.3
摩根捷運精美宅,17
南京三民捷運收租金店面,48.8
北市監理所旁金雞母一樓,52.5
207揚昇君苑高樓層面河戶,5.5
僑福邊間三房美廈,47.7
敦南旗艦傳家店面,49.2
小巨蛋三角窗燙金店面1+2樓,35.8
11雙敦靜巷溫馨三房,55.7
松山站饒河街聚財金店面,10.9
民生重劃連鎖品牌一樓,42.2
松山捷運旁SRC鋼骨3房,16.7
南京三民透天投報收租,60.7
南京三民透天投報收租,60.7
敦化學區住3之1特、大透天,59.3
慶城大庭院金店面,49.4
唯我獨尊景觀豪邸,7.3
復北興安收租一樓,40.8
南京三民住辦車庫一樓,41.8
復北美麗華高樓都更商辦,43.3
璞真精裝高樓101,5.1
雙敦璞真鋼骨大戶雙坡車,15.6
微風旁潛力店面,59.8
敦化景觀華廈,33.8
雙敦璞真名邸+坡車,15.6
雙敦學區台安高樓景觀三房,44.5
翔譽面101高樓,12.3
民生社區收租金店面,51.7
&雙敦新廈低總一樓,10.1
敦南市民大道商圈店面,40.6
饒河街觀光夜市內金店面,7.4
松山捷運嘉磐101美廈,3
馥敦5A,0.7
復北民生金店面,40.8
基隆路挑高黃金店辦(商三),45.6
饒河街觀光夜市內金店面,7.4
雙敦鋼骨名邸+坡車,15.6
忠孝敦化捷運金三角,40.6
國泰南京三民捷運3房車,45
191松山有間豪宅,5.1
捷運南京三民低總價店辦,51.1
X14民權東路邊間公寓,47.6
捷運南京三民站商二土地店辦,51.7
南京雙星大廈三房全新裝潢,42.3
聯合二村邊間美宅,56.2
小巨蛋8米巷等都更金店面,49.3
小巨蛋核心生活圈~大面寬店面,49.3
八德路四段金店面,52.5
敦化八德三角窗金店,40.6
南京復興北路面寬金店面,40.8
&微風麗弗高樓帝王戶,17.2
共構101摩根車位,17
光復八德金店,22.9
415敦南景觀豪宅,49.2
台北松山燙金店面,52.5
八德住辦停車一樓,42.2
05小巨蛋學區都更宅,56.8
新東街靜巷雅居一樓,45.1
民權東路正店面,46
涵峰,15.8
南京東路五段河景大套房,8.5
南京三民一樓店面,40.6
敦化•介壽設籍店面,46.3
忠孝敦化三角窗店面,40.6
復北捷運帝國大廈頂家美宅,41.7
敦化雙學區低調奢華豪宅,13.8
敦南世田介,2.9
楓韻晴川挑高3米6,8.5
獨家~巨蛋捷運介壽一樓,55.9
大路邊電梯店面辦公透天,47.1
捷運中山國中站精華金店面,40.9
南京三民透天收租置產,60.7
敦南林蔭景觀豪宅4房2衛,49.2
敦化北路靜巷美一樓,51.4
松山南京捷運旁公寓,53.8
南京復興捷運景觀頂家,41.7
大巨蛋低總金店面,18.1
小巨蛋黃金店面,52.5
南京三民小金店,56.4
商用來禮大廈,41.4
獨家介壽民權雙公園樹海2樓,46.7
專約-光復南路超級棒住辦現收租,28.8
松山連鎖金店面,26.9
南京三民站民生圓環金店面,21.4
民生社區邊間美屋三房,50.9
小巨蛋3房2衛都有窗,51.7
松山捷運景觀收租商旅,31.2
饒河捷運站對面人潮店面,32.3
松山饒河夜市新店面,7.4
新東街靜巷美寓,53.2
福之鄉大廈４房美宅,42.8
松山機場站映虹園電梯美廈,42.5
獨家台北摩根高樓小豪宅,17
復興北路店面,40.8
雙敦學區國泰佳倍家,39.7
台北新東街三角窗店面,47.1
