objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
國家水岸景觀辦公,16468,16468,大樓,私有,121.519167685,25.0212157004,14.11,93.35,10.45,100
台北車站收租金店面,2400,2400,大樓,私有,121.514061846,25.0445767598,1.02,8.42,0,100
國家音悅廳精緻宅邸,5280,5280,大樓,私有,121.523562231,25.0246776049,3.58,22.75,2.7,100
網紅打卡捷運鑽石店面,4500,4500,公寓,無,121.526890839,25.0209570682,9.98,27.22,0,100
水岸景觀藝術畫廊,15800,15800,大樓,私有,121.519167685,25.0212157004,14.11,93.35,10.45,100
市大附小弘道美屋,1535,1535,大樓,無,121.518626621,25.0320588265,1.23,9.69,,100
專任講中正國中設籍NO.1,2288,2288,華廈,無,121.52953121,25.0396575577,2.83,5.03,1.7,100
興盛【北車站前】面寬旗艦店,15800,15800,華廈,無,121.509919988,25.0450838658,16.14,91.57,4.29,100
台大捷運公館美廈,2780,2780,華廈,無,121.530912212,25.01579542,6.69,25.2,3.09,100
北車雙子星精美辦公,1425,1425,華廈,無,121.513366898,25.0422219373,1.81,12.43,0.98,100
中正區黃金店王,11000,11000,公寓,無,121.522257117,25.0246607499,10.67,30.39,2.34,100
中正國中黃金壹樓坪數實在停車方便,6250,6250,華廈,無,121.52654693,25.0406546921,8.39,29.78,26.41,100
重慶南官道林蔭邊間店面,3960,3960,華廈,無,121.515571873,25.0293236558,2.96,10.78,16.51,100
螢橋國小優質學區鼎佳三房,1288,1288,公寓,無,121.511826187,25.0263711567,5.82,9.94,2.45,100
台大三角窗金店面,24300,24300,大樓,私有,121.528735467,25.019913791,11.03,78.61,6.33,100
台北車站稀有商四透店,26800,26800,透天,無,121.516426696,25.0445955884,32.97,114.25,4.97,100
中正國中新隆準都更永久棟距潛力正3房,4800,4800,大樓,無,121.521201289,25.0321280098,6.29,21.62,2.42,100
植物園站實小南門學區電梯大坪數,3988,3988,大樓,無,121.511286652,25.0293205462,11.01,44.22,5.02,100
北車重慶南路金店面,13800,13800,華廈,私有,121.513236918,25.0417086074,15.79,77.06,8.6,100
學區低樓層公寓增值屋,1880,1880,公寓,無,121.511670656,25.0249864767,10.02,27.4,3.43,100
B202公館新館車位,150,150,華廈,私有,121.534128781,25.0132851449,0.03,,0,100
正博愛路金店面,13900,13900,大樓,無,121.511410077,25.0433585684,16.35,85.46,35.81,100
全新中正區捷運電梯兩房,3280,3280,大樓,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
植物園全新邊間電梯兩房,3280,3280,大樓,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
專約【當代】仁愛林蔭6米樓中樓,10700,10700,大樓,私有,121.526697134,25.0384284649,11.73,51.88,5.38,100
專約【當代】仁愛林蔭6米樓中樓,10500,10500,大樓,私有,121.526697134,25.0384284649,11.39,51.88,5.38,100
小南門捷運全新兩房車Ⅲ,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
北車採光兩房,1980,1980,大樓,無,121.511410077,25.0433585684,1.62,11.14,2.44,100
小南門捷運全新兩房車Ⅱ,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
南海1號苑採光兩房車位,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
南海1號苑通風兩房車位,3280,3280,華廈,私有,121.508577572,25.0287961628,7.24,14.87,2.32,100
經濟部三角窗發財店面,4138,4138,大樓,無,121.515596765,25.0275449299,4.53,12.8,17.88,100
最佳百業首選中正大觀店辦,5500,5500,大樓,無,121.518317745,25.0298777287,4.53,32.35,3.17,100
