objName,age
後山埤低總價亮麗3房,50.8
南港豪邸映東騰雙併,9.5
❤中研院收租金雞母,47.6
閱讀中研景觀2房車,1.9
松車新矽谷站前店辦,36.4
玉成大賞B2套房,-1
卡地雅明亮三房,18.2
達欣東匯A6-7F極美兩房+B1坡道平面大車位,-1
華固卡地雅高樓3房車位,18.2
後山埤溫馨美妝三房,50.8
世界明珠高樓景觀最小戶,-1
超大庭院頂級裝潢雙衛雙車位,15.4
近中研院公園旁邊間一樓,52.5
E02捷運後山埤站收租金店面,11
昆陽庭院挑高壹樓,32.6
南軟園區頂樓純辦,22.8
南港世貿旺角溪有釋出整層華廈,30.3
南軟金店面,17.5
T612中研院靜巷收租宅,47.6
後山埤站旁店辦一樓,42.8
正永吉路上黃金店面,1.9
南港聯合經貿廣場,6.2
科技園區三角窗金店,17.5
經貿中信總部金店,17.5
近利百代產業生活專區壹樓,47.3
威京尊龍店辦住坡平,32.3
T612中研院靜巷收租宅,47.6
近松山捷運站店辦,30.3
南港昆陽捷運公寓三樓,53.4
玉成大賞B,-1
南港昆陽三角窗透天店面,53.4
南港中研靜巷美寓,40.3
水岸兩房公園綠景,15
昆陽星鑽,17.1
南港稀有頂家美宅,44.7
玉成大賞三房車,-1
玉成大賞A+車位,-1
帝寶高樓+車位,4.2
文風研究院頂層闔家歡,47.6
C13南港世界心寬敞辦公室,13.8
南港麗山段土地,
華固綠景兩房車位,17
南港區風華金店面,17.5
南港園區風華金店面,17.5
C16近經貿商圈辦公大樓,13.8
南港紐約花園雙車位好宅,14.2
後山埤黃金店面,47.4
