路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型,行政區
台北市中正區南昌路二段,25.02468,121.523568,18.1年,47.57,5280,1,1房2廳2衛1室,0,14,2,['L'],中正區
台北市中正區汀州路三段,25.01416,121.533201,51.0年,31.8,2538,0,4房2廳2衛,0,4,2,['A'],中正區
台北市中正區寧波西街,25.028701,121.511934,38.1年,33.95,2990,0,4房2廳2衛,0,7,5,['M'],中正區
台北市中正區羅斯福路一段,25.031403,121.519854,16.5年,18.13,2990,0,2房1廳1衛,1,14,13,['L'],中正區
台北市中正區水源路,25.019127,121.523674,23.3年,25.03,2188,0,2房2廳1衛,0,13,4,['L'],中正區
台北市中正區濟南路二段,25.039764,121.532131,18.4年,28.37,2688,1,2房2廳1衛1室,1,7,3,['M'],中正區
台北市中正區徐州路,25.040084,121.522311,40.6年,50.19,4380,0,4房2廳2衛,0,5,3,['A'],中正區
台北市中正區信義路二段,25.034013,121.529267,17.6年,49.7,8680,1,3房2廳2衛2室,0,13,13,['L'],中正區
台北市中正區汀州路一段,25.028008,121.508945,48.6年,34.91,2200,0,4房2廳2衛,0,4,4,['A'],中正區
台北市中正區和平西路一段,25.02694,121.517825,14.7年,87.83,9888,2,4房2廳2衛1室,0,18,11,['L'],中正區
台北市中正區新生南路一段,25.041202,121.532323,16.2年,74.16,9988,1,3房2廳2衛1室,0,15,15,['L'],中正區
台北市中正區杭州南路一段,25.041466,121.52623,2.4年,95.31,9980,2,4房2廳2衛,0,22,5,['L'],中正區
台北市中正區金山南路一段,25.035173,121.527589,16.0年,47.46,6388,1,3房2廳2衛1室,0,11,5,['L'],中正區
台北市中正區信義路二段,25.03518,121.525336,47.8年,56.99,5588,0,4房2廳2衛,0,12,12,['L'],中正區
台北市中正區丹陽街,25.039505,121.524095,0.8年,90.44,13200,2,4房2廳3衛,0,11,9,['L'],中正區
台北市中正區重慶南路三段,25.022539,121.516985,14.0年,49.73,4360,1,3房2廳2衛,0,15,10,['L'],中正區
台北市中正區濟南路一段,25.042832,121.521777,20.2年,83.23,12630,1,4房2廳2衛1室,0,15,13,['L'],中正區
台北市中正區金山南路一段,25.035173,121.527589,16.0年,64.51,8800,2,4房2廳2衛,0,11,7,['L'],中正區
台北市中正區杭州南路一段,25.041466,121.52623,2.4年,75.89,11700,0,2房2廳2衛,0,22,2,['L'],中正區
台北市中正區忠孝東路二段,25.042331,121.528038,17.8年,91.06,11528,1,3房2廳2衛,0,14,6,['L'],中正區
台北市中正區羅斯福路一段,25.031424,121.519553,16.9年,130.24,17588,4,4房2廳4衛2室,0,14,13,['L'],中正區
台北市中正區廈門街,25.024291,121.51841,58.3年,44.7,2928,0,4房3廳2衛1室,1,4,4,['A'],中正區
台北市中正區泰安街,25.040671,121.527362,20.1年,122.45,12800,3,4房2廳2衛2室,1,11,5,['L'],中正區
台北市中正區重慶南路三段,25.024255,121.516053,49.8年,38.37,2880,0,3房2廳2衛,0,4,3,['A'],中正區
台北市中正區同安街,25.023129,121.520881,29.1年,28.41,2108,1,2房1廳1衛,1,7,6,['M'],中正區
台北市中正區杭州南路一段,25.041303184136,121.52635606382,2.4年,80.84,10588,2,2廳2衛,0,22,18,['L'],中正區
台北市中正區水源路,25.021035,121.520026,6.9年,46.52,4988,1,3房2廳2衛,0,15,9,['L'],中正區
台北市中正區仁愛路一段,25.038713,121.523921,27.6年,57.17,6888,1,3房2廳2衛1室,0,16,14,['L'],中正區
台北市中正區臨沂街,25.037579,121.529471,17.7年,45.51,4586,1,2房2廳1衛,0,6,4,['M'],中正區
台北市中正區羅斯福路二段,25.029108,121.521196,38.7年,44.45,4980,0,2房2廳2衛1室,0,12,6,['L'],中正區
