路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市北投區中央北路四段,25.133852,121.475947,41.6年,35.31,1698,0,3房1廳1衛,0,5,4,['A']
台北市北投區行義路,25.124777,121.52678,12.9年,102.05,6400,3,4房2廳2衛1室,0,15,9,['L']
台北市北投區清江路,25.129881,121.502574,42.5年,34.91,1788,0,3房2廳2衛,0,5,4,['A']
台北市北投區天母西路,25.119012,121.523341,6.2年,119.83,9867,3,3廳3衛,0,21,5,['L']
台北市北投區稻香路,25.143516,121.48903,8.6年,97.53,4480,2,4房2廳3衛,0,5,3,['M']
台北市北投區光明路,25.136170014201,121.50379760042,8.6年,52.94,6488,0,1房2廳3衛1室,0,24,1,['L']
台北市北投區稻香路,25.142935,121.488234,4.4年,62.88,3150,2,3房2廳2衛,0,5,5,['M']
台北市北投區中央北路四段,25.130987,121.472131,40.3年,32.24,1798,0,4房3廳3衛,1,5,5,['A']
台北市北投區光明路,25.135999,121.505444,48.3年,29.72,1980,0,2房2廳1衛1室,0,10,10,['M']
台北市北投區文林北路,25.106549,121.516524,9.1年,112.21,12800,1,2房2廳3衛1室,0,25,17,['L']
台北市北投區行義路,25.134032,121.529655,25.3年,75.59,4280,1,4房2廳2衛,0,16,9-10,['L']
台北市北投區東華街二段,25.116823,121.514317,17.6年,76.5,7280,1,3房2廳2衛,0,14,9,['L']
台北市北投區知行路,25.12229,121.466656,16.7年,53.52,3380,1,2房2廳2衛1室,0,7,6,['M']
台北市北投區知行路,25.122169,121.466523,16.7年,27.05,1750,1,1房2廳1衛,0,11,10,['L']
台北市北投區光明路,25.135967,121.503322,14.8年,44.69,4580,1,3房2廳2衛1室,0,14,14,['L']
台北市北投區溫泉路,25.134861,121.502805,20.3年,10.16,850,0,1房1廳1衛,0,13,6,['L']
台北市北投區稻香路,25.142935,121.488234,4.4年,50.7,2980,1,3房2廳2衛,0,5,2,['M']
台北市北投區溫泉路,25.135452,121.504365,30.7年,22.54,1680,0,2房2廳1衛,0,7,3,['M']
台北市北投區吉利街,25.118017,121.505908,30.3年,44.14,3488,1,3房2廳2衛,0,7,7,['M']
台北市北投區清江路,25.131601,121.502303,24.1年,58.59,3250,1,3房2廳2衛,0,14,2,['L']
台北市北投區天母西路,25.120984,121.525155,41.3年,44.99,3350,0,3房2廳2衛,0,7,5,['M']
台北市北投區大度路三段,25.12293,121.466436,17.4年,17.5,1488,0,1房1廳1衛,0,14,8,['L']
台北市北投區大興街,25.129376,121.498893,46.2年,25.11,1950,0,4房3廳2衛,1,4,4,['A']
台北市北投區新民路,25.140094,121.507291,44.1年,44.61,1598,1,2房2廳1衛,0,6,4,['M']
台北市北投區奇岩路,25.133168,121.507136,13.4年,42.7,1828,1,1房1廳1衛,0,5,5,['M']
台北市北投區文林北路,25.104351,121.519443,12.4年,57.85,5445,1,3房2廳2衛,0,14,2,['L']
台北市北投區崗山路,25.140923,121.487044,18.2年,50.84,3088,1,3房2廳2衛,0,12,8,['L']
台北市北投區溫泉路,25.135625,121.504762,45.1年,10.39,530,0,1房1廳1衛,0,7,-1,['M']
台北市北投區珠海路,25.142347,121.512502,44.2年,29.88,1298,0,3房2廳2衛,0,5,4,['A']
台北市北投區榮華三路,25.11224,121.525302,29.5年,85.14,4000,2,5房3廳4衛1室,1,6,B1-1,['M']
台北市北投區中央北路一段,25.135401,121.498352,11.5年,39.12,3200,1,3房2廳2衛,0,12,3,['L']
台北市北投區永興路二段,25.139911504214,121.50173923062,50.9年,26.41,1268,0,3房2廳1衛,0,4,4,['A']
台北市北投區中山北路七段,25.12743,121.530401,41.5年,37.32,2080,0,3房2廳2衛,0,7,2,['M']
台北市北投區稻香路,25.142313,121.490043,44.2年,34.62,1698,0,4房2廳2衛,0,4,4,['A']
台北市北投區中和街,25.139458,121.501199,1.6年,22.22,1980,0,2房2廳1衛,0,14,3,['L']
台北市北投區石牌路二段,25.123951,121.525611,1.2年,50.04,4500,1,3房2廳2衛,0,14,5,['L']
台北市北投區光明路,25.136585,121.509598,40.5年,26.83,1398,0,4房2廳2衛,1,5,5,['A']
台北市北投區石牌路二段,25.123951,121.525611,1.2年,49.63,4500,1,3房2廳2衛,0,14,7,['L']
台北市北投區民族街,25.133111,121.506761,41.8年,37.27,1500,0,3房2廳2衛,0,5,4,['A']
台北市北投區大度路三段,25.122257,121.465442,39.2年,31.03,1488,0,3房2廳2衛,0,5,2,['A']
台北市北投區大度路三段,25.122458,121.465728,39.3年,27.48,1098,0,3房2廳1.5衛,0,4,4,['A']
台北市北投區奇岩路,25.132705,121.507132,40.5年,17.18,880,0,1房1廳1衛,0,5,3,['M']
台北市北投區民族街,25.133717,121.506825,45.0年,39.18,1888,0,6房1廳2衛,0,5,5,['A']
台北市北投區榮華三路,25.113872,121.521348,43.3年,73.25,5880,1,3房2廳2衛,0,7,4,['M']
台北市北投區石牌路一段,25.113906,121.514031,1.1年,52.43,5668,1,3房2廳2衛,0,14,4,['L']
台北市北投區泉源路,25.140311,121.507293,44.8年,23.39,1158,0,2房2廳1衛,0,5,4,['A']
台北市北投區同德街,25.124551,121.52817,41.8年,35.29,1765,0,3房2廳2衛,0,5,3,['A']
台北市北投區公館路,25.124047,121.506514,39.8年,27.8,2500,0,3房2廳2衛,0,5,1,['A']
台北市北投區泉源路,25.140074,121.505938,46.4年,34.19,1350,0,6房4廳3衛,1,5,5,['A']
台北市北投區北科路,25.104205,121.517559,0.4年,38.76,3688,1,2房2廳1衛,0,9,3,['M']
台北市北投區中央北路一段,25.135348,121.497657,29.1年,68.27,3880,1,3房2廳2衛1室,0,5,5,['M']
台北市北投區泉源路,25.140723,121.508797,10.0年,98.61,7388,2,2房2廳2衛1室,0,19,16,['L']
台北市北投區大興街,25.130828,121.501651,1.2年,61.17,5250,1,4房2廳2衛,0,27,16,['L']
台北市北投區天母西路,25.11805031357,121.52304168905,19.3年,126.13,13800,2,4房2廳5衛2室,1,23,6,['L']
台北市北投區石牌路二段,25.124116,121.522093,12.4年,94.88,6388,2,2房2廳2衛,0,11,6,['L']
台北市北投區中央南路一段,25.128685,121.501299,26.6年,34.39,2980,0,1廳1衛,0,7,5,['M']
台北市北投區文化三路,25.138342,121.498135,40.0年,49.16,2600,0,4房2廳2衛,0,7,4,['M']
台北市北投區吉利街,25.118445,121.512113,48.9年,37.39,2356,0,5房4廳3衛,1,4,4,['A']
台北市北投區福美路,25.100071,121.504426,8.3年,57.46,4088,1,3房2廳2衛,0,13,10,['L']
台北市北投區石牌路一段,25.113714,121.510189,48.5年,37.6,2750,0,3房2廳1衛,0,4,3,['A']
台北市北投區稻香路,25.13899,121.490381,45.8年,16.3,998,0,2房2廳1衛,0,4,4,['A']
台北市北投區光明路,25.135764,121.503454,21.0年,20.34,1180,1,1房1廳1衛,0,14,4,['L']
台北市北投區致遠一路二段,25.112825,121.513512,47.4年,36.49,2298,0,5房3廳3衛,1,5,5,['A']
台北市北投區文林北路,25.106736,121.515323,0.4年,25.85,3594,0,2房2廳2衛,0,14,5,['L']
台北市北投區雙全街,25.138846,121.500968,18.8年,55.69,4588,1,3房2廳2衛,0,13,10,['L']
台北市北投區溫泉路,25.136458,121.513085,50.7年,38.4,1420,0,3房2廳2衛,0,4,4,['A']
台北市北投區溫泉路,25.140522753336,121.51352607743,50.5年,28.31,1030,0,2房2廳1衛,0,4,3,['A']
台北市北投區中央北路三段,25.139596,121.484883,43.9年,34.4,2280,0,4房2廳1衛1室,0,5,1,['A']
台北市北投區行義路,25.124292,121.525856,43.2年,57.37,3560,0,6房2廳2衛,0,7,7,['M']
台北市北投區中山北路七段,25.130033,121.530773,41.4年,28.14,1788,0,2房2廳2衛,0,7,2,['M']
台北市北投區幽雅路,25.137315,121.513129,17.1年,17.68,1080,0,1房1廳1衛,0,13,5,['L']
台北市北投區幽雅路,25.137315,121.513129,17.1年,36.48,2230,0,1房2廳2衛1室,0,13,12,['L']
台北市北投區大同街,25.133382,121.499587,1.7年,49.06,4698,1,3房2廳2衛,0,18,9,['L']
台北市北投區致遠一路一段,25.108552,121.517667,50.4年,31.31,2300,0,4房3廳2衛,1,4,4,['A']
台北市北投區中山北路七段,25.127635,121.530041,41.4年,34.17,1998,0,3房2廳2衛,0,7,2,['M']
台北市北投區中和街,25.137951,121.502985,26.0年,17.23,1533,0,1房1廳1衛,0,17,7,['L']
台北市北投區新民路,25.141183,121.512867,45.4年,29.05,1488,0,4房3廳2.5衛,1,5,5,['A']
台北市北投區承德路七段,25.11557,121.507482,52.3年,27.04,1575,0,4房2廳1衛,0,4,4,['A']
台北市北投區尊賢街,25.11614,121.507249,53.2年,29,1980,0,3房2廳1衛,0,4,2,['A']
台北市北投區中和街,25.144895,121.49276,48.6年,20.2,1450,0,3房2廳1衛1室,0,4,1,['A']
台北市北投區承德路七段,25.113026,121.509351,1.7年,71.35,6388,1,3房2廳2衛,0,19,6,['L']
台北市北投區榮華一路,25.111823,121.524383,44.1年,42.19,3780,0,3房2廳1衛,0,7,4,['M']
台北市北投區中和街,25.147228,121.493953,50.8年,31.93,1780,0,4房2廳1.5衛,1,4,1,['A']
台北市北投區懷德街,25.114692,121.519783,39.3年,36.11,2888,0,2房2廳2衛1室,0,5,4,['A']
台北市北投區復興四路,25.141196,121.500432,33.6年,18.99,1380,0,2房2廳1衛,0,4,2,['A']
台北市北投區實踐街,25.11531,121.51031,55.3年,31.38,2600,0,3房2廳2衛,0,4,4,['A']
台北市北投區中和街,25.146474,121.494795,46.8年,27.21,1250,0,2房2廳1衛,0,5,4,['A']
台北市北投區泉源路,25.141309738941,121.51114489438,44.1年,62.42,2980,0,4房2廳2衛,0,7,4,['M']
台北市北投區溫泉路,25.134861,121.502805,20.3年,14.53,998,0,1房1廳1衛,0,13,5,['L']
台北市北投區復興四路,25.141611,121.500389,49.5年,21.28,1450,0,2房2廳2衛,1,6,2,['M']
台北市北投區石牌路二段,25.123453,121.522522,46.3年,34.12,2188,0,3房2廳2衛,0,5,3,['A']
台北市北投區雙全街,25.138026,121.500801,44.3年,33.24,1680,0,3房2廳2衛,0,5,5,['A']
台北市北投區明德路,25.11643,121.518377,46.0年,34.82,2480,0,4房2廳2衛,0,5,2,['A']
台北市北投區榮華一路,25.112439,121.524117,31.3年,15.19,1288,1,1房1衛,0,5,3,['M']
台北市北投區新民路,25.140355,121.511212,12.5年,52.31,3088,1,3房2廳2衛,0,7,4,['M']
台北市北投區新民路,25.141275,121.513052,45.4年,27.21,1180,0,4房3廳2.5衛,1,5,5,['A']
台北市北投區珠海路,25.141843498769,121.50608824043,38.9年,45.29,2265,0,4房2廳2衛,0,7,5,['M']
台北市北投區大業路,25.133058,121.496189,23.0年,53.81,3888,1,4房2廳2衛,1,14,3,['L']
台北市北投區溫泉路,25.13556,121.503946,25.7年,52.57,3888,1,4房2廳2衛,0,7,5,['M']
台北市北投區公館路,25.124649,121.507874,44.4年,36.33,2688,0,4房3廳2衛,1,5,1,['A']
台北市北投區尊賢街,25.116399,121.507619,6.0年,78.2,6280,2,3房2廳2衛,0,12,6,['L']
台北市北投區豐年路一段,25.134291,121.497654,15.6年,81.05,5800,2,4房2廳2衛,0,12,7,['L']
台北市北投區懷德街,25.112635,121.519665,15.6年,67.18,6780,2,4房2廳2衛1室,1,12,6,['L']
台北市北投區行義路,25.130576,121.529825,44.9年,56.04,3288,1,3房2廳2衛2室,0,7,2,['M']
台北市北投區石牌路二段,25.123455,121.523971,31.7年,13.84,980,0,1房1廳1衛1室,1,7,-1,['M']
台北市北投區裕民六路,25.113458,121.517167,30.6年,64.64,5888,1,2房2廳2衛1室,0,22,21,['L']
台北市北投區泉源路,25.141396,121.508956,39.4年,12.66,458,0,1房1廳1衛,0,7,-1,['M']
台北市北投區光明路,25.136279,121.503901,29.2年,55.01,3988,1,3房2廳2衛,0,12,10,['L']
台北市北投區天母西路,25.119288435889,121.5239541897,41.3年,39.31,3880,0,4房2廳5衛1室,1,5,1,['A']
台北市北投區幽雅路,25.137293,121.512733,30.1年,14.71,630,0,1房1衛,0,5,3,['M']
台北市北投區奇岩路,25.128879,121.508808,44.9年,16.34,720,0,2房1廳1衛,0,5,-1,['A']
台北市北投區中山北路七段,25.132977,121.53066,18.6年,43.29,3980,1,1廳,0,7,1,['M']
台北市北投區三合街一段,25.124701,121.504548,5.9年,48.34,4750,0,3房2廳2衛,0,9,1,['M']
台北市北投區崇仰七路,25.131624123284,121.51265413056,59.0年,75,5980,0,5房2廳3衛1室,0,2,1-2,['D']
台北市北投區溫泉路,25.135625,121.504762,45.1年,8.24,570,0,1房1衛,0,7,4,['M']
台北市北投區大興街,25.130828,121.501651,1.2年,69.17,5680,2,2房2廳2衛,0,27,4,['L']
台北市北投區新民路,25.140431799393,121.51205170063,12.8年,18.51,1188,0,1房1廳1衛,0,5,3,['M']
台北市北投區中央北路四段,25.128333,121.467817,23.8年,85.76,4580,2,4房3廳2衛1室,1,18,18,['L']
台北市北投區中和街,25.139458,121.501199,1.6年,35.97,2880,1,3房2廳2衛,0,14,3,['L']
台北市北投區天母西路,25.121213,121.52537,41.8年,42.86,3880,0,3房2廳2衛2室,0,7,4,['M']
台北市北投區中和街,25.144022,121.495504,45.8年,26.37,1480,0,5房4廳3衛,1,5,5,['A']
台北市北投區中央北路三段,25.139973,121.485919,15.6年,59.22,3500,2,3房3廳2衛,1,7,7,['M']
台北市北投區公館路,25.127341,121.50865,17.1年,50.73,3326,1,3房2廳2衛,0,7,6,['M']
台北市北投區行義路,25.128017,121.529827,6.0年,47.43,2580,2,2房2廳2衛,0,5,3,['M']
台北市北投區一德街,25.129023,121.468901,45.2年,24.38,1480,0,3房3廳2衛,1,4,4,['A']
台北市北投區紗帽路,25.150789,121.547345,48.2年,58.06,3188,0,2房2廳1.5衛1室,0,10,3,['M']
台北市北投區崇仰九路,25.130358,121.514045,59.0年,75,6360,1,5房2廳4衛,0,2,1-2,['D']
台北市北投區行義路,25.124687,121.525628,45.3年,49.33,3458,0,4房2廳2衛,0,7,5,['M']
台北市北投區新民路,25.140489157906,121.51204271626,12.8年,19.24,1380,0,2房1廳1衛,0,5,2,['M']
台北市北投區天母西路,25.120094,121.523833,45.9年,59.81,3950,0,4房3廳3衛,1,6,6,['M']
