路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市中山區新生北路三段,25.063389,121.527987,43.9年,34.5,2988,0,3房2廳2衛,0,12,5,['L']
台北市中山區民權東路二段,25.063917,121.534788,42.0年,48.19,3500,0,4房2廳3衛,0,7,6,['M']
台北市中山區遼寧街,25.055216,121.542458,39.8年,29.64,2990,0,3房2廳1衛,0,15,5,['L']
台北市中山區松江路,25.046292,121.532714,44.3年,11.65,1120,0,1房1廳1衛,0,13,12,['L']
台北市中山區吉林路,25.050388,121.529456,7.8年,124.21,10586,5,3房2廳2衛,0,16,3,['L']
台北市中山區明水路,25.079567,121.550983,23.0年,123.16,10388,2,5房2廳3衛1室,1,14,3,['L']
台北市中山區五常街,25.066303,121.539728,47.9年,29.86,1868,0,4房2廳2衛,0,5,4,['A']
台北市中山區合江街,25.05516,121.540287,32.8年,58.16,4380,1,4房2廳2衛,1,7,7,['M']
台北市中山區林森北路,25.056811,121.525648,12.4年,61.59,7768,1,3房2廳2衛,0,24,21,['L']
台北市中山區樂群二路,25.078047,121.553456,13.6年,118.96,17980,2,3房2廳3衛,0,11,6,['L']
台北市中山區民權東路二段,25.062332,121.529298,13.1年,152.9,11980,4,5房2廳3衛3室,0,12,3,['L']
台北市中山區錦州街,25.060309,121.540052,41.8年,27.66,3088,0,3房2廳2衛,0,7,5,['M']
台北市中山區五常街,25.064411,121.538465,10.2年,19.88,2580,1,1房1廳1衛,0,12,6,['L']
台北市中山區建國北路二段,25.054573,121.536447,1.6年,27.43,3600,1,2房2廳1衛,0,13,11,['L']
台北市中山區林森北路,25.047871,121.527623,0.8年,58.26,6550,1,3房2廳2衛,0,9,9,['M']
台北市中山區南京東路三段,25.051749,121.540035,5.3年,59.72,8890,1,2房2廳2衛,0,20,2,['L']
台北市中山區建國北路二段,25.054095,121.536441,3.7年,95.96,10288,2,1廳3衛,0,23,11,['L']
台北市中山區南京東路二段,25.051863,121.532194,15.5年,18.59,2380,0,1房1廳1衛,0,18,8,['L']
台北市中山區明水路,25.085189,121.551976,18.3年,22.13,2545,0,1房2廳1衛,0,11,6,['L']
台北市中山區五常街,25.064411,121.538465,10.2年,18.72,2150,0,1房1廳1衛,0,12,7,['L']
台北市中山區興安街,25.055828,121.542844,39.8年,29.64,3288,0,3房2廳1衛2室,0,14,2,['L']
台北市中山區基湖路,25.079112135947,121.56213032142,18.3年,102.74,12888,2,3房2廳4.5衛1室,0,8,5,['M']
台北市中山區樂群二路,25.079073481148,121.5549442152,11.2年,178.74,25388,4,4房2廳3.5衛2室,0,11,5,['L']
台北市中山區長春路,25.054835,121.524767,16.1年,18.59,1680,1,1房2廳1衛,1,14,11,['L']
台北市中山區南京東路三段,25.051749,121.540105,5.3年,42.28,5860,1,2房2廳2衛,0,20,2,['L']
台北市中山區中山北路二段,25.057566,121.523585,16.4年,65.71,6500,1,3房2廳2衛1室,0,12,8,['L']
台北市中山區樂群二路,25.079065,121.555115,11.2年,165.09,26800,3,3房2廳4衛1室,0,11,3,['L']
台北市中山區中山北路一段,25.049969972818,121.5219584872,15.5年,196.73,16800,5,3房3廳4衛2室,0,14,14,['L']
台北市中山區北安路,25.082196,121.548528,45.9年,51.46,3860,1,4房2廳2衛,0,7,6,['M']
台北市中山區中山北路二段,25.06086,121.523765,50.6年,43.02,3288,0,3房2廳2衛,1,4,4,['A']
台北市中山區基湖路,25.077047,121.565389,25.2年,120.88,18300,2,3房2廳3衛1室,0,14,6,['L']
台北市中山區新生北路三段,25.063721,121.527398,44.7年,9.61,835,0,1房1廳1衛1室,0,12,9,['L']
台北市中山區北安路,25.083793,121.549746,31.6年,34.48,3788,0,4房2廳2衛2室,0,6,2,['M']
台北市中山區雙城街,25.063341,121.525296,50.5年,11.15,1466,0,2房1廳2衛,1,4,4,['A']
台北市中山區復興北路,25.059118,121.543909,43.0年,36.43,3788,0,3房2廳1衛,0,14,3,['L']
台北市中山區林森北路,25.066037,121.525904,14.6年,39.22,3288,1,2房2廳1衛,0,13,10,['L']
台北市中山區長安東路二段,25.048406,121.541376,13.9年,96.95,10820,2,6房2廳3衛4室,0,15,11,['L']
台北市中山區農安街,25.064012,121.533769,46.2年,50.63,3988,0,4房2廳2衛1室,1,7,3,['M']
台北市中山區中山北路二段,25.059417,121.523715,25.6年,38.19,4298,1,3房2廳1衛,0,9,6,['M']
台北市中山區長安東路二段,25.048397,121.530581,19.0年,10.9,1088,0,1廳1衛1室,1,8,4,['M']
台北市中山區明水路,25.079141,121.553756,20.7年,52.6,6880,2,3房2廳2衛,0,6,5,['M']
台北市中山區松江路,25.066192,121.533023,38.4年,47.12,4168,0,3房2廳3衛,0,12,3,['L']
台北市中山區林森北路,25.059581,121.525684,43.8年,25.68,1588,0,2房2廳1衛,0,12,8,['L']
台北市中山區吉林路,25.067011,121.532557,40.0年,58.15,3780,0,4房2廳2衛,0,7,5,['M']
台北市中山區錦州街,25.059528,121.524874,46.8年,11.94,898,0,1房1廳1衛,0,10,8,['M']
台北市中山區中山北路一段,25.050737,121.520802,1.5年,40.21,5530,1,2房2廳2衛,0,22,7,['L']
台北市中山區南京東路三段,25.051061,121.541943,48.6年,43.17,3920,0,4房2廳2衛,0,5,3,['A']
台北市中山區建國北路二段,25.055295,121.537233,37.8年,12.31,1150,0,1房1廳1衛,0,15,7,['L']
台北市中山區基湖路,25.077722,121.564218,21.7年,21.41,2200,1,1房1廳1衛,1,5,1,['M']
台北市中山區長安東路一段,25.049254,121.526627,47.9年,15.75,1538,0,3房1廳1衛,0,7,5,['M']
台北市中山區建國北路二段,25.05893,121.537317,41.4年,37.58,3650,0,3房2廳2衛,0,14,8,['L']
台北市中山區吉林路,25.057258,121.529223,42.9年,40.62,3368,0,5房3廳3衛,1,7,7,['M']
台北市中山區民生東路二段,25.058114,121.530772,46.0年,13.62,1288,0,1房1廳1衛,0,7,3,['M']
台北市中山區吉林路,25.058599,121.529442,40.4年,40.37,3688,0,3房2廳2衛,0,5,4,['M']
台北市中山區建國北路三段,25.066693,121.536063,45.6年,31.39,2466,0,3房2廳1衛,0,5,3,['A']
台北市中山區新生北路一段,25.046873,121.531513,45.2年,17.22,1368,0,1房1衛,0,12,9,['L']
台北市中山區民生東路一段,25.057296,121.526374,18.4年,15.63,1388,1,1房1廳1衛,0,8,5,['C']
台北市中山區農安街,25.064838,121.523335,16.7年,15.68,1680,0,1房1廳1衛,0,14,5,['L']
台北市中山區松江路,25.058982,121.532878,11.8年,201.27,33000,3,1廳1衛,0,22,13,['L']
台北市中山區民生東路一段,25.057936,121.524736,46.6年,9.72,650,0,1房1廳1衛,0,12,7,['L']
台北市中山區明水路,25.077722,121.545398,0.8年,72.35,8368,2,3房2廳2衛,0,25,3,['L']
台北市中山區新生北路二段,25.057192,121.527234,53.9年,15.11,1688,0,3房2廳1衛,0,12,12,['L']
台北市中山區南京東路三段,25.053159,121.538135,0.6年,66.3,7380,2,3房2廳3衛,0,14,2,['L']
台北市中山區民生東路一段,25.057936,121.524736,46.6年,8.95,650,0,1房1廳1衛,0,12,7,['L']
台北市中山區龍江路,25.048711,121.541372,1.8年,49.49,5928,1,3房2廳2衛,0,9,7,['M']
台北市中山區龍江路,25.048711,121.541372,1.8年,47.94,5728,1,3房2廳2衛,0,9,7,['M']
台北市中山區松江路,25.056235,121.533458,11.6年,132.12,17200,2,3房2廳3衛,0,21,4,['L']
台北市中山區新生北路三段,25.065415,121.528038,48.1年,26.13,2188,0,2房2廳1衛1室,0,11,4,['L']
台北市中山區中山北路二段,25.061309,121.521923,47.4年,50.91,3980,1,3房2廳2衛1室,0,7,7,['M']
台北市中山區復興北路,25.065217,121.543278,42.4年,38.04,3060,0,3房2廳2衛,0,5,2,['A']
台北市中山區松江路,25.059060280613,121.53284531723,11.8年,200.93,22600,3,1廳1衛,0,22,5,['L']
台北市中山區中山北路二段,25.05927,121.525413,1.5年,32.65,3818,1,2房2廳2衛,0,15,4,['L']
台北市中山區松江路,25.067954,121.532741,29.7年,20.29,1788,0,2房1廳1衛,0,6,3,['M']
台北市中山區新生北路三段,25.06786,121.529377,52.4年,32.52,2026,0,3房2廳1衛1室,1,3,3,['A']
台北市中山區北安路,25.083513,121.549661,31.5年,58.08,4500,0,3房2廳2衛1室,0,6,5,['M']
台北市中山區中山北路二段,25.057393,121.524144,2.3年,12.83,1998,0,1房1廳1衛,0,15,10,['L']
台北市中山區松江路,25.059162,121.53232,1.1年,32.6,4650,1,2房2廳2衛,0,10,9,['M']
台北市中山區天祥路,25.061323,121.520495,55.2年,12.62,1258,0,1房1廳1衛,0,7,5,['M']
台北市中山區林森北路,25.05002,121.525935,10.1年,25.36,2588,0,2房1廳1衛,0,7,3,['M']
台北市中山區建國北路二段,25.06088,121.536571,15.5年,86.73,6888,2,4房2廳2衛,0,15,2,['L']
台北市中山區松江路,25.061702,121.534769,52.8年,40.27,3000,0,4房2廳2衛,0,4,3,['A']
台北市中山區四平街,25.053744,121.535802,24.6年,12.28,1599,0,1房1廳1衛,0,10,7,['M']
台北市中山區松江路,25.059895,121.533377,16.2年,12.27,1650,0,1房1廳1衛,0,13,11,['L']
台北市中山區德惠街,25.066628,121.524027,43.9年,11.6,1150,0,1房1廳1衛,0,10,3,['M']
台北市中山區四平街,25.053744,121.535802,24.6年,13.34,1785,1,1房1廳1衛,0,10,7,['M']
台北市中山區建國北路一段,25.051441,121.536351,16.0年,14.26,1988,0,1房2廳1衛,1,13,7,['L']
台北市中山區德惠街,25.066213,121.532732,51.1年,34.57,3300,0,3房2廳2衛,0,4,2,['A']
台北市中山區復興南路一段,25.045248,121.54365,44.4年,13.63,1499,0,1房1廳1衛,0,12,10,['L']
台北市中山區民生東路二段,25.059235,121.534987,59.4年,20.85,1980,0,2房2廳1衛,1,4,4,['A']
台北市中山區新生北路二段,25.057452,121.526802,0.9年,36.47,3498,1,2房2廳2衛,0,10,3,['M']
台北市中山區明水路,25.077925,121.545956,29.8年,102.75,9888,2,4房2廳2衛1室,1,15,14-15,['L']
台北市中山區民族東路,25.068148,121.530904,53.3年,28.03,1760,0,3房2廳1衛,0,3,3,['A']
台北市中山區德惠街,25.06661,121.523776,2.2年,32.54,3588,1,2房2廳1衛,0,13,11,['L']
台北市中山區林森北路,25.056104,121.525323,15.9年,27.57,2100,1,1房1廳1衛,0,15,14,['L']
台北市中山區敬業三路,25.079364,121.555511,20.1年,48.06,5300,1,3房2廳2衛,0,7,3,['M']
台北市中山區明水路,25.077722,121.545398,0.8年,74.26,10500,2,3房2廳2衛,0,25,14,['L']
台北市中山區龍江路,25.048711,121.541372,1.8年,33.88,4088,1,2房2廳1衛,0,9,9,['M']
台北市中山區民權東路二段,25.060658,121.535445,40.5年,39.9,3200,0,3房2廳2衛,0,4,3,['A']
台北市中山區龍江路,25.048711,121.541372,1.8年,39.29,4989,1,3房2廳2衛,0,9,8,['M']
台北市中山區農安街,25.065026,121.525131,3.5年,22,2450,0,1房1廳1衛,0,14,2,['L']
台北市中山區林森北路,25.049026,121.528018,50.7年,11.08,988,0,1房1廳1衛,0,4,4,['A']
台北市中山區林森北路,25.055589,121.525578,49.2年,18.78,1688,0,3房1廳1衛,0,12,8,['L']
台北市中山區松江路,25.061948,121.530689,57.9年,27.65,3400,0,2房2廳1.5衛,1,4,1,['A']
台北市中山區德惠街,25.066738,121.526585,48.0年,9.36,890,0,1房1廳1衛,0,10,8,['M']
台北市中山區長春路,25.054506485804,121.54030768756,20.8年,92.44,9168,4,3房2廳2衛,0,14,5,['L']
台北市中山區林森北路,25.050001,121.526028,43.3年,8.15,680,0,1房1廳1衛,0,8,7,['M']
台北市中山區龍江路,25.056781,121.541696,44.3年,47.91,4898,0,4房2廳2衛1室,1,5,B1-1,['A']
台北市中山區民生東路二段,25.058114,121.530772,46.0年,12.72,1088,0,1房1廳1衛,0,7,2,['M']
台北市中山區新生北路三段,25.063721,121.527398,44.7年,9.61,1080,0,1房1廳1衛,0,12,11,['L']
台北市中山區基湖路,25.076889,121.564785,25.0年,146.23,19680,2,5房4廳4衛1室,1,13,1,['L']
台北市中山區敬業一路,25.081181,121.55295,18.3年,35.37,3180,1,2房1廳1衛,0,8,5,['M']
台北市中山區民權東路二段,25.064126,121.534822,44.1年,34.49,2899,0,3房2廳2衛,0,7,2,['M']
台北市中山區龍江路,25.065881,121.540638,47.4年,26.29,1988,0,3房2廳1衛,0,5,4,['A']
台北市中山區建國北路二段,25.061091,121.535608,3.5年,71.89,8500,1,3房2廳2衛,0,15,3,['L']
台北市中山區明水路,25.079105,121.552099,29.8年,21.91,1988,1,1房2廳1衛1室,1,16,3-4,['L']
台北市中山區民生東路一段,25.057317,121.526525,18.5年,15.88,1599,0,1房1廳1衛,0,7,5,['M']
台北市中山區明水路,25.079355,121.552621,18.3年,98.43,11968,2,3房2廳2衛2室,0,11,8,['L']
台北市中山區四平街,25.053426,121.536272,42.8年,34.7,3088,0,3房2廳1衛,0,14,2,['L']
台北市中山區新生北路二段,25.059911,121.528018,41.6年,10.64,936,0,1房1廳1衛,0,7,4,['M']
台北市中山區北安路,25.082533,121.550143,7.0年,131.09,22770,3,3房2廳3衛1室,0,17,17,['L']
台北市中山區新生北路一段,25.049436,121.52834,48.2年,14.44,1168,0,1房1廳1衛,0,7,7,['M']
台北市中山區明水路,25.078102,121.549477,31.8年,68.67,6998,1,5房2廳3衛,0,14,2,['L']
台北市中山區民權東路三段,25.062256453887,121.54257276471,39.3年,53.71,4730,0,3房2廳2衛1室,0,19,9,['L']
台北市中山區長春路,25.054789,121.539561,18.2年,39.79,4380,0,4房2廳2衛1室,1,12,11,['L']
台北市中山區南京東路一段,25.05256843141,121.52406162104,4.5年,122.55,16862,2,1廳,0,23,10,['L']
台北市中山區長安東路二段,25.04819463756,121.54005762831,9.9年,40.7,3788,2,2房1廳1衛1室,0,14,11,['L']
台北市中山區松江路,25.046961310437,121.53233128625,14.2年,57.13,5988,1,3房2廳2衛,0,7,3,['M']
台北市中山區雙城街,25.065342,121.523486,54.2年,35.35,3070,0,3房2廳2衛,0,5,2,['A']
台北市中山區民族東路,25.067014,121.541946,44.4年,22.42,2000,0,6房2廳2衛,1,5,5,['A']
台北市中山區德惠街,25.066628,121.524027,43.9年,11.6,1200,0,1房1衛,0,10,3,['C']
台北市中山區建國北路一段,25.04643,121.537137,7.2年,94.36,9999,2,3房2廳2衛,0,24,6,['L']
台北市中山區林森北路,25.050454,121.526107,61.8年,22.45,3680,0,2廳1衛,0,3,1,['A']
台北市中山區民權東路二段,25.063924,121.534561,42.0年,33.46,2980,0,3房2廳2衛,0,7,5,['M']
台北市中山區民權東路三段,25.062099441578,121.54319422048,39.3年,81.34,8800,0,6房2廳4衛1室,1,19,12-13,['L']
台北市中山區松江路,25.047163,121.533517,53.5年,31.72,2688,0,1房2廳1衛,0,5,2,['A']
台北市中山區林森北路,25.050096,121.526308,37.1年,13.97,1288,0,2房1廳1衛,0,7,2,['M']
台北市中山區南京東路一段,25.051043,121.527112,60.2年,24.07,1750,0,3房2廳2衛,0,3,2,['A']
台北市中山區林森北路,25.056811,121.525648,12.4年,28.7,3468,1,1房1廳1衛,0,24,21,['L']
台北市中山區雙城街,25.064567,121.523464,57.9年,16.98,1688,0,3房3廳2衛,1,4,4,['A']
台北市中山區建國北路二段,25.061097,121.53536,3.5年,72.27,8200,1,3房2廳2衛,0,15,4,['L']
台北市中山區民族東路,25.067014,121.541946,44.4年,46.25,4100,0,10房4廳5衛,1,5,5,['A']
台北市中山區民族東路,25.067014,121.541946,44.4年,23.83,2100,0,4房2廳3衛,1,5,5,['A']
台北市中山區北安路,25.081174,121.548435,55.5年,23.31,1998,0,4房1衛,0,4,3,['A']
台北市中山區農安街,25.064813,121.526816,46.9年,9.62,749,0,1房1廳1衛,0,10,6,['M']
台北市中山區龍江路,25.066144469944,121.53763058698,47.8年,27.44,2350,0,4房2廳2衛,0,5,2,['A']
台北市中山區興安街,25.055828,121.542844,39.8年,29.64,2928,0,3房2廳1衛,0,14,3,['L']
台北市中山區長安東路一段,25.048519257281,121.52793588681,53.0年,49.03,3500,0,4房1廳2衛,0,6,3,['M']
台北市中山區五常街,25.067126,121.539589,44.9年,36.24,2280,0,4房1廳4衛,0,5,3,['A']
台北市中山區中山北路二段,25.057341,121.524732,3.0年,23.24,2480,1,1房1廳1衛,0,13,2,['L']
台北市中山區復興北路,25.055736,121.543691,39.8年,29.64,3488,0,2房2廳1衛1室,0,13,13,['L']
台北市中山區松江路,25.056239,121.533351,11.6年,127.08,13888,3,4房2廳2.5衛1室,0,21,2,['L']
台北市中山區龍江路,25.061357,121.541143,55.9年,22.42,1900,0,2房2廳1衛,0,4,3,['A']
台北市中山區建國北路三段,25.065123,121.537204,10.4年,29.35,2850,1,1房1廳1衛,0,14,4,['L']
台北市中山區明水路,25.079155,121.551046,34.4年,151.54,11000,2,6房3廳6衛,0,10,B1-1,['M']
台北市中山區新生北路三段,25.06324,121.527398,41.0年,20.08,1998,0,1房2廳1衛,0,12,8,['L']
台北市中山區南京東路三段,25.053242,121.538776,14.0年,21.67,2380,1,1房1廳1衛,0,7,6,['M']
台北市中山區北安路,25.078433,121.546172,44.2年,34.85,2700,0,3房2廳2衛,0,5,5,['A']
台北市中山區建國北路二段,25.061097,121.53536,3.5年,72.27,9913,1,3房2廳2衛,0,15,12,['L']
台北市中山區長春路,25.054835,121.524767,16.1年,12.7,1498,0,1房1廳1衛,0,14,8,['L']
台北市中山區新生北路二段,25.056114,121.52721,45.7年,13.58,1198,0,2房1廳1衛,0,12,9,['L']
台北市中山區北安路,25.083154399245,121.55019187606,28.4年,71.61,5900,1,3房2廳2衛,0,9,1,['M']
台北市中山區伊通街,25.048013,121.534819,7.9年,31.57,2998,1,2廳,0,9,7,['M']
台北市中山區新生北路一段,25.050747,121.528358,25.4年,19,1988,0,2房1廳1衛,1,12,10,['L']
台北市中山區基湖路,25.077361507914,121.5644712741,16.5年,120.68,15000,2,3房2廳3衛2室,1,10,2,['M']
台北市中山區德惠街,25.066586,121.526186,46.3年,8.3,725,0,1房1廳1衛,0,11,6,['C']
台北市中山區林森北路,25.049693,121.5257,60.1年,29.38,3800,0,1廳1衛,0,4,1,['A']
台北市中山區吉林路,25.056412,121.529506,52.0年,22.19,1898,0,2房2廳1衛,0,5,3,['A']
台北市中山區林森北路,25.050823,121.525173,17.2年,9.01,968,0,1房1廳1衛,1,15,9,['L']
台北市中山區長春路,25.0548,121.526929,46.1年,7.77,680,0,1房1廳1衛,0,12,4,['C']
台北市中山區長安東路一段,25.04738,121.529559,15.7年,73.11,6300,1,3房2廳2衛,0,7,2,['M']
台北市中山區明水路,25.077722,121.545398,0.8年,62.72,11000,1,3房2廳2衛,0,25,25,['L']
台北市中山區龍江路,25.065463,121.540873,38.7年,45.11,3630,1,3房2廳2衛,0,7,4,['M']
台北市中山區松江路,25.056716,121.530638,17.3年,29.86,3100,1,2房2廳1衛1室,1,9,3,['M']
台北市中山區龍江路,25.061131,121.540674,26.0年,10.52,1588,0,1房1廳1衛,0,8,8,['M']
台北市中山區林森北路,25.047854,121.527694,0.8年,67.76,7860,1,4房2廳2衛,0,9,9,['M']
台北市中山區龍江路,25.048711,121.541372,1.8年,47.94,5849,1,3房2廳2衛,0,9,6,['M']
台北市中山區松江路,25.056235,121.533458,11.6年,132.02,13000,2,3房2廳3衛,0,21,2,['L']
台北市中山區新生北路三段,25.067444,121.528426,5.6年,16.97,1999,0,2房1廳1衛,1,7,3,['M']
