路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市大安區安東街,25.043538,121.542586,44.2年,23.46,1876,0,2房2廳1衛,0,12,5,['L']
台北市大安區復興南路二段,25.026336,121.543222,3.1年,37.63,5800,1,2房1廳1衛,0,34,33,['L']
台北市大安區信義路二段,25.034837,121.525139,23.4年,97.67,11500,1,4房2廳3衛,1,14,11,['L']
台北市大安區泰順街,25.02277573509,121.53088095916,45.9年,43.84,3288,0,6房1廳2衛,0,5,5,['A']
台北市大安區通安街,25.030683,121.553334,44.2年,43.24,3780,0,4房2廳2衛3室,0,7,5,['M']
台北市大安區信義路三段,25.035163,121.542379,46.5年,40.04,5188,0,3房2廳2衛,0,7,3,['M']
台北市大安區大安路一段,25.035702989938,121.54615934183,48.3年,54.27,6980,0,5房3廳3衛1室,1,7,7,['M']
台北市大安區仁愛路四段,25.037238726417,121.55662694078,46.0年,47.66,5899,0,3房2廳2衛,0,14,8,['L']
台北市大安區四維路,25.031068,121.546591,37.2年,75.39,8288,1,3房2廳2衛1室,0,7,3,['M']
台北市大安區忠孝東路三段,25.041447,121.541135,38.9年,38.08,4417,0,3房2廳2衛,0,14,12,['L']
台北市大安區羅斯福路三段,25.019393,121.530344,48.0年,54.33,4800,0,4房3廳2衛,0,7,2,['M']
台北市大安區忠孝東路四段,25.038586360004,121.54426618861,16.1年,84.7,9498,2,2房2廳2衛,0,14,12,['L']
台北市大安區和平東路二段,25.025742,121.541235,45.8年,43.65,4200,0,4房2廳2衛,0,7,6,['M']
台北市大安區敦化南路一段,25.042007,121.549259,41.4年,66.42,6908,0,1廳6室,0,14,13,['L']
台北市大安區延吉街,25.042166,121.554962,44.1年,44.67,4388,0,2房2廳2衛,0,6,4,['M']
台北市大安區新生南路三段,25.020363,121.533527,42.2年,40.72,4380,0,4房2廳2衛,0,6,4,['M']
台北市大安區光復南路,25.029961,121.557219,8.8年,39.16,4990,1,2房2廳1衛,0,14,11,['L']
台北市大安區臥龍街,25.020399,121.551946,43.3年,37.25,2188,0,3房2廳2衛,0,5,4,['A']
台北市大安區和平東路二段,25.025207,121.542445,43.1年,15.54,2032,0,1房1廳1衛,0,12,4,['L']
台北市大安區建國南路一段,25.035567988807,121.53742746644,7.9年,30.79,3700,1,2房2廳1衛,0,14,14,['L']
台北市大安區新生南路二段,25.032261,121.532839,14.9年,97.77,10450,5,2房2廳2衛,0,15,2,['L']
台北市大安區仁愛路四段,25.038857,121.553574,52.6年,54.72,4999,1,3房2廳2衛1室,0,7,5,['M']
台北市大安區仁愛路四段,25.040572,121.551654,35.9年,70.94,8800,1,4房2廳2衛1室,0,14,8,['L']
台北市大安區富陽街,25.019348,121.556856,46.6年,29.09,1838,0,3房2廳2衛,0,5,5,['A']
台北市大安區基隆路二段,25.028494,121.556652,44.7年,50.14,5698,0,4房2廳2衛,0,12,8,['L']
台北市大安區市民大道三段,25.044442,121.537873,10.2年,97.31,13588,2,3房2廳2衛1室,0,23,6,['L']
台北市大安區安居街,25.020254,121.553972,47.4年,28.44,2090,0,3房2廳2衛,0,5,4,['A']
台北市大安區敦化南路一段,25.040293,121.549267,15.9年,170.79,35800,3,3房2廳4衛1室,0,17,3,['L']
台北市大安區建國南路一段,25.035968430177,121.53886023397,39.1年,27.07,3088,0,3房2廳1衛1室,0,14,4,['L']
台北市大安區仁愛路四段,25.036581,121.556793,13.3年,89.98,10338,2,3房2廳2衛1室,0,13,1,['L']
台北市大安區和平東路一段,25.026996,121.526311,11.2年,181.96,25000,3,3房2廳5衛3室,0,38,7,['L']
台北市大安區敦化南路二段,25.031015,121.551765,40.3年,58.49,5980,0,4房2廳2衛,0,17,12,['L']
台北市大安區和平東路一段,25.025893,121.532781,19.0年,53.97,7138,0,3房2廳2衛,0,15,9,['L']
台北市大安區通化街,25.028487,121.553544,18.3年,28.04,3399,0,2房2廳1衛,1,7,4,['M']
台北市大安區忠孝東路三段,25.041454,121.539317,38.9年,33.45,3948,0,3房2廳2衛,0,14,14,['L']
台北市大安區仁愛路四段,25.036581,121.556793,13.3年,77.19,9838,1,3房2廳2衛1室,0,13,1,['L']
台北市大安區信義路四段,25.034782,121.554244,40.7年,46.84,4780,0,4房2廳2衛,0,7,2,['M']
台北市大安區永康街,25.031941,121.531234,18.5年,84.76,11427,2,3房2廳2衛1室,0,7,4,['M']
台北市大安區大安路一段,25.044197,121.545927,42.1年,21.9,3000,0,2房2廳1衛,0,7,6,['M']
台北市大安區忠孝東路三段,25.041454,121.539703,38.9年,33.41,4010,0,3房2廳2衛,0,14,10,['L']
台北市大安區瑞安街,25.029681049816,121.54173410529,18.7年,24.16,3600,1,2房1廳1衛1室,0,13,6,['L']
