路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市松山區南京東路五段,25.051303,121.559659,36.1年,21.56,2200,0,2房2廳1衛,0,19,3,['L']
台北市松山區民生東路五段,25.058738,121.564482,36.7年,11.41,1068,0,1房1衛,0,20,19,['C']
台北市松山區民生東路五段,25.058613,121.563895,42.2年,85.16,5988,1,4房2廳2衛2室,0,16,10,['L']
台北市松山區健康路,25.054302,121.560606,33.0年,44.23,3988,0,4房2廳2衛,0,12,5,['L']
台北市松山區民生東路五段,25.059401,121.564775,42.5年,48.56,3988,0,3房2廳2衛1室,0,16,16,['L']
台北市松山區民生東路五段,25.05833,121.564577,36.7年,11.41,1088,0,1房1廳1衛,0,20,10,['L']
台北市松山區民生東路五段,25.059014,121.561932,43.1年,56.78,4960,0,4房2廳2衛,0,15,5,['L']
台北市松山區南京東路五段,25.052917,121.567398,43.0年,33.6,3188,0,3房2廳2衛,0,6,5,['M']
台北市松山區民生東路五段,25.05833,121.564577,36.7年,36.31,3260,0,3房2廳2衛,0,20,16,['L']
台北市松山區民生東路五段,25.0591,121.562398,43.1年,15.86,1698,0,1房1廳1衛,0,15,10,['L']
台北市松山區寶清街,25.050131,121.568934,36.3年,23.97,2280,0,2房2廳2衛,0,11,8,['L']
台北市松山區富錦街,25.060721,121.562004,45.4年,86.71,8888,2,3房3廳3衛2室,0,7,7,['M']
台北市松山區敦化北路,25.060907,121.549398,15.8年,171.42,18230,5,3房2廳2衛1室,0,12,4,['L']
台北市松山區八德路三段,25.048234,121.556997,37.2年,12.86,1980,0,2房2廳1衛,0,12,9,['L']
台北市松山區敦化北路,25.054051275195,121.54721675412,13.8年,109.79,15880,3,3房2廳3衛2室,0,10,4,['M']
台北市松山區敦化北路,25.059194,121.548102,42.9年,46.2,4788,0,5房3廳3衛,1,7,7,['M']
台北市松山區八德路四段,25.049831,121.57449,12.2年,24.78,2295,1,1房1廳1衛,0,13,7,['L']
台北市松山區敦化北路,25.055665,121.550386,31.7年,51.83,5980,0,3房2廳2衛,0,12,11,['L']
台北市松山區新東街,25.061523,121.564961,54.6年,22.19,1980,0,5房2廳5衛,1,4,4,['A']
台北市松山區民生東路五段,25.059691,121.555787,39.2年,92.77,8980,1,5房3廳4衛1室,1,3,B2-3,['D']
台北市松山區撫遠街,25.060943,121.565731,52.3年,26.69,2688,0,3房2廳1衛,0,4,3,['A']
台北市松山區三民路,25.057034,121.562464,52.4年,27.07,2598,0,3房2廳1衛,0,4,3,['A']
台北市松山區健康路,25.053574,121.553503,28.6年,54.7,4988,0,4房2廳2衛,0,13,3,['L']
台北市松山區基隆路一段,25.05083,121.569972,43.8年,24.4,1880,0,2房2廳1衛,0,5,2,['A']
台北市松山區光復南路,25.045734,121.554654,5.1年,118.96,15908,3,3房2廳3衛3室,0,22,17,['L']
台北市松山區八德路四段,25.049831,121.57449,12.2年,16.95,1950,0,1房1廳1衛,0,13,4,['C']
台北市松山區富錦街,25.062452,121.566945,56.0年,34.07,2780,0,3房2廳1.5衛,0,4,2,['A']
台北市松山區富錦街,25.06097,121.562419,55.3年,36.69,3498,0,3房2廳2衛,0,4,3,['A']
台北市松山區三民路,25.057382,121.563991,52.2年,25.8,3180,0,3房3廳1衛1室,1,4,1,['A']
台北市松山區寶清街,25.053131,121.568545,8.3年,49.38,5365,1,3房2廳2衛1室,0,13,7,['L']
台北市松山區敦化南路一段,25.046112,121.54682,41.5年,48.38,5600,0,3房2廳1.5衛,0,7,4,['M']
台北市松山區南京東路四段,25.051003,121.553545,47.2年,63.49,5500,0,4房2廳2衛,0,12,4,['L']
台北市松山區民生東路五段,25.059736,121.562085,43.1年,55.49,4780,0,4房2廳2衛,0,15,13,['L']
台北市松山區民生東路三段,25.058544,121.547408,47.0年,57.38,5450,0,4房4廳3衛,1,7,7,['M']
台北市松山區松河街,25.050691,121.573238,10.9年,37.08,3350,1,2房2廳1衛,0,15,6,['L']
台北市松山區民生東路五段,25.058257,121.56477,36.7年,46.64,3650,1,3房2廳2衛,0,20,11,['L']
台北市松山區三民路,25.060458,121.564811,53.9年,35.12,3000,0,4房2廳2衛,0,4,2,['A']
台北市松山區八德路四段,25.049848,121.575841,16.6年,48.17,4980,0,4房2廳2衛,0,14,3,['L']
台北市松山區民權東路三段,25.060773,121.544771,42.3年,42.65,4800,0,3房2廳2衛,0,7,3,['M']
台北市松山區寶清街,25.053135,121.568273,8.3年,57.99,5688,1,3房2廳2衛,0,13,6,['L']
台北市松山區南京東路四段,25.051424,121.554626,15.5年,107.62,11500,2,5房2廳3衛,0,15,3,['L']
台北市松山區寶清街,25.053146,121.567903,8.3年,49.33,5388,1,3房2廳2衛,0,13,5,['L']
台北市松山區民生東路五段,25.058194,121.563745,42.2年,46.58,4680,0,3房2廳2衛1室,0,16,16,['L']
台北市松山區南京東路五段,25.051082,121.568931,36.2年,17.93,2280,0,2房2廳1衛,0,12,11,['L']
台北市松山區民生東路五段,25.059021,121.562053,43.1年,67.41,5488,1,3房2廳2衛,0,15,12,['L']
台北市松山區寶清街,25.050131,121.568934,36.3年,13.86,1228,0,1房1廳1衛,0,11,6,['L']
台北市松山區民生東路五段,25.05833,121.564577,36.7年,24.55,2600,0,2房2廳1衛,0,20,13,['L']
台北市松山區民生東路三段,25.059405,121.54639,42.8年,49.5,4950,0,4房2廳2衛,0,7,5,['M']
台北市松山區敦化南路一段,25.04578,121.549265,49.2年,64.02,7668,0,3房2廳2衛2室,0,12,11,['L']
台北市松山區民族東路,25.064305,121.546498,54.0年,46.05,2888,0,3房2廳2衛,0,4,2,['A']
台北市松山區民生東路五段,25.05833,121.564577,36.7年,17.85,1880,0,1房1廳1衛,0,20,15,['L']
台北市松山區民生東路五段,25.059027,121.558134,46.5年,49.01,5680,0,3房2廳2衛,0,7,5,['M']
台北市松山區南京東路五段,25.051293,121.560149,46.1年,40.19,3600,0,3房2廳2衛,0,13,6,['L']
台北市松山區南京東路五段,25.051715,121.559562,41.5年,40.18,3386,0,3房2廳2衛,0,14,7,['L']
