路段,緯度,經度,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市中正區水源路,25.021035,121.520026,0,1,0,0,0,0,0,0,0,0,0,0,6.9,46.52,4988,1,3.0,2.0,2.0,0.0,0,15,9,9,1,0,1,0,0,0
台北市中正區仁愛路一段,25.038713,121.523921,0,1,0,0,0,0,0,0,0,0,0,0,27.6,57.17,6888,1,3.0,2.0,2.0,1.0,0,16,14,14,1,0,1,0,0,0
台北市中正區臨沂街,25.037579,121.529471,0,1,0,0,0,0,0,0,0,0,0,0,17.7,45.51,4586,1,2.0,2.0,1.0,0.0,0,6,4,4,1,0,0,0,1,0
台北市中正區羅斯福路二段,25.029108,121.521196,0,1,0,0,0,0,0,0,0,0,0,0,38.7,44.45,4980,0,2.0,2.0,2.0,1.0,0,12,6,6,1,0,1,0,0,0
台北市中正區羅斯福路二段,25.02484,121.52384,0,1,0,0,0,0,0,0,0,0,0,0,38.2,27.53,2998,0,3.0,2.0,2.0,0.0,0,12,3,3,1,0,1,0,0,0
台北市中正區青島東路,25.043343,121.524546,0,1,0,0,0,0,0,0,0,0,0,0,39.7,36.54,3999,0,3.0,2.0,2.0,0.0,0,7,3,3,1,0,0,0,1,0
台北市中正區信義路二段,25.033825,121.5316,0,1,0,0,0,0,0,0,0,0,0,0,7.7,42.82,6388,2,0.0,2.0,1.0,0.0,0,14,11,11,1,0,1,0,0,0
台北市中正區廈門街,25.024806,121.518,0,1,0,0,0,0,0,0,0,0,0,0,39.0,45.31,6188,0,7.0,2.0,3.0,1.0,1,2,-1,2,3,0,0,0,0,1
台北市中正區中華路二段,25.034939,121.50697,0,1,0,0,0,0,0,0,0,0,0,0,51.8,22.0,1966,0,1.0,2.0,1.0,0.0,0,7,6,6,1,0,0,0,1,0
台北市中正區寧波西街,25.029584,121.514645,0,1,0,0,0,0,0,0,0,0,0,0,67.0,63.13,7888,0,4.0,3.0,5.0,2.0,0,3,1,3,3,0,0,0,0,1
台北市中正區延平南路,25.03454,121.507257,0,1,0,0,0,0,0,0,0,0,0,0,51.8,50.09,4480,0,3.0,2.0,2.0,1.0,0,7,3,3,1,0,0,0,1,0
台北市中正區金華街,25.032516,121.518912,0,1,0,0,0,0,0,0,0,0,0,0,38.2,41.76,4988,0,2.0,2.0,2.0,0.0,0,9,8,8,1,0,0,0,1,0
台北市中正區廈門街,25.02336,121.517666,0,1,0,0,0,0,0,0,0,0,0,0,10.8,35.65,3588,1,2.0,2.0,1.0,0.0,0,15,14,14,1,0,1,0,0,0
台北市中正區南昌路一段,25.030491,121.517878,0,1,0,0,0,0,0,0,0,0,0,0,7.2,34.41,5250,1,1.0,2.0,1.0,0.0,0,15,15,15,1,0,1,0,0,0
台北市中正區水源路,25.021035,121.520026,0,1,0,0,0,0,0,0,0,0,0,0,6.9,46.52,4696,1,3.0,2.0,2.0,0.0,0,15,5,5,1,0,1,0,0,0
台北市中正區青島西路,25.044988,121.517767,0,1,0,0,0,0,0,0,0,0,0,0,37.5,50.96,5000,0,2.0,2.0,2.0,0.0,0,16,15,15,1,0,1,0,0,0
台北市中正區思源街,25.014735,121.531583,0,1,0,0,0,0,0,0,0,0,0,0,25.4,51.42,5000,1,3.0,2.0,2.0,0.0,0,12,3,3,1,0,1,0,0,0
台北市中正區汀州路二段,25.023356,121.523138,0,1,0,0,0,0,0,0,0,0,0,0,17.9,38.09,4180,1,2.0,2.0,2.0,0.0,0,10,4,4,1,0,0,0,1,0
台北市中正區牯嶺街,25.021391,121.518604,0,1,0,0,0,0,0,0,0,0,0,0,5.7,72.81,7258,1,4.0,2.0,5.0,0.0,0,14,2,2,1,0,1,0,0,0
台北市中正區南昌路一段,25.030939,121.517315,0,1,0,0,0,0,0,0,0,0,0,0,33.8,39.95,4600,0,3.0,2.0,2.0,0.0,0,12,10,10,1,0,1,0,0,0
台北市中正區水源路,25.021035,121.520026,0,1,0,0,0,0,0,0,0,0,0,0,6.9,46.3,4576,1,3.0,2.0,2.0,0.0,0,15,4,4,1,0,1,0,0,0
台北市中正區忠孝東路一段,25.04396,121.526054,0,1,0,0,0,0,0,0,0,0,0,0,6.6,17.16,2588,0,1.0,1.0,1.0,0.0,0,13,6,6,1,0,1,0,0,0
台北市中正區中華路二段,25.025773,121.50842,0,1,0,0,0,0,0,0,0,0,0,0,41.1,52.33,3588,0,5.0,2.0,3.0,0.0,0,7,7,7,1,0,0,0,1,0
台北市中正區水源路,25.021035,121.520026,0,1,0,0,0,0,0,0,0,0,0,0,6.9,41.36,4180,1,3.0,2.0,2.0,0.0,0,15,2,2,1,0,1,0,0,0
台北市中正區銅山街,25.039503,121.528295,0,1,0,0,0,0,0,0,0,0,0,0,48.6,41.32,7800,0,4.0,2.0,3.0,0.0,1,7,1,1,1,0,0,0,1,0
台北市中正區仁愛路一段,25.040323,121.523186,0,1,0,0,0,0,0,0,0,0,0,0,11.6,69.89,8899,1,5.0,2.0,2.0,0.0,1,9,6,6,1,0,0,0,1,0
台北市中正區和平西路一段,25.02694,121.517825,0,1,0,0,0,0,0,0,0,0,0,0,14.7,101.29,8988,2,3.0,2.0,2.0,1.0,0,18,12,12,1,0,1,0,0,0
台北市中正區杭州南路一段,25.038845,121.52752,0,1,0,0,0,0,0,0,0,0,0,0,9.9,19.45,3228,0,2.0,2.0,1.0,0.0,0,7,5,5,1,0,0,0,1,0
台北市中正區紹興北街,25.04521295267,121.52610096197,0,1,0,0,0,0,0,0,0,0,0,0,17.4,58.73,6350,1,4.0,2.0,2.0,0.0,0,9,5,5,1,0,0,0,1,0
台北市中正區林森南路,25.033155,121.518546,0,1,0,0,0,0,0,0,0,0,0,0,25.4,13.17,2498,0,0.0,1.0,1.0,0.0,0,12,7,7,1,0,0,1,0,0
台北市中正區忠孝東路二段,25.042736,121.528488,0,1,0,0,0,0,0,0,0,0,0,0,0.5,26.0,3638,0,2.0,2.0,1.0,0.0,0,21,4,4,1,0,1,0,0,0
台北市中正區林森南路,25.033155,121.518546,0,1,0,0,0,0,0,0,0,0,0,0,25.4,17.87,2460,1,1.0,1.0,1.0,0.0,0,12,6,6,1,0,0,1,0,0
台北市中正區廈門街,25.022787,121.517495,0,1,0,0,0,0,0,0,0,0,0,0,15.6,32.16,2888,1,3.0,2.0,1.0,0.0,0,14,7,7,1,0,1,0,0,0
台北市中正區忠孝東路二段,25.042736,121.528488,0,1,0,0,0,0,0,0,0,0,0,0,0.5,25.67,3568,0,1.0,2.0,1.0,0.0,0,21,3,3,1,0,1,0,0,0
台北市中正區羅斯福路三段,25.021431,121.527017,0,1,0,0,0,0,0,0,0,0,0,0,49.8,10.79,1380,0,2.0,1.0,1.0,1.0,0,12,4,4,1,0,1,0,0,0
台北市中正區仁愛路二段,25.038067,121.525519,0,1,0,0,0,0,0,0,0,0,0,0,18.2,97.03,12368,1,4.0,2.0,3.0,2.0,0,15,13,14,2,0,1,0,0,0
台北市中正區新生南路一段,25.044022,121.532622,0,1,0,0,0,0,0,0,0,0,0,0,39.7,39.47,3780,0,4.0,2.0,2.0,0.0,0,12,9,9,1,0,1,0,0,0
台北市中正區中華路二段,25.026284,121.507818,0,1,0,0,0,0,0,0,0,0,0,0,43.1,71.95,4980,0,5.0,3.0,3.0,3.0,1,7,7,7,1,0,0,0,1,0
台北市中正區仁愛路二段,25.038399,121.530976,0,1,0,0,0,0,0,0,0,0,0,0,49.3,47.92,6500,0,3.0,2.0,2.0,3.0,0,12,10,10,1,0,1,0,0,0
台北市中正區連雲街,25.034963,121.530311,0,1,0,0,0,0,0,0,0,0,0,0,1.9,63.28,9980,1,3.0,2.0,2.0,0.0,0,13,10,10,1,0,1,0,0,0
台北市中正區同安街,25.02304,121.520853,0,1,0,0,0,0,0,0,0,0,0,0,29.1,48.99,5988,1,4.0,2.0,2.0,1.0,1,7,1,1,1,0,0,0,1,0
台北市中正區廈門街,25.02446,121.517797,0,1,0,0,0,0,0,0,0,0,0,0,28.6,14.56,1320,0,1.0,1.0,1.0,0.0,0,10,9,9,1,0,0,0,1,0
台北市中正區臨沂街,25.037144,121.531126,0,1,0,0,0,0,0,0,0,0,0,0,8.1,32.65,5400,1,3.0,2.0,2.0,0.0,0,5,4,4,1,0,0,0,1,0
台北市中正區和平西路二段,25.029288,121.511268,0,1,0,0,0,0,0,0,0,0,0,0,39.8,52.28,3988,0,5.0,2.0,2.0,0.0,0,7,2,2,1,0,0,0,1,0
台北市中正區杭州南路一段,25.043094,121.526462,0,1,0,0,0,0,0,0,0,0,0,0,40.6,48.75,6780,0,4.0,2.0,2.0,0.0,0,7,6,6,1,0,0,0,1,0
台北市中正區忠孝東路二段,25.042736,121.528488,0,1,0,0,0,0,0,0,0,0,0,0,0.5,22.7,3500,0,2.0,2.0,1.0,0.0,0,21,6,6,1,0,1,0,0,0
台北市中正區南昌路二段,25.025091,121.523342,0,1,0,0,0,0,0,0,0,0,0,0,20.8,10.72,1680,0,1.0,1.0,1.0,0.0,0,11,7,7,1,0,1,0,0,0
台北市中正區杭州南路一段,25.043094,121.526462,0,1,0,0,0,0,0,0,0,0,0,0,40.6,62.61,8707,0,4.0,2.0,2.0,1.0,0,7,6,6,1,0,0,0,1,0
