路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市南港區松河街,25.058914,121.594811,20.5年,36.01,2988,0,3房2廳2衛,0,9,4,['M']
台北市南港區經園街,25.062124,121.61657,18.0年,36.87,3280,1,2房2廳1衛,0,10,9,['M']
台北市南港區成福路,25.043474,121.586529,42.1年,28.33,2150,0,3房2廳1衛,0,5,4,['A']
台北市南港區成福路,25.041148,121.587525,42.7年,27.52,2168,0,3房2廳1.5衛,0,5,2,['A']
台北市南港區園區街,25.059692,121.613246,14.9年,63.92,5380,2,2房2廳2衛,0,14,8,['L']
台北市南港區南港路二段,25.05384,121.600099,29.4年,61.68,4950,2,3房3廳2衛,0,19,18,['L']
台北市南港區福德街,25.039192,121.591736,27.8年,39.73,2930,0,3房2廳1衛,0,19,16,['L']
台北市南港區舊莊街一段,25.041222,121.618795,2.9年,38.57,2738,1,1房2廳1衛,0,8,6,['M']
台北市南港區永吉路,25.045836,121.582151,1.9年,82.19,9966,2,4房2廳3衛,0,23,13,['L']
台北市南港區福德街,25.038962,121.592035,27.8年,38.73,2498,0,3房2廳1衛,0,19,15,['L']
台北市南港區市民大道八段,25.054379,121.613136,2.1年,21.46,2380,1,1房1廳1衛,0,7,2,['M']
台北市南港區港東街,25.056286,121.620512,0.5年,25.28,3438,0,2房2廳2衛,0,10,4,['M']
台北市南港區玉成街,25.043389,121.586091,41.3年,42.05,2880,0,3房2廳2衛,0,5,3,['A']
台北市南港區富康街,25.052436,121.617157,48.3年,23.6,1888,0,2房2廳1衛1室,0,4,3,['A']
台北市南港區研究院路二段,25.03751,121.617378,44.2年,37.21,2198,0,4房2廳2衛,0,5,3,['A']
台北市南港區成福路,25.039517163693,121.58998438161,43.1年,26.36,3100,0,5房3廳4衛,1,5,1,['A']
台北市南港區研究院路二段,25.038329,121.616167,53.1年,19.05,1800,0,2房2廳1.5衛,0,4,1,['A']
台北市南港區研究院路三段,25.034085450274,121.61337719766,35.2年,47.55,2350,0,4房2廳2衛,0,3,2,['A']
台北市南港區東新街,25.04515,121.58699,48.2年,26.63,2500,0,5房4廳2衛,1,4,4,['A']
台北市南港區東新街,25.04615,121.593504,2.9年,37.67,4080,1,2房2廳2衛,0,5,2,['M']
