路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市大同區重慶北路三段,25.073629,121.513398,48.3年,17.39,1338,0,2房2廳1衛,1,5,4,['A']
台北市大同區南京西路,25.053083,121.519354,7.0年,24.59,3480,1,1房1廳1衛,0,19,13,['L']
台北市大同區長安西路,25.050339,121.51982,53.6年,44.52,4788,0,5房4廳4衛,0,8,4,['M']
台北市大同區太原路,25.054034,121.516136,52.4年,17.4,2188,0,2房2廳1衛,1,4,2,['A']
台北市大同區哈密街,25.074462,121.51772,55.2年,26.51,2888,0,2房2廳2.5衛1室,1,4,1,['A']
台北市大同區哈密街,25.07306,121.515028,46.2年,43.16,2098,0,4房2廳1衛,0,5,3,['A']
台北市大同區迪化街二段,25.069331,121.511956,41.1年,61.75,4300,1,4房2廳2衛,0,7,6,['M']
台北市大同區民權西路,25.06343,121.511823,6.7年,90.63,8600,2,4房2廳3衛,0,19,17,['L']
台北市大同區承德路三段,25.065858679573,121.51886936602,28.1年,66.71,4800,1,3房2廳2衛2室,0,11,3,['L']
台北市大同區重慶北路二段,25.058108,121.513817,0.9年,44.5,4670,1,3房2廳2衛,0,15,13,['L']
台北市大同區承德路三段,25.067353,121.519277,49.1年,40.15,3200,0,5房3廳3衛3室,1,5,5,['A']
台北市大同區民族西路,25.069799,121.512187,43.9年,42.74,3855,0,5房2廳2衛2室,1,7,7,['M']
台北市大同區重慶北路三段,25.076274,121.514449,45.3年,34.88,2168,0,3房2廳2衛,0,5,3,['A']
台北市大同區延平北路四段,25.072614,121.511311,46.5年,31.08,2020,0,5房2廳2衛,1,5,5,['A']
台北市大同區迪化街二段,25.071714,121.51176,50.8年,26.18,2450,0,2廳1衛,1,4,1,['A']
台北市大同區昌吉街,25.065732,121.516661,55.5年,30.12,2272,0,3房2廳2衛1室,0,4,3,['A']
台北市大同區重慶北路三段,25.064302,121.513885,0.6年,48.53,5088,1,3房2廳2衛,0,15,2,['L']
台北市大同區天水路,25.052374,121.512489,43.7年,24.95,2250,0,2房2廳1衛,0,11,10,['L']
台北市大同區延平北路三段,25.06537,121.51027,47.5年,30.39,1888,0,4房3廳2衛1室,1,4,4,['A']
台北市大同區赤峰街,25.054031,121.519356,14.0年,21.3,2688,1,2房1廳1衛,1,7,6,['M']
台北市大同區重慶北路二段,25.058108,121.513817,0.9年,44.5,4600,1,3房2廳2衛,0,15,11,['L']
台北市大同區迪化街二段,25.070889,121.511655,55.9年,17.65,1288,0,2房2廳1衛1室,1,4,4,['A']
台北市大同區迪化街二段,25.063886,121.509497,54.6年,13.44,898,0,2房1廳1衛1室,0,4,4,['A']
台北市大同區環河北路二段,25.070007,121.509921,48.8年,35.04,2588,0,5房2廳2衛,0,4,2,['A']
台北市大同區太原路,25.051693,121.515673,31.6年,42.39,3668,1,3房2廳2衛,0,10,10,['M']
台北市大同區民樂街,25.059933,121.510513,51.7年,16.94,1450,0,2房1廳1衛1室,1,4,2,['A']
台北市大同區重慶北路三段,25.067748,121.512608,48.1年,21.76,1698,0,2房2廳1衛,0,4,3,['A']
台北市大同區寧夏路,25.054869,121.514843,14.3年,18.77,1668,1,2房1廳1衛,1,13,9,['L']
台北市大同區重慶北路三段,25.070416,121.513518,11.8年,18.77,1988,1,2房1廳1衛,1,12,7,['L']
台北市大同區民權西路,25.063182,121.515214,5.3年,34.01,3690,1,1廳2衛,0,14,9,['L']
台北市大同區民族西路,25.06847,121.515365,3.5年,32.59,3288,1,1房3廳1衛,0,7,7,['M']
台北市大同區環河北路二段,25.070746,121.50945,18.8年,44.77,3988,2,2房2廳2衛,0,13,11,['L']
台北市大同區承德路三段,25.063621,121.518597,15.5年,111.93,9888,3,3房2廳2衛,0,15,11,['L']
台北市大同區大龍街,25.068009,121.5167,31.2年,60.77,3498,0,3房2廳2衛,0,6,5-6,['M']
台北市大同區酒泉街,25.072013,121.511709,50.8年,23.23,1760,0,6房2廳2衛,1,4,4,['A']
台北市大同區迪化街二段,25.070339,121.511691,51.1年,18.85,1398,0,3房1廳2衛,1,4,4,['A']
台北市大同區錦西街,25.05983,121.515153,14.4年,11.81,1110,1,1房1衛,0,5,1,['M']
台北市大同區南京西路,25.053816,121.51596,31.3年,11.83,1328,0,2房1廳1衛1室,1,11,10,['L']
台北市大同區迪化街二段,25.071563,121.511452,95.2年,26.33,6000,0,1房3廳1衛,1,1,1-1,['D']
台北市大同區長安西路,25.052174747095,121.51146429339,25.4年,74.5,5280,1,5房2廳2衛1室,0,10,2,['M']
台北市大同區南京西路,25.053605,121.513512,38.2年,38,3180,0,3房2廳2衛,0,8,5,['M']
台北市大同區民生西路,25.057331,121.50924,48.0年,28.37,2350,0,5房3廳2衛,1,5,5,['A']
台北市大同區民權西路,25.062411,121.516926,58.4年,26.52,1980,0,1廳1衛1室,1,4,4,['A']
台北市大同區景化街,25.065035,121.511272,42.5年,50.56,3080,0,3房2廳2.5衛1室,0,7,3,['M']
台北市大同區延平北路一段,25.050927,121.512073,45.1年,7.73,725,0,1房1衛,0,11,8,['L']
台北市大同區保安街,25.058667,121.512255,17.8年,20.23,1900,0,3房1廳1衛,1,7,1,['M']
台北市大同區蘭州街,25.065528,121.515375,39.8年,60.27,4988,0,10房10衛,1,4,1-4,['D']
台北市大同區敦煌路,25.075804,121.516919,16.4年,49.32,3798,1,3房2廳2衛,0,13,12,['L']
