路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市萬華區康定路,25.04091,121.502037,43.0年,90.18,5500,0,4房2廳3衛1室,0,11,5,['L']
台北市萬華區中華路二段,25.033224,121.505069,38.8年,25.29,1988,0,3房2廳2衛,0,7,2,['M']
台北市萬華區桂林路,25.03642,121.492369,55.2年,28.55,1498,0,3房2廳1衛1室,0,4,3,['A']
台北市萬華區西園路二段,25.030087,121.496093,11.6年,48.02,3980,1,3房2廳2衛,0,9,4,['M']
台北市萬華區峨眉街,25.044163,121.503885,48.7年,10.06,868,0,1房1衛,0,9,3,['C']
台北市萬華區西園路二段,25.030087,121.496093,11.6年,44.52,3680,1,3房2廳2衛,0,9,4,['M']
台北市萬華區華西街,25.039172,121.498565,43.4年,10.84,598,0,1房1廳1衛,0,8,5,['M']
台北市萬華區西園路一段,25.040703,121.499042,20.7年,22.42,1580,0,1房2廳1衛,0,6,3,['M']
台北市萬華區長沙街二段,25.041357,121.499601,44.2年,23.01,1580,0,4房1廳1衛,0,6,3,['A']
台北市萬華區東園街,25.026465,121.499086,40.1年,33.4,2950,0,3房2廳2衛,0,7,2,['M']
台北市萬華區和平西路三段,25.035337,121.491277,44.7年,6.81,428,0,1房1廳1衛,0,8,6,['M']
台北市萬華區莒光路,25.030577,121.503072,49.5年,15.07,1100,0,2廳1衛,0,5,4,['A']
台北市萬華區貴陽街二段,25.039522,121.506057,45.2年,42.83,3088,0,3房2廳2衛,0,8,5,['M']
台北市萬華區西藏路,25.030121,121.497221,0.8年,32.81,2888,0,2房2廳1.5衛,0,14,2,['L']
台北市萬華區西昌街,25.04062,121.500607,35.5年,47.03,2680,0,4房2廳2衛,0,7,4,['M']
台北市萬華區和平西路三段,25.03564774643,121.49351503174,53.3年,27.13,1300,0,2房2廳1衛,0,4,2,['A']
台北市萬華區貴陽街二段,25.039528,121.501107,45.6年,25.43,1460,0,2房2廳1衛,0,6,2,['A']
台北市萬華區和平西路三段,25.034911,121.50331,52.5年,32.14,1880,0,3房2廳1衛,0,5,4,['A']
台北市萬華區環河南路二段,25.037647,121.495808,42.5年,29.88,1480,0,3房2廳2衛,0,5,5,['A']
台北市萬華區長泰街,25.021457,121.49458,56.9年,22.97,1688,0,2房2廳1衛,0,4,1,['A']
台北市萬華區西園路二段,25.0305,121.495889,47.0年,41.86,2280,0,6房5衛,0,5,2,['A']
台北市萬華區和平西路三段,25.035813,121.494545,53.3年,24.14,1188,0,4房2廳1衛,1,4,4,['A']
台北市萬華區內江街,25.041574,121.502782,35.2年,29.06,1998,0,3房2廳1衛,0,9,5,['M']
台北市萬華區西園路二段,25.025269,121.492784,54.3年,26.95,1600,0,3房2廳1衛,0,4,3,['A']
台北市萬華區萬大路,25.021574330919,121.49798418749,44.2年,35.94,2888,0,3房2廳1衛1室,1,5,1,['A']
台北市萬華區寶興街,25.022124,121.495456,39.9年,36.87,2988,0,2房2廳3衛1室,1,5,1,['A']
台北市萬華區康定路,25.034255,121.50176,81.2年,11.91,1688,0,3房1廳1.5衛,1,1,1-1,['D']
台北市萬華區莒光路,25.030533,121.503069,49.5年,14.78,1100,0,3房,0,5,4,['A']
台北市萬華區武成街,25.017938,121.495191,47.3年,24.02,1566,0,3房2廳2衛,0,4,3,['A']
台北市萬華區長泰街,25.020579,121.493146,42.2年,38.72,1788,0,3房2廳1衛,0,7,5,['M']
台北市萬華區西藏路,25.029522,121.499356,45.2年,38.25,2150,0,5房2廳2衛,0,5,4,['A']
台北市萬華區康定路,25.043931,121.502592,53.3年,11.52,960,0,1房1廳1衛1室,0,6,5,['M']
台北市萬華區東園街,25.025085,121.495918,68.8年,9.25,2388,0,2房1廳1衛,1,1,1,['D']
台北市萬華區漢中街,25.041181,121.506578,4.0年,33.67,3770,0,3房2廳2衛,0,15,8,['L']
