路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市文山區一壽街,24.979782,121.557233,35.8年,46.54,2980,1,4房2廳2衛,0,8,4,['M']
台北市文山區福興路,25.006708,121.549781,13.5年,52.11,3198,2,2房2廳2衛1室,0,14,11,['L']
台北市文山區木柵路三段,24.989906,121.56755,17.3年,29.1,2580,1,2房2廳1衛,0,7,3,['M']
台北市文山區樟新街,24.979368,121.555648,29.1年,24.3,1620,1,2房2廳1衛,1,7,3,['M']
台北市文山區景隆街,24.998183,121.543615,32.9年,64.71,2979,1,3房2廳2衛,0,14,3,['L']
台北市文山區久康街,24.989498,121.56577,19.5年,61.58,4088,1,4房2廳2衛,0,9,6,['M']
台北市文山區興隆路四段,24.98449,121.564228,32.7年,22.63,1168,0,1房2廳1衛,0,5,5,['A']
台北市文山區和興路,24.985057,121.546194,32.1年,64.89,3000,0,3房2廳3衛1室,0,5,B1-1,['A']
台北市文山區萬芳路,24.997257,121.562921,30.1年,33.67,2730,0,3房2廳2衛,0,12,12,['L']
台北市文山區萬壽路,24.98555,121.587975,17.8年,55.24,2980,1,4房2廳3衛1室,0,5,4,['M']
台北市文山區汀州路四段,25.00465,121.535839,15.4年,58.4,4388,1,4房2廳2衛,0,8,8,['M']
台北市文山區辛亥路四段,25.008956,121.559129,30.6年,46.02,2988,1,3房2廳2衛,0,18,14,['L']
台北市文山區政大二街,24.988299,121.586986,22.8年,43.1,1688,1,3房2廳1衛1室,0,5,5,['A']
台北市文山區和興路,24.985282,121.546786,46.1年,33.34,1588,0,3房2廳1衛,0,5,2,['A']
台北市文山區三福街,24.996732,121.541497,36.9年,48.78,3398,0,4房2廳2衛,0,8,2,['M']
台北市文山區木新路三段,24.981459,121.563387,11.4年,127.12,8580,3,2廳2衛,0,14,4,['L']
台北市文山區辛亥路四段,25.009855,121.559164,39.7年,32.46,1888,0,3房2廳2衛,0,5,2,['A']
台北市文山區萬壽路,24.986706,121.587369,18.4年,12.77,899,1,1房1衛,0,5,1,['M']
台北市文山區指南路三段,24.981874,121.580716,18.5年,57.48,3080,2,3房2廳2衛,0,10,3,['M']
台北市文山區汀州路四段,25.000758,121.535602,2.9年,88.28,9688,1,4房2廳3衛,0,22,20,['L']
台北市文山區木柵路二段,24.992567,121.56223,29.5年,39.11,2388,1,3房2廳2衛,0,17,13,['L']
台北市文山區辛亥路四段,25.008779,121.561218,22.5年,16.45,1398,0,1房1廳1衛,0,14,12,['L']
台北市文山區羅斯福路五段,25.007339,121.538906,47.5年,28.97,2280,0,3房2廳1衛,0,7,6,['M']
台北市文山區木柵路三段,24.989697,121.568396,35.7年,52.68,3980,1,4房2廳2衛,0,13,9,['L']
台北市文山區萬盛街,25.005652,121.542844,9.6年,34.86,2880,1,2廳2衛,0,8,5,['M']
台北市文山區汀州路四段,25.000758,121.535602,2.9年,95.53,10588,1,4房2廳3衛,0,22,20,['L']
台北市文山區仙岩路,24.998607,121.549464,30.9年,59.78,4368,1,4房2廳2衛,0,20,17,['L']
台北市文山區指南路三段,24.981496,121.581208,26.6年,33.55,1998,1,2房2廳1衛,0,12,6,['L']
台北市文山區政大二街,24.987836,121.58295,17.3年,82.15,5718,1,4房2廳3衛2室,0,5,3,['M']
台北市文山區興隆路四段,24.982759,121.561814,33.6年,54.98,3580,1,4房2廳2衛,0,11,6,['L']
台北市文山區萬芳路,24.996575,121.562943,17.7年,90.7,8020,1,4房2廳3衛,0,15,2,['L']
台北市文山區福興路,25.006575,121.550103,16.3年,45.9,2980,1,3房2廳2衛,0,13,5,['L']
台北市文山區興德路,25.000713,121.556599,10.8年,9.77,1088,0,1房1廳1衛,1,12,10,['L']
台北市文山區秀明路二段,24.991209,121.577993,28.8年,53.8,3488,1,3房2廳2衛1室,0,19,15,['L']
台北市文山區和平東路四段,24.998754,121.57443,25.2年,49.16,3288,1,3房2廳2衛1室,0,14,11,['L']
台北市文山區政大一街,24.985866,121.579948,14.9年,43.86,3228,1,2房2廳2衛1室,0,5,4,['M']
台北市文山區辛亥路四段,25.00202,121.556434,5.9年,56.17,6230,1,2房2廳2衛1室,0,26,12,['L']
台北市文山區木柵路二段,24.99293,121.561953,29.5年,34.55,2001,1,3房2廳1.5衛,0,17,9,['L']
