路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,26,3638,0,2房2廳1衛,0,21,4,['L']
台北市中正區林森南路,25.033155,121.518546,25.4年,17.87,2460,1,1房1廳1衛,0,12,6,['C']
台北市中正區廈門街,25.022787,121.517495,15.6年,32.16,2888,1,3房2廳1衛,0,14,7,['L']
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,25.67,3568,0,1房2廳1衛,0,21,3,['L']
台北市中正區羅斯福路三段,25.021431,121.527017,49.8年,10.79,1380,0,2房1廳1衛1室,0,12,4,['L']
台北市中正區仁愛路二段,25.038067,121.525519,18.2年,97.03,12368,1,4房2廳3衛2室,0,15,13-14,['L']
台北市中正區新生南路一段,25.044022,121.532622,39.7年,39.47,3780,0,4房2廳2衛,0,12,9,['L']
台北市中正區中華路二段,25.026284,121.507818,43.1年,71.95,4980,0,5房3廳3衛3室,1,7,7,['M']
台北市中正區仁愛路二段,25.038399,121.530976,49.3年,47.92,6500,0,3房2廳2衛3室,0,12,10,['L']
台北市中正區連雲街,25.034963,121.530311,1.9年,63.28,9980,1,3房2廳2衛,0,13,10,['L']
台北市中正區同安街,25.02304,121.520853,29.1年,48.99,5988,1,4房2廳2衛1室,1,7,1,['M']
台北市中正區廈門街,25.02446,121.517797,28.6年,14.56,1320,0,1房1廳1衛,0,10,9,['M']
台北市中正區臨沂街,25.037144,121.531126,8.1年,32.65,5400,1,3房2廳2衛,0,5,4,['M']
台北市中正區和平西路二段,25.029288,121.511268,39.8年,52.28,3988,0,5房2廳2衛,0,7,2,['M']
台北市中正區杭州南路一段,25.043094,121.526462,40.6年,48.75,6780,0,4房2廳2衛,0,7,6,['M']
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,22.7,3500,0,2房2廳1衛,0,21,6,['L']
台北市中正區南昌路二段,25.025091,121.523342,20.8年,10.72,1680,0,1房1廳1衛,0,11,7,['L']
台北市中正區杭州南路一段,25.043094,121.526462,40.6年,62.61,8707,0,4房2廳2衛1室,0,7,6,['M']
台北市中正區臨沂街,25.035654,121.529612,57.4年,46.55,4105,0,4房2廳2衛,0,4,2,['M']
台北市中正區南昌路一段,25.02942,121.51759,34.0年,52.71,6200,1,3房2廳2衛1室,0,6,1,['M']
台北市中正區南海路,25.028731,121.508565,1.1年,37.33,3280,1,2房2廳1衛,0,7,3,['M']
台北市中正區汀州路三段,25.018937,121.527169,27.2年,13.52,1486,0,1房2廳1衛,1,13,4,['L']
台北市中正區南海路,25.028731,121.508565,1.1年,37.19,3221,1,2房2廳1衛,0,7,2,['M']
台北市中正區開封街一段,25.045915,121.512056,18.4年,12.04,1300,0,1廳1衛,0,14,5,['L']
台北市中正區忠孝東路二段,25.042736,121.528488,0.5年,22.7,3680,0,1房1廳1衛1室,0,21,12,['L']
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,6388,1,3房2廳2衛,0,7,6,['M']
台北市中正區臨沂街,25.039643,121.530206,49.4年,26.32,3200,0,3房2廳1衛,1,5,2,['A']
台北市中正區師大路,25.020948,121.527,49.1年,40.83,3850,0,4房2廳2衛1室,0,5,2,['A']
台北市中正區泉州街,25.026657,121.51375,18.3年,47.5,3500,1,3房2廳2衛,0,7,2,['M']
台北市中正區詔安街,25.02485,121.514146,48.6年,43.96,2768,0,3房2廳2衛1室,0,7,2,['M']
台北市中正區同安街,25.02202,121.520295,0.8年,51.81,5988,1,1廳,0,7,2,['M']
台北市中正區廈門街,25.024844,121.517508,7.4年,42.21,3680,1,2房2廳1衛,0,12,4,['L']
台北市中正區詔安街,25.025003,121.516144,53.0年,22.67,1780,0,4房3廳2衛1室,1,4,4,['A']
台北市中正區連雲街,25.034348,121.529947,60.7年,39.5,4380,0,3房2廳1.5衛1室,0,4,3,['A']
台北市中正區汀州路三段,25.013442,121.534289,54.5年,32.64,3488,0,3房2廳2衛,0,7,2,['M']
台北市中正區重慶南路三段,25.022988,121.516672,53.2年,16.16,1488,0,3房1廳1衛,0,5,5,['A']
台北市中正區忠孝東路二段,25.042387,121.528191,17.8年,102.62,11130,2,3房2廳2衛2室,0,14,3,['L']
台北市中正區杭州南路一段,25.040845,121.526111,2.4年,72.54,9988,1,4房2廳2衛,0,21,12,['L']
台北市中正區水源路,25.021035,121.520026,6.9年,40.32,4068,1,2房2廳2衛,0,15,2,['L']
台北市中正區羅斯福路一段,25.031336,121.519621,16.9年,65.12,9980,2,2房2廳2衛1室,0,14,13,['L']
台北市中正區汀州路二段,25.025312,121.51761,30.1年,43.03,3368,1,2房2廳1衛1室,0,14,3,['L']
台北市中正區臨沂街,25.037049,121.530073,62.5年,20.36,3450,0,1廳1衛,0,2,2,['A']
台北市中正區衡陽路,25.042377,121.511767,7.7年,24.95,2950,1,1房1廳1衛,0,15,9,['L']
台北市中正區杭州南路一段,25.039373,121.526984,3.0年,128.42,19998,3,3房2廳3衛1室,0,20,14,['L']
台北市中正區羅斯福路三段,25.021431,121.527017,49.8年,34,2950,0,2房2廳2衛1室,0,12,9,['L']
台北市中正區和平西路一段,25.027294,121.515396,44.3年,34.3,2988,0,3房2廳2衛1室,0,12,2,['L']
台北市中正區羅斯福路三段,25.021426,121.525422,53.0年,19.13,1700,0,1房1廳1衛1室,0,4,2,['A']
台北市中正區羅斯福路一段,25.031424,121.519553,16.9年,65.12,9980,2,3房2廳2衛,0,14,13,['L']
台北市中正區博愛路,25.033583,121.510841,12.4年,226.27,42880,5,2廳4.5衛1室,0,12,9,['L']
台北市中正區羅斯福路三段,25.021456,121.525454,53.0年,16.62,2600,0,3房2廳2衛,1,4,1,['A']
台北市中正區臨沂街,25.041568246997,121.53073629093,1.9年,50.75,8288,1,2廳2衛,0,10,1,['M']
台北市中正區汀州路三段,25.015798,121.530919,44.9年,32.13,2780,0,3房2廳2衛,0,7,6,['M']
台北市中正區詔安街,25.024306,121.513322,36.8年,33.56,2580,0,3房2廳2衛,0,4,1,['A']
台北市中正區汀州路一段,25.027999,121.510166,50.7年,32.19,1188,0,3房2廳1衛1室,0,4,3,['A']
台北市中正區南海路,25.028731,121.508565,1.1年,37.33,3280,1,2房2廳1衛,0,7,4,['M']
台北市中正區同安街,25.02125,121.521395,0.9年,22.38,2488,0,1房2廳2衛,0,9,1,['M']
台北市中正區杭州南路一段,25.039024,121.526279,35.3年,42.75,4308,0,3房2廳2衛,1,5,B1-1,['M']
台北市中正區中華路二段,25.030901,121.504476,45.3年,19.42,1550,0,3房1廳1衛,0,5,3,['A']
台北市中正區仁愛路二段,25.03895,121.525813,15.4年,39.65,4588,1,3房2廳1衛,0,7,1,['M']
台北市中正區金華街,25.03093,121.521995,19.6年,95.4,12888,2,4房2廳2.5衛2室,0,13,4,['L']
台北市中正區中華路二段,25.024961,121.509384,44.9年,16.22,1266,0,1房1廳1衛,0,7,5,['M']
台北市中正區杭州南路一段,25.036742,121.52647,42.8年,28.08,3180,0,3房1廳1衛1室,0,5,4,['A']
台北市中正區羅斯福路四段,25.014503,121.534274,20.2年,43.06,5488,0,2房2廳2衛,0,15,15,['L']
台北市中正區南昌路二段,25.028424,121.519437,37.9年,43.14,4980,0,3房2廳2衛2室,0,10,5,['M']
台北市中正區汀州路三段,25.013245,121.533709,25.4年,46.67,4580,1,2房2廳1.5衛,0,9,4,['M']
台北市中正區和平西路二段,25.028272,121.513839,46.1年,61.89,4580,0,6房3廳3衛,1,7,3,['M']
台北市中正區漢口街一段,25.045248,121.512269,1.8年,39.32,4498,1,2房2廳1衛1室,0,15,10,['L']
台北市中正區和平西路一段,25.026381483972,121.5195802565,40.8年,42.38,4371,0,2房2廳2衛,0,12,7,['L']
台北市中正區新生南路一段,25.034152799385,121.53254929359,11.1年,116.46,18800,2,2廳3衛,0,14,5,['L']
台北市中正區廈門街,25.022563,121.51839,32.7年,58.78,4488,1,4房3廳4衛1室,0,5,B1-1,['M']
台北市中正區和平西路二段,25.032783,121.505833,28.6年,14.83,1560,0,2房2廳1衛,1,11,2,['L']
台北市中正區杭州南路一段,25.042524,121.526604,13.8年,128.77,14988,2,4房2廳3衛2室,0,7,2-3,['M']
台北市中正區寧波西街,25.031175,121.518452,20.8年,25.23,4767,0,4房3廳2衛1室,1,11,11,['L']
