行政區,路段,緯度,經度,行政區_中正區,行政區_大同區,行政區_中山區,行政區_松山區,行政區_大安區,行政區_萬華區,行政區_信義區,行政區_士林區,行政區_北投區,行政區_內湖區,行政區_南港區,行政區_文山區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
中山區,中山北路二段,25.0532294791,121.523930052,0,0,1,0,0,0,0,0,0,0,0,0,8.7,198.0,6698,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0
中山區,中山北路二段,25.0532294791,121.523930052,0,0,1,0,0,0,0,0,0,0,0,0,8.7,198.0,6698,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0
中山區,中山北路二段,25.0532294791,121.523930052,0,0,1,0,0,0,0,0,0,0,0,0,8.7,198.0,6588,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0
中山區,中山北路二段,25.0532294791,121.523930052,0,0,1,0,0,0,0,0,0,0,0,0,8.7,198.0,6588,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0
中山區,合江街,25.0583371232,121.539272186,0,0,1,0,0,0,0,0,0,0,0,0,40.4,246.0,3288,0,2,2,2,2,0,7,3,3,1,0,1,0,0,0
中山區,龍江路,25.0667490704,121.541901439,0,0,1,0,0,0,0,0,0,0,0,0,12.5,268.0,2388,0,2,1,1,2,0,7,4,4,1,0,1,0,0,0
中山區,建國北路二段,25.0546557921,121.536459757,0,0,1,0,0,0,0,0,0,0,0,0,1.7,45.0,6380,1,3,2,2,3,0,13,13,13,1,0,1,0,0,0
中山區,建國北路二段,25.0546557921,121.536459757,0,0,1,0,0,0,0,0,0,0,0,0,1.7,45.0,6380,1,1,1,2,1,0,13,13,13,1,0,1,0,0,0
中山區,吉林路,25.0585975209,121.52943573,0,0,1,0,0,0,0,0,0,0,0,0,40.4,110.0,3688,0,3,2,2,3,0,5,4,4,1,0,0,0,1,0
中山區,南京東路二段,25.0518451344,121.53217589,0,0,1,0,0,0,0,0,0,0,0,0,15.5,134.0,2138,1,1,1,1,1,0,18,6,6,1,0,1,0,0,0
中山區,建國北路二段,25.0546557921,121.536459757,0,0,1,0,0,0,0,0,0,0,0,0,1.7,151.0,3600,1,2,2,1,2,0,13,11,11,1,0,1,0,0,0
中山區,新生北路二段,25.054714623,121.527270765,0,0,1,0,0,0,0,0,0,0,0,0,29.7,194.0,1780,0,1,1,1,1,0,17,4,4,1,0,1,0,0,0
