id,district,latitude,longitude,dist_zhongshan,dist_zhongzheng,dist_xinyi,dist_neihu,dist_beitou,dist_nangang,dist_shilin,dist_datong,dist_daan,dist_wenshan,dist_songshan,dist_wanhua,building_area,land_area,total_price,unit_price,has_parking,rooms,halls,bathrooms,type_apartment,type_building,type_mansion,type_house,transaction_date,distance_to_mrt
39,中山區,25.058159,121.539953,1,0,0,0,0,0,0,0,0,0,0,0,9.26,1.47,835.0,90.21,0,1,1,1,0,0,1,0,11411,653
40,中山區,25.058184,121.526803,1,0,0,0,0,0,0,0,0,0,0,0,6.39,0.68,500.0,78.3,0,1,0,1,0,0,1,0,11411,621
41,中山區,25.056858,121.530415,1,0,0,0,0,0,0,0,0,0,0,0,19.41,3.49,1700.0,87.59,0,1,2,1,0,0,1,0,11411,388
42,中山區,25.067449,121.52889,1,0,0,0,0,0,0,0,0,0,0,0,29.53,10.36,1650.0,55.88,0,3,2,1,1,0,0,0,11411,719
43,中山區,25.066606,121.538169,1,0,0,0,0,0,0,0,0,0,0,0,22.61,7.94,1288.0,56.96,0,3,2,2,1,0,0,0,11411,1128
44,中山區,25.064936,121.537765,1,0,0,0,0,0,0,0,0,0,0,0,58.26,5.79,4140.0,102.15,1,2,1,2,0,1,0,0,11411,909
45,中山區,25.064465,121.525723,1,0,0,0,0,0,0,0,0,0,0,0,14.56,1.34,1573.0,108.06,0,2,1,1,0,1,0,0,11411,239
46,中山區,25.06524,121.540116,1,0,0,0,0,0,0,0,0,0,0,0,33.7,12.4,2036.0,60.41,0,3,2,2,1,0,0,0,11411,814
47,中山區,25.064991,121.526626,1,0,0,0,0,0,0,0,0,0,0,0,11.15,1.27,760.0,68.14,0,1,1,1,0,0,1,0,11411,312
48,中山區,25.057401,121.537914,1,0,0,0,0,0,0,0,0,0,0,0,71.21,7.53,4600.0,78.37,1,3,1,1,0,1,0,0,11410,631
49,中山區,25.057401,121.537914,1,0,0,0,0,0,0,0,0,0,0,0,71.36,7.53,4600.0,77.83,1,3,1,1,0,1,0,0,11410,631
50,中山區,25.066744,121.526994,1,0,0,0,0,0,0,0,0,0,0,0,8.8,0.92,600.0,68.18,0,1,1,1,0,1,0,0,11410,565
51,中山區,25.060563,121.525788,1,0,0,0,0,0,0,0,0,0,0,0,9.01,0.8,640.0,71.04,0,1,0,0,0,0,1,0,11410,278
52,中山區,25.065498,121.525477,1,0,0,0,0,0,0,0,0,0,0,0,36.1,4.68,2560.0,70.92,0,4,2,2,0,0,1,0,11410,392
53,中山區,25.065252,121.537703,1,0,0,0,0,0,0,0,0,0,0,0,59.19,7.71,2500.0,42.23,0,2,1,2,0,0,1,0,11410,937
54,中山區,25.067359,121.526863,1,0,0,0,0,0,0,0,0,0,0,0,38.34,7.2,2703.0,70.5,0,3,2,2,0,0,1,0,11410,653
55,中山區,25.059421,121.52569,1,0,0,0,0,0,0,0,0,0,0,0,9.25,1.06,673.0,72.78,0,1,1,1,0,1,0,0,11410,443
56,中山區,25.064816,121.540697,1,0,0,0,0,0,0,0,0,0,0,0,22.37,4.19,1650.0,73.75,0,1,3,2,0,0,1,0,11410,719
57,中山區,25.060756,121.527955,1,0,0,0,0,0,0,0,0,0,0,0,14.17,1.57,243.659,17.2,0,2,1,1,0,0,1,0,11410,271
58,中山區,25.06562,121.525514,1,0,0,0,0,0,0,0,0,0,0,0,20.27,3.75,1500.0,73.99,0,1,1,1,0,0,1,0,11410,408
59,中山區,25.066098,121.528781,1,0,0,0,0,0,0,0,0,0,0,0,14.65,7.66,1210.0,82.58,0,2,1,1,1,0,0,0,11410,536
60,中山區,25.059779,121.540028,1,0,0,0,0,0,0,0,0,0,0,0,34.41,8.07,2220.0,64.52,0,3,2,2,1,0,0,0,11410,539
61,中山區,25.065296,121.527269,1,0,0,0,0,0,0,0,0,0,0,0,29.93,8.39,1256.5,41.98,0,2,1,2,1,0,0,0,11410,360
62,中山區,25.063664,121.528022,1,0,0,0,0,0,0,0,0,0,0,0,17.46,1.78,1640.0,93.93,0,1,1,1,0,1,0,0,11410,196
63,中山區,25.066049,121.542672,1,0,0,0,0,0,0,0,0,0,0,0,28.97,9.98,1445.0,49.88,0,3,2,1,1,0,0,0,11410,774
64,中山區,25.059566,121.532648,1,0,0,0,0,0,0,0,0,0,0,0,33.3,11.72,2580.0,77.48,0,3,2,2,1,0,0,0,11410,106
65,中山區,25.063004,121.530492,1,0,0,0,0,0,0,0,0,0,0,0,37.16,6.23,2530.0,68.08,0,3,1,1,0,0,1,0,11410,448
66,中山區,25.060563,121.525788,1,0,0,0,0,0,0,0,0,0,0,0,10.76,1.94,880.0,81.76,0,1,1,1,0,0,1,0,11410,278
67,中山區,25.066155,121.539173,1,0,0,0,0,0,0,0,0,0,0,0,26.83,4.63,2200.0,82.0,1,1,1,2,0,0,1,0,11410,994
68,中山區,25.066567,121.527194,1,0,0,0,0,0,0,0,0,0,0,0,8.96,0.82,705.0,78.66,0,1,0,0,0,1,0,0,11410,541
69,中山區,25.065054,121.523705,1,0,0,0,0,0,0,0,0,0,0,0,38.11,2.13,2652.0,76.46,1,2,1,1,0,1,0,0,11410,447
70,中山區,25.059382,121.526222,1,0,0,0,0,0,0,0,0,0,0,0,12.96,1.65,850.0,65.58,0,2,0,1,0,0,1,0,11410,445
71,中山區,25.066744,121.526994,1,0,0,0,0,0,0,0,0,0,0,0,6.4,0.7,460.0,71.86,0,1,1,1,0,1,0,0,11410,565
72,中山區,25.065399,121.525742,1,0,0,0,0,0,0,0,0,0,0,0,16.78,1.79,1284.0,76.53,0,2,1,1,0,1,0,0,11410,372
73,中山區,25.060655,121.539516,1,0,0,0,0,0,0,0,0,0,0,0,29.61,8.47,2188.0,73.89,0,3,2,2,1,0,0,0,11410,584
74,中山區,25.060474,121.528031,1,0,0,0,0,0,0,0,0,0,0,0,16.34,3.06,1205.0,73.77,0,2,1,1,0,0,1,0,11410,313
75,中山區,25.058882,121.528268,1,0,0,0,0,0,0,0,0,0,0,0,34.57,11.3,2220.0,64.21,0,3,1,3,1,0,0,0,11410,541
76,中山區,25.058159,121.539953,1,0,0,0,0,0,0,0,0,0,0,0,19.64,1.92,1390.0,70.78,1,1,1,1,0,0,1,0,11410,653
77,中山區,25.066652,121.532936,1,0,0,0,0,0,0,0,0,0,0,0,77.86,15.39,5600.0,71.92,0,1,0,0,1,0,0,0,11410,908
78,中山區,25.063561,121.527391,1,0,0,0,0,0,0,0,0,0,0,0,28.06,3.25,2190.0,78.04,0,1,0,0,0,1,0,0,11410,127
79,中山區,25.064991,121.535218,1,0,0,0,0,0,0,0,0,0,0,0,23.63,6.53,1500.0,63.49,0,3,2,1,1,0,0,0,11410,729
80,中山區,25.059748,121.525599,1,0,0,0,0,0,0,0,0,0,0,0,8.38,2.61,690.0,82.32,0,1,0,1,0,0,1,0,11410,398
81,中山區,25.067666,121.539357,1,0,0,0,0,0,0,0,0,0,0,0,44.83,10.57,2750.0,61.34,0,1,2,1,1,0,0,0,11410,1159
82,中山區,25.065499,121.528083,1,0,0,0,0,0,0,0,0,0,0,0,8.22,0.93,260.0,31.62,0,1,0,0,0,0,1,0,11410,418
83,中山區,25.059028,121.539078,1,0,0,0,0,0,0,0,0,0,0,0,22.95,8.09,1850.0,80.61,0,3,2,1,1,0,0,0,11410,692
84,中山區,25.06562,121.525514,1,0,0,0,0,0,0,0,0,0,0,0,22.32,4.11,1852.0,82.99,0,2,2,1,0,0,1,0,11410,408
85,中山區,25.065409,121.525943,1,0,0,0,0,0,0,0,0,0,0,0,54.43,6.51,4400.0,98.06,1,3,2,2,0,1,0,0,11410,371
86,中山區,25.067007,121.528128,1,0,0,0,0,0,0,0,0,0,0,0,13.93,2.06,980.0,70.34,0,1,1,1,0,0,1,0,11410,626
87,中山區,25.066744,121.526994,1,0,0,0,0,0,0,0,0,0,0,0,6.2,0.67,470.0,75.79,0,1,0,1,0,1,0,0,11410,565
88,中山區,25.059421,121.52569,1,0,0,0,0,0,0,0,0,0,0,0,7.1,0.66,495.0,69.69,0,1,1,1,0,1,0,0,11410,443
89,中山區,25.067007,121.528128,1,0,0,0,0,0,0,0,0,0,0,0,22.17,3.21,1600.0,72.16,0,2,1,2,0,0,1,0,11409,626
90,中山區,25.065676,121.535509,1,0,0,0,0,0,0,0,0,0,0,0,38.66,5.51,3000.0,77.61,0,3,2,2,0,1,0,0,11409,835
91,中山區,25.070041,121.533885,1,0,0,0,0,0,0,0,0,0,0,0,25.74,5.11,1400.0,54.38,0,2,1,1,0,0,1,0,11409,1391
92,中山區,25.059565,121.541266,1,0,0,0,0,0,0,0,0,0,0,0,41.99,7.85,3300.0,78.58,0,3,2,2,0,0,1,0,11409,399
