行政區,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,緯度,經度
大同區,台北市大同區酒泉街,0,0,0,0,0,0,0,1,0,0,0,0,14.8,86.13,4988.0,2,6,3,3,0,0,7,2,2,1,0,0,0,1,0,25.0722533777,121.511824101
大同區,台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,43.2,38.62,1888.0,0,3,2,2,0,0,5,4,4,1,1,0,0,0,0,25.0757842113,121.51654846
大同區,台北市大同區寧夏路,0,0,0,0,0,0,0,1,0,0,0,0,29.4,17.94,1480.0,0,1,1,1,0,0,14,7,7,1,0,1,0,0,0,25.0547129466,121.51499769
大同區,台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,2.3,38.47,3980.0,1,3,2,2,0,0,12,7,7,1,0,1,0,0,0,25.0581532917,121.511405565
大同區,台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,47.3,20.01,1688.0,1,2,2,1,0,0,14,9,9,1,0,1,0,0,0,25.0536731167,121.511111482
大同區,台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,17.7,12.18,1480.0,1,1,1,1,0,1,14,6,6,1,0,1,0,0,0,25.0627688019438,121.516705343402
大同區,台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,58.5,18.53,1898.0,0,2,1,1,0,0,4,1,1,1,1,0,0,0,0,25.0676371592,121.511489498
大同區,台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,31.0,60.77,3490.0,0,3,2,2,0,0,6,5,6,2,0,0,0,1,0,25.0680061754,121.516693771
大同區,台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,55.9,17.65,1288.0,0,3,2,1,0,1,4,4,4,1,1,0,0,0,0,25.0709069392,121.51151704
大同區,台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,51.1,18.85,1398.0,0,3,2,2,0,1,4,4,4,1,1,0,0,0,0,25.070333091808,121.51164344776
大同區,台北市大同區涼州街,0,0,0,0,0,0,0,1,0,0,0,0,51.6,17.0,1598.0,0,3,1,1,0,0,4,1,1,1,1,0,0,0,0,25.059945272,121.510759956
大同區,台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,55.6,22.73,1750.0,0,3,3,1,0,1,4,4,4,1,1,0,0,0,0,25.0569740958,121.508972412
大同區,台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,8.9,26.31,1998.0,1,1,1,1,0,0,7,7,7,1,0,0,0,1,0,25.0736698491,121.517861556
大同區,台北市大同區環河北路一段,0,0,0,0,0,0,0,1,0,0,0,0,31.9,35.81,2688.0,1,2,2,1,0,0,7,7,7,1,0,0,0,1,0,25.0590683504,121.508892592
大同區,台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,57.8,23.95,3980.0,0,3,1,1,0,0,4,1,1,1,1,0,0,0,0,25.0682356,121.5107951
大同區,台北市大同區重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,43.0,19.98,2398.0,0,1,1,2,0,0,12,1,1,1,0,1,0,0,0,25.0556575001,121.514179811
大同區,台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,13.5,92.95,11200.0,1,4,2,3,0,0,12,11,11,1,0,1,0,0,0,25.0722747028,121.518987332
大同區,台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,41.25,11.98,3688.0,0,3,1,2,0,0,1,1,1,1,0,0,0,0,1,25.0745985276983,121.515189416955
大同區,台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,46.2,43.16,2098.0,0,4,2,1,0,0,5,3,3,1,1,0,0,0,0,25.0730570829,121.515021451
大同區,台北市大同區敦煌路,0,0,0,0,0,0,0,1,0,0,0,0,16.4,53.55,4980.0,1,4,2,2,0,0,15,3,3,1,0,1,0,0,0,25.0757311648522,121.517119511639
大同區,台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,0.6,29.26,3500.0,1,2,2,2,0,0,15,2,2,1,0,1,0,0,0,25.0642925208,121.513871182
大同區,台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,15.5,101.45,8860.0,3,3,2,2,0,0,15,11,11,1,0,1,0,0,0,25.0636433,121.5185449
大同區,台北市大同區長安西路,0,0,0,0,0,0,0,1,0,0,0,0,58.0,14.25,1680.0,0,2,1,1,0,0,4,4,4,1,1,0,0,0,0,25.0498845368,121.519120051
大同區,台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,3.5,45.73,3988.0,1,3,2,2,0,0,7,5,5,1,0,0,0,1,0,25.0684670555,121.515305916
大同區,台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,3.5,32.59,3288.0,1,1,3,1,0,0,7,7,7,1,0,1,0,0,0,25.0684670555,121.515305916
大同區,台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,50.3,25.19,1638.0,0,1,2,2,0,1,4,4,4,1,1,0,0,0,0,25.0760786696,121.513321592
大同區,台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,50.9,19.6,1880.0,1,4,1,1,0,1,4,2,2,1,1,0,0,0,0,25.0673568407,121.51741836
大同區,台北市大同區承德路三段,0,0,0,0,0,0,0,1,0,0,0,0,27.9,66.71,4800.0,1,3,2,2,0,0,11,3,3,1,0,1,0,0,0,25.0658588,121.5186145
大同區,台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,1.3,13.42,1730.0,1,1,1,1,0,0,15,2,2,1,0,1,0,0,0,25.0578506091,121.518384637
大同區,台北市大同區環河北路二段,0,0,0,0,0,0,0,1,0,0,0,0,18.8,44.77,3988.0,2,2,2,2,0,1,13,11,11,1,0,1,0,0,0,25.0707429201,121.509443681
大同區,台北市大同區環河北路二段,0,0,0,0,0,0,0,1,0,0,0,0,50.2,17.37,1880.0,1,3,2,1,0,0,4,2,2,1,0,1,0,0,0,25.0702869252,121.509616439
大同區,台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,14.3,38.92,5688.0,1,2,2,1,0,1,9,9,9,1,0,0,0,1,0,25.0518566722437,121.520162594492
大同區,台北市大同區錦西街,0,0,0,0,0,0,0,1,0,0,0,0,65.8,16.41,8000.0,1,2,2,2,0,1,1,1,1,1,1,0,0,0,0,25.0597561,121.5154276
大同區,台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.28,765.0,1,1,1,1,0,0,18,17,17,1,0,1,0,0,0,25.0491099692044,121.517639646558
