"id","district","latitude","longitude","dist_zhongshan","dist_zhongzheng","dist_xinyi","dist_neihu","dist_beitou","dist_nangang","dist_shilin","dist_datong","dist_daan","dist_wenshan","dist_songshan","dist_wanhua","house_age","building_area","land_area","total_price","unit_price","has_parking","floor","total_floor","rooms","halls","bathrooms","extra_rooms","type_apartment","type_building","type_house","type_mansion","type_studio","transaction_date","created_at","updated_at","deleted_at","distance_to_mrt"
"25","中正區","25.0265039","121.5097643","0","1","0","0","0","0","0","0","0","0","0","0","0.00","7.48","6.78","540","72.21","0","2","3","3","1","1","0","1","0","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1280"
"26","中正區","25.0251162","121.5194393","0","1","0","0","0","0","0","0","0","0","0","0","56.00","25.20","12.18","1800","71.44","0","3","4","3","2","1","0","1","0","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"426"
"27","中正區","25.0236412","121.5204041","0","1","0","0","0","0","0","0","0","0","0","0","56.80","32.86","12.73","2250","68.46","0","3","4","3","2","2","0","1","0","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"470"
"28","中正區","25.0343860","121.5302498","0","1","0","0","0","0","0","0","0","0","0","0","40.80","24.64","6.32","2720","110.38","0","2","5","3","2","1","0","1","0","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"77"
"29","中正區","25.0203096","121.5281482","0","1","0","0","0","0","0","0","0","0","0","0","4.60","102.87","9.03","14178","137.83","1","21","22","3","2","3","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"84"
"30","中正區","25.0279353","121.5161614","0","1","0","0","0","0","0","0","0","0","0","0","4.30","84.50","12.83","10329","156.40","1","20","21","3","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"702"
"31","中正區","25.0279353","121.5161614","0","1","0","0","0","0","0","0","0","0","0","0","4.30","94.31","14.67","10928","145.70","1","13","21","3","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"702"
"32","中正區","25.0279353","121.5161614","0","1","0","0","0","0","0","0","0","0","0","0","4.30","87.84","13.36","9849","143.56","1","13","21","3","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"702"
"33","中正區","25.0322172","121.5206087","0","1","0","0","0","0","0","0","0","0","0","0","40.20","45.63","8.07","5283","115.80","0","4","12","3","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"210"
"34","中正區","25.0422800","121.5318099","0","1","0","0","0","0","0","0","0","0","0","0","43.70","29.51","2.56","2710","91.85","0","6","12","0","0","0","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"42"
"35","中正區","25.0422800","121.5318099","0","1","0","0","0","0","0","0","0","0","0","0","43.70","24.68","2.42","2260","91.58","0","6","12","0","0","0","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"42"
"36","中正區","25.0203096","121.5281482","0","1","0","0","0","0","0","0","0","0","0","0","4.60","114.47","9.10","14968","155.53","1","20","22","3","2","3","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"84"
"37","中正區","25.0422800","121.5318099","0","1","0","0","0","0","0","0","0","0","0","0","43.70","17.55","1.46","1680","95.70","0","6","12","0","0","0","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"42"
"38","中正區","25.0300309","121.5184493","0","1","0","0","0","0","0","0","0","0","0","0","15.80","52.87","4.85","6700","126.72","0","18","18","6","3","3","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"333"
"39","中正區","25.0407340","121.5273537","0","1","0","0","0","0","0","0","0","0","0","0","19.80","122.45","16.10","11200","116.15","1","5","11","4","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"607"
"40","中正區","25.0188431","121.5241490","0","1","0","0","0","0","0","0","0","0","0","0","7.80","62.58","6.43","4836","86.73","1","10","13","4","2","2","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"518"
"41","中正區","25.0388236","121.5288815","0","1","0","0","0","0","0","0","0","0","0","0","2.50","105.09","10.19","14500","167.49","1","4","19","3","2","3","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"561"
"42","中正區","25.0245945","121.5214386","0","1","0","0","0","0","0","0","0","0","0","0","4.10","28.54","4.09","3658","128.17","0","7","18","2","2","1","0","0","1","0","0","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"282"
"43","中正區","25.0304643","121.5184412","0","1","0","0","0","0","0","0","0","0","0","0","17.30","26.91","4.40","3000","144.26","1","6","7","2","1","1","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"272"
"44","中正區","25.0276054","121.5070835","0","1","0","0","0","0","0","0","0","0","0","0","45.20","21.10","7.96","1325","62.80","0","5","7","3","2","1","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1225"
"45","中正區","25.0292891","121.5110739","0","1","0","0","0","0","0","0","0","0","0","0","45.70","16.51","3.12","1588","96.20","0","6","7","2","1","1","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"859"
"46","中正區","25.0432651","121.5264330","0","1","0","0","0","0","0","0","0","0","0","0","49.40","4.86","0.80","488","100.51","0","5","7","3","2","2","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"255"
"47","中正區","25.0168257","121.5253195","0","1","0","0","0","0","0","0","0","0","0","0","41.10","31.72","5.46","1930","60.84","0","7","10","3","2","1","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"587"
"48","中正區","25.0369222","121.5304292","0","1","0","0","0","0","0","0","0","0","0","0","14.40","77.31","18.55","6900","89.25","1","5","7","3","2","3","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"437"
"49","中正區","25.0364798","121.5304471","0","1","0","0","0","0","0","0","0","0","0","0","42.20","36.42","8.42","1500","41.18","0","4","6","3","2","2","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"374"
"50","中正區","25.0276054","121.5070835","0","1","0","0","0","0","0","0","0","0","0","0","45.20","19.37","7.15","1395","72.03","0","6","7","2","2","1","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1225"
"51","中正區","25.0259584","121.5108718","0","1","0","0","0","0","0","0","0","0","0","0","39.50","34.07","6.95","1900","55.77","0","2","7","3","2","2","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1341"
"52","中正區","25.0399505","121.5318593","0","1","0","0","0","0","0","0","0","0","0","0","11.30","52.08","10.36","6320","132.50","1","6","6","2","2","2","0","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"173"
"53","中正區","25.0369330","121.5263640","0","1","0","0","0","0","0","0","0","0","0","0","41.80","53.14","11.76","3150","59.28","0","6","6","2","3","2","1","0","0","0","1","0","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"422"
"54","中正區","25.0444209","121.5314425","0","1","0","0","0","0","0","0","0","0","0","0","0.00","5.35","1.90","370","69.18","0","1","4","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"241"
"55","中正區","25.0277734","121.5133962","0","1","0","0","0","0","0","0","0","0","0","0","33.30","13.14","2.61","1168","88.91","0","6","12","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"924"
"56","中正區","25.0288704","121.5067717","0","1","0","0","0","0","0","0","0","0","0","0","0.00","10.48","3.19","300","28.64","0","1","5","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1071"
"57","中正區","25.0455010","121.5118149","0","1","0","0","0","0","0","0","0","0","0","0","48.00","12.99","1.68","935","71.98","0","10","10","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"541"
"58","中正區","25.0343050","121.5276235","0","1","0","0","0","0","0","0","0","0","0","0","28.60","11.61","0.99","1880","161.93","0","4","10","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"14"
"59","中正區","25.0398203","121.5278750","0","1","0","0","0","0","0","0","0","0","0","0","28.60","30.59","9.97","3188","106.38","1","5","5","1","2","2","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"618"
"60","中正區","25.0396069","121.5294993","0","1","0","0","0","0","0","0","0","0","0","0","10.80","13.81","3.10","2000","144.80","0","2","7","1","1","1","0","0","0","0","0","1","11412","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"432"
"61","中正區","25.0242796","121.5185539","0","1","0","0","0","0","0","0","0","0","0","0","52.50","29.06","11.63","1888","64.96","0","2","4","3","2","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"593"
"62","中正區","25.0212765","121.5253582","0","1","0","0","0","0","0","0","0","0","0","0","54.00","12.80","4.80","724","56.54","0","4","4","3","1","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"256"
"63","中正區","25.0350398","121.5266357","0","1","0","0","0","0","0","0","0","0","0","0","50.50","21.07","7.98","1900","90.19","0","2","4","2","2","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"169"
"64","中正區","25.0122566","121.5356931","0","1","0","0","0","0","0","0","0","0","0","0","0.00","29.18","8.71","1550","53.13","0","3","5","2","1","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"368"
"65","中正區","25.0371445","121.5313913","0","1","0","0","0","0","0","0","0","0","0","0","53.80","28.83","11.27","2666","92.49","0","3","4","3","2","2","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"502"
"66","中正區","25.0353308","121.5285792","0","1","0","0","0","0","0","0","0","0","0","0","54.30","19.97","7.34","1728","86.54","0","3","4","3","1","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"186"
"67","中正區","25.0358702","121.5317525","0","1","0","0","0","0","0","0","0","0","0","0","49.80","35.50","12.71","2800","78.88","0","2","4","4","2","2","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"366"
"68","中正區","25.0251162","121.5194393","0","1","0","0","0","0","0","0","0","0","0","0","55.90","25.20","12.18","1788","70.97","0","2","4","3","2","1","0","1","0","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"426"
"69","中正區","25.0389230","121.5254810","0","1","0","0","0","0","0","0","0","0","0","0","31.80","10.26","1.03","1700","165.69","0","4","11","0","1","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"732"
"70","中正區","25.0454273","121.5122507","0","1","0","0","0","0","0","0","0","0","0","0","1.50","40.05","2.57","4170","133.41","1","12","15","2","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"557"
"71","中正區","25.0349908","121.5302524","0","1","0","0","0","0","0","0","0","0","0","0","1.60","63.28","9.15","9165","169.99","1","3","13","3","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"158"
"72","中正區","25.0271510","121.5210234","0","1","0","0","0","0","0","0","0","0","0","0","6.80","15.69","1.38","2358","150.25","0","10","14","2","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"114"
"73","中正區","25.0245945","121.5214386","0","1","0","0","0","0","0","0","0","0","0","0","4.00","23.43","3.36","2930","125.04","0","17","18","2","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"282"
"74","中正區","25.0299166","121.5149608","0","1","0","0","0","0","0","0","0","0","0","0","43.30","39.16","4.77","2880","73.55","0","4","12","3","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"562"
"75","中正區","25.0261248","121.5227332","0","1","0","0","0","0","0","0","0","0","0","0","43.40","37.74","3.35","3400","90.09","0","10","12","3","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"38"
"76","中正區","25.0232175","121.5176280","0","1","0","0","0","0","0","0","0","0","0","0","10.40","35.22","2.78","2988","84.85","1","4","15","3","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"787"
"77","中正區","25.0429042","121.5108627","0","1","0","0","0","0","0","0","0","0","0","0","1.00","27.41","2.16","3180","116.02","0","4","15","2","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"263"
"78","中正區","25.0193141","121.5237249","0","1","0","0","0","0","0","0","0","0","0","0","22.90","46.05","8.58","3098","79.37","1","8","13","3","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"528"
"79","中正區","25.0188431","121.5241490","0","1","0","0","0","0","0","0","0","0","0","0","7.80","51.53","5.23","910","17.66","1","3","13","3","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"518"
"80","中正區","25.0308483","121.5065618","0","1","0","0","0","0","0","0","0","0","0","0","13.20","80.59","11.28","6950","86.24","0","16","20","4","2","3","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"828"
"81","中正區","25.0375908","121.5252097","0","1","0","0","0","0","0","0","0","0","0","0","20.70","51.50","4.53","6386","124.00","1","9","13","4","2","2","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"576"
"82","中正區","25.0454273","121.5122507","0","1","0","0","0","0","0","0","0","0","0","0","1.50","28.91","2.57","3900","134.92","0","12","15","2","2","1","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"557"
"83","中正區","25.0443932","121.5239900","0","1","0","0","0","0","0","0","0","0","0","0","43.00","29.74","2.58","2720","91.45","0","9","12","0","0","0","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"41"
"84","中正區","25.0125262","121.5360509","0","1","0","0","0","0","0","0","0","0","0","0","11.10","82.61","6.95","7600","104.74","1","14","15","3","2","3","0","0","1","0","0","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"360"
"85","中正區","25.0277095","121.5135842","0","1","0","0","0","0","0","0","0","0","0","0","44.90","35.87","6.62","2380","66.36","0","7","7","3","2","2","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"914"
"86","中正區","25.0276054","121.5070835","0","1","0","0","0","0","0","0","0","0","0","0","45.10","19.67","7.31","1318","67.01","0","6","7","3","2","1","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1225"
"87","中正區","25.0359402","121.5298502","0","1","0","0","0","0","0","0","0","0","0","0","4.70","97.54","23.95","13200","139.47","1","3","7","0","0","0","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"286"
"88","中正區","25.0276054","121.5070835","0","1","0","0","0","0","0","0","0","0","0","0","45.10","21.10","7.96","1477","69.99","0","5","7","3","2","1","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"1225"
"89","中正區","25.0327099","121.5191145","0","1","0","0","0","0","0","0","0","0","0","0","38.00","31.73","6.54","3608","113.71","0","6","7","2","2","1","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"63"
"90","中正區","25.0343227","121.5069922","0","1","0","0","0","0","0","0","0","0","0","0","51.20","29.62","6.06","2298","77.57","0","7","7","3","2","1","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"428"
"91","中正區","25.0333672","121.5118042","0","1","0","0","0","0","0","0","0","0","0","0","0.10","23.94","5.34","3568","174.69","1","7","10","0","0","0","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"272"
"92","中正區","25.0450087","121.5261035","0","1","0","0","0","0","0","0","0","0","0","0","5.30","43.20","6.76","4380","111.26","1","7","8","2","2","2","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"167"
"93","中正區","25.0372430","121.5265361","0","1","0","0","0","0","0","0","0","0","0","0","15.70","27.41","5.79","1026","37.44","1","4","6","3","2","2","0","0","0","0","1","0","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"457"
"94","中正區","25.0305901","121.5186002","0","1","0","0","0","0","0","0","0","0","0","0","10.70","3.15","0.32","306","97.27","0","5","8","1","0","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"249"
"95","中正區","25.0267228","121.5195550","0","1","0","0","0","0","0","0","0","0","0","0","17.50","11.55","1.29","1918","166.11","0","7","14","1","0","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"310"
"96","中正區","25.0200500","121.5275328","0","1","0","0","0","0","0","0","0","0","0","0","18.40","10.39","2.78","1380","132.81","0","4","8","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"105"
"97","中正區","25.0348144","121.5291021","0","1","0","0","0","0","0","0","0","0","0","0","29.30","7.15","1.55","465","65.03","0","-1","9","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"108"
"98","中正區","25.0277734","121.5133962","0","1","0","0","0","0","0","0","0","0","0","0","33.20","13.17","2.59","1118","84.90","0","8","12","1","2","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"924"
"99","中正區","25.0305901","121.5186002","0","1","0","0","0","0","0","0","0","0","0","0","10.70","3.30","0.32","286","86.74","1","5","8","1","0","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"249"
"100","中正區","25.0267228","121.5195550","0","1","0","0","0","0","0","0","0","0","0","0","17.50","0.61","0.07","104","170.22","0","13","14","1","0","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"310"
"101","中正區","25.0387981","121.5259085","0","1","0","0","0","0","0","0","0","0","0","0","17.00","13.02","2.67","1900","145.93","0","5","7","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"696"
"102","中正區","25.0392393","121.5313013","0","1","0","0","0","0","0","0","0","0","0","0","19.90","14.79","4.34","1930","130.50","0","2","10","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"297"
"103","中正區","25.0348144","121.5291021","0","1","0","0","0","0","0","0","0","0","0","0","29.30","11.28","2.44","720","63.81","0","-1","9","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"108"
"104","中正區","25.0348144","121.5291021","0","1","0","0","0","0","0","0","0","0","0","0","29.30","5.12","1.11","350","68.34","0","-1","9","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"108"
"105","中正區","25.0461047","121.5147509","0","1","0","0","0","0","0","0","0","0","0","0","48.80","16.30","1.32","1500","92.03","0","6","12","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"217"
"106","中正區","25.0341459","121.5317352","0","1","0","0","0","0","0","0","0","0","0","0","7.30","16.20","1.70","2722","168.07","0","7","14","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"235"
"107","中正區","25.0370269","121.5263766","0","1","0","0","0","0","0","0","0","0","0","0","34.80","10.09","1.79","1500","148.69","0","2","5","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"434"
"108","中正區","25.0277734","121.5133962","0","1","0","0","0","0","0","0","0","0","0","0","33.20","11.14","2.17","980","87.99","0","3","12","1","1","1","0","0","0","0","0","1","11411","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"924"
"109","中正區","25.0372790","121.5268210","0","1","0","0","0","0","0","0","0","0","0","0","45.80","28.29","9.12","2380","84.13","0","5","5","3","2","2","0","1","0","0","0","0","11410","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"452"
"110","中正區","25.0277488","121.5204611","0","1","0","0","0","0","0","0","0","0","0","0","48.40","29.97","8.92","1600","53.38","0","2","4","3","2","2","0","1","0","0","0","0","11410","2026-03-26 21:58:51","2026-03-26 22:03:50",NULL,"163"
