路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位,行政區
台北市萬華區武成街,62.7年,透天,建坪 17.02,主建物17.02,5廳2衛(含加蓋2廳),1-2樓/2樓,"1,660",0,萬華區
台北市萬華區西園路二段,55.3年,公寓/辦公,建坪 8.46,主建物8.46,1廳1衛,1樓/5樓,790,0,萬華區
台北市萬華區興義街,56.7年,公寓,建坪 34.31,主建物34.31,4房2廳2衛,3樓/4樓,"1,668",0,萬華區
台北市萬華區開封街二段,30.3年,大樓,建坪 42.63,主 + 陽31.82,3房2廳2衛1室,3樓/16樓,"2,988",0,萬華區
台北市萬華區康定路,9.9年,大樓,建坪 25.1,主 + 陽12.69,2房2廳1衛,4樓/26樓,"1,888",1,萬華區
台北市萬華區西寧南路,35.4年,辦公/大樓,建坪 77.76,主 + 陽70.98,9房1廳10衛,11樓/13樓,"6,300",0,萬華區
台北市萬華區民和街,7.3年,店面/辦公/大樓,建坪 20.41,主 + 陽13.76,1廳1衛,1樓/13樓,"1,850",0,萬華區
台北市萬華區西寧南路,43.7年,套房,建坪 5.25,主建物3.58,1房1衛,5樓/11樓,498,0,萬華區
台北市萬華區東園街,59.9年,透天/店面,建坪 40.93,主建物35.44,4廳(含加蓋2廳),1-2樓/2樓,"3,288",0,萬華區
台北市萬華區東園街,44.4年,公寓,建坪 41.81,主建物37.51,3房2廳2衛(含加蓋1廳),1樓/5樓,"3,780",0,萬華區
台北市萬華區和平西路三段,49.1年,公寓,建坪 34.71,主 + 陽27.29,3房2廳1衛,4樓/5樓,"1,588",1,萬華區
台北市萬華區雙園街,52.2年,公寓,建坪 27.68,主 + 陽27.68,5房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,498",0,萬華區
台北市萬華區民和街,59.2年,透天,建坪 30.66,主建物30.66,8房3廳3衛1室(含加蓋4房1廳1衛1室),1-2樓/2樓,"3,988",0,萬華區
台北市萬華區德昌街,44.3年,公寓,建坪 31.47,主建物22.69,2房2廳1衛,1樓/5樓,"1,860",0,萬華區
台北市萬華區寶興街,55.0年,公寓,建坪 23.56,主 + 陽23.56,2廳2衛(含加蓋1廳1衛),3樓/3樓,"1,568",0,萬華區
台北市萬華區長沙街二段,7.0年,大樓,建坪 92.97,主 + 陽41.85,3房2廳2衛1室,18樓/18樓,"7,980",2,萬華區
台北市萬華區萬大路,62.5年,店面,建坪 48.98,主建物48.98,3廳3衛(含加蓋1衛),1-2樓/2樓,"5,880",0,萬華區
台北市萬華區莒光路,38.8年,店面/辦公,建坪 46.41,主建物14.92,2廳1衛(含加蓋1廳),1樓/7樓,"3,300",0,萬華區
台北市萬華區西寧南路,18.6年,大樓,建坪 37.96,主 + 陽22.61,2房2廳2衛,8樓/13樓,"3,228",1,萬華區
台北市萬華區莒光路,38.8年,店面,建坪 66.03,主建物24.61,2廳1衛2室(含加蓋1廳),1樓/7樓,"5,188",0,萬華區
台北市萬華區萬大路,38.1年,公寓,建坪 39.96,主 + 陽35.55,4房4廳3衛(含加蓋1房2廳1衛),5樓/5樓,"2,588",0,萬華區
台北市萬華區德昌街,41.1年,公寓,建坪 35.14,主 + 陽33.91,5房3廳3衛(含加蓋2房1廳1衛),5樓/5樓,"2,450",0,萬華區
台北市萬華區萬大路,23.3年,華廈,建坪 53.23,主 + 陽31.67,4房2廳2衛2室(含加蓋1房2室),6-7樓/7樓,"3,980",1,萬華區
台北市萬華區萬大路,47.8年,公寓,建坪 29.14,主 + 陽29.14,5房4廳3衛(含加蓋2房2廳2衛),5樓/5樓,"1,700",0,萬華區
台北市萬華區漢口街二段,8.4年,大樓/辦公,建坪 43.15,主 + 陽28.42,3房2廳2衛,2樓/15樓,"3,888",0,萬華區
台北市萬華區環河南路二段,42.5年,公寓,建坪 30.45,主 + 陽23.8,5房3廳2衛(含加蓋3房1廳1衛),5樓/5樓,"1,680",0,萬華區
台北市萬華區桂林路,6.4年,大樓,建坪 56.38,主 + 陽26.18,3房2廳2衛,3樓/24樓,"3,798",1,萬華區
台北市萬華區和平西路三段,66.1年,透天,建坪 73.71,主建物68.21,4房3廳2.5衛3室,1-3樓/3樓,"8,500",0,萬華區
台北市萬華區桂林路,28.6年,店面/大樓,建坪 53.75,主 + 陽26.34,4房4廳4衛1室(含加蓋4房1廳3衛1室),1樓/11樓,"4,380",1,萬華區
台北市萬華區艋舺大道,38.7年,公寓,建坪 36.76,主 + 陽29.06,4房3廳3衛1室(含加蓋2房1廳1衛),5樓/5樓,"1,688",0,萬華區
台北市萬華區和平西路三段,76.7年,店面/辦公,建坪 33.3,主建物27.51,4廳3衛(含加蓋1廳1衛),1-3樓/3樓,"4,680",0,萬華區
台北市萬華區峨眉街,20.1年,大樓,建坪 9.68,主 + 陽6.48,1房2廳1衛(含加蓋1房),3樓/11樓,"1,488",0,萬華區
台北市萬華區東園街,59.2年,透天/店面,建坪 29.41,主建物29.41,5房2廳3衛(含加蓋2房1衛),1-2樓/2樓,"2,500",0,萬華區
台北市萬華區雙園街,59.6年,公寓,建坪 39.77,主建物39.77,4房3廳3衛2室(含加蓋1房1廳1衛1室),2-3樓/3樓,"2,860",0,萬華區
台北市萬華區萬大路,50.2年,公寓,建坪 23.24,主 + 陽23.24,2房2廳1衛,4樓/4樓,"1,900",0,萬華區
台北市萬華區內江街,71.5年,店面/透天,建坪 43.97,主建物39.6,3廳1衛(含加蓋1廳),1-2樓/2樓,"17,800",0,萬華區
台北市萬華區和平西路三段,50.9年,透天/店面,建坪 35.43,主建物30.29,4房4廳5衛1室(含加蓋1房2衛1室),1-4樓/4樓,"4,680",0,萬華區
台北市萬華區和平西路三段,49.5年,公寓,建坪 48.1,主建物28.35,3房2廳2衛,B1-1樓/5樓,"2,780",0,萬華區
台北市萬華區西園路二段,25.6年,大樓,建坪 46.76,主 + 陽25.28,3房2廳2衛,8樓/13樓,"2,980",1,萬華區
台北市萬華區萬青街,65.9年,透天,建坪 42.92,主建物40.54,5房3廳2衛(含加蓋2房),1-2樓/2樓,"3,700",0,萬華區
台北市萬華區西藏路,52.4年,公寓/其它,建坪 23.44,主建物23.44,1房2廳1衛1室(含加蓋1房1室),1樓/4樓,"2,000",0,萬華區
台北市萬華區萬大路,63.7年,透天,建坪 28.63,主建物28.63,3房2廳4衛(含加蓋1房),1-2樓/2樓,"3,100",0,萬華區
台北市萬華區中華路二段,51.7年,公寓,建坪 27.18,主建物21.46,3房2廳1衛,B1-1樓/4樓,"2,480",0,萬華區
台北市萬華區昆明街,14.7年,大樓,建坪 54.38,主 + 陽27.78,2房2廳2衛,4樓/19樓,"4,000",1,萬華區
台北市萬華區東園街,53.3年,公寓,建坪 26.75,主建物26.75,3房1廳1衛,3樓/4樓,"1,650",0,萬華區
台北市萬華區西藏路,30.1年,華廈,建坪 34.99,主建物21.83,3房2廳1.5衛,1樓/8樓,"2,680",0,萬華區
台北市萬華區康定路,0.3年,大樓,建坪 14.85,主 + 陽9.69,1房1廳1衛,9樓/15樓,"1,388",0,萬華區
台北市萬華區萬大路,50.9年,公寓,建坪 13.88,主建物13.88,2房1廳1衛1室,2樓/5樓,988,0,萬華區
台北市萬華區貴陽街二段,預售,辦公/大樓,建坪 33.67,主+附 20.5,1廳1衛,2樓/15樓,"3,150",1,萬華區
台北市萬華區貴陽街二段,預售,大樓,建坪 35.93,主+附 21.75,3房2廳2衛,5樓/23樓,"3,580",1,萬華區
台北市萬華區環河南路一段,11.3年,大樓,建坪 96.31,主 + 陽52.44,4房2廳2衛,15樓/23樓,"7,550",1,萬華區
台北市萬華區開封街二段,0.7年,大樓,建坪 18.7,主 + 陽11.62,1房1廳1衛,11樓/15樓,"2,388",0,萬華區
台北市萬華區環河南路一段,42.7年,大樓,建坪 38.29,主 + 陽30.84,5房2廳4衛(含加蓋2房2衛),12樓/12樓,"2,800",0,萬華區
台北市萬華區東園街,58.7年,透天,建坪 33.99,主建物33.99,4房2廳3衛(含加蓋2房1衛),1-2樓/2樓,"3,680",0,萬華區
台北市萬華區西寧南路,9.7年,大樓,建坪 12.62,主 + 陽6.89,1房1廳1衛,9樓/13樓,"1,350",0,萬華區
台北市萬華區康定路,9.9年,大樓,建坪 16.24,主 + 陽10.27,1房1廳1衛,6樓/26樓,"1,298",0,萬華區
台北市萬華區貴陽街二段,預售,大樓,建坪 31.55,主+附 18.85,3房2廳2衛,8樓/23樓,"2,650",1,萬華區
台北市萬華區成都路,77.5年,店面,建坪 76.66,主建物71.55,4廳1衛(含加蓋1廳),1-3樓/3樓,"9,500",0,萬華區
台北市萬華區永福街,38.5年,華廈,建坪 36.59,主 + 陽29.93,3房2廳1衛1室,2樓/6樓,"2,680",0,萬華區
台北市萬華區武成街,62.8年,透天,建坪 17.01,主建物17.01,2房3廳2衛(含加蓋1廳),1-2樓/2樓,"1,468",0,萬華區
台北市萬華區西園路一段,20.7年,華廈,建坪 23.28,主 + 陽12.89,2房2衛,3樓/6樓,"1,600",0,萬華區
台北市萬華區康定路,預售,大樓,建坪 26.88,主+附 15.46,2房2廳1衛,2樓/15樓,"2,380",1,萬華區
台北市萬華區長沙街二段,28.6年,辦公/大樓,建坪 28.83,主 + 陽18.35,1廳1室,6樓/22樓,"1,950",0,萬華區
台北市萬華區西園路一段,37.2年,大樓,建坪 46.49,主 + 陽39.81,4房3廳3衛1室(含加蓋1房1廳1衛),12樓/12樓,"3,620",0,萬華區
台北市萬華區長沙街二段,28.6年,辦公/大樓,建坪 26.9,主 + 陽17.25,1廳1室,2樓/22樓,"1,860",0,萬華區
台北市萬華區水源路,28.4年,大樓,建坪 45.67,主 + 陽27.37,3房2廳1衛,1樓/16樓,"2,600",1,萬華區
台北市萬華區漢口街二段,13.8年,大樓,建坪 25.47,主建物15.65,2房2廳1衛,9樓/15樓,"2,675",0,萬華區
台北市萬華區國興路,43.7年,大樓,建坪 30.22,主 + 陽22.88,3房2廳2衛,12樓/12樓,"2,188",0,萬華區
台北市萬華區武成街,64.8年,透天,建坪 35.45,主建物35.45,4廳4衛1室(含加蓋1廳4衛1室),1-3樓/3樓,"2,580",0,萬華區
台北市萬華區青年路,51.0年,店面,建坪 10.65,主建物7.78,2廳1衛(含加蓋1衛),1樓/5樓,"1,388",0,萬華區
台北市萬華區長沙街二段,7.0年,店面,建坪 24.42,主建物12.61,1廳1衛,1樓/18樓,"2,588",0,萬華區
台北市萬華區成都路,48.5年,大樓,建坪 8.43,主建物6.46,1房1廳1衛,8樓/12樓,658,0,萬華區
台北市萬華區莒光路,8.2年,大樓,建坪 78.48,主 + 陽38.55,3房2廳2衛,2樓/15樓,"5,980",2,萬華區
台北市萬華區萬大路,39.3年,公寓,建坪 35.49,主建物29.82,1房2廳1衛2室(含加蓋2室),1樓/5樓,"2,860",0,萬華區
台北市萬華區廣州街,41.7年,華廈,建坪 100.56,主 + 陽90.1,17房17衛,8樓/9樓,"3,500",0,萬華區
台北市萬華區漢中街,44.5年,華廈,建坪 8.5,主 + 陽6.72,1房1廳1衛,5樓/6樓,880,0,萬華區
台北市萬華區貴陽街二段,20.4年,大樓,建坪 27.89,主 + 陽13.39,1房2廳1衛,12樓/12樓,"1,800",1,萬華區
台北市萬華區萬大路,57.0年,店面,建坪 25.72,主建物25.72,5房3廳4衛(含加蓋1房2廳1衛),1-3樓/3樓,"3,498",0,萬華區
台北市萬華區中華路一段,13.7年,大樓/辦公,建坪 65.37,主 + 陽34.56,3房2廳2衛,13樓/15樓,"4,890",1,萬華區
台北市萬華區西寧南路,14.0年,大樓,建坪 72.12,主 + 陽33.66,4房2廳2衛,20樓/27樓,"7,800",2,萬華區
台北市萬華區萬大路,38.6年,華廈,建坪 43.39,主 + 陽40.91,5房2廳2衛,2樓/6樓,"3,188",0,萬華區
台北市萬華區漢中街,21.4年,辦公/大樓,建坪 10.09,主 + 陽6.03,2房1廳1衛(含加蓋1房),3樓/13樓,918,0,萬華區
台北市萬華區成都路,23.2年,大樓,建坪 13.84,主 + 陽9.09,2房1廳1衛(含加蓋1房),12樓/13樓,"1,260",0,萬華區
台北市萬華區西寧南路,18.6年,大樓,建坪 14.37,主 + 陽9.98,1房1廳1衛,5樓/13樓,"1,290",0,萬華區
台北市萬華區成都路,10.4年,辦公/大樓,建坪 47.38,主 + 陽24.62,2房2廳1衛,15樓/15樓,"3,527",1,萬華區
