路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位,行政區
台北市中正區同安街,34.2年,店面,建坪 10.54,主建物8.63,1廳1衛1室(含加蓋1室),1樓/7樓,"2,250",0,中正區
台北市中正區南昌路二段,18.1年,大樓,建坪 47.57,主 + 陽24.94,1房2廳2衛1室,2樓/14樓,"5,280",1,中正區
台北市中正區汀州路三段,51.0年,公寓,建坪 31.8,主 + 陽31.79,4房2廳2衛,2樓/4樓,"2,538",0,中正區
台北市中正區寧波西街,38.1年,華廈,建坪 33.95,主 + 陽27.21,4房2廳2衛,5樓/7樓,"2,990",0,中正區
台北市中正區羅斯福路一段,16.5年,大樓,建坪 18.13,主建物10.3,2房1廳1衛(含加蓋1房),13樓/14樓,"2,990",0,中正區
台北市中正區濟南路二段,18.3年,華廈,建坪 28.37,主 + 陽11,2房2廳1衛1室(含加蓋1房),3樓/7樓,"2,688",1,中正區
台北市中正區信義路二段,17.6年,大樓,建坪 49.7,主 + 陽33.61,3房2廳2衛2室,13樓/13樓,"8,680",1,中正區
台北市中正區師大路,44.2年,店面/辦公/大樓,建坪 109.83,主建物45.86,1廳1衛1室,1樓/12樓,"5,800",2,中正區
台北市中正區信義路二段,47.8年,大樓,建坪 56.99,主 + 陽51.08,4房2廳2衛,12樓/12樓,"5,588",0,中正區
台北市中正區和平西路一段,14.7年,大樓,建坪 87.83,主 + 陽46.31,4房2廳2衛1室,11樓/18樓,"9,888",1,中正區
台北市中正區金山南路一段,16.0年,大樓,建坪 47.46,主 + 陽27.25,3房2廳2衛1室,5樓/11樓,"6,388",1,中正區
台北市中正區新生南路一段,16.2年,大樓,建坪 74.16,主 + 陽44.16,3房2廳2衛1室,15樓/15樓,"9,988",1,中正區
台北市中正區杭州南路一段,2.4年,大樓,建坪 95.31,主 + 陽46.58,4房2廳2衛,5樓/22樓,"9,980",2,中正區
台北市中正區丹陽街,0.8年,大樓,建坪 90.44,主 + 陽42.87,4房2廳3衛,9樓/11樓,"13,200",2,中正區
台北市中正區同安街,0.7年,店面,建坪 23.19,主建物10.94,1廳1衛,1樓/7樓,"4,340",1,中正區
台北市中正區重慶南路三段,14.0年,大樓,建坪 49.73,主 + 陽30.02,3房2廳2衛,10樓/15樓,"4,360",1,中正區
台北市中正區濟南路一段,20.2年,大樓,建坪 83.23,主 + 陽49.22,4房2廳2衛1室,13樓/15樓,"12,630",1,中正區
台北市中正區金山南路一段,16.0年,大樓,建坪 64.51,主 + 陽37.29,4房2廳2衛,7樓/11樓,"8,800",2,中正區
台北市中正區廈門街,58.3年,公寓,建坪 44.7,主 + 陽44.71,4房3廳2衛1室(含加蓋1廳1室),4樓/4樓,"2,928",0,中正區
台北市中正區開封街一段,37.5年,店面,建坪 92.23,主建物41.5,1廳2衛(含加蓋2衛),1樓/12樓,"9,888",0,中正區
台北市中正區杭州南路一段,2.4年,大樓,建坪 75.89,主 + 陽50.42,2房2廳2衛,2樓/22樓,"11,700",0,中正區
台北市中正區忠孝東路二段,17.8年,大樓,建坪 91.06,主 + 陽49.94,3房2廳2衛,6樓/14樓,"11,528",1,中正區
台北市中正區羅斯福路三段,4.8年,店面,建坪 34.93,主建物18.91,1廳1衛,1樓/22樓,"6,500",0,中正區
台北市中正區羅斯福路一段,16.9年,大樓,建坪 130.24,主 + 陽94.28,4房2廳4衛2室,13樓/14樓,"17,588",4,中正區
台北市中正區泰安街,20.1年,大樓,建坪 122.45,主 + 陽55.96,4房2廳2衛2室(含加蓋1房),5樓/11樓,"12,800",3,中正區
台北市中正區重慶南路三段,49.8年,公寓,建坪 38.37,主 + 陽38.37,3房2廳2衛,3樓/4樓,"2,880",0,中正區
台北市中正區博愛路,10.4年,辦公/大樓,建坪 38.5,主 + 陽24.44,2房2廳2衛1室,5樓/15樓,"4,800",1,中正區
台北市中正區仁愛路二段,45.4年,大樓/辦公,建坪 74.28,主 + 陽49.47,3房2廳2衛1室,10樓/12樓,"6,998",2,中正區
台北市中正區同安街,29.1年,華廈,建坪 28.41,主 + 陽7.85,2房1廳1衛(含加蓋2房),6樓/7樓,"2,108",1,中正區
台北市中正區青島東路,39.7年,華廈,建坪 36.54,主 + 陽26.94,3房2廳2衛,3樓/7樓,"4,199",0,中正區
台北市中正區杭州南路一段,2.4年,大樓,建坪 80.84,主 + 陽40.22,2廳2衛,18樓/22樓,"10,588",2,中正區
台北市中正區水源路,6.9年,大樓,建坪 46.52,主 + 陽23.97,3房2廳2衛,9樓/15樓,"4,988",1,中正區
台北市中正區南海路,預售,華廈,建坪 22.06,主+附 14.38,2房2廳1衛,4樓/10樓,"2,666",0,中正區
台北市中正區仁愛路一段,27.6年,大樓,建坪 57.17,主 + 陽35.32,3房2廳2衛1室,14樓/16樓,"6,888",1,中正區
台北市中正區臨沂街,17.7年,華廈,建坪 45.51,主 + 陽21.71,2房2廳1衛,4樓/6樓,"4,586",1,中正區
台北市中正區廈門街,39.0年,透天,建坪 45.31,主 + 陽26.49,7房2廳3衛1室(含加蓋4房1衛),B1-2樓/2樓,"6,188",0,中正區
台北市中正區中華路二段,51.8年,華廈,建坪 22,主 + 陽13.46,1房2廳1衛,6樓/7樓,"1,966",0,中正區
台北市中正區羅斯福路二段,38.2年,大樓,建坪 27.53,主 + 陽21.21,3房2廳2衛,3樓/12樓,"2,998",0,中正區
台北市中正區寧波西街,67.0年,透天,建坪 63.13,主建物58.24,4房3廳5衛2室,1-3樓/3樓,"7,888",0,中正區
台北市中正區延平南路,8.1年,辦公/大樓,建坪 19.28,主 + 陽12.46,2房2廳1衛,9樓/15樓,"2,680",0,中正區
台北市中正區信義路二段,7.7年,大樓,建坪 42.82,主 + 陽21.04,2廳1衛,11樓/14樓,"6,388",2,中正區
台北市中正區青島西路,37.5年,大樓,建坪 50.96,主 + 陽37.16,2房2廳2衛,15樓/16樓,"5,000",0,中正區
台北市中正區廈門街,預售,大樓,建坪 47.67,主+附 30.75,3房2廳2衛,10樓/15樓,"5,488",0,中正區
台北市中正區銅山街,48.6年,華廈,建坪 41.32,主建物36.04,4房2廳3衛(含加蓋1衛),1樓/7樓,"7,800",0,中正區
台北市中正區仁愛路一段,48.5年,大樓/辦公,建坪 29.53,主建物25.31,1房2廳1衛,8樓/12樓,"3,288",0,中正區
台北市中正區廈門街,9.4年,店面/辦公/大樓,建坪 31.66,主建物11.85,1廳1衛,1樓/11樓,"3,500",1,中正區
台北市中正區紹興北街,17.4年,華廈,建坪 58.73,主 + 陽32.19,4房2廳2衛,5樓/9樓,"6,350",1,中正區
台北市中正區忠孝東路二段,0.5年,大樓,建坪 26,主 + 陽15.72,2房2廳1衛,4樓/21樓,"3,638",0,中正區
台北市中正區廈門街,預售,大樓,建坪 39.49,主+附 25.47,3房2廳2衛,8樓/15樓,"4,438",0,中正區
台北市中正區林森南路,25.4年,套房,建坪 17.87,主 + 陽8.55,1房1廳1衛,6樓/12樓,"2,460",1,中正區
台北市中正區忠孝東路二段,0.5年,大樓,建坪 25.67,主 + 陽15.85,1房2廳1衛,3樓/21樓,"3,568",0,中正區
台北市中正區羅斯福路三段,49.8年,大樓,建坪 10.79,主建物10.16,2房1廳1衛1室,4樓/12樓,"1,380",0,中正區
台北市中正區延平南路,51.8年,華廈,建坪 50.09,主 + 陽41.55,3房2廳2衛1室,3樓/7樓,"4,480",0,中正區
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 47.42,主 + 陽31.92,1房2廳2衛,15樓/15樓,"5,989",0,中正區
台北市中正區忠孝西路一段,49.0年,店面,建坪 23.52,主建物10.22,1廳,1樓/11樓,"2,300",0,中正區
台北市中正區金華街,38.2年,華廈,建坪 41.76,主 + 陽38.76,2房2廳2衛,8樓/9樓,"4,988",0,中正區
台北市中正區廈門街,10.8年,大樓,建坪 35.65,主 + 陽18.26,2房2廳1衛,14樓/15樓,"3,588",1,中正區
台北市中正區南昌路一段,7.2年,大樓,建坪 34.41,主 + 陽18.07,1房2廳1衛,15樓/15樓,"5,250",1,中正區
台北市中正區南昌路二段,29.3年,大樓/辦公,建坪 37.4,主建物17.65,2房2廳1衛,3樓/11樓,"3,380",1,中正區
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 46.57,主 + 陽20.56,1房1廳1衛1室,7樓/15樓,"4,080",1,中正區
台北市中正區水源路,6.9年,大樓,建坪 46.52,主 + 陽23.97,3房2廳2衛,5樓/15樓,"4,696",1,中正區
台北市中正區思源街,25.4年,大樓,建坪 51.42,主 + 陽29.61,3房2廳2衛,3樓/12樓,"5,000",1,中正區
台北市中正區汀州路一段,9.6年,店面,建坪 16.24,主建物7.51,1廳1衛,1樓/9樓,"1,768",1,中正區
台北市中正區汀州路二段,17.9年,華廈,建坪 38.09,主 + 陽24.36,2房2廳2衛,4樓/10樓,"4,180",1,中正區
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 30,主 + 陽20.56,1房1廳1衛1室,7樓/15樓,"3,780",0,中正區
台北市中正區牯嶺街,5.7年,大樓,建坪 72.81,主 + 陽40.3,4房2廳2.5衛,2樓/14樓,"7,258",1,中正區
台北市中正區南昌路一段,33.8年,大樓,建坪 39.95,主 + 陽34.35,3房2廳2衛,10樓/12樓,"4,600",0,中正區
台北市中正區水源路,33.6年,辦公/大樓,建坪 139.11,主 + 陽103.51,2廳2衛6室(含加蓋1室),3樓/16樓,"15,800",2,中正區
台北市中正區水源路,6.9年,大樓,建坪 46.3,主 + 陽23.64,3房2廳2衛,4樓/15樓,"4,576",1,中正區
台北市中正區忠孝東路一段,6.6年,大樓,建坪 17.16,主 + 陽10.59,1房1廳1衛,6樓/13樓,"2,588",0,中正區
台北市中正區和平西路一段,47.4年,大樓/套房,建坪 8.63,主建物6.71,1廳1衛,7樓/12樓,"1,280",0,中正區
台北市中正區中華路二段,41.1年,華廈,建坪 52.33,主 + 陽43.99,5房2廳3衛,7樓/7樓,"3,588",0,中正區
台北市中正區水源路,6.9年,大樓,建坪 41.36,主 + 陽21.18,3房2廳2衛,2樓/15樓,"4,180",1,中正區
台北市中正區延平南路,8.1年,辦公/大樓,建坪 28.06,主 + 陽12.46,1房1廳1衛1室,11樓/15樓,"2,988",1,中正區
台北市中正區仁愛路一段,11.6年,華廈,建坪 69.89,主 + 陽31.54,5房2廳2衛(含加蓋1房),6樓/9樓,"8,899",1,中正區
台北市中正區和平西路一段,14.7年,大樓,建坪 101.29,主 + 陽46.31,3房2廳2衛1室,12樓/18樓,"8,988",2,中正區
台北市中正區杭州南路一段,9.9年,華廈,建坪 19.45,主 + 陽12.32,2房2廳1衛,5樓/7樓,"3,228",0,中正區
台北市中正區同安街,59.7年,其它,建坪 21.81,主建物21.81,3房2廳1衛,2樓/3樓,"2,168",0,中正區
台北市中正區林森南路,25.4年,套房,建坪 13.17,主 + 陽8.55,1廳1衛,7樓/12樓,"2,498",0,中正區
台北市中正區中華路二段,43.1年,華廈,建坪 71.95,主 + 陽58.71,5房3廳3衛3室(含加蓋1房1廳1衛3室),7樓/7樓,"4,980",0,中正區
台北市中正區廈門街,15.5年,大樓,建坪 32.16,主 + 陽18.8,3房2廳1衛,7樓/14樓,"2,888",1,中正區
台北市中正區廈門街,預售,大樓,建坪 35.77,主+附 23.07,3房2廳2衛,14樓/15樓,"4,178",0,中正區
台北市中正區羅斯福路四段,20.2年,辦公/大樓,建坪 27.54,主 + 陽18.89,1廳1衛,7樓/15樓,"3,380",0,中正區
台北市中正區信義路二段,44.8年,大樓/辦公,建坪 22.38,主 + 陽18.98,1房2廳1衛,12樓/12樓,"2,868",0,中正區
台北市中正區仁愛路二段,18.2年,大樓,建坪 97.03,主 + 陽50.86,4房2廳3衛2室,13-14樓/15樓,"12,368",1,中正區
台北市中正區新生南路一段,39.7年,大樓,建坪 39.47,主 + 陽32.45,4房2廳2衛,9樓/12樓,"3,780",0,中正區
台北市中正區仁愛路二段,49.3年,大樓,建坪 47.92,主 + 陽39.9,3房2廳2衛3室,10樓/12樓,"6,500",0,中正區
台北市中正區連雲街,1.9年,大樓,建坪 63.28,主 + 陽33.51,3房2廳2衛,10樓/13樓,"9,980",1,中正區
台北市中正區汀州路三段,27.2年,大樓,建坪 13.52,主 + 陽9.75,1房2廳1衛(含加蓋1房),4樓/13樓,"1,486",0,中正區
台北市中正區同安街,29.1年,華廈,建坪 48.99,主 + 陽35.93,4房2廳2衛1室(含加蓋1房1室),1樓/7樓,"5,988",1,中正區
台北市中正區廈門街,28.5年,華廈,建坪 14.56,主 + 陽10.28,1房1廳1衛,9樓/10樓,"1,320",0,中正區
台北市中正區羅斯福路二段,36.7年,辦公/大樓,建坪 23.74,主 + 陽19.1,1房2廳1衛,8樓/12樓,"2,850",0,中正區
台北市中正區臨沂街,8.1年,華廈,建坪 32.65,主 + 陽17.25,3房2廳2衛,4樓/5樓,"5,400",1,中正區
台北市中正區和平西路二段,39.8年,華廈,建坪 52.28,主 + 陽49.24,5房2廳2衛,2樓/7樓,"3,988",0,中正區
台北市中正區杭州南路一段,40.6年,華廈,建坪 48.75,主 + 陽45.9,4房2廳2衛,6樓/7樓,"6,780",0,中正區
台北市中正區忠孝東路二段,0.5年,大樓,建坪 22.7,主 + 陽13.77,2房2廳1衛,6樓/21樓,"3,500",0,中正區
台北市中正區襄陽路,15.9年,辦公/大樓,建坪 23.67,主 + 陽13.28,1廳1衛1室,7樓/15樓,"2,600",1,中正區
台北市中正區南昌路二段,20.8年,大樓,建坪 10.72,主 + 陽7.38,1房1廳1衛,7樓/11樓,"1,680",0,中正區
台北市中正區杭州南路一段,40.6年,華廈,建坪 62.61,主 + 陽57.11,4房2廳2衛1室,6樓/7樓,"8,707",0,中正區
台北市中正區汀州路三段,46.3年,店面,建坪 43.04,主建物23.86,1廳,1樓/7樓,"13,680",0,中正區
台北市中正區臨沂街,57.4年,華廈,建坪 46.55,主 + 陽45.6,4房2廳2衛,2樓/4樓,"4,105",0,中正區
台北市中正區博愛路,10.4年,大樓/辦公,建坪 38.42,主 + 陽24.49,2房2廳2衛,12樓/15樓,"4,980",1,中正區
台北市中正區南昌路一段,34.0年,華廈,建坪 52.71,主建物35.56,3房2廳2衛1室,1樓/6樓,"6,200",1,中正區
台北市中正區南海路,1.1年,華廈,建坪 37.33,主 + 陽15.98,2房2廳1衛,3樓/7樓,"3,280",1,中正區
台北市中正區南海路,1.1年,華廈,建坪 37.19,主 + 陽15.98,2房2廳1衛,2樓/7樓,"3,221",1,中正區
台北市中正區漢口街一段,26.5年,大樓/辦公,建坪 46.7,主建物27.76,4廳1衛1室,5樓/13樓,"4,710",1,中正區
台北市中正區開封街一段,18.4年,大樓,建坪 12.04,主建物7.75,1廳1衛,5樓/14樓,"1,300",0,中正區
台北市中正區忠孝東路二段,0.5年,大樓,建坪 22.7,主 + 陽13.77,1房1廳1衛1室,12樓/21樓,"3,680",0,中正區
台北市中正區同安街,0.7年,華廈,建坪 51.81,主 + 陽23.83,3房2廳2衛,6樓/7樓,"6,388",1,中正區
台北市中正區臨沂街,49.4年,公寓,建坪 26.32,主 + 陽26.32,3房2廳1衛(含加蓋1廳),2樓/5樓,"3,200",0,中正區
台北市中正區師大路,49.1年,公寓,建坪 40.83,主 + 陽35.74,4房2廳2衛1室,2樓/5樓,"3,850",0,中正區
台北市中正區信陽街,46.1年,辦公,建坪 25.1,主 + 陽19.49,3房2廳2衛,5樓/5樓,999,0,中正區
台北市中正區詔安街,53.0年,公寓,建坪 22.67,主 + 陽22.67,4房3廳2衛1室(含加蓋2房1廳1衛),4樓/4樓,"1,780",0,中正區
台北市中正區信陽街,46.1年,辦公,建坪 14.59,主建物8.98,2房2廳1衛,5樓/5樓,668,0,中正區
台北市中正區信陽街,46.1年,辦公,建坪 19.16,主建物13.55,2房2廳1衛,5樓/5樓,799,0,中正區
台北市中正區三元街,51.2年,店面/辦公,建坪 27.14,主建物20.08,2房1廳2衛1室(含加蓋1房1衛1室),1樓/4樓,"3,890",0,中正區
台北市中正區牯嶺街,39.2年,店面/辦公/大樓,建坪 20.47,主建物16.5,1廳1衛1室,1樓/12樓,"2,886",0,中正區
台北市中正區泉州街,18.3年,華廈,建坪 47.5,主 + 陽27.34,3房2廳2衛,2樓/7樓,"3,500",1,中正區
台北市中正區詔安街,48.6年,華廈,建坪 43.96,主 + 陽37.48,3房2廳2衛1室,2樓/7樓,"2,768",0,中正區
台北市中正區杭州南路一段,2.4年,大樓,建坪 72.54,主 + 陽39.9,4房2廳2衛,12樓/21樓,"9,988",1,中正區
台北市中正區同安街,0.7年,華廈,建坪 51.81,主 + 陽23.83,1廳,2樓/7樓,"5,988",1,中正區
台北市中正區汀州路三段,53.5年,公寓/辦公,建坪 32.29,主建物32.29,7房1廳5衛(含加蓋1衛),1樓/4樓,"3,998",0,中正區
台北市中正區開封街一段,37.5年,店面,建坪 2.16,主建物0.97,1廳,1樓/12樓,998,0,中正區
台北市中正區南昌路二段,41.3年,公寓/辦公,建坪 58.42,主建物25.09,3房3廳2衛(含加蓋0.5衛),B1-1樓/5樓,"4,700",0,中正區
台北市中正區廈門街,7.4年,大樓,建坪 42.21,主 + 陽20.03,2房2廳1衛,4樓/12樓,"3,680",1,中正區
台北市中正區忠孝東路二段,預售,大樓,建坪 25.67,主+附 16.43,1房1廳1衛,15樓/21樓,"3,788",0,中正區
台北市中正區連雲街,60.7年,公寓,建坪 39.5,主建物39.5,3房2廳1.5衛1室,3樓/4樓,"4,380",0,中正區
台北市中正區汀州路三段,54.5年,華廈,建坪 32.64,主 + 陽32.63,3房2廳2衛,2樓/7樓,"3,488",0,中正區
台北市中正區武昌街一段,80.2年,透天/店面,建坪 59.9,主建物59.9,6房5廳3衛2室(含加蓋1房1廳1衛2室),1-3樓/3樓,"8,288",0,中正區
台北市中正區重慶南路三段,53.2年,公寓,建坪 16.16,主 + 陽16.16,3房1廳1衛,5樓/5樓,"1,488",0,中正區
台北市中正區廈門街,8.7年,店面,建坪 22.32,主建物14.99,1廳1衛,1樓/19樓,"3,750",0,中正區
台北市中正區忠孝東路二段,17.8年,大樓,建坪 102.62,主 + 陽49.94,3房2廳2衛2室,3樓/14樓,"11,130",2,中正區
台北市中正區水源路,6.9年,大樓,建坪 40.32,主 + 陽21.05,2房2廳2衛,2樓/15樓,"4,068",1,中正區
台北市中正區羅斯福路一段,16.9年,大樓,建坪 65.12,主 + 陽47.14,2房2廳2衛1室,13樓/14樓,"9,980",2,中正區
台北市中正區汀州路二段,30.1年,大樓,建坪 43.03,主 + 陽25.43,2房2廳1衛1室,3樓/14樓,"3,368",1,中正區
台北市中正區臨沂街,62.5年,公寓,建坪 20.36,主建物19.02,1廳1衛,2樓/2樓,"3,450",0,中正區
台北市中正區衡陽路,7.7年,大樓,建坪 24.95,主 + 陽12.73,1房1廳1衛,9樓/15樓,"2,950",1,中正區
台北市中正區杭州南路一段,2.9年,大樓,建坪 128.42,主 + 陽56.61,3房2廳3衛1室,14樓/20樓,"19,998",3,中正區
台北市中正區羅斯福路三段,49.8年,大樓,建坪 34,主 + 陽30.2,2房2廳2衛1室,9樓/12樓,"2,950",0,中正區
台北市中正區和平西路一段,44.3年,大樓,建坪 34.3,主 + 陽30.86,3房2廳2衛1室,2樓/12樓,"2,988",0,中正區
台北市中正區羅斯福路二段,38.3年,店面/辦公/大樓,建坪 22.07,主 + 陽16.18,2廳1衛,1樓/12樓,"4,700",0,中正區
台北市中正區忠孝東路一段,43.3年,辦公/大樓,建坪 153.17,主建物118.63,2廳2衛5室(含加蓋2衛),7樓/12樓,"18,800",0,中正區
台北市中正區南昌路二段,46.5年,辦公,建坪 57.87,主 + 陽56.2,2廳4衛4室(含加蓋1廳4衛4室),8樓/8樓,"5,500",0,中正區
台北市中正區和平西路一段,48.2年,華廈/辦公,建坪 37.35,主 + 陽31.33,4房2廳2衛(含加蓋1衛),2樓/8樓,"3,000",0,中正區
台北市中正區重慶南路一段,43.4年,辦公,建坪 16.67,主 + 陽13.41,1廳1室,8樓/8樓,"1,425",0,中正區
台北市中正區羅斯福路三段,53.0年,公寓,建坪 19.13,主 + 陽19.13,1房1廳1衛1室,2樓/4樓,"1,700",0,中正區
台北市中正區羅斯福路一段,16.9年,大樓,建坪 65.12,主 + 陽47.14,3房2廳2衛,13樓/14樓,"9,980",2,中正區
台北市中正區博愛路,12.4年,大樓,建坪 226.27,主 + 陽108.11,2廳4.5衛1室,9樓/12樓,"42,880",5,中正區
台北市中正區羅斯福路三段,53.0年,公寓,建坪 16.62,主建物16.62,3房2廳2衛(含加蓋1衛),1樓/4樓,"2,600",0,中正區
台北市中正區博愛路,10.4年,大樓/辦公,建坪 49.52,主 + 陽32.34,3房2廳2衛,5樓/15樓,"5,888",1,中正區
台北市中正區臨沂街,1.9年,華廈,建坪 50.75,主 + 陽26.09,2廳2衛,1樓/10樓,"8,288",1,中正區
台北市中正區羅斯福路一段,43.2年,大樓/套房,建坪 13.21,主建物9.69,1房1廳1衛,6樓/12樓,"1,535",0,中正區
台北市中正區公園路,58.5年,店面/辦公,建坪 23.29,主建物23.29,3房1廳1衛(含加蓋1衛),3樓/5樓,600,0,中正區
台北市中正區羅斯福路四段,40.6年,店面,建坪 28.2,主建物21.2,2廳1衛1室(含加蓋1衛1室),1樓/12樓,"7,500",0,中正區
台北市中正區杭州南路一段,35.3年,華廈,建坪 42.75,主建物16.6,3房2廳2衛(含加蓋1衛),B1-1樓/5樓,"4,308",0,中正區
台北市中正區汀州路三段,44.9年,華廈,建坪 32.13,主 + 陽28.29,3房2廳2衛,6樓/7樓,"2,780",0,中正區
台北市中正區信義路一段,29.8年,店面,建坪 35.08,主建物26.32,2房1廳2衛,1樓/12樓,"4,890",0,中正區
台北市中正區詔安街,36.8年,公寓,建坪 33.56,主建物27.62,3房2廳2衛,1樓/4樓,"2,580",0,中正區
台北市中正區汀州路一段,50.7年,公寓,建坪 32.19,主 + 陽32.19,3房2廳1衛1室,3樓/4樓,"1,188",0,中正區
台北市中正區南海路,1.1年,華廈,建坪 37.33,主 + 陽15.98,2房2廳1衛,4樓/7樓,"3,280",1,中正區
台北市中正區愛國東路,46.4年,華廈/辦公,建坪 43.21,主 + 陽43.21,1房3廳2衛,4樓/7樓,"5,380",0,中正區
台北市中正區同安街,0.9年,華廈,建坪 22.38,主 + 陽13.88,1房2廳2衛,1樓/9樓,"2,488",0,中正區
台北市中正區中華路二段,45.3年,公寓,建坪 19.42,主 + 陽19.42,3房1廳1衛,3樓/5樓,"1,550",0,中正區
台北市中正區汀州路二段,24.1年,店面/辦公,建坪 38.87,主 + 陽20.37,2房1廳1.5衛4室(含加蓋1廳),1樓/7樓,"5,688",0,中正區
台北市中正區仁愛路二段,15.4年,華廈,建坪 39.65,主 + 陽21.4,3房2廳1衛,1樓/7樓,"4,588",1,中正區
台北市中正區金華街,19.6年,大樓,建坪 95.4,主 + 陽54.25,4房2廳2.5衛2室,4樓/13樓,"12,888",2,中正區
台北市中正區中華路二段,44.9年,華廈,建坪 16.22,主 + 陽13.38,1房1廳1衛,5樓/7樓,"1,266",0,中正區
台北市中正區杭州南路一段,42.8年,公寓,建坪 28.08,主 + 陽25.05,3房1廳1衛1室,4樓/5樓,"3,180",0,中正區
台北市中正區博愛路,48.2年,店面/辦公,建坪 283.4,主建物227.91,3廳4衛4室(含加蓋1衛3室),1樓/10樓,"56,680",0,中正區
台北市中正區汀州路三段,51.9年,店面,建坪 33.51,主建物22.33,1廳1衛1室(含加蓋1衛1室),1樓/4樓,"8,300",0,中正區
台北市中正區羅斯福路四段,20.2年,大樓,建坪 43.06,主 + 陽28.97,2房2廳2衛,15樓/15樓,"5,488",0,中正區
台北市中正區忠孝東路二段,53.0年,辦公/大樓,建坪 71.16,主 + 陽57.92,2廳3室,3樓/11樓,"9,180",0,中正區
台北市中正區汀州路三段,25.4年,華廈,建坪 46.67,主 + 陽23.81,2房2廳1.5衛,4樓/9樓,"4,580",1,中正區
台北市中正區武昌街一段,27.1年,店面,建坪 36.73,主建物21.13,1房1廳1衛,-1樓/10樓,"5,280",0,中正區
台北市中正區忠孝東路二段,53.0年,辦公/大樓,建坪 38.06,主建物31.44,1廳3室,3樓/11樓,"4,910",0,中正區
台北市中正區和平西路二段,46.1年,華廈,建坪 61.89,主 + 陽61.88,6房3廳3衛(含加蓋1房),3樓/7樓,"4,580",0,中正區
台北市中正區漢口街一段,1.8年,大樓,建坪 39.32,主 + 陽16.73,2房2廳1衛1室,10樓/15樓,"4,498",1,中正區
台北市中正區新生南路一段,11.1年,大樓,建坪 116.46,主 + 陽61.96,2廳3衛,5樓/14樓,"18,800",1,中正區
台北市中正區和平西路一段,40.8年,大樓,建坪 42.38,主 + 陽35.84,2房2廳2衛,7樓/12樓,"4,371",0,中正區
台北市中正區博愛路,34.9年,辦公/大樓,建坪 42.58,主 + 陽33.57,1廳1衛,6樓/13樓,"4,980",0,中正區
台北市中正區廈門街,32.7年,華廈,建坪 58.78,主建物21.59,4房3廳4衛1室,B1-1樓/5樓,"4,488",1,中正區
台北市中正區信義路二段,7.7年,大樓/套房,建坪 13.48,主 + 陽8.52,1房1廳1衛,5樓/14樓,"2,380",0,中正區
台北市中正區同安街,4.3年,店面/辦公/大樓,建坪 31.7,主 + 陽15.27,2廳1衛1室(含加蓋1室),1樓/18樓,"3,880",1,中正區
台北市中正區和平西路二段,28.6年,大樓,建坪 14.83,主建物7.31,2房2廳1衛(含加蓋1房1廳),2樓/11樓,"1,560",0,中正區
台北市中正區杭州南路一段,13.8年,華廈,建坪 128.77,主 + 陽68.26,4房2廳3衛2室,2-3樓/7樓,"14,988",2,中正區
台北市中正區師大路,13.5年,店面/辦公/大樓,建坪 42.4,主 + 陽23.15,2廳2衛,1樓/14樓,"4,980",0,中正區
台北市中正區寧波西街,20.8年,大樓,建坪 25.23,主建物15.99,4房3廳2衛1室(含加蓋2房1廳1衛),11樓/11樓,"4,767",0,中正區
台北市中正區牯嶺街,4.4年,大樓,建坪 52.27,主 + 陽26.02,2房2廳2衛,13樓/14樓,"6,488",1,中正區
台北市中正區羅斯福路四段,58.7年,店面/辦公,建坪 18.61,主建物18.61,4廳2衛(含加蓋1廳1衛),1-3樓/3樓,"5,988",0,中正區
台北市中正區師大路,61.8年,透天,建坪 39.6,主建物39.6,5房4廳4衛1室(含加蓋1房1廳1衛1室),1-2樓/2樓,"7,980",0,中正區
台北市中正區南昌路二段,20.8年,大樓,建坪 28.09,主 + 陽18.57,2房1廳1衛,2樓/11樓,"3,100",1,中正區
台北市中正區重慶南路三段,17.3年,大樓,建坪 10.7,主 + 陽7.37,1房1廳1衛,10樓/12樓,"1,080",0,中正區
台北市中正區羅斯福路三段,39.7年,華廈,建坪 44.8,主 + 陽42.25,5房3廳3衛(含加蓋2房1廳1衛),6樓/6樓,"5,380",0,中正區
台北市中正區羅斯福路三段,0.3年,大樓,建坪 17.44,主 + 陽9.18,1房1廳1衛,13樓/14樓,"2,633",1,中正區
台北市中正區羅斯福路四段,20.2年,大樓,建坪 12.07,主 + 陽8.08,1房1廳2衛1室(含加蓋1房1衛1室),13樓/15樓,"1,799",0,中正區
台北市中正區新生南路一段,64.9年,店面/透天,建坪 95.65,主建物88.9,7房4廳2衛4室(含加蓋2房1廳4室),1-3樓/3樓,"24,000",0,中正區
台北市中正區羅斯福路四段,20.2年,大樓,建坪 15.17,主 + 陽10.16,2房2廳1衛1室(含加蓋2房1室),14樓/15樓,"2,300",0,中正區
台北市中正區南昌路一段,16.0年,店面/辦公/大樓,建坪 91.39,主 + 陽57.5,1廳2衛2室,2樓/18樓,"7,900",0,中正區
台北市中正區仁愛路二段,42.0年,華廈,建坪 57.56,主 + 陽38.02,4房2廳2衛(含加蓋1房1衛),5-6樓/6樓,"6,880",0,中正區
