路段,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,單價(萬/坪)
台北市中正區仁愛路一段,27.6,57.17,6888.0,1,3.0,2.0,2.0,1.0,0,16.0,14,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120.48277068392512
台北市中正區臨沂街,17.7,45.51,4586.0,1,2.0,2.0,1.0,0.0,0,6.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.7690617446715
台北市中正區廈門街,39.0,45.31,6188.0,0,7.0,2.0,3.0,1.0,1,2.0,-1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136.5702935334363
台北市中正區中華路二段,51.8,22.0,1966.0,0,1.0,2.0,1.0,0.0,0,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89.36363636363636
台北市中正區羅斯福路二段,38.2,27.53,2998.0,0,3.0,2.0,2.0,0.0,0,12.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108.8993824918271
台北市中正區寧波西街,67.0,63.13,7888.0,0,4.0,3.0,5.0,2.0,0,3.0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,124.94851892919372
台北市中正區信義路二段,7.7,42.82,6388.0,2,0.0,2.0,1.0,0.0,0,14.0,11,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,149.18262494161607
台北市中正區青島西路,37.5,50.96,5000.0,0,2.0,2.0,2.0,0.0,0,16.0,15,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.11616954474097
台北市中正區銅山街,48.6,41.32,7800.0,0,4.0,2.0,3.0,0.0,1,7.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,188.7705711519845
台北市中正區仁愛路一段,48.5,29.53,3288.0,0,1.0,2.0,1.0,0.0,0,12.0,8,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,111.34439552996952
台北市中正區紹興北街,17.4,58.73,6350.0,1,4.0,2.0,2.0,0.0,0,9.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.12191384301039
台北市中正區忠孝東路二段,0.5,26.0,3638.0,0,2.0,2.0,1.0,0.0,0,21.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,139.92307692307693
台北市中正區林森南路,25.4,17.87,2460.0,1,1.0,1.0,1.0,0.0,0,12.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137.66088416340233
台北市中正區忠孝東路二段,0.5,25.67,3568.0,0,1.0,2.0,1.0,0.0,0,21.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,138.99493572263341
台北市中正區羅斯福路三段,49.8,10.79,1380.0,0,2.0,1.0,1.0,1.0,0,12.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127.89620018535682
台北市中正區延平南路,51.8,50.09,4480.0,0,3.0,2.0,2.0,1.0,0,7.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89.4390097823917
台北市中正區金華街,38.2,41.76,4988.0,0,2.0,2.0,2.0,0.0,0,9.0,8,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119.44444444444446
台北市中正區廈門街,10.8,35.65,3588.0,1,2.0,2.0,1.0,0.0,0,15.0,14,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.64516129032259
台北市中正區南昌路一段,7.2,34.41,5250.0,1,1.0,2.0,1.0,0.0,0,15.0,15,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,152.57192676547515
台北市中正區南昌路二段,29.3,37.4,3380.0,1,2.0,2.0,1.0,0.0,0,11.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90.37433155080214
台北市中正區水源路,6.9,46.52,4696.0,1,3.0,2.0,2.0,0.0,0,15.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.94582975064488
台北市中正區思源街,25.4,51.42,5000.0,1,3.0,2.0,2.0,0.0,0,12.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97.23842862699338
台北市中正區汀州路二段,17.9,38.09,4180.0,1,2.0,2.0,2.0,0.0,0,10.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109.74008926227356
台北市中正區牯嶺街,5.7,72.81,7258.0,1,4.0,2.0,5.0,0.0,0,14.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.68410932564208
台北市中正區南昌路一段,33.8,39.95,4600.0,0,3.0,2.0,2.0,0.0,0,12.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,115.14392991239048
台北市中正區水源路,6.9,46.3,4576.0,1,3.0,2.0,2.0,0.0,0,15.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.83369330453564
台北市中正區忠孝東路一段,6.6,17.16,2588.0,0,1.0,1.0,1.0,0.0,0,13.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150.8158508158508
台北市中正區和平西路一段,47.4,8.63,1280.0,0,0.0,1.0,1.0,0.0,0,12.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148.31981460023172
台北市中正區中華路二段,41.1,52.33,3588.0,0,5.0,2.0,3.0,0.0,0,7.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.56487674374164
台北市中正區水源路,6.9,41.36,4180.0,1,3.0,2.0,2.0,0.0,0,15.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101.06382978723404
台北市中正區仁愛路一段,11.6,69.89,8899.0,1,5.0,2.0,2.0,0.0,1,9.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,127.32865932179139
台北市中正區和平西路一段,14.7,101.29,8988.0,2,3.0,2.0,2.0,1.0,0,18.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88.73531444367657
台北市中正區杭州南路一段,9.9,19.45,3228.0,0,2.0,2.0,1.0,0.0,0,7.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165.96401028277634
台北市中正區林森南路,25.4,13.17,2498.0,0,0.0,1.0,1.0,0.0,0,12.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189.67350037965073
台北市中正區中華路二段,43.1,71.95,4980.0,0,5.0,3.0,3.0,3.0,1,7.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69.21473245309242
台北市中正區廈門街,15.5,32.16,2888.0,1,3.0,2.0,1.0,0.0,0,14.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89.80099502487563
台北市中正區信義路二段,44.8,22.38,2868.0,0,1.0,2.0,1.0,0.0,0,12.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,128.15013404825737
台北市中正區仁愛路二段,18.2,97.03,12368.0,1,4.0,2.0,3.0,2.0,0,15.0,13,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127.46573224775842
台北市中正區新生南路一段,39.7,39.47,3780.0,0,4.0,2.0,2.0,0.0,0,12.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95.76893843425387
台北市中正區仁愛路二段,49.3,47.92,6500.0,0,3.0,2.0,2.0,3.0,0,12.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135.64273789649414
台北市中正區連雲街,1.9,63.28,9980.0,1,3.0,2.0,2.0,0.0,0,13.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,157.7117572692794
台北市中正區汀州路三段,27.2,13.52,1486.0,0,1.0,2.0,1.0,0.0,1,13.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109.9112426035503
台北市中正區同安街,29.1,48.99,5988.0,1,4.0,2.0,2.0,1.0,1,7.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122.22902633190446
台北市中正區廈門街,28.5,14.56,1320.0,0,1.0,1.0,1.0,0.0,0,10.0,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.65934065934066
台北市中正區臨沂街,8.1,32.65,5400.0,1,3.0,2.0,2.0,0.0,0,5.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165.3905053598775
台北市中正區和平西路二段,39.8,52.28,3988.0,0,5.0,2.0,2.0,0.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76.28156082631982
台北市中正區杭州南路一段,40.6,48.75,6780.0,0,4.0,2.0,2.0,0.0,0,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139.07692307692307
台北市中正區忠孝東路二段,0.5,22.7,3500.0,0,2.0,2.0,1.0,0.0,0,21.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,154.1850220264317
台北市中正區南昌路二段,20.8,10.72,1680.0,0,1.0,1.0,1.0,0.0,0,11.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,156.71641791044775
台北市中正區杭州南路一段,40.6,62.61,8707.0,0,4.0,2.0,2.0,1.0,0,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139.06724165468776
台北市中正區臨沂街,57.4,46.55,4105.0,0,4.0,2.0,2.0,0.0,0,4.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.18474758324383
台北市中正區博愛路,10.4,38.42,4980.0,1,2.0,2.0,2.0,0.0,0,15.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,129.61998958875586
台北市中正區南昌路一段,34.0,52.71,6200.0,1,3.0,2.0,2.0,1.0,0,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117.62473913868337
台北市中正區南海路,1.1,37.33,3280.0,1,2.0,2.0,1.0,0.0,0,7.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.86498794535227
台北市中正區南海路,1.1,37.19,3221.0,1,2.0,2.0,1.0,0.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86.60930357623018
台北市中正區漢口街一段,26.5,46.7,4710.0,1,0.0,4.0,1.0,1.0,0,13.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.85653104925053
台北市中正區開封街一段,18.4,12.04,1300.0,0,0.0,1.0,1.0,0.0,0,14.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107.9734219269103
台北市中正區忠孝東路二段,0.5,22.7,3680.0,0,1.0,1.0,1.0,1.0,0,21.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,162.11453744493392
台北市中正區同安街,0.7,51.81,6388.0,1,3.0,2.0,2.0,0.0,0,7.0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123.29666087627871
台北市中正區臨沂街,49.4,26.32,3200.0,0,3.0,2.0,1.0,0.0,1,5.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,121.580547112462
台北市中正區師大路,49.1,40.83,3850.0,0,4.0,2.0,2.0,1.0,0,5.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94.29341170707814
台北市中正區詔安街,53.0,22.67,1780.0,0,4.0,3.0,2.0,1.0,1,4.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78.51786501985002
台北市中正區泉州街,18.3,47.5,3500.0,1,3.0,2.0,2.0,0.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.6842105263158
台北市中正區詔安街,48.6,43.96,2768.0,0,3.0,2.0,2.0,1.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.96633303002729
台北市中正區杭州南路一段,2.4,72.54,9988.0,1,4.0,2.0,2.0,0.0,0,21.0,12,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137.68955059277638
台北市中正區同安街,0.7,51.81,5988.0,1,0.0,1.0,0.0,0.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115.5761436016213
台北市中正區汀州路三段,53.5,32.29,3998.0,0,7.0,1.0,5.0,0.0,1,4.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,123.81542273149583
台北市中正區南昌路二段,41.3,58.42,4700.0,0,3.0,3.0,2.0,0.0,1,5.0,-1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.45190003423485
台北市中正區廈門街,7.4,42.21,3680.0,1,2.0,2.0,1.0,0.0,0,12.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.18313195925136
台北市中正區連雲街,60.7,39.5,4380.0,0,3.0,2.0,5.0,1.0,0,4.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110.88607594936708
台北市中正區汀州路三段,54.5,32.64,3488.0,0,3.0,2.0,2.0,0.0,0,7.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106.86274509803921
台北市中正區武昌街一段,80.2,59.9,8288.0,0,6.0,5.0,3.0,2.0,1,3.0,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138.36393989983307
台北市中正區重慶南路三段,53.2,16.16,1488.0,0,3.0,1.0,1.0,0.0,0,5.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92.07920792079207
台北市中正區忠孝東路二段,17.8,102.62,11130.0,2,3.0,2.0,2.0,2.0,0,14.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108.45839017735334
台北市中正區水源路,6.9,40.32,4068.0,1,2.0,2.0,2.0,0.0,0,15.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.89285714285714
台北市中正區羅斯福路一段,16.9,65.12,9980.0,2,2.0,2.0,2.0,1.0,0,14.0,13,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153.25552825552825
