行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,0,0,0,0,1,0,0,0,33.86,35000000,1033800.0,3,1,2,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,27.81,10000000,359598.0,2,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,28.51,13000000,455923.0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.95,27500000,1148137.0,3,1,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,54.53,38180000,700109.0,5,2,3,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,91.46,56880000,778575.0,3,2,2,2,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,34.67,14680000,423430.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,15.31,9700000,633722.0,2,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,19.08,14250000,746674.0,3,2,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,36.13,25300000,700241.0,3,2,2,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,27.05,21750000,803994.0,3,2,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,43.7,30000000,686515.0,4,2,2,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,44.29,27450000,619838.0,4,2,2,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,55.82,32000000,573302.0,4,2,2,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,14.68,7500000,510892.0,2,2,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,34.4,14000000,406941.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,20.0,13000000,649960.0,3,2,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,33.9,7260000,214153.0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,29.37,22042446,821630.0,2,1,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,18.99,13100000,690026.0,5,0,5,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,37.56,16872699,449242.0,3,1,2,1,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,9.27,8000000,863415.0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,50.41,51250000,1016636.0,1,2,2,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,18.95,24700000,1303325.0,2,1,2,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,30.92,15000000,485100.0,3,2,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,31.68,12000000,378742.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,45.42,28000000,616509.0,4,2,2,1,1,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,19.51,4600000,235763.0,3,2,1,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,22.06,14100000,639130.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,21.46,15880000,854050.0,1,1,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,33.08,21000000,634800.0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,71.57,40480000,618175.0,4,2,2,1,0,0,1,0,0
