行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,0,0,1,0,0,0,0,0,80.88,67120000,1222809.0,3,2,2,4,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.04,15380000,1022385.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.28,50300000,1068511.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,16.92,21610000,1392426.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,19.83,19860000,1179625.0,1,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,11.43,13716000,1199533.0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,11.35,13608000,1199288.0,1,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,25.81,16297808,631474.0,1,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,28.81,19144755,664519.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,29.04,19140043,659094.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,29.04,18815331,647914.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,30.23,18572031,614446.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,25.81,16200712,627712.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,29.04,19002648,654363.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,29.04,19110766,658086.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,30.23,18910587,625646.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,48.9,33295264,680816.0,3,2,2,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,43.08,27755604,644254.0,3,2,2,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,48.9,34557483,706625.0,3,2,2,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,23.43,16923117,722142.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,53.65,26969165,634214.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,36.45,16515554,653547.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,36.45,16696503,661266.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,43.38,21661244,647567.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,50.34,26714244,656932.0,2,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,38.09,23250000,821009.0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,31.11,33580000,1303745.0,2,2,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,53.28,51580000,1095278.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,16.55,15990000,1179767.0,1,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,71160000,1074015.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,18.83,9480000,503520.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,29.65,12480000,556631.0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,18.83,9480000,503520.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,54.65,23080000,483176.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,56.08,57200000,1166703.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.23,49200000,1040087.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,62.48,54980000,1092861.0,3,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,56.63,69000000,1218485.0,4,2,2,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,59.16,72000000,1216984.0,4,2,2,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,74050000,1121946.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,90.1,67680000,1162220.0,3,2,2,5,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,64.29,59750000,1182700.0,3,2,2,2,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,16.46,15380000,1179195.0,1,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.28,50960000,1083483.0,3,2,2,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,36.02,25660000,803825.0,3,2,2,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10150000,805809.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,14010000,878328.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,23.9,16250000,816420.0,1,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,25.76,21050000,817038.0,3,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,9750000,774053.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10250000,813749.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10000000,793901.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,18.61,12000000,814199.0,1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,54.65,24880000,515113.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,42.69,16680000,460561.0,2,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,34.75,26000000,843901.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,28.66,40500000,1493789.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,41.49,21337660,514237.0,3,2,2,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,53.65,21859262,501070.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,54.97,22522597,501093.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,43.38,16712190,501030.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,43.24,20239531,620049.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,50.38,27988144,687554.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,50.34,26481523,653375.0,2,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,48.49,25075791,642043.0,2,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,61.92,34453457,661557.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,38.83,16961503,610694.0,2,2,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,71.87,79800000,1110283.0,3,2,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,24.11,31560000,1389415.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,75880000,1152296.0,4,2,2,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,38.83,19007362,639593.0,2,2,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,41.83,21781762,669272.0,2,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,13460000,843848.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,22.49,18330000,815002.0,2,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,22.49,18300000,813666.0,2,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10100000,801838.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,9900000,785961.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12860000,806232.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.82,32300000,1445643.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,75550000,1140187.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,69.49,71850000,1135327.0,4,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,76000000,1154286.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,69.49,68500000,1079764.0,4,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,75300000,1142676.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.3,54150000,1155215.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,77.56,77730000,1205473.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.28,48200000,1020867.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,78.69,75350000,1143506.0,4,2,2,2,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.28,50380000,1061251.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,60.29,69980000,1160762.0,4,2,2,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,71.68,60020000,1129982.0,3,2,2,3,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,62.48,54000000,1070630.0,3,2,2,2,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,11000000,873290.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12380000,776139.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.65,10060000,795227.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.65,10180000,804711.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.65,9550000,754912.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10030000,796281.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,30.55,22150000,831534.0,3,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12140000,761091.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,18.56,12500000,841534.0,1,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,35.12,27700000,881227.0,3,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,30.63,22250000,841144.0,3,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12070000,756704.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,53.3,55000000,1174488.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.39,19600000,1463603.0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.25,20060000,1514370.0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,13260000,831310.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,16.88,24080000,1581587.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.25,20580000,1553273.0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,35.33,24730000,787630.0,3,2,2,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12580000,788678.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12260000,768615.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,28.45,19450000,793660.0,2,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,10160000,806602.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,22.45,17280000,769868.0,2,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,23.63,18900000,799690.0,2,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.65,9580000,757283.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,12.6,9880000,784374.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,25.76,20160000,782493.0,3,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,15.95,12980000,813756.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.26,31800000,1461266.0,2,2,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.25,20680000,1560820.0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,25.57,35740000,1397719.0,2,2,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,25.57,36230000,1416882.0,2,2,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,29.05,42500000,1548678.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,28.66,38150000,1400426.0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.26,32560000,1499696.0,2,2,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.26,33260000,1535088.0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,30.19,19200000,635986.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,49.08,25350000,588869.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.82,31900000,1425973.0,1,2,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,19.78,30380000,1536099.0,2,2,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.82,35180000,1587257.0,2,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,23.86,18029256,755498.0,2,2,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,29.37,22080000,870668.0,2,2,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.39,20120000,1502433.0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,13.25,20160000,1521574.0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,20.34,30680000,1508582.0,2,2,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,33.44,18400000,675861.0,2,2,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,80.79,79500000,1209943.0,3,2,2,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,24.77,15500000,625791.0,2,2,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,112.21,115820000,1355180.0,3,2,2,3,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,98.33,54380000,627322.0,4,2,3,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,98.33,57000000,656307.0,4,2,3,2,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,57.17,32800000,657653.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,53.91,28220000,582763.0,3,2,2,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,14.62,15200000,1039687.0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,6.28,2400000,382359.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,71.57,46600000,714787.0,4,2,2,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,29.97,21476000,716473.0,3,2,2,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,12.02,5960000,495662.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,67.22,54160000,805733.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,15.06,9000000,597794.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,23.97,15000000,625702.0,2,2,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,7.8,6000000,769088.0,3,2,2,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,32.09,19000000,592102.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,8.14,7100000,872209.0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,34.3,5343600,155776.0,3,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,63.99,58600000,915802.0,4,2,2,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,14.09,11300000,801792.0,2,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,15.87,3200000,201611.0,3,1,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,15.26,16880000,1106302.0,1,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,25.6,16200000,632727.0,3,1,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,13.29,4000000,300937.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,9.95,7500000,754060.0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,37.1,21500000,579540.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,47.83,41000000,857293.0,3,2,2,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,26.88,9200000,342263.0,3,2,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,33.15,33680000,1016054.0,3,2,2,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,43.94,23200000,928880.0,2,1,1,2,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,32.16,13500000,419833.0,3,1,2,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,49.01,42000000,1019601.0,3,2,2,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,65.53,61000000,1037092.0,3,2,3,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,11.75,13880000,1181374.0,1,0,1,1,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,28.13,22000000,782017.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,39.18,28100000,717210.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,30.65,5000000,163138.0,3,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,52.97,37000000,698463.0,3,2,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,22.21,12000000,540310.0,3,2,2,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,24.73,16650000,673292.0,3,2,2,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,30.67,15000000,489120.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,88.7,80000000,1053354.0,0,2,2,2,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,17.78,10000000,562307.0,3,1,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,52.97,31660000,657024.0,3,2,2,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,11.29,11300000,1001221.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,10.81,8500000,785994.0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,32.55,19560000,600942.0,3,2,2,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,100.58,67380000,669910.0,3,2,2,2,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,20.3,24060000,1185182.0,2,1,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,39.06,30200000,773137.0,3,2,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,10.22,9000000,880503.0,6,2,2,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,22.29,22060000,989766.0,2,1,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,15.76,5000000,317254.0,3,1,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,18.72,16200000,865310.0,2,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,40.47,23800000,588072.0,3,2,2,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,30.47,17000000,557969.0,3,2,2,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,56.48,36000000,838767.0,3,2,2,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,42.79,25800000,602968.0,3,2,2,1,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,16.39,11500000,701544.0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,9.77,10800000,1105003.0,1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,35.19,27300000,775729.0,3,2,2,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,55.05,35380000,642704.0,3,2,2,2,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,21.86,23150000,1058788.0,2,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,9.83,9900000,1006996.0,1,1,1,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,30.4,20500000,674251.0,3,2,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,15.78,9450000,598694.0,1,1,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,44.01,33880000,769815.0,2,2,2,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,26.01,10750000,413321.0,2,2,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,5.44,2000000,367721.0,2,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,24.43,11480000,469919.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,32.58,13000000,399030.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,26.61,22000000,826827.0,3,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,45.14,30000000,664525.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,15.5,12000000,774344.0,1,1,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,55.33,33500000,695626.0,3,2,2,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,47.03,34200000,727203.0,3,2,2,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,10.21,9300000,910662.0,1,1,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,20.82,18170000,872804.0,2,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,49.01,18800000,383612.0,4,2,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,35.61,17700000,497093.0,6,0,6,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,55.52,28000000,504346.0,3,2,2,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,28.69,19300000,672661.0,3,2,2,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,41.75,37300000,992692.0,3,2,2,1,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,18.23,18100000,992947.0,2,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,42.56,22000000,628304.0,3,2,1,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,29.87,16000000,535731.0,4,2,2,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,35.1,34200000,1043697.0,2,2,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,83.86,51000000,608188.0,5,2,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,13.94,11000000,789144.0,1,1,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,10.09,2630000,260619.0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,17.15,12800000,746413.0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,36.64,29300000,799703.0,3,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,35.25,27100000,768790.0,3,2,2,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,61.86,42570000,688155.0,3,2,2,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,24.51,19600000,799726.0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,46.98,34000000,723788.0,3,2,2,1,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,26.92,26000000,965740.0,2,2,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,37.28,32000000,885455.0,1,1,1,1,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,22.35,16700000,747352.0,4,0,4,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,8.71,11500000,1320941.0,1,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,50.39,26680000,663851.0,3,2,2,1,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,20.68,8880000,429364.0,3,2,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,21.16,13000000,614284.0,2,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,50.5,27180000,657801.0,3,2,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,16.23,18500000,1139718.0,2,2,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,54.06,33900000,627120.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,33.04,20100000,608317.0,2,2,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,37.2,28560000,767841.0,1,1,1,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,15.81,13320632,842781.0,1,1,1,0,0,0,0,1,0
