物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS168488,南京三民電梯收租頂佳,松山區寶清街,6房(室)4廳4衛,261坪,7/7樓,254年,住宅,250萬
WS30757,光北面寬金店面+B1,松山區光復北路,3房(室)2廳3衛,45坪,B1-1/7樓,37年,店面,26萬
WS70712,敦南雙敦學區大氣派華廈,松山區敦化南路一段,3房(室)2廳2衛,67坪,2/7樓,63年,住宅,57萬
WS70275,松甲樹景明亮四房,松山區健康路,4房(室)2廳2衛,96坪,3/13樓,89年,住宅,80萬
WS33549,華南花園黃金店辦,松山區延吉街,4室1廳3衛,121坪,1/7樓,115年,辦公,109萬
ZS187292,延吉街燙金住辦,松山區延吉街,5房(室)1廳2衛,121坪,1/7樓,115年,住商,109萬
WS44719,民生社區撫遠三房美寓,松山區撫遠街,3房(室)2廳2衛,150坪,3/4樓,154年,住宅,149萬
ZS199985,捷運南京三民站｜電梯正一房一廳,松山區寶清街,1房(室)1廳1衛,182坪,6/11樓,176年,住宅,170萬
WS70784,潤泰三房車位帝王戶,松山區八德路四段,3房(室)2廳2衛,204坪,12/12樓,199年,住宅,194萬
WS71016,大巨蛋核心景觀宅,松山區市民大道五段,1房(室)1廳1衛,224坪,6/9樓,219年,住宅,215萬
WS70801,敦化介壽四室車,松山區八德路三段,4室/2廳/2衛,244坪,2/12樓,239年,住宅,235萬
WS71042,雙敦微風優質住辦,松山區復興南路一段,4房(室)2廳1衛,45坪,5/12樓,38年,辦公,26萬
WS71090,民權富錦頂樓邊間四房,松山區民權東路五段,4房(室)3廳2衛,72坪,4/4樓,65年,住宅,58萬
ZS200628,巨蛋景觀小資宅,松山區市民大道五段,1房(室)1廳1衛,95坪,5/9樓,89年,住宅,83萬
WS71632,正南京東大店面,松山區南京東路五段,開放式,106坪,1-2/12樓,110年,店面,104萬
ZS200517,01景觀邊間電梯頂家,松山區八德路三段,6房(室)3廳4衛,136坪,12/12樓,129年,住宅,26萬
WS29221,松山海華低總價店面,松山區民生東路五段,OPEN,160坪,1/16樓,155年,店面,149萬
WS35351,南京捷運超值辦公,松山區南京東路五段,開放式,182坪,6/15樓,175年,辦公,170萬
WS70808,敦北商圈一樓,松山區敦化北路,13房(室)2廳8衛,207坪,B1-1/7樓,201年,住宅,194萬
ZS164963,復北民權商辦II,松山區復興北路,OPEN,228坪,13/15樓,223年,辦公,218萬
ZS164959,復北民權商辦I,松山區復興北路,OPEN,241坪,13/15樓,223年,辦公,237萬
ZS164866,復興北民權捷運純辦I,松山區復興北路,OPEN,44坪,13/15樓,36年,辦公,26萬
XS125072,面公園LV(樓+樓),松山區八德路四段,3房(室)2廳1衛,70坪,2/13樓,64年,住宅,57萬
ZS180122,捷運帷幕大坪數保富商辦A,松山區復興北路,開放式,88坪,13/15樓,36年,辦公,83萬
ZS180126,捷運帷幕大坪數保富商辦B,松山區復興北路,開放式,99坪,13/15樓,36年,辦公,96萬
ZS186386,正南京東小巨蛋燙金商辦,松山區南京東路四段,OPEN,122坪,4/12樓,60年,辦公,110萬
WS45451,專約✨雙敦電梯三房(現況兩房),松山區南京東路三段,2房(室)2廳1.5衛,151坪,5/6樓,144年,住宅,136萬
WS54978,琴韻園邊間華廈3房,松山區南京東路四段,3房(室)2廳2衛,175坪,2/7樓,168年,住宅,164萬
