物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
後山埤溫馨美妝三房,福德街,0,0,0,0,0,1,0,0,0,0,0,0,151.0,0,3.0,1.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
世界明珠高樓景觀最小戶,市民大道八段,0,0,0,0,0,1,0,0,0,0,0,0,172.0,0,,,,,0,27.0,13.0,13.0,1.0,0,1,0,0,0
近中研院公園旁邊間一樓,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,193.0,0,3.0,2.0,2.0,3.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
超大庭院頂級裝潢雙衛雙車位,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,213.0,1,3.0,2.0,2.0,3.0,0,7.0,1.0,1.0,1.0,0,1,0,0,0
E02捷運後山埤站收租金店面,忠孝東路六段,0,0,0,0,0,1,0,0,0,0,0,0,233.0,0,,,,,0,16.0,1.0,1.0,1.0,0,0,0,0,0
昆陽庭院挑高壹樓,昆陽街,0,0,0,0,0,1,0,0,0,0,0,0,42.0,0,,,2.0,,0,8.0,1.0,1.0,1.0,0,0,0,0,0
南軟園區頂樓純辦,園區街,0,0,0,0,0,1,0,0,0,0,0,0,71.0,0,,2.0,,,0,21.0,20.0,20.0,1.0,0,0,0,0,0
南港世貿旺角溪有釋出整層華廈,興東街,0,0,0,0,0,1,0,0,0,0,0,0,94.0,0,3.0,4.0,4.0,3.0,0,7.0,5.0,5.0,1.0,0,0,0,1,0
南軟金店面,園區街,0,0,0,0,0,1,0,0,0,0,0,0,117.0,0,,,,,0,10.0,1.0,1.0,1.0,0,0,0,0,0
T612中研院靜巷收租宅,研究院路三段,0,0,0,0,0,1,0,0,0,0,0,0,141.0,0,8.0,,8.0,8.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
後山埤站旁店辦一樓,玉成街,0,0,0,0,0,1,0,0,0,0,0,0,164.0,0,,2.0,1.0,,0,7.0,1.0,1.0,1.0,0,0,0,0,0
正永吉路上黃金店面,永吉路,0,0,0,0,0,1,0,0,0,0,0,0,185.0,0,,1.0,1.0,,0,23.0,1.0,1.0,1.0,0,0,0,0,0
南港聯合經貿廣場,經貿二路,0,0,0,0,0,1,0,0,0,0,0,0,208.0,0,8.0,,,8.0,0,23.0,11.0,11.0,1.0,0,0,0,0,0
科技園區三角窗金店,園區街,0,0,0,0,0,1,0,0,0,0,0,0,227.0,0,,2.0,1.0,,0,10.0,1.0,1.0,1.0,0,0,0,0,0
經貿中信總部金店,園區街,0,0,0,0,0,1,0,0,0,0,0,0,241.0,0,,,,,0,10.0,1.0,1.0,1.0,0,0,0,0,0
T612中研院靜巷收租宅,研究院路三段,0,0,0,0,0,1,0,0,0,0,0,0,39.0,0,8.0,,8.0,8.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
近松山捷運站店辦,八德路四段,0,0,0,0,0,1,0,0,0,0,0,0,70.0,0,,,,,0,16.0,2.0,2.0,1.0,0,0,0,0,0
南港昆陽捷運公寓三樓,昆陽街,0,0,0,0,0,1,0,0,0,0,0,0,85.0,0,3.0,1.0,1.0,3.0,0,3.0,3.0,3.0,1.0,1,0,0,0,0
玉成大賞B,成福路,0,0,0,0,0,1,0,0,0,0,0,0,113.0,0,,2.0,1.0,,0,11.0,2.0,2.0,1.0,0,1,0,0,0
南港昆陽三角窗透天店面,昆陽街,0,0,0,0,0,1,0,0,0,0,0,0,125.0,0,9.0,2.0,7.0,9.0,0,3.0,1.0,3.0,3.0,0,0,0,0,1
南港中研靜巷美寓,研究院路二段,0,0,0,0,0,1,0,0,0,0,0,0,153.0,0,3.0,2.0,2.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
水岸兩房公園綠景,向陽路,0,0,0,0,0,1,0,0,0,0,0,0,176.0,0,2.0,2.0,2.0,2.0,0,7.0,3.0,3.0,1.0,0,1,0,0,0
昆陽星鑽,南港路三段,0,0,0,0,0,1,0,0,0,0,0,0,198.0,0,4.0,2.0,2.0,4.0,0,13.0,2.0,2.0,1.0,0,0,0,0,0
南港稀有頂家美宅,東明街,0,0,0,0,0,1,0,0,0,0,0,0,220.0,0,6.0,3.0,2.0,6.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
玉成大賞A+車位,成福路,0,0,0,0,0,1,0,0,0,0,0,0,232.0,1,3.0,,1.0,3.0,0,11.0,2.0,2.0,1.0,0,1,0,0,0
帝寶高樓+車位,重陽路,0,0,0,0,0,1,0,0,0,0,0,0,43.0,1,1.0,1.0,1.0,1.0,0,14.0,10.0,10.0,1.0,0,1,0,0,0
