出入口名稱,經度,緯度
台北市劍潭站出口2,121.524751,25.083273
台北市劍潭站出口3,121.52496,25.084284
台北市士林站出口1,121.525966,25.094106
台北市士林站出口2,121.52644,25.09286
台北市芝山站出口1,121.522636,25.102046
台北市芝山站出口2,121.522335,25.10384024
台北市明德站出口1,121.519153,25.109298
台北市明德站出口2,121.518728,25.110008
台北市明德站出口3,121.518538,25.109964
台北市石牌站出口1,121.5152545,25.1149633
台北市石牌站出口2,121.51625,25.11352
台北市唭哩岸站出口1,121.5069183,25.12070935
台北市唭哩岸站出口2,121.50589,25.120854
台北市奇岩站出口1,121.5009856,25.12611852
台北市奇岩站出口2,121.5010854,25.1250223
台北市奇岩站出口3,121.5012611,25.1251407
台北市北投站出口1,121.4981189,25.1323269
台北市北投站出口2,121.499194,25.131025
台北市新北投站出口1,121.503524,25.136968
台北市新北投站出口2,121.502455,25.136834
台北市復興崗站出口1,121.4854068,25.137665
台北市復興崗站出口2,121.485126,25.137329
台北市忠義站出口1,121.473169,25.131056
台北市忠義站出口2,121.4736461,25.1309851
台北市關渡站出口1,121.467215,25.125431
台北市關渡站出口2,121.466861,25.12547
新北市竹圍站出口1,121.459713,25.136949
新北市竹圍站出口2,121.459383,25.136854
新北市紅樹林站出口1,121.4590331,25.15449713
新北市紅樹林站出口2,121.458733,25.154597
新北市淡水站出口1,121.445502,25.168266
新北市淡水站出口2,121.4457904,25.16776197
新北市淡水站出口3,121.445573,25.167601
新北市永寧站出口1,121.4355625,24.966641
新北市永寧站出口2,121.435795,24.966019
新北市永寧站出口3,121.437111,24.967252
新北市永寧站出口4,121.436866,24.96753917
新北市土城站出口1,121.444173,24.973251
新北市土城站出口2,121.443671,24.972663
新北市土城站出口3,121.445266,24.973714
新北市海山站出口1,121.4486097,24.9853885
新北市海山站出口2,121.4488709,24.9853326
新北市海山站出口3,121.4492224,24.9863003
新北市亞東醫院站出口1,121.452581,24.998933
新北市亞東醫院站出口2,121.452388,24.998252
新北市亞東醫院站出口3,121.45287,24.998875
新北市府中站出口1,121.459077,25.008486
新北市府中站出口2,121.459501,25.008943
新北市府中站出口3,121.45897,25.009162
新北市板橋站出口1,121.461838,25.0133143
新北市板橋站出口2,121.462603,25.013221
新北市板橋站出口3,121.462653,25.014442
新北市新埔站出口1,121.467496,25.023087
新北市新埔站出口2,121.468176,25.0222
新北市新埔站出口3,121.468562,25.022942
新北市新埔站出口4,121.468728,25.023638
新北市新埔站出口5,121.468138,25.024163
新北市江子翠站出口1,121.471914,25.030298
新北市江子翠站出口2,121.471903,25.029782
新北市江子翠站出口3,121.472156,25.029459
新北市江子翠站出口4,121.472719,25.029763
新北市江子翠站出口5,121.4734263,25.03098798
新北市江子翠站出口6,121.4730606,25.03120599
台北市龍山寺站出口1,121.49953,25.035484
台北市龍山寺站出口2,121.499798,25.035109
台北市龍山寺站出口3,121.501622,25.035421
台北市善導寺站出口1,121.523009,25.045097
台北市善導寺站出口2,121.523053,25.044796
台北市善導寺站出口3,121.523734,25.044568
台北市善導寺站出口4,121.524217,25.044111
台北市善導寺站出口5,121.52482,25.044256
台北市善導寺站出口6,121.524898,25.044632
台北市忠孝新生站出口2,121.532065,25.042103
台北市忠孝新生站出口3,121.53368,25.041783
台北市忠孝新生站出口4,121.533213,25.042458
台北市忠孝新生站出口1,121.531829,25.042784
台北市忠孝新生站出口5,121.5323987,25.0410441
台北市忠孝新生站出口6,121.533068,25.040791
台北市忠孝新生站出口7,121.533068,25.041729
台北市忠孝敦化站出口1,121.550578,25.041642
台北市忠孝敦化站出口2,121.551694,25.041632
台北市忠孝敦化站出口3,121.551586,25.04134
台北市忠孝敦化站出口4,121.550567,25.04135
台北市忠孝敦化站出口5,121.549824,25.041238
台北市忠孝敦化站出口6,121.549174,25.041029
台北市忠孝敦化站出口7,121.549913,25.041661
台北市忠孝敦化站出口8,121.549194,25.041928
台北市國父紀念館站出口1,121.556663,25.041838
台北市國父紀念館站出口2,121.556704,25.041029
台北市國父紀念館站出口3,121.557981,25.041195
台北市國父紀念館站出口4,121.558539,25.04117
台北市國父紀念館站出口5,121.558002,25.041501
台北市市政府站出口1,121.565459,25.041408
台北市市政府站出口2,121.565062,25.040971
台北市市政府站出口3,121.567149,25.040903
台北市市政府站出口4,121.567181,25.041263
台北市永春站出口1,121.57512,25.040995
台北市永春站出口2,121.575383,25.040704
台北市永春站出口3,121.576155,25.040704
台北市永春站出口4,121.576574,25.040699
台北市永春站出口5,121.576622,25.040961
台北市後山埤站出口1,121.58141,25.044422
台北市後山埤站出口2,121.581854,25.043703
台北市後山埤站出口3,121.583277,25.045232
台北市後山埤站出口4,121.582441,25.045653
台北市昆陽站出口1,121.592726,25.050319
台北市昆陽站出口2,121.592825,25.050402
台北市昆陽站出口3,121.59363,25.050599
台北市昆陽站出口4,121.593799,25.050572
台北市南港站出口1,121.606357,25.051911
台北市南港站出口2,121.60743,25.052025
台北市象山站出口1,121.569334,25.0330078
台北市象山站出口2,121.569921,25.032375
台北市象山站出口3,121.57062,25.032974
台北市台北101/世貿站出口1,121.561671,25.033107
台北市台北101/世貿站出口2,121.5619435,25.03284073
台北市台北101/世貿站出口3,121.563646,25.032742
台北市台北101/世貿站出口4,121.564112,25.033034
台北市台北101/世貿站出口5,121.563292,25.033102
台北市信義安和站出口1,121.552602,25.033377
台北市信義安和站出口2,121.552332,25.033032
台北市信義安和站出口2A,121.552582,25.032848
台北市信義安和站出口3,121.553282,25.033022
台北市信義安和站出口4,121.5534,25.033022
台北市信義安和站出口5,121.553526,25.033326
台北市大安森林公園站出口1,121.534442,25.033693
台北市大安森林公園站出口2,121.534487,25.033391
台北市大安森林公園站出口3,121.534882,25.033396
台北市大安森林公園站出口4,121.535292,25.033391
台北市大安森林公園站出口5,121.535989,25.033369
台北市大安森林公園站出口6,121.535952,25.033654
新北市輔大站出口1,121.435264,25.032932
新北市輔大站出口2,121.435277,25.032315
新北市輔大站出口3,121.436541,25.032776
新北市輔大站出口4,121.436534,25.0330162
新北市新莊站出口1,121.4524435,25.03630271
新北市新莊站出口2,121.4525,25.036014
新北市頭前庄站出口1,121.460303,25.039844
新北市頭前庄站出口2,121.460931,25.039068
新北市頭前庄站出口3,121.462247,25.039853
新北市頭前庄站出口4,121.46227,25.04026
新北市先嗇宮站出口1,121.471319,25.046497
新北市先嗇宮站出口2,121.4711596,25.0460821
新北市先嗇宮站出口3,121.471789,25.04629545
新北市三重站出口1,121.4833034,25.05535171
新北市三重站出口2,121.4844522,25.05561671
新北市三重站出口3,121.4849832,25.05613362
新北市菜寮站出口1,121.490673,25.05971
新北市菜寮站出口2,121.491106,25.059287
新北市菜寮站出口3,121.492111,25.060556
新北市台北橋站出口,121.500281,25.062966
台北市大橋頭站出口1,121.512319,25.06318
台北市大橋頭站出口1A,121.5117348,25.06333204
台北市大橋頭站出口2,121.513258,25.063195
台北市大橋頭站出口3,121.51344,25.063739
台北市中山國小站出口1,121.526095,25.06284
台北市中山國小站出口2,121.526148,25.062461
台北市中山國小站出口3,121.527114,25.062476
台北市中山國小站出口4,121.526835,25.062835
台北市行天宮站出口1,121.533047,25.05810168
台北市行天宮站出口2,121.533342,25.058792
台北市行天宮站出口3,121.533393,25.059868
台北市行天宮站出口4,121.532991,25.060365
台北市東門站出口1,121.527994,25.034157
台北市東門站出口2,121.527565,25.03422
台北市東門站出口3,121.527854,25.033676
台北市東門站出口4,121.528879,25.033646
台北市東門站出口5,121.529506,25.033564
台北市東門站出口6,121.529957,25.033924
台北市東門站出口7,121.529678,25.033962
台北市東門站出口8,121.528965,25.034074
新北市蘆洲站出口1,121.4647333,25.0913266
新北市蘆洲站出口2,121.4648924,25.0917076
新北市蘆洲站出口3,121.4642624,25.0918704
新北市三民高中站出口1,121.472714,25.085692
新北市三民高中站出口2,121.473548,25.085637
新北市徐匯中學站出口1,121.47988,25.080303
新北市徐匯中學站出口2,121.480583,25.080332
新北市三和國中站出口1,121.486398,25.076586
新北市三和國中站出口2,121.486484,25.076984
新北市三重國小站出口,121.4967021,25.0706459
新北市迴龍站出口1,121.411195,25.021829
新北市迴龍站出口2,121.41077,25.02118
新北市迴龍站出口3,121.4125638,25.0225398
新北市丹鳳站出口1,121.42231,25.02899
新北市丹鳳站出口2,121.422615,25.028742
台北市南京復興站出口1,121.542121,25.052625
台北市南京復興站出口2,121.541863,25.051748
台北市南京復興站出口3,121.543087,25.05178085
台北市南京復興站出口4,121.5431633,25.0517841
台北市南京復興站出口5,121.544338,25.051727
台北市南京復興站出口6,121.5449255,25.05195456
台北市南京復興站出口8,121.543819,25.052018
台北市南京復興站出口7,121.5445925,25.0524873
台北市中山站出口1,121.520303,25.052414
台北市中山站出口4,121.520306,25.052858
台北市中山站出口2,121.521063,25.052382
台北市中山站出口3,121.521154,25.052611
台北市中山站出口5,121.519329,25.053037
台北市中山站出口6,121.519007,25.052833
台北市西門站出口1,121.507566,25.042137
台北市西門站出口2,121.508435,25.041545
台北市西門站出口3,121.508888,25.041789
台北市西門站出口4,121.509006,25.042203
台北市西門站出口5,121.508789,25.042935
台北市西門站出口6,121.507602,25.042573
台北市松江南京站出口1,121.532388,25.051842
台北市松江南京站出口2,121.532875,25.051342
台北市松江南京站出口3,121.53287,25.051085
台北市松江南京站出口4,121.53324,25.051624
台北市松江南京站出口5,121.534081,25.051882
台北市松江南京站出口6,121.533808,25.052205
台北市松江南京站出口7,121.533195,25.05247
台北市松江南京站出口8,121.532826,25.05257
台北市北門站出口1,121.509986,25.048861
台北市北門站出口2,121.510506,25.049583
台北市北門站出口3,121.510227,25.049943
台北市台北小巨蛋站出口1,121.55153,25.051836
台北市台北小巨蛋站出口2,121.550715,25.051571
台北市台北小巨蛋站出口3,121.552549,25.05152
台北市台北小巨蛋站出口4,121.552898,25.051534
台北市台北小巨蛋站出口5,121.552069,25.051838
台北市南京三民站出口1,121.563203,25.051633
台北市南京三民站出口2,121.563073,25.051215
台北市南京三民站出口3,121.564595,25.051328
台北市南京三民站出口4,121.56471,25.051588
台北市松山站出口1,121.577022,25.050171
台北市松山站出口2,121.576244,25.050171
台北市松山站出口3,121.577533,25.049939
台北市松山站出口4,121.577971,25.049799
台北市松山站出口5,121.577782,25.050559
新北市十四張站出口,121.527701,24.984467
新北市秀朗橋站出口1,121.5253895,24.99053445
新北市秀朗橋站出口2,121.52494,24.99054002
新北市景平站出口,121.51625,24.991926
新北市中和站出口,121.4964906,25.00221178
新北市橋和站出口,121.490278,25.004803
新北市中原站出口,121.4841593,25.0084104
新北市板新站出口,121.4722124,25.0144914
新北市板橋站出口4,121.464938,25.015105
新北市板橋站出口5,121.464312,25.015502
新北市新埔民生站出口,121.466839,25.026125
新北市幸福站出口1,121.460146,25.050126
新北市幸福站出口2,121.4602357,25.04975928
新北市新北產業園區站出口,121.459774,25.061564
