區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
中正區,重慶南正馬路店面,台北市中正區重慶南路三段,5200 萬,店面,17.3年,建坪43.64,主+陽31.15,1~2/12樓,2房(室)2廳2衛(含加蓋1房(室)--廳2衛),0
中正區,台北車站雙星金店,台北市中正區忠孝西路一段,2300 萬,店面,48.9年,建坪23.52,主10.22,1/11樓,--房(室)1廳--衛,0
中正區,國泰建設仁愛築綠,台北市中正區仁愛路二段,21800 萬 (含車位價),住宅大樓,13.8年,建坪186.98,主+陽81.68,13/18樓,3房(室)2廳4衛,1
中正區,中正南門雙捷電梯,台北市中正區寧波西街,2880 萬,辦公商業大樓,44.0年,建坪28.80,主22.31,6/12樓,3房(室)2廳2衛,0
中正區,東門杭南大土地,台北市中正區杭州南路一段,8500 萬 (含車位價),華廈,46.7年,建坪119.15,主+陽71.92,6/6樓,13房(室)5廳11衛(含加蓋3房(室)3廳2衛),1
中正區,廈川里美2FA1,台北市中正區,2734 萬,住宅大樓,--年,建坪26.97,主+陽17.59,2/14樓,3房(室)1廳1.5衛,0
中正區,絕美裝潢中正杭州,台北市中正區杭州南一段,10888 萬 (含車位價),辦公商業大樓,17.9年,建坪109.37,主+陽65.37,2/14樓,4房(室)2廳4衛,1
中正區,捷運出口極品店面,台北市中正區羅斯福路四段,9800 萬,店面,20.0年,建坪18.01,主13.20,1/15樓,--房(室)2廳--衛,0
中正區,古亭電梯邊間河景,台北市中正區水源路,9500 萬 (含車位價),住宅大樓,6.9年,建坪91.53,主+陽47.61,13/15樓,3房(室)2廳2衛,1
中正區,校園靜巷方正美寓,台北市中正區中華路二段,1880 萬,公寓,47.2年,建坪30.83,主+陽30.83,2/5樓,3房(室)2廳2衛,0
中正區,古亭挑高庭院一樓,台北市中正區廈門街,3580 萬,華廈,18.1年,建坪33.74,主+陽23.06,1/5樓,7房(室)2廳4衛(含加蓋5房(室)--廳1衛),0
中正區,中正國中電梯雙層,台北市中正區杭州南路一段,7700 萬,華廈,46.7年,建坪90.29,主+陽71.92,6/6樓,13房(室)5廳11衛(含加蓋3房(室)3廳2衛),0
中正區,古亭汀洲邊間透天,台北市中正區中華路二段,3980 萬,透天厝,60.6年,建坪31.00,主31.00,1~2/2樓,3房(室)1廳2衛,0
中正區,中正捷運管理電梯,台北市中正區重慶南路二段,3580 萬,住宅大樓,47.7年,建坪38.63,主31.22,6/12樓,1房(室)2廳2衛,0
中正區,東門黑土獨棟透天,台北市中正區連雲街,11800 萬,透天厝,--年,建坪16.67,主16.67,1/1樓,1房(室)1廳1衛,0
中正區,可兩房高樓安家,台北市中正區忠孝東路二段,3788 萬,住宅大樓,0.5年,建坪25.67,主+陽15.85,15/21樓,1房(室)1廳1衛,0
中正區,廈川里美2FA2,台北市中正區,2729 萬,住宅大樓,--年,建坪27.06,主+陽17.65,2/14樓,3房(室)1廳1.5衛,0
中正區,雍居仁愛11A1,台北市中正區杭州南路一段,19698 萬 (含車位價),住宅大樓,2.9年,建坪126.79,主+陽56.62,11/20樓,3房(室)2廳4衛,1
中正區,東門捷運車庫一樓,台北市中正區連雲街,5988 萬,公寓,36.8年,建坪--,無資料,B1~1/5樓,3房(室)2廳3衛(含加蓋2房(室)--廳2衛),0
中正區,雍居仁愛11A3,台北市中正區杭州南路一段,19983 萬 (含車位價),住宅大樓,2.9年,建坪126.79,主+陽56.62,11/20樓,3房(室)2廳4衛,1
中正區,雍居仁愛18A3,台北市中正區杭州南路一段,20267 萬 (含車位價),住宅大樓,2.9年,建坪128.39,主+陽56.62,18/20樓,3房(室)2廳4衛,1
中正區,東門幸安金華美寓,台北市中正區臨沂街,3888 萬,公寓,59.9年,建坪38.80,主38.80,4/4樓,4房(室)2廳2衛,0
中正區,雙星揚昇雙露台,台北市中正區博愛路,17899 萬 (含車位價),住宅大樓,12.3年,建坪168.14,主+陽86.40,7/31樓,3房(室)2廳3衛,1
中正區,愛國新城三房首選,台北市中正區廣州街,3998 萬,華廈,34.3年,建坪42.23,主+陽34.15,3/6樓,3房(室)2廳2衛,0
中正區,馥貴苑東門平面車,台北市中正區臨沂街,9588 萬 (含車位價),華廈,21.1年,建坪73.05,主+陽42.56,4/8樓,4房(室)2廳2衛,1
中正區,中正國中超推案件,台北市中正區林森南路,2498 萬,辦公商業大樓,25.3年,建坪13.17,主+陽8.55,7/12樓,1房(室)1廳1衛,0
中正區,璞園丹陽全新高樓,台北市中正區丹陽街,13200 萬 (含車位價),住宅大樓,0.8年,建坪90.44,主+陽42.87,9/11樓,4房(室)2廳3衛,1
中正區,廈川里美2FB1,台北市中正區,1731 萬,住宅大樓,--年,建坪17.02,主+陽11.08,2/14樓,2房(室)1廳1衛,0
中正區,新生捷運裝潢豪邸,台北市中正區仁愛路二段,6500 萬,住宅大樓,49.2年,建坪47.92,主39.90,10/12樓,3房(室)2廳2衛,0
中正區,忠孝新生採光美寓,台北市中正區臨沂街,3750 萬,公寓,48.8年,建坪39.41,主+陽39.41,4/5樓,3房(室)2廳2衛,0
中正區,三代同堂車庫透天,台北市中正區廈門街,6188 萬,透天厝,39.0年,建坪45.31,主+平+陽32.14,B1~2/2樓,7房(室)2廳3衛(含加蓋5房(室)--廳1衛),0
中正區,忠孝凱撒高樓辦公,台北市中正區忠孝東路一段,5000 萬,辦公商業大樓,36.5年,建坪26.65,主17.76,14/21樓,1房(室)1廳--衛,0
中正區,站前捷運美妝2房,台北市中正區漢口街一段,4498 萬 (含車位價),住宅大樓,1.8年,建坪--,無資料,10/15樓,2房(室)1廳1衛,1
中正區,台電吉米挑高美宅,台北市中正區羅斯福路三段,1780 萬,華廈,18.8年,建坪12.94,主8.01,6/8樓,1房(室)1廳1衛,0
中正區,古亭捷運金店面,台北市中正區羅斯福路二段,5388 萬,店面,19.0年,建坪32.23,主+陽21.12,1/12樓,--房(室)2廳1衛(含加蓋--房(室)1廳--衛),0
