區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
文山區,附中採光車庫透天,台北市文山區政大二街,4688 萬 (含車位價),透天厝,26.8年,建坪69.66,主+陽48.28,1~4/4樓,6房(室)3廳3.5衛(含加蓋2房(室)--廳--衛),1
文山區,萬隆捷運方正美寓,台北市文山區萬隆街,2098 萬,公寓,44.5年,建坪37.92,主+陽37.93,4/5樓,5房(室)2廳2衛,0
文山區,文山清境三房雙車,台北市文山區興隆路四段,4280 萬 (含車位價),華廈,21.7年,建坪57.73,主+陽34.48,8/8樓,3房(室)2廳2衛,1
文山區,近景美低樓層美宅,台北市文山區景華街,1780 萬,公寓,46.5年,建坪23.43,主+陽23.44,3/5樓,2房(室)2廳1衛,0
文山區,屋況佳公寓二樓,台北市文山區萬盛街,1799 萬,公寓,48.9年,建坪23.20,主23.20,2/4樓,3房(室)2廳1衛,0
文山區,樟新河堤大一樓,台北市文山區樟新街,3688 萬,華廈,34.7年,建坪59.27,主+平+陽27.79,B1~1/9樓,5房(室)3廳3衛,0
文山區,潤泰四房管理美寓,台北市文山區福興路,1680 萬,公寓,36.3年,建坪35.68,主+陽+露30.71,5/5樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),0
文山區,潤泰邊間公寓二樓,台北市文山區福興路,1650 萬,公寓,45.4年,建坪29.79,主+陽29.78,2/5樓,3房(室)2廳2衛,0
文山區,吉美信義美景豪邸,台北市文山區萬芳路,5888 萬 (含車位價),住宅大樓,2.7年,建坪68.23,主+陽29.30,11/14樓,3房(室)2廳2衛,1
文山區,藏山映院別墅,台北市文山區仙岩路,5568 萬,透天厝,27.9年,建坪93.08,主+陽53.35,B1~3/3樓,6房(室)2廳3衛(含加蓋1房(室)--廳--衛),0
文山區,景華苑景觀美四房,台北市文山區羅斯福路五段,4800 萬 (含車位價),住宅大樓,16.1年,建坪58.82,主+陽37.33,14/14樓,4房(室)2廳2衛,1
文山區,仙跡國寶大3房車,台北市文山區興隆路三段,3780 萬 (含車位價),住宅大樓,20.2年,建坪64.65,主+陽35.47,11/13樓,3房(室)2廳2衛,1
文山區,政大收租金雞母,台北市文山區恆光街,2988 萬,公寓,47.6年,建坪27.53,主+陽27.53,5/5樓,10房(室)--廳10衛(含加蓋5房(室)--廳5衛),0
文山區,萬芳醫院3樓美寓,台北市文山區辛亥路五段,1950 萬,公寓,46.9年,建坪30.00,主+陽30.00,3/5樓,3房(室)2廳1衛,0
文山區,近萬芳再興首購宅,台北市文山區興隆路三段,1368 萬,公寓,44.0年,建坪34.66,主+陽31.63,5/5樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),0
文山區,萬芳捷運角間店面,台北市文山區興隆路三段,8500 萬,辦公商業大樓,29.3年,建坪36.12,主+陽28.64,1~2/11樓,--房(室)2廳1衛,0
