區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
士林區,台北市士林區中山北路七段,3700,公寓,41.4年,建坪25.79,主+平22.45,1/5樓,2房(室)2廳1衛,1,25.1221772292,121.534614479
士林區,台北市士林區天母東路,3300,華廈,49.6年,建坪41.56,主31.85,6/7樓,3房(室)2廳2衛,1,25.1172471710831,121.53240313016
士林區,台北市士林區中山北路六段,5680,華廈,40.7年,建坪62.53,主+陽50.39,6/7樓,4房(室)2廳2衛,1,25.1165472548188,121.526544020016
士林區,台北市士林區至誠路一段,4760,華廈,26.8年,建坪52.57,主+陽+露36.35,7~8/8樓,4房(室)2廳2衛,2,25.1017216917,121.535995249
士林區,台北市士林區士商路,7450,住宅大樓,21.9年,建坪81.66,主+陽41.93,10/12樓,3房(室)2廳2衛,1,25.0939053779204,121.518091536139
士林區,台北市士林區中山北路七段,2780,華廈,38.1年,建坪52.52,主+平37.87,1/6樓,4房(室)2廳2衛,1,25.1242538122,121.534565572
士林區,台北市士林區新安路,45000,透天厝,51.3年,建坪162.50,主162.50,1~2/2樓,11房(室)6廳7衛(含加蓋1房(室)1廳1衛),1,25.1180780536,121.554059224
士林區,台北市士林區中山北路六段,8688,華廈,17.3年,建坪104.62,主+陽48.85,6/9樓,4房(室)2廳2衛,3,25.1167898993,121.526189549
士林區,台北市士林區福華路,2968,公寓,47.2年,建坪38.19,主+陽38.19,5/5樓,3房(室)2廳2衛,0,25.1026658638,121.522919909
士林區,台北市士林區文林路,1900,住宅大樓,45.1年,建坪24.37,主+陽20.80,4/11樓,2房(室)2廳1衛,0,25.1032904296,121.51895944
士林區,台北市士林區中山北路七段,2800,華廈,48.2年,建坪46.47,主+陽42.63,2/7樓,3房(室)2廳2衛,1,25.1255844271,121.535181623
士林區,台北市士林區德行西路,3188,華廈,5.9年,建坪27.54,主+陽12.29,6/8樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.1042618183612,121.52152580709
士林區,台北市士林區基河路,9450,住宅大樓,17.3年,建坪102.79,主+陽50.93,13/18樓,4房(室)2廳3衛,1,25.0832535,121.5243715
士林區,台北市士林區天母西路,3550,華廈,44.1年,建坪50.75,主+陽40.64,2/7樓,4房(室)2廳2衛,1,25.1188110135,121.528402898
士林區,台北市士林區中山北路七段,2780,華廈,44.2年,建坪40.97,主+陽36.00,3/7樓,3房(室)2廳2衛,1,25.1226139015,121.535061925
士林區,台北市士林區中社路一段,12800,透天厝,50.4年,建坪97.49,主97.49,1~2/2樓,5房(室)3廳6衛(含加蓋1房(室)--廳2衛),0,25.1119079,121.564146
士林區,台北市士林區福國路,2650,公寓,52.2年,建坪22.58,主22.58,4/4樓,5房(室)2廳4衛(含加蓋2房(室)1廳3衛),0,25.1013522,121.52475
士林區,台北市士林區福林路,6900,華廈,17.0年,建坪65.01,主+陽41.93,7/7樓,3房(室)2廳2衛,1,25.0941812461262,121.533277580881
士林區,台北市士林區中社路一段,1128,公寓,50.6年,建坪20.81,主20.81,1/4樓,3房(室)2廳1衛,0,25.1097845228,121.562269618
士林區,台北市士林區中山北路五段,8688,住宅大樓,1.9年,建坪87.55,主+陽45.96,13/17樓,3房(室)2廳3衛,1,25.0991236677,121.526736441
士林區,台北市士林區中山北路七段,1880,華廈,44.2年,建坪27.86,主+陽23.70,2/7樓,3房(室)2廳2衛,1,25.1249234,121.5352238
士林區,台北市士林區中山北路七段,3680,華廈,45.3年,建坪51.92,主+陽45.75,7/7樓,4房(室)3廳2衛(含加蓋--房(室)1廳--衛),1,25.1257968646766,121.53326353373
士林區,台北市士林區中山北路七段,3980,華廈,48.2年,建坪69.61,主+陽62.93,2/7樓,3房(室)2廳2衛,1,25.1258003028,121.534965632
士林區,台北市士林區中山北路六段,3680,住宅大樓,3.9年,建坪26.09,主+陽15.98,8/14樓,2房(室)1廳2衛,1,25.108381,121.526127
士林區,台北市士林區格致路,1180,公寓,37.9年,建坪46.25,主+陽40.36,3/3樓,11房(室)--廳3.5衛(含加蓋4房(室)--廳1衛),0,25.1380707526,121.545362303
士林區,台北市士林區中山北路六段,3180,公寓,47.7年,建坪28.42,主+平28.42,1/5樓,4房(室)2廳2衛,0,25.1142900794,121.526446146
士林區,台北市士林區天母西路,23000,華廈,12.5年,建坪248.93,主+陽151.16,1~2/7樓,--房(室)2廳2衛,1,25.1183333,121.5285843
士林區,台北市士林區重慶北路四段,3480,住宅大樓,2.1年,建坪37.87,主+陽17.73,10/16樓,2房(室)2廳1衛,1,25.0827398387,121.512739974
士林區,台北市士林區文林路,3200,公寓,41.6年,建坪40.50,主+陽38.93,3/5樓,3房(室)2廳2衛,0,25.0974137148,121.524456058
士林區,台北市士林區中山北路七段,11000,住宅大樓,33.3年,建坪175.15,主+陽+露120.51,15~17/19樓,6房(室)3廳6衛(含加蓋1房(室)--廳2衛),1,25.1216893569879,121.530027524502
士林區,台北市士林區天母東路,2800,華廈,48.1年,建坪32.88,主+陽27.96,5/10樓,3房(室)2廳2衛,1,25.1174195651,121.5328737
