區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
中山區,台北市中山區南京東路二段,2098,公寓,56.6年,建坪20.21,主+陽20.21,3/4樓,2房(室)2廳1.5衛(含加蓋--房(室)--廳0.5衛),0,25.053200407,121.534133887
中山區,台北市中山區長安東路二段,1088,套房,18.8年,建坪10.90,主+陽7.28,4/8樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0483942823,121.530575352
中山區,台北市中山區吉林路,2658,公寓,56.6年,建坪24.15,主24.15,1/4樓,2房(室)2廳1衛,0,25.0590051668,121.531489631
中山區,台北市中山區龍江路,1998,公寓,48.3年,建坪28.17,主+陽28.17,2/5樓,3房(室)2廳1衛,0,25.0646979344,121.539951265
中山區,台北市中山區德惠街,988,套房,46.1年,建坪8.65,主+陽7.14,9/9樓,1房(室)--廳1衛,0,25.0667275049,121.52691802
中山區,台北市中山區吉林路,2498,公寓,55.1年,建坪23.53,主23.53,1/4樓,4房(室)2廳1衛(含加蓋1房(室)--廳--衛),0,25.0595858428,121.530745878
中山區,台北市中山區林森北路,580,華廈,43.4年,建坪8.24,主+陽6.50,4/8樓,1房(室)1廳1衛,0,25.0499982245,121.526022056
中山區,台北市中山區民生東路一段,1150,套房,18.5年,建坪13.28,主+陽5.58,3/7樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0573148897,121.526519194
中山區,台北市中山區林森北路,1288,住宅大樓,41.4年,建坪19.97,主+陽16.30,12/13樓,2房(室)2廳1衛,0,25.0597722546,121.525706868
中山區,台北市中山區長春路,9888,透天厝,63.7年,建坪81.48,主81.48,1~3/3樓,15房(室)7廳10衛(含加蓋7房(室)2廳3衛),0,25.0550074701825,121.529374730671
中山區,台北市中山區龍江路,2388,公寓,48.2年,建坪34.66,主+陽34.66,5/5樓,5房(室)4廳4衛(含加蓋--房(室)--廳1.5衛),0,25.0651029,121.538959
中山區,台北市中山區北安路,2980,華廈,7.9年,建坪35.07,主+陽17.81,3/7樓,3房(室)2廳1衛(含加蓋1房(室)--廳--衛),1,25.0859763305,121.554709088
中山區,台北市中山區林森北路,1680,公寓,61.6年,建坪21.73,主21.73,3/3樓,4房(室)--廳4衛,0,25.0507066749,121.526659277
中山區,台北市中山區錦西街,2280,華廈,44.6年,建坪47.20,主44.65,B1/7樓,5房(室)1廳3衛,1,25.0602491782824,121.521174882209
中山區,台北市中山區明水路,1988,住宅大樓,29.7年,建坪21.91,主+陽10.23,3~4/16樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1,25.0791037032,121.55209292
中山區,台北市中山區松江路,4349,華廈,48.5年,建坪47.98,主+陽47.98,5/6樓,3房(室)2廳2.5衛,0,25.0496640425,121.533961797
中山區,台北市中山區明水路,9888,住宅大樓,29.8年,建坪102.75,主+陽+露66.46,14~15/16樓,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),2,25.0778699,121.5459874
中山區,台北市中山區建國北路三段,2088,公寓,45.6年,建坪32.75,主+陽32.76,5/5樓,5房(室)3廳4衛(含加蓋2房(室)1廳2衛),0,25.066118067,121.536798293
中山區,台北市中山區五常街,7200,華廈,43.1年,建坪100.87,主+平97.07,B1~1/7樓,6房(室)3廳3衛(含加蓋2房(室)1廳1衛),0,25.0644320062,121.538800126
中山區,台北市中山區北安路,1998,公寓,55.4年,建坪23.31,主+陽23.31,3/4樓,4房(室)--廳1衛,0,25.0810733147,121.548329728
中山區,台北市中山區民權東路三段,2780,華廈,47.1年,建坪32.73,主+陽28.34,4/7樓,3房(室)2廳2衛,0,25.0625553108,121.541686505
