行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,地坪,房屋總價,單價,屋齡,房,廳,衛,是否有車位,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,19.41,3.49,1700.0,87.59,40.8,1,2,1,0,0,0,1,0,25.056858,121.530415,11411
1,0,0,0,0,0,0,0,0,0,0,0,29.53,10.36,1650.0,55.88,56.3,3,2,1,0,1,0,0,0,25.067449,121.52889,11411
1,0,0,0,0,0,0,0,0,0,0,0,22.61,7.94,1288.0,56.96,50.0,3,2,2,0,1,0,0,0,25.066606,121.538169,11411
1,0,0,0,0,0,0,0,0,0,0,0,58.26,5.79,4140.0,102.15,6.5,2,1,2,1,0,1,0,0,25.064936,121.537765,11411
1,0,0,0,0,0,0,0,0,0,0,0,14.56,1.34,1573.0,108.06,20.6,2,1,1,0,0,1,0,0,25.064465,121.525723,11411
1,0,0,0,0,0,0,0,0,0,0,0,33.7,12.4,2036.0,60.41,48.3,3,2,2,0,1,0,0,0,25.06524,121.540116,11411
1,0,0,0,0,0,0,0,0,0,0,0,11.15,1.27,760.0,68.14,46.9,1,1,1,0,0,0,1,0,25.064991,121.526626,11411
1,0,0,0,0,0,0,0,0,0,0,0,71.21,7.53,4600.0,78.37,30.9,3,1,1,1,0,1,0,0,25.057401,121.537914,11410
1,0,0,0,0,0,0,0,0,0,0,0,71.36,7.53,4600.0,77.83,30.9,3,1,1,1,0,1,0,0,25.057401,121.537914,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.8,0.92,600.0,68.18,46.3,1,1,1,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,9.01,0.8,640.0,71.04,29.7,1,0,0,0,0,0,1,0,25.060563,121.525788,11410
1,0,0,0,0,0,0,0,0,0,0,0,36.1,4.68,2560.0,70.92,59.0,4,2,2,0,0,0,1,0,25.065498,121.525477,11410
1,0,0,0,0,0,0,0,0,0,0,0,59.19,7.71,2500.0,42.23,43.1,2,1,2,0,0,0,1,0,25.065252,121.537703,11410
1,0,0,0,0,0,0,0,0,0,0,0,38.34,7.2,2703.0,70.5,43.3,3,2,2,0,0,0,1,0,25.067359,121.526863,11410
1,0,0,0,0,0,0,0,0,0,0,0,9.25,1.06,673.0,72.78,43.8,1,1,1,0,0,1,0,0,25.059421,121.52569,11410
1,0,0,0,0,0,0,0,0,0,0,0,22.37,4.19,1650.0,73.75,37.3,1,3,2,0,0,0,1,0,25.064816,121.540697,11410
1,0,0,0,0,0,0,0,0,0,0,0,14.17,1.57,243.659,17.2,44.3,2,1,1,0,0,0,1,0,25.060756,121.527955,11410
1,0,0,0,0,0,0,0,0,0,0,0,20.27,3.75,1500.0,73.99,15.7,1,1,1,0,0,0,1,0,25.06562,121.525514,11410
1,0,0,0,0,0,0,0,0,0,0,0,14.65,7.66,1210.0,82.58,57.3,2,1,1,0,1,0,0,0,25.066098,121.528781,11410
1,0,0,0,0,0,0,0,0,0,0,0,34.41,8.07,2220.0,64.52,40.7,3,2,2,0,1,0,0,0,25.059779,121.540028,11410
1,0,0,0,0,0,0,0,0,0,0,0,29.93,8.39,1256.5,41.98,49.8,2,1,2,0,1,0,0,0,25.065296,121.527269,11410
1,0,0,0,0,0,0,0,0,0,0,0,17.46,1.78,1640.0,93.93,13.4,1,1,1,0,0,1,0,0,25.063664,121.528022,11410
1,0,0,0,0,0,0,0,0,0,0,0,28.97,9.98,1445.0,49.88,48.1,3,2,1,0,1,0,0,0,25.066049,121.542672,11410
1,0,0,0,0,0,0,0,0,0,0,0,33.3,11.72,2580.0,77.48,52.3,3,2,2,0,1,0,0,0,25.059566,121.532648,11410
1,0,0,0,0,0,0,0,0,0,0,0,37.16,6.23,2530.0,68.08,45.6,3,1,1,0,0,0,1,0,25.063004,121.530492,11410
1,0,0,0,0,0,0,0,0,0,0,0,10.76,1.94,880.0,81.76,29.7,1,1,1,0,0,0,1,0,25.060563,121.525788,11410
1,0,0,0,0,0,0,0,0,0,0,0,26.83,4.63,2200.0,82.0,13.0,1,1,2,1,0,0,1,0,25.066155,121.539173,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.96,0.82,705.0,78.66,44.1,1,0,0,0,0,1,0,0,25.066567,121.527194,11410
1,0,0,0,0,0,0,0,0,0,0,0,38.11,2.13,2652.0,76.46,16.8,2,1,1,1,0,1,0,0,25.065054,121.523705,11410
1,0,0,0,0,0,0,0,0,0,0,0,12.96,1.65,850.0,65.58,25.5,2,0,1,0,0,0,1,0,25.059382,121.526222,11410
1,0,0,0,0,0,0,0,0,0,0,0,6.4,0.7,460.0,71.86,46.3,1,1,1,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,16.78,1.79,1284.0,76.53,49.0,2,1,1,0,0,1,0,0,25.065399,121.525742,11410
1,0,0,0,0,0,0,0,0,0,0,0,29.61,8.47,2188.0,73.89,52.8,3,2,2,0,1,0,0,0,25.060655,121.539516,11410
1,0,0,0,0,0,0,0,0,0,0,0,16.34,3.06,1205.0,73.77,48.1,2,1,1,0,0,0,1,0,25.060474,121.528031,11410
1,0,0,0,0,0,0,0,0,0,0,0,34.57,11.3,2220.0,64.21,50.0,3,1,3,0,1,0,0,0,25.058882,121.528268,11410
1,0,0,0,0,0,0,0,0,0,0,0,19.64,1.92,1390.0,70.78,30.1,1,1,1,1,0,0,1,0,25.058159,121.539953,11410
1,0,0,0,0,0,0,0,0,0,0,0,77.86,15.39,5600.0,71.92,40.3,1,0,0,0,1,0,0,0,25.066652,121.532936,11410
1,0,0,0,0,0,0,0,0,0,0,0,28.06,3.25,2190.0,78.04,44.7,1,0,0,0,0,1,0,0,25.063561,121.527391,11410
1,0,0,0,0,0,0,0,0,0,0,0,23.63,6.53,1500.0,63.49,42.0,3,2,1,0,1,0,0,0,25.064991,121.535218,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.38,2.61,690.0,82.32,51.3,1,0,1,0,0,0,1,0,25.059748,121.525599,11410
1,0,0,0,0,0,0,0,0,0,0,0,44.83,10.57,2750.0,61.34,43.4,1,2,1,0,1,0,0,0,25.067666,121.539357,11410
1,0,0,0,0,0,0,0,0,0,0,0,8.22,0.93,260.0,31.62,31.5,1,0,0,0,0,0,1,0,25.065499,121.528083,11410
1,0,0,0,0,0,0,0,0,0,0,0,22.95,8.09,1850.0,80.61,55.4,3,2,1,0,1,0,0,0,25.059028,121.539078,11410
1,0,0,0,0,0,0,0,0,0,0,0,22.32,4.11,1852.0,82.99,15.7,2,2,1,0,0,0,1,0,25.06562,121.525514,11410
1,0,0,0,0,0,0,0,0,0,0,0,54.43,6.51,4400.0,98.06,16.4,3,2,2,1,0,1,0,0,25.065409,121.525943,11410
1,0,0,0,0,0,0,0,0,0,0,0,13.93,2.06,980.0,70.34,49.5,1,1,1,0,0,0,1,0,25.067007,121.528128,11410
1,0,0,0,0,0,0,0,0,0,0,0,6.2,0.67,470.0,75.79,46.3,1,0,1,0,0,1,0,0,25.066744,121.526994,11410
1,0,0,0,0,0,0,0,0,0,0,0,7.1,0.66,495.0,69.69,43.8,1,1,1,0,0,1,0,0,25.059421,121.52569,11410
1,0,0,0,0,0,0,0,0,0,0,0,22.17,3.21,1600.0,72.16,49.5,2,1,2,0,0,0,1,0,25.067007,121.528128,11409
1,0,0,0,0,0,0,0,0,0,0,0,38.66,5.51,3000.0,77.61,38.2,3,2,2,0,0,1,0,0,25.065676,121.535509,11409
1,0,0,0,0,0,0,0,0,0,0,0,25.74,5.11,1400.0,54.38,29.7,2,1,1,0,0,0,1,0,25.070041,121.533885,11409
1,0,0,0,0,0,0,0,0,0,0,0,41.99,7.85,3300.0,78.58,42.4,3,2,2,0,0,0,1,0,25.059565,121.541266,11409
1,0,0,0,0,0,0,0,0,0,0,0,29.93,7.3,1628.0,54.4,45.5,3,2,2,0,1,0,0,0,25.067384,121.536175,11409
1,0,0,0,0,0,0,0,0,0,0,0,34.51,14.44,3608.0,104.54,54.3,3,2,2,0,1,0,0,0,25.059301,121.53098,11409
1,0,0,0,0,0,0,0,0,0,0,0,2.57,0.93,240.0,93.23,53.5,2,2,2,0,1,0,0,0,25.065964,121.530713,11409
1,0,0,0,0,0,0,0,0,0,0,0,15.43,8.57,1260.0,81.67,56.1,3,2,1,0,1,0,0,0,25.060838,121.531156,11409
1,0,0,0,0,0,0,0,0,0,0,0,9.33,1.38,660.0,70.72,46.9,1,1,1,0,0,0,1,0,25.067567,121.524963,11409
1,0,0,0,0,0,0,0,0,0,0,0,16.95,2.99,1610.0,94.99,10.3,2,1,1,0,0,0,1,0,25.061053,121.525092,11409
1,0,0,0,0,0,0,0,0,0,0,0,17.44,1.46,1270.0,72.81,43.8,2,2,1,0,0,1,0,0,25.059421,121.52569,11409
1,0,0,0,0,0,0,0,0,0,0,0,24.8,7.26,3300.0,133.09,0.0,1,0,0,0,1,0,0,0,25.067545,121.525545,11409
1,0,0,0,0,0,0,0,0,0,0,0,14.64,1.52,1635.0,111.65,21.3,3,1,2,0,0,1,0,0,25.065054,121.523705,11409
1,0,0,0,0,0,0,0,0,0,0,0,17.2,2.24,1280.0,74.43,48.0,1,0,0,0,0,1,0,0,25.065394,121.528033,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.77,1.37,745.0,84.92,17.3,3,2,2,1,0,0,1,0,25.056513,121.530544,11409
1,0,0,0,0,0,0,0,0,0,0,0,28.45,2.2,1688.0,76.93,18.0,1,2,1,1,0,1,0,0,25.065467,121.524846,11409
1,0,0,0,0,0,0,0,0,0,0,0,58.6,8.64,4758.0,81.2,29.3,4,2,2,1,0,1,0,0,25.062128,121.540435,11409
1,0,0,0,0,0,0,0,0,0,0,0,28.96,2.77,1605.0,55.42,45.8,2,2,2,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,42.43,8.02,2558.0,60.29,43.5,1,0,0,0,0,0,1,0,25.064122,121.528376,11409
1,0,0,0,0,0,0,0,0,0,0,0,37.16,15.03,2950.0,79.38,51.8,1,2,0,0,1,0,0,0,25.068016,121.530315,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.3,0.89,600.0,72.28,46.3,1,1,1,0,0,1,0,0,25.066744,121.526994,11409
1,0,0,0,0,0,0,0,0,0,0,0,57.83,6.2,3800.0,65.7,49.0,5,1,5,0,0,1,0,0,25.065399,121.525742,11409
1,0,0,0,0,0,0,0,0,0,0,0,52.17,6.88,5550.0,131.48,3.5,3,2,2,1,0,1,0,0,25.061122,121.535182,11409
1,0,0,0,0,0,0,0,0,0,0,0,18.09,1.74,1600.0,88.45,6.2,1,1,1,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,38.29,8.25,3000.0,78.34,46.3,3,2,2,0,0,0,1,0,25.061733,121.538761,11409
1,0,0,0,0,0,0,0,0,0,0,0,12.6,1.19,1416.0,112.42,1.7,1,1,1,0,0,1,0,0,25.065941,121.524597,11409
1,0,0,0,0,0,0,0,0,0,0,0,11.99,1.15,750.0,62.56,44.9,1,1,1,0,0,1,0,0,25.065409,121.525943,11409
1,0,0,0,0,0,0,0,0,0,0,0,9.61,1.0,800.0,83.24,44.7,1,1,1,0,0,1,0,0,25.063664,121.528022,11409
1,0,0,0,0,0,0,0,0,0,0,0,12.71,1.23,1118.0,87.93,16.3,1,1,1,0,0,1,0,0,25.060563,121.525788,11409
1,0,0,0,0,0,0,0,0,0,0,0,31.38,6.15,2230.0,71.05,39.3,3,2,2,0,0,0,1,0,25.067242,121.530748,11409
1,0,0,0,0,0,0,0,0,0,0,0,9.38,0.86,568.0,60.55,41.5,1,1,1,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,17.78,3.16,1212.0,68.15,47.8,1,0,1,0,0,0,1,0,25.06117,121.526363,11409
1,0,0,0,0,0,0,0,0,0,0,0,44.23,8.58,3600.0,81.4,47.3,4,2,2,0,0,0,1,0,25.061549,121.538554,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.6,0.91,796.0,92.59,46.3,1,1,1,0,0,0,1,0,25.066727,121.526918,11409
1,0,0,0,0,0,0,0,0,0,0,0,10.27,1.0,650.0,63.29,41.5,1,0,0,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,26.26,7.79,1848.0,70.38,58.1,1,2,1,0,1,0,0,0,25.059847,121.535851,11409
1,0,0,0,0,0,0,0,0,0,0,0,7.92,0.66,400.0,50.49,43.8,1,1,1,0,0,1,0,0,25.059421,121.52569,11409
1,0,0,0,0,0,0,0,0,0,0,0,9.13,1.5,820.0,89.79,30.1,1,0,1,0,0,0,1,0,25.058159,121.539953,11409
1,0,0,0,0,0,0,0,0,0,0,0,10.35,2.09,808.0,78.1,29.7,1,1,1,0,0,0,1,0,25.070041,121.533885,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.3,0.89,680.0,81.92,46.3,1,1,1,0,0,1,0,0,25.066744,121.526994,11409
1,0,0,0,0,0,0,0,0,0,0,0,39.05,4.87,1600.0,40.98,46.9,3,2,2,0,0,0,1,0,25.06674,121.526337,11409
1,0,0,0,0,0,0,0,0,0,0,0,31.83,8.22,1170.0,36.76,49.1,3,2,2,0,0,0,1,0,25.057066,121.531737,11409
1,0,0,0,0,0,0,0,0,0,0,0,11.45,1.02,900.0,78.58,41.5,2,1,1,0,0,1,0,0,25.060325,121.524832,11409
1,0,0,0,0,0,0,0,0,0,0,0,45.64,13.43,3000.0,65.73,42.2,3,2,2,0,1,0,0,0,25.057041,121.532446,11409
1,0,0,0,0,0,0,0,0,0,0,0,84.81,8.11,5540.0,65.32,45.8,3,0,1,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,30.68,3.06,2400.0,78.22,10.4,1,1,1,1,0,1,0,0,25.065311,121.537058,11409
1,0,0,0,0,0,0,0,0,0,0,0,13.93,1.95,1450.0,104.07,20.1,1,2,1,0,0,1,0,0,25.064159,121.528009,11409
1,0,0,0,0,0,0,0,0,0,0,0,24.98,8.17,1750.0,70.05,55.4,3,1,1,0,1,0,0,0,25.059756,121.539304,11409
1,0,0,0,0,0,0,0,0,0,0,0,7.98,0.66,435.0,54.51,43.8,1,0,0,0,0,1,0,0,25.059421,121.52569,11408
1,0,0,0,0,0,0,0,0,0,0,0,4.34,1.75,400.0,92.15,58.5,2,2,1,0,1,0,0,0,25.059423,121.538889,11408
1,0,0,0,0,0,0,0,0,0,0,0,17.4,2.95,1680.0,104.83,7.5,1,1,1,1,0,0,1,0,25.057611,121.528751,11408
1,0,0,0,0,0,0,0,0,0,0,0,45.24,10.38,3700.0,81.78,44.8,3,2,2,0,1,0,0,0,25.058571,121.532154,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.61,1.14,1309.0,123.39,16.2,1,1,1,0,0,1,0,0,25.059893,121.533371,11408
1,0,0,0,0,0,0,0,0,0,0,0,24.25,2.73,1498.0,61.79,43.7,1,0,0,0,0,1,0,0,25.060524,121.53755,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.35,2.09,780.0,75.4,29.7,1,1,1,0,0,0,1,0,25.070041,121.533885,11408
1,0,0,0,0,0,0,0,0,0,0,0,11.11,1.28,1162.0,104.58,18.4,1,1,1,0,0,1,0,0,25.062847,121.524589,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.27,1.0,600.0,58.42,41.5,1,1,1,0,0,1,0,0,25.060325,121.524832,11408
1,0,0,0,0,0,0,0,0,0,0,0,30.11,12.18,1975.0,65.59,54.4,3,2,2,0,1,0,0,0,25.061518,121.53451,11408
1,0,0,0,0,0,0,0,0,0,0,0,31.65,3.16,2900.0,94.33,10.4,3,2,1,1,0,1,0,0,25.065311,121.537058,11408
1,0,0,0,0,0,0,0,0,0,0,0,23.88,5.18,2180.0,91.29,7.8,1,1,1,1,0,0,1,0,25.06624,121.529754,11408
1,0,0,0,0,0,0,0,0,0,0,0,36.84,6.01,2700.0,73.29,43.2,3,2,2,0,0,0,1,0,25.064265,121.523767,11408
1,0,0,0,0,0,0,0,0,0,0,0,270.4,26.77,41888.0,175.56,11.8,1,0,0,1,0,1,0,0,25.05908,121.533448,11408
1,0,0,0,0,0,0,0,0,0,0,0,29.59,10.36,2100.0,70.98,54.5,2,2,2,0,1,0,0,0,25.059979,121.53817,11408
1,0,0,0,0,0,0,0,0,0,0,0,22.45,8.09,3450.0,153.68,55.4,1,2,1,0,1,0,0,0,25.058902,121.539077,11408
1,0,0,0,0,0,0,0,0,0,0,0,30.65,8.83,1750.0,57.1,48.3,3,2,2,0,1,0,0,0,25.065469,121.534279,11408
1,0,0,0,0,0,0,0,0,0,0,0,60.94,12.17,4538.0,74.47,46.0,4,2,2,1,0,0,1,0,25.058584,121.534507,11408
1,0,0,0,0,0,0,0,0,0,0,0,20.08,1.77,1430.0,71.2,41.0,2,1,1,0,0,1,0,0,25.063664,121.528022,11408
1,0,0,0,0,0,0,0,0,0,0,0,28.73,9.2,2270.0,79.01,24.8,2,2,1,0,0,0,1,0,25.056306,121.530282,11408
1,0,0,0,0,0,0,0,0,0,0,0,56.47,9.37,5880.0,104.13,17.8,3,2,2,1,0,0,1,0,25.055902,121.532057,11408
1,0,0,0,0,0,0,0,0,0,0,0,13.93,2.06,855.0,61.36,49.5,2,1,1,0,0,0,1,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,29.74,8.29,1850.0,62.21,47.8,3,2,1,0,1,0,0,0,25.065497,121.538895,11408
1,0,0,0,0,0,0,0,0,0,0,0,13.93,2.06,1320.0,94.74,49.5,2,2,1,0,0,0,1,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,11.14,1.21,660.0,59.27,46.3,1,1,1,0,0,0,1,0,25.066727,121.526918,11408
1,0,0,0,0,0,0,0,0,0,0,0,15.57,0.96,1355.0,87.03,16.8,1,1,1,0,0,1,0,0,25.065054,121.523705,11408
1,0,0,0,0,0,0,0,0,0,0,0,12.38,1.16,900.0,72.71,47.9,1,1,1,0,0,1,0,0,25.064465,121.525723,11408
1,0,0,0,0,0,0,0,0,0,0,0,36.29,6.79,2950.0,81.29,46.0,3,2,2,0,0,0,1,0,25.063274,121.542958,11408
1,0,0,0,0,0,0,0,0,0,0,0,48.7,5.07,3652.0,74.99,43.9,3,2,2,0,0,1,0,0,25.063386,121.527982,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.29,1.07,1100.0,106.95,18.0,1,1,1,0,0,1,0,0,25.065467,121.524846,11408
1,0,0,0,0,0,0,0,0,0,0,0,31.19,3.11,2450.0,88.52,10.4,2,1,2,1,0,1,0,0,25.065311,121.537058,11408
1,0,0,0,0,0,0,0,0,0,0,0,38.2,6.29,2275.0,59.56,40.7,3,2,2,0,0,0,1,0,25.065649,121.536809,11408
1,0,0,0,0,0,0,0,0,0,0,0,15.68,0.96,1360.0,86.73,16.8,2,1,1,0,0,1,0,0,25.065054,121.523705,11408
1,0,0,0,0,0,0,0,0,0,0,0,37.45,10.04,2380.0,63.55,41.7,3,2,2,0,1,0,0,0,25.065883,121.542229,11408
1,0,0,0,0,0,0,0,0,0,0,0,21.29,2.75,1500.0,70.47,49.6,2,1,1,0,0,0,1,0,25.062817,121.528777,11408
1,0,0,0,0,0,0,0,0,0,0,0,14.87,1.56,800.0,53.79,44.1,2,1,1,0,0,1,0,0,25.067007,121.528128,11408
1,0,0,0,0,0,0,0,0,0,0,0,52.11,6.16,3325.0,71.87,48.1,1,0,0,1,0,1,0,0,25.058345,121.530356,11408
1,0,0,0,0,0,0,0,0,0,0,0,46.07,5.47,4268.0,110.52,6.5,3,2,2,1,0,1,0,0,25.064936,121.537765,11408
1,0,0,0,0,0,0,0,0,0,0,0,20.73,5.51,1200.0,57.88,41.3,2,1,1,0,1,0,0,0,25.067361,121.526357,11408
1,0,0,0,0,0,0,0,0,0,0,0,62.61,6.47,5490.0,87.68,13.1,3,2,2,1,0,1,0,0,25.062396,121.529363,11408
1,0,0,0,0,0,0,0,0,0,0,0,26.41,8.39,2000.0,75.72,56.8,4,2,2,0,1,0,0,0,25.06018,121.529752,11408
1,0,0,0,0,0,0,0,0,0,0,0,12.71,1.23,1200.0,94.38,16.3,1,1,1,0,0,1,0,0,25.060563,121.525788,11408
1,0,0,0,0,0,0,0,0,0,0,0,24.71,5.45,1736.0,70.27,40.9,2,2,1,0,1,0,0,0,25.063182,121.531044,11408
1,0,0,0,0,0,0,0,0,0,0,0,20.95,5.87,1150.0,54.89,48.6,4,2,2,0,1,0,0,0,25.067854,121.526186,11408
1,0,0,0,0,0,0,0,0,0,0,0,10.34,1.94,720.0,69.66,48.1,1,0,0,0,0,0,1,0,25.060474,121.528031,11407
1,0,0,0,0,0,0,0,0,0,0,0,21.56,2.79,2700.0,125.22,21.3,2,2,2,0,0,1,0,0,25.065054,121.523705,11407
1,0,0,0,0,0,0,0,0,0,0,0,8.47,1.0,650.0,76.77,44.7,1,0,1,0,0,1,0,0,25.063664,121.528022,11407
1,0,0,0,0,0,0,0,0,0,0,0,13.06,1.34,1030.0,78.89,23.2,1,1,1,0,0,1,0,0,25.061237,121.525652,11407
