成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11411,公寓,台北市大安區泰順街４０巷２０號二樓之１,2577,92.34,27.91,9.68,49.8,2,4,無,3,2,2,25.024284,121.530404,陽台外推；其他增建；
11411,華廈,台北市大安區師大路５９巷９號三樓之２,1415,159.92,8.85,2.34,19.3,3,7,無,1,1,1,25.024005,121.529083,夾層；
11411,華廈,台北市大安區青田街６巷１８號七樓之６,5237,136.6,38.34,5.43,2.2,7,10,有,2,1,2,25.028154,121.530791,
11411,大樓,台北市大安區和平東路一段１９１號十二樓之２,1850,130.18,14.21,1.37,7.3,12,14,無,1,1,1,25.026367,121.533731,夾層；
11411,大樓,台北市大安區復興南路二段２１８號三十四樓之７,8400,195.07,54.77,2.96,3.1,34,34,有,2,2,2,25.025932,121.543213,案名:安沐居
11411,大樓,台北市大安區信義路三段１０５號十一樓之８,2120,140,15.14,1.27,19,11,14,無,1,1,1,25.033603,121.53884,陽台外推；其他增建；
11411,公寓,台北市大安區青田街６巷１３號,4300,178.47,24.09,7.02,44.2,1,5,無,3,2,2,25.028233,121.531084,未登記建物為地下室未登記建物；
11411,華廈,台北市大安區瑞安街２０８巷５８弄９號六樓,6200,101.62,61.01,11.15,12.4,6,7,有,3,1,2,25.029992,121.540178,
11411,華廈,台北市大安區和平東路二段７６巷３１弄１５號二樓,1150,95.38,12.06,2.87,31.3,2,6,無,1,1,1,25.022144,121.539376,其他增建；
11411,大樓,台北市大安區信義路三段１０９之７號四樓之１,2250,94.73,23.75,2.3,30.8,4,13,無,1,1,1,25.033674,121.539411,親友、員工、共有人或其他特殊關係間之交易；
11411,華廈,台北市大安區金山南路二段１３巷２９號四樓,4520,129.24,34.98,11.6,54.9,4,6,無,4,2,2,25.033298,121.528791,陽台外推；
11411,華廈,台北市大安區辛亥路二段１４９號四樓,4198,102.12,41.11,7.41,40.3,4,7,無,4,2,2,25.021783,121.540124,陽台外推；其他增建；
11411,公寓,台北市大安區溫州街１６巷６之１號三樓,3132,85.11,36.8,11.37,48.5,3,5,無,4,2,2,25.025136,121.532921,
11411,華廈,台北市大安區麗水街１３巷１號二樓,4678,100.64,46.48,9.69,42.7,2,7,無,3,2,2,25.030374,121.528647,包含公共設施保留地用地；
11411,公寓,台北市大安區泰順街３９巷１號五樓,2680,75.2,35.64,10.93,43,5,5,無,3,2,2,25.022985,121.531362,陽台外推；其他增建；
11411,大樓,台北市大安區和平東路一段１７７之１號十二樓,3685,96.4,38.23,4.01,47.6,12,12,無,2,2,2,25.026481,121.532455,陽台外推；
11411,大樓,台北市大安區建國南路二段２０１號四樓,8412.174,102.6,81.99,11.27,36.3,4,12,無,3,2,2,25.027005,121.538061,含租約；
11411,公寓,台北市大安區師大路５９巷４號二樓,2100,64.73,32.44,13.16,55.2,2,4,無,3,2,2,25.023864,121.528867,賣方應納之土地增值稅由買方負擔。親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；
11411,大樓,台北市大安區建國南路二段１２３巷７號九樓,3200,97.21,32.92,6.39,39.9,9,18,無,3,2,2,25.029767,121.53849,親友、員工、共有人或其他特殊關係間之交易；
11411,公寓,台北市大安區泰順街５４巷２１之４號,2785,96.2,28.95,10.74,54.9,3,4,無,3,2,2,25.022986,121.529683,一樓空地延伸增建空間、主建物內含梯廳空間陽台外推；其他增建；
11411,公寓,台北市大安區信義路二段１９８巷２０號,1220,33.23,36.71,6.8,42.4,1,5,無,6,3,3,25.033122,121.530442,親友、員工、共有人或其他特殊關係間之交易；
11411,大樓,台北市大安區復興南路二段２６８號二樓之２,23.75,0,0.25,0.02,37.1,2,12,無,1,0,0,25.025461,121.543741,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市大安區信義路三段１０９之７號十一樓之１,3348,103.82,32.25,2.37,30.8,11,13,有,2,2,1,25.033674,121.539411,陽台外推；
11410,大樓,台北市大安區和平東路一段７５巷１號十二樓,4900,100.5,48.76,4.07,41.7,12,12,無,4,2,2,25.027273,121.525115,頂樓加蓋；
11410,大樓,台北市大安區新生南路三段７０巷６號五樓,6050,119.83,50.49,6.46,1.6,5,12,有,2,2,2,25.019645,121.533272,
11410,華廈,台北市大安區和平東路二段１１８巷４弄１９號六樓,2500,66.53,37.58,8.08,47.6,6,7,無,4,2,2,25.024042,121.542209,陽台外推；
11410,公寓,台北市大安區瑞安街７１巷５弄５號,2546,67.62,37.65,11.8,50.8,"1,地下層",4,無,3,1,3,25.028141,121.541778,壹樓空地增建、平台外推。親友、員工、共有人或其他特殊關係間之交易；其他增建；
11410,公寓,台北市大安區永康街２３巷２８之２號,2280,96.22,23.69,9.23,56.2,3,4,無,2,2,1,25.031902,121.531387,陽台外推；
11410,大樓,台北市大安區建國南路二段６７號十四樓,39216,246.01,178.73,20.9,7.6,14,35,有,無隔間,0,0,25.031489,121.53819,
11410,大樓,台北市大安區復興南路二段３０７號十八樓,10400,174.27,79.64,6.55,1.2,18,23,有,4,2,2,25.024235,121.543712,
11410,公寓,台北市大安區和平東路二段７６巷５弄３號四樓,264,40.74,6.48,1.72,47.2,4,5,無,3,2,2,25.024901,121.539365,親友、員工、共有人或其他特殊關係間之交易；
11410,大樓,台北市大安區辛亥路二段４１號十二樓之２,4800,82.46,58.21,3.49,37.1,12,25,有,3,2,2,25.022816,121.536267,陽台外推；其他增建；
11410,華廈,台北市大安區青田街６之３號五樓,6600,123.74,53.34,10.64,41.3,5,7,無,5,2,2,25.027952,121.531827,其他增建；
