成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11407,大樓,台北市松山區塔悠路９５號五樓,1680,65.69,25.58,2.73,31,5,12,無,2,2,2,25.054102,121.570254,
11407,華廈,台北市松山區八德路四段７９５號八樓之２,190,17.57,10.81,1.26,26.3,8,10,無,1,1,1,25.050094,121.577661,親友、員工、共有人或其他特殊關係間之交易；
11406,公寓,台北市松山區饒河街１６７號二樓,1650,64.43,25.61,9.8,48.8,2,5,無,1,1,1,25.050603,121.575337,陽台外推；
11406,大樓,台北市松山區八德路四段４５３巷１２號十樓,2150,49.22,43.68,4.35,40.7,10,12,無,5,1,5,25.050385,121.570334,陽台外推；
11406,大樓,台北市松山區健康路４１８號,8360,73.24,114.15,10.87,14.7,1,15,有,無隔間,0,0,25.054664,121.569265,
11406,大樓,台北市松山區南京東路五段４１５號九樓,2765,88.98,35.59,3,8.5,9,12,有,2,2,1,25.0515,121.569836,車位所在樓層:地下二層
11406,大樓,台北市松山區八德路四段６５０號五樓之１９,2415,115.72,20.87,2.29,19.3,5,13,無,3,2,2,25.050041,121.575348,夾層；
11406,公寓,台北市松山區南京東路五段３８９巷１１弄５號四樓,1600,54.45,29.38,7.99,44.8,4,5,無,3,2,1,25.052486,121.569515,
11405,公寓,台北市松山區寶清街１０１巷５０號三樓,1536,67.83,22.65,7.79,45.3,3,4,無,2,2,2,25.052695,121.569159,陽台外推；其他增建；
11405,大樓,台北市松山區寶清街１０３之１１號六樓,3800,106.06,40.43,5.54,8.3,6,13,有,2,2,2,25.053197,121.56846,
11405,大樓,台北市松山區南京東路五段３１６號八樓之２,1200,91.07,13.18,1.33,36.8,8,12,無,1,1,1,25.051097,121.568043,其他增建；
11405,華廈,台北市松山區寶清街１０１巷２８號二樓,2796,67.99,41.12,11.41,27.1,2,6,有,4,2,2,25.052742,121.568684,
11405,大樓,台北市松山區八德路四段６２６號六樓之５,2025,100.97,20.06,2.12,30.1,6,11,無,1,1,1,25.050029,121.574539,陽台外推；其他增建；
11405,大樓,台北市松山區八德路四段６０４之４號,1825,67.83,26.9,4.21,37.6,1,12,無,1,1,1,25.049787,121.572743,夾層；其他增建；
11405,大樓,台北市松山區八德路四段６５０號四樓之１９,2300,95.83,25.16,2.34,19.3,4,13,有,3,2,2,25.050041,121.575348,其他增建 : 夾層增建夾層；其他增建；
11405,大樓,台北市松山區饒河街１９９號十一樓之６,3520,90.75,41.18,2.67,7.4,11,18,有,3,2,2,25.050676,121.576121,
11405,大樓,台北市松山區饒河街１９９號十一樓之１,3570,66.17,53.95,3.15,7.4,11,18,有,3,2,2,25.050676,121.576121,
