成交年月,型式,地址,成交總價(萬),單價(萬/坪),建物坪數,土地坪數,屋齡,樓層,總樓層,車位,房,廳,衛,lat,lon,備註
11403,華廈,台北市中山區林森北路４１６巷３號三樓之６,860,87.23,9.86,2.53,51.3,3,4,無,1,1,1,25.059748,121.525599,其他增建；
11403,公寓,台北市中山區民生東路二段１４７巷１１弄１８號四樓,2050,76.47,26.81,8.09,58.1,4,4,無,5,3,2,25.059849,121.535663,陽台外推；頂樓加蓋；
11403,華廈,台北市中山區合江街１０５號,3880,134.45,28.86,7.21,13.5,1,7,無,無隔間,0,0,25.059795,121.5393,
11403,華廈,台北市中山區雙城街４９巷１８號,2600,95.59,27.2,4.4,11.3,1,7,無,2,1,1,25.067888,121.525382,
11403,大樓,台北市中山區新生北路三段１０號五樓之３,725,79.81,9.08,0.89,41,5,12,無,1,1,1,25.063664,121.528022,
11403,公寓,台北市中山區龍江路３８４巷３１號三樓,2010,55.53,36.2,9.42,43.5,3,5,無,3,2,1,25.066888,121.539756,
11403,大樓,台北市中山區德惠街３４號六樓之３,645,73.3,8.8,0.92,46.3,6,11,無,1,1,1,25.066744,121.526994,鐵鋁窗其他增建；
11403,公寓,台北市中山區龍江路４４３巷１之２號五樓,1118,47.21,23.68,6.56,40.2,5,5,無,3,2,2,25.067307,121.541404,親友、員工、共有人或其他特殊關係間之交易；陽台外推；頂樓加蓋；
11403,華廈,台北市中山區農安街２５號三樓之１,2900,56.42,51.4,4.31,28.3,3,10,有,2,1,1,25.065005,121.524595,
11403,公寓,台北市中山區錦州街２４１巷１弄８號,3280,117.78,27.85,12.48,61,1,4,無,3,2,2,25.060645,121.534132,其他增建；
11403,大樓,台北市中山區松江路１８２號九樓之１,6500,69.65,93.32,8.28,48.5,9,12,無,6,2,3,25.056795,121.533391,陽台外推；
11403,大樓,台北市中山區錦州街２３巷１之１號十二樓,1680,100.05,16.79,1.74,10.3,12,14,無,2,1,1,25.061053,121.525092,夾層；其他增建；
11403,公寓,台北市中山區新生北路二段７７巷１之１號三樓,1580,74.22,21.29,7.83,48.5,3,4,無,2,1,1,25.056964,121.528157,天井增建陽台外推；其他增建；
11403,華廈,台北市中山區新生北路三段６１號四樓之２８,993,81.15,12.24,1.76,49.5,4,9,無,1,1,1,25.067007,121.528128,陽台外推；
11403,華廈,台北市中山區農安街２巷１８號二樓,3397.96,47.26,71.9,11.94,32.7,2,6,無,無隔間,0,0,25.065054,121.523705,親友、員工、共有人或其他特殊關係間之交易；
11403,大樓,台北市中山區新生北路三段１號三樓之１３,880,77.68,11.33,1.16,45.2,3,14,無,1,0,1,25.063664,121.528022,
11403,華廈,台北市中山區雙城街４巷２號七樓,1390,81.79,16.99,2.32,31.4,7,7,無,2,1,1,25.063354,121.523854,陽台外推；
