區域,建案名稱,地址,類型,車位,價格_元,單價_元,總坪數_坪,實際坪數_坪,屋齡_年,房,廳,衛,所在樓層,總樓層
信義區,丰藝獨層大戶豪宅,台北市信義區福德街,住宅大樓,1,117060000,998124.15,117.28,48.82,13.9,0,2,0,4,13
信義區,世貿101辦公,台北市信義區信義路五段,辦公商業大樓,1,71500000,756373.64,94.53,47.26,30.3,5,2,0,8,22
信義區,忠孝天廈高樓景觀,台北市信義區忠孝東路五段,辦公商業大樓,1,64800000,935334.87,69.28,39.41,29.1,4,2,3,14,18
信義區,市府面寬庭院住店,台北市信義區松隆路,華廈,0,56800000,1204410.52,47.16,42.98,42.5,4,2,2,1,7
信義區,和暘信邑四房豪邸,台北市信義區永吉路,住宅大樓,0,74600000,1198008.67,62.27,39.18,8.2,4,2,2,3,14
信義區,虎林國泰護膝二樓,台北市信義區虎林街,公寓,0,25880000,842173.77,30.73,30.73,56.9,3,2,2,2,4
信義區,捷運邊間方正美寓,台北市信義區松山路,公寓,0,27600000,878980.89,31.4,31.4,54.2,2,2,2,4,4
信義區,世貿邊間房公寓,台北市信義區吳興街,公寓,0,25680000,886740.33,28.96,28.96,49.4,3,2,1,4,4
信義區,凱廈鋼骨邊間豪邸,台北市信義區松德路,住宅大樓,1,61880000,1031505.25,59.99,38.56,31.4,4,2,2,7,23
信義區,面忠孝東路春秋,台北市信義區忠孝東路五段,住宅大樓,0,43800000,1028651.95,42.58,37.22,42.7,2,2,2,14,14
信義區,市府公寓大頂佳,台北市信義區永吉路,公寓,0,26880000,927856.4,28.97,28.97,47.2,5,3,2,5,5
信義區,中庭花園挑高一樓,台北市信義區吳興街,住宅大樓,0,28800000,632411.07,45.54,39.78,33.6,5,2,2,1,11
信義區,信義香榭典雅兩房,台北市信義區信義路五段,住宅大樓,1,31800000,975759.44,32.59,16.96,19.2,2,1,1,10,19
信義區,正面公園美裝車位,台北市信義區永吉路,住宅大樓,1,36800000,1161249.61,31.69,16.48,15.8,4,2,2,4,12
信義區,海華電梯高樓坡車,台北市信義區忠孝東路五段,華廈,1,42800000,890924.23,48.04,31.95,41.2,5,3,3,7,7
信義區,信義富陽邊間大戶,台北市信義區富陽街,公寓,0,20580000,650031.59,31.66,31.66,50.1,6,3,3,4,4
