路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區錦西街,0,0,0,0,0,0,0,1,0,0,0,0,65.8,16.41,8000.0,1,2,2,2,0,1,1,1,1,1,1,0,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,14.28,765.0,1,1,1,1,0,0,18,17,17,1,0,1,0,0,0
台北市大同區市民大道一段,0,0,0,0,0,0,0,1,0,0,0,0,16.6,30.39,1537.0,1,1,2,1,0,0,18,5,5,1,0,1,0,0,0
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,6.7,90.63,8600.0,2,4,2,3,0,0,19,17,17,1,0,1,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,1.2,27.2,3150.0,1,1,1,1,0,0,11,10,10,1,0,1,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,1.2,33.41,3780.0,1,2,1,2,0,0,11,9,9,1,0,1,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,1.2,29.55,3230.0,1,2,1,1,0,0,11,2,2,1,0,1,0,0,0
台北市大同區重慶北路三段,0,0,0,0,0,0,0,1,0,0,0,0,0.6,29.26,3658.0,1,2,2,2,0,0,15,6,6,1,0,1,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,66.6,64.67,8500.0,0,2,5,6,0,1,5,1,5,5,0,0,0,0,1
台北市大同區哈密街,0,0,0,0,0,0,0,1,0,0,0,0,45.1,25.58,1850.0,0,3,2,2,0,0,5,4,4,1,1,0,0,0,0
台北市大同區五原路,0,0,0,0,0,0,0,1,0,0,0,0,16.2,30.62,2788.0,1,2,2,1,0,1,14,9,9,1,0,1,0,0,0
台北市大同區太原路,0,0,0,0,0,0,0,1,0,0,0,0,24.0,52.72,3570.0,1,1,1,1,0,0,19,1,1,1,0,1,0,0,0
台北市大同區太原路,0,0,0,0,0,0,0,1,0,0,0,0,29.4,58.05,4968.0,1,3,2,3,0,0,9,7,7,1,0,0,0,1,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,16.3,100.26,8888.0,2,4,2,2,0,0,14,14,14,1,0,1,0,0,0
台北市大同區延平北路二段,0,0,0,0,0,0,0,1,0,0,0,0,23.8,97.38,6488.0,3,6,1,2,0,1,14,1,2,2,0,1,0,0,0
台北市大同區環河北路二段,0,0,0,0,0,0,0,1,0,0,0,0,48.8,37.22,2790.0,0,1,3,1,0,0,4,1,1,1,1,0,0,0,0
台北市大同區五原路,0,0,0,0,0,0,0,1,0,0,0,0,16.2,11.39,1360.0,1,1,1,1,0,1,14,13,13,1,0,0,1,0,0
