路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區青雲街,40.2年,透天,建坪 102.9,主 + 陽71.38,3房2廳6衛1室(含加蓋4衛1室),B1-3樓/3樓,"7,980",0
台北市信義區松仁路,50.4年,公寓,建坪 30.22,主建物27,3房2廳2衛1室(含加蓋1衛1室),1樓/4樓,"3,288",0
台北市信義區吳興街,48.0年,公寓,建坪 18.71,主 + 陽16.61,3房2廳2衛(含加蓋1房1廳1衛),4樓/4樓,"1,488",0
台北市信義區松德路,33.8年,辦公/大樓,建坪 47.61,主 + 陽37.79,1廳3室,4樓/12樓,"4,388",0
台北市信義區中坡南路,12.3年,華廈,建坪 25.87,主 + 陽12.97,2房1廳1衛3室(含加蓋1房2室),6樓/7樓,"2,698",1
台北市信義區永吉路,18.8年,大樓,建坪 30.73,主 + 陽15.94,3房2廳2衛(含加蓋2房),9樓/14樓,"3,580",1
台北市信義區忠孝東路五段,41.2年,華廈,建坪 48.04,主 + 陽31.95,5房3廳3衛(含加蓋2房1廳1衛),7樓/7樓,"4,280",1
台北市信義區信義路五段,16.7年,大樓/辦公,建坪 38.2,主 + 陽12.45,1廳1衛,2樓/19樓,"4,980",1
台北市信義區富陽街,15.3年,華廈,建坪 61.92,主 + 陽35.89,2房2廳2衛,4樓/7樓,"5,888",1
台北市信義區忠孝東路五段,43.8年,華廈/辦公,建坪 79.83,主建物27.94,6房3廳3衛,B1-1樓/7樓,"7,950",0
台北市信義區仁愛路四段,13.1年,大樓,建坪 117.6,主 + 陽41.68,4房3廳4衛3室(含加蓋3房1廳2衛1室),15樓/15樓,"18,800",2
台北市信義區松德路,35.0年,大樓,建坪 83.57,主 + 陽58.29,4房2廳2衛5室(含加蓋1房2室),12樓/12樓,"9,360",1
台北市信義區虎林街,38.7年,店面,建坪 24.4,主建物13.36,1房2廳2衛1室(含加蓋1房1室),1樓/16樓,"4,380",0
台北市信義區忠孝東路五段,46.8年,店面/辦公,建坪 47.95,主 + 陽40.41,1廳1衛,2樓/7樓,"11,498",0
台北市信義區信義路六段,54.8年,公寓,建坪 23.14,主 + 陽23.14,1房1廳2衛(含加蓋1衛),1樓/4樓,"3,120",0
台北市信義區忠孝東路五段,41.9年,華廈,建坪 66.94,主建物25.61,3房3廳4衛1室,B1-1樓/7樓,"8,800",0
台北市信義區松隆路,34.3年,辦公/大樓,建坪 120.03,主 + 陽75.45,1廳,11樓/19樓,"8,688",2
台北市信義區吳興街,41.4年,公寓,建坪 40.01,主建物25.79,6房3廳1.5衛(含加蓋4房1廳),1樓/5樓,"3,980",0
台北市信義區忠孝東路五段,16.6年,華廈,建坪 46.86,主 + 陽18.39,1房2廳2衛2室,7樓/7樓,"4,850",0
台北市信義區基隆路二段,15.5年,大樓/辦公,建坪 58.12,主 + 陽26.87,3房2廳2衛,2樓/15樓,"5,688",1
台北市信義區忠孝東路五段,40.9年,華廈,建坪 31.98,主 + 陽26.54,3房2廳2衛,8樓/9樓,"3,488",0
台北市信義區忠孝東路五段,16.6年,華廈,建坪 53.8,主 + 陽18.39,1房2廳2衛2室,7樓/7樓,"5,150",1
台北市信義區青雲街,40.2年,透天,建坪 102.87,主 + 陽71.81,6房4廳5衛2室(含加蓋1廳2室),B1-3樓/3樓,"9,500",1
台北市信義區永吉路,15.8年,大樓,建坪 31.69,主 + 陽16.48,4房2廳1.5衛(含加蓋2房0.5衛),4樓/12樓,"3,680",1
台北市信義區吳興街,33.8年,大樓,建坪 92.19,主 + 陽59.77,5房3廳3衛1室(含加蓋2房1衛),10-11樓/11樓,"5,988",1
台北市信義區信義路五段,18.7年,大樓,建坪 132.75,主 + 陽70.08,3房2廳3.5衛2室(含加蓋1室),21樓/27樓,"20,680",3
台北市信義區忠孝東路五段,41.2年,華廈,建坪 35.13,主 + 陽31.95,5房3廳3衛(含加蓋2房1廳1衛),7樓/7樓,"3,900",0
