路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區迪化街二段,47.3年,公寓,建坪 22.28,主 + 陽22.28,4房3廳3衛(含加蓋2房1廳2衛),5樓/5樓,"1,588",0
台北市大同區大龍街,59.4年,店面,建坪 170.5,主建物163.73,20房4廳18衛(含加蓋7房3廳8衛),1-3樓/3樓,"18,800",0
台北市大同區太原路,63.7年,透天,建坪 52.63,主建物50.36,3房5廳4衛3室(含加蓋1房1廳1衛2室),1-3樓/3樓,"9,800",0
台北市大同區寧夏路,預售,大樓,建坪 57.27,主+附 31.94,3房2廳2衛,22樓/26樓,"6,598",1
台北市大同區歸綏街,91.2年,透天,建坪 69.56,主建物69.56,2廳1衛,1-2樓/2樓,"8,100",0
台北市大同區延平北路三段,57.9年,店面,建坪 23.95,主建物19.28,3廳1衛(含加蓋1廳),1樓/4樓,"3,980",0
台北市大同區延平北路四段,59.4年,公寓,建坪 21.97,主建物21.97,2房2廳1衛,2樓/3樓,"1,860",0
台北市大同區昌吉街,50.7年,店面,建坪 15.98,主建物12.14,1房2廳1衛,1樓/5樓,"1,980",0
台北市大同區民權西路,43.7年,辦公/大樓,建坪 257.37,主建物164.07,4廳8室,8樓/13樓,"15,374",2
台北市大同區西寧北路,63.7年,店面/辦公,建坪 114.15,主建物108.41,2房5廳4衛3室(含加蓋2室),1-4樓/4樓,"10,888",0
台北市大同區哈密街,預售,華廈,建坪 28.25,主+附 17.38,2房2廳2衛,3樓/7樓,"2,480",0
台北市大同區民權西路,43.7年,辦公/大樓,建坪 74.11,主建物39.61,1廳,10樓/13樓,"3,867",1
台北市大同區雙連街,59.4年,店面,建坪 19.04,主建物19.04,1廳1衛(含加蓋1衛),1樓/4樓,"2,660",0
台北市大同區南京西路,預售,大樓,建坪 34.53,主+附 17.99,2房2廳1衛,11樓/15樓,"3,580",1
台北市大同區重慶北路三段,71.5年,透天/店面,建坪 17.02,主建物15.15,3廳2衛4室(含加蓋1廳1衛3室),1-1樓/1樓,"5,200",0
台北市大同區承德路三段,49.1年,公寓,建坪 40.15,主 + 陽40.15,4房2廳2衛,4樓/5樓,"3,800",0
台北市大同區民權西路,預售,大樓,建坪 38.47,主+附 24.8,3房2廳2衛,11樓/15樓,"4,850",1
台北市大同區民生西路,50.5年,店面,建坪 32.87,主建物25.26,1廳,1樓/4樓,"13,000",0
台北市大同區哈密街,72.3年,透天,建坪 4.91,主建物4.91,1房1衛,1-1樓/1樓,"1,280",0
