路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市士林區中山北路七段,46.1年,華廈,建坪 51.44,主 + 陽50.41,4房2廳2衛,4樓/7樓,"3,180",0
台北市士林區後港街,44.2年,辦公,建坪 33.14,主 + 陽33.14,4房2廳2衛,4樓/5樓,"1,950",0
台北市士林區忠誠路一段,33.9年,華廈,建坪 48.88,主 + 陽41.64,3房2廳2衛1室,5樓/9樓,"4,750",0
台北市士林區天母北路,52.5年,公寓,建坪 35.74,主建物35.74,3房2廳2衛1室,1樓/4樓,"4,000",0
台北市士林區中山北路七段,8.2年,華廈,建坪 34.21,主 + 陽18.74,2房2廳1衛,2樓/5樓,"3,080",1
台北市士林區中山北路七段,21.0年,大樓,建坪 83.3,主 + 陽41.26,4房2廳2衛,8樓/13樓,"7,680",2
台北市士林區天母北路,45.1年,大樓,建坪 91.38,主 + 陽80.21,5房2廳2衛,3樓/11樓,"6,055",0
台北市士林區延平北路六段,36.6年,公寓,建坪 38.55,主 + 陽35.32,3房2廳2衛,4樓/5樓,"1,680",0
台北市士林區仰德大道三段,47.4年,公寓,建坪 57.35,主建物30.75,3房2廳2衛,1樓/4樓,"2,288",2
台北市士林區天母西路,29.9年,大樓,建坪 75.15,主 + 陽41.04,2房2廳2衛1室,6樓/11樓,"6,886",1
台北市士林區德行東路,44.8年,公寓,建坪 45.18,主 + 陽39.62,3房2廳2衛1室,5樓/5樓,"2,936",0
台北市士林區芝玉路一段,34.8年,店面/辦公/大樓,建坪 116.34,主建物56.25,2廳1衛3室,1樓/15樓,"6,980",2
台北市士林區天玉街,38.6年,公寓,建坪 44.37,主 + 陽40.87,4房2廳2衛,3樓/4樓,"2,880",0
台北市士林區忠誠路一段,42.7年,華廈,建坪 41.74,主建物30.34,4房4廳3衛1室(含加蓋1房2廳1衛1室),7樓/7樓,"5,188",0
台北市士林區菁山路,16.8年,華廈,建坪 74.23,主 + 陽43.72,4房2廳2衛,2樓/5樓,"4,080",1
台北市士林區承德路四段,23.6年,大樓,建坪 91.2,主 + 陽54.9,5房2廳2衛(含加蓋1房),3樓/14樓,"7,488",1
