路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市文山區木柵路四段,31.3年,華廈,建坪 40.69,主 + 陽26.54,4房2廳1.5衛2室(含加蓋1房),5樓/7樓,"2,850",0
台北市文山區景福街,42.6年,華廈,建坪 80.36,主 + 陽62.83,4房2廳2衛,6樓/7樓,"6,268",1
台北市文山區辛亥路五段,42.5年,公寓,建坪 33.61,主建物29,3房2廳2衛,1樓/5樓,"1,988",0
台北市文山區辛亥路六段,43.0年,公寓,建坪 32.55,主 + 陽32.55,3房2廳2衛,2樓/5樓,"1,680",0
台北市文山區興隆路三段,32.7年,華廈,建坪 38.69,主建物25.02,5房3廳2衛(含加蓋2房1廳),1樓/8樓,"3,980",1
台北市文山區木柵路二段,57.3年,公寓/辦公,建坪 28.94,主建物28.94,2房2廳1衛,1樓/3樓,"2,188",0
台北市文山區景華街,42.0年,公寓,建坪 30.02,主 + 陽27.83,3房2廳2衛,5樓/5樓,"1,560",0
台北市文山區羅斯福路五段,45.9年,公寓,建坪 28.37,主 + 陽28.37,3房1廳2衛(含加蓋1衛),4樓/5樓,"1,990",0
台北市文山區景興路,43.6年,公寓,建坪 24.42,主 + 陽24.42,3房2廳2衛,2樓/5樓,"1,750",0
台北市文山區秀明路二段,28.8年,大樓,建坪 49.25,主 + 陽33.37,2房2廳1.5衛1室,1樓/19樓,"2,880",1
台北市文山區羅斯福路六段,3.2年,店面/辦公/大樓,建坪 15.4,主建物10.51,1廳1衛,1樓/12樓,"2,050",0
台北市文山區萬慶街,44.8年,公寓,建坪 47.93,主 + 陽47.93,4房2廳2衛,4樓/5樓,"3,180",0
台北市文山區辛亥路七段,48.7年,公寓,建坪 37.58,主 + 陽37.58,3房2廳2衛,3樓/4樓,"2,188",0
台北市文山區羅斯福路六段,9.2年,大樓/辦公,建坪 32.02,主 + 陽12.05,1房2廳1衛,5樓/19樓,"1,668",1
台北市文山區興隆路四段,44.0年,華廈,建坪 46.58,主 + 陽36.52,3房2廳2衛,3樓/7樓,"2,655",0
台北市文山區興隆路三段,45.5年,公寓,建坪 27.23,主 + 陽27.23,2房2廳2衛,2樓/5樓,"1,298",0
台北市文山區羅斯福路六段,24.9年,店面/辦公,建坪 58.57,主 + 陽37.08,1廳2衛4室(含加蓋1室),2樓/10樓,"4,920",1
台北市文山區興隆路二段,56.8年,公寓,建坪 31.17,主 + 陽31.17,5房4廳3衛1室(含加蓋2房2廳1衛),4樓/4樓,"2,338",0
