路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市萬華區康定路,63.4年,店面/透天,建坪 77.41,主建物73.83,7房6廳5衛(含加蓋1衛),1-4樓/4樓,"6,800",0
台北市萬華區興義街,55.9年,公寓,建坪 27.29,主建物27.29,3房2廳1衛,3樓/4樓,"1,398",0
台北市萬華區武昌街二段,43.5年,店面,建坪 7.79,主建物3.24,1廳,1樓/11樓,"1,680",0
台北市萬華區康定路,59.4年,公寓,建坪 10.4,主建物10.4,3房1衛,2樓/4樓,"1,100",0
台北市萬華區廣州街,90.3年,店面,建坪 77.01,主建物71.89,10房1廳11衛2室(含加蓋3房2衛1室),1-3樓/3樓,"8,800",0
台北市萬華區昆明街,48.2年,公寓/套房,建坪 20.78,主建物20.78,3房3衛,1樓/5樓,"2,080",0
台北市萬華區民和街,41.8年,店面,建坪 26.64,主建物22.85,2廳1衛,1樓/5樓,"3,580",0
台北市萬華區西寧南路,52.8年,店面,建坪 10.51,主建物4.45,2廳(含加蓋1廳),1樓/10樓,"3,980",0
台北市萬華區西園路二段,56.6年,公寓,建坪 23.67,主 + 陽23.67,5房5衛1室(含加蓋2房2衛1室),4樓/4樓,"1,750",0
台北市萬華區西園路一段,6.8年,大樓,建坪 45.12,主 + 陽20.35,3房2廳2衛,4樓/12樓,"2,800",1
台北市萬華區萬大路,54.5年,店面/公寓,建坪 20.18,主建物14.93,1房1廳1衛,1樓/4樓,"2,900",0
台北市萬華區成都路,44.2年,辦公/大樓,建坪 131.33,主 + 陽104.76,2廳2衛6室,3樓/11樓,"7,072",0
台北市萬華區貴陽街二段,預售,大樓,建坪 25,主+附 16.55,2房2廳1衛,8樓/23樓,"2,175",0
台北市萬華區西園路二段,49.4年,店面/公寓,建坪 27.14,主建物19.9,1房2廳1衛,1樓/4樓,"3,350",0
台北市萬華區環河南路一段,48.6年,大樓/套房,建坪 6.63,主 + 陽5.53,1房1廳1衛,9樓/12樓,420,0
台北市萬華區康定路,18.5年,店面,建坪 25.84,主 + 陽11.66,1廳1衛1室,1樓/13樓,"1,980",1
台北市萬華區昆明街,23.1年,大樓/辦公,建坪 8.74,主建物5.14,1房1廳1衛(含加蓋1房),2樓/14樓,588,0
台北市萬華區武成街,62.7年,透天,建坪 17.95,主建物17.95,4房4衛(含加蓋1房1衛),1-3樓/3樓,"1,280",0
台北市萬華區梧州街,38.6年,店面/辦公,建坪 70.42,主建物35.45,1廳1衛14室(含加蓋1衛7室),1樓/5樓,"2,980",0
台北市萬華區東園街,12.6年,大樓,建坪 68.02,主 + 陽39.43,3房2廳2衛,3樓/11樓,"4,960",1
台北市萬華區武昌街二段,66.7年,店面,建坪 82.73,主建物77.38,4廳4衛,1-4樓/4樓,"24,000",0
台北市萬華區中華路一段,79.5年,店面/透天,建坪 74,主建物70.25,6房2廳7衛(含加蓋3房3衛),1-3樓/3樓,"25,800",0
台北市萬華區桂林路,11.6年,大樓,建坪 49.45,主 + 陽29.11,3房2廳2衛1室,7樓/19樓,"4,168",1
台北市萬華區萬大路,56.8年,公寓,建坪 16.92,主建物16.92,2房1廳1衛,3樓/4樓,960,0
台北市萬華區雅江街,67.9年,透天,建坪 48.02,主建物48.02,13房13衛(含加蓋2房8衛),1-3樓/3樓,"3,980",0
台北市萬華區德昌街,56.9年,店面/透天,建坪 66.55,主建物65.33,4房6廳4衛1室(含加蓋1廳1衛1室),1-3樓/3樓,"6,700",0
台北市萬華區武昌街二段,80.1年,店面,建坪 18,主建物14,3廳2衛(含加蓋1廳2衛),1-2樓/2樓,"15,000",0
台北市萬華區武成街,58.6年,公寓,建坪 12.96,主建物12.96,3房1廳1衛(含加蓋1房1衛),1樓/3樓,"1,680",0
台北市萬華區康定路,44.9年,大樓,建坪 14.45,主 + 陽12.43,2房1廳2衛,9樓/11樓,888,0
台北市萬華區中華路二段,47.0年,大樓,建坪 13.51,主 + 陽13.51,2房1廳1衛1室(含加蓋1室),2樓/12樓,"1,150",0
台北市萬華區武昌街二段,43.5年,大樓,建坪 10.19,主 + 陽7.13,1房1廳1衛,8樓/11樓,815,0
台北市萬華區漢口街二段,51.8年,其它,建坪 538.25,主建物538.25,59房60衛,9樓/10樓,"29,988",0
台北市萬華區華西街,51.5年,公寓,建坪 30.71,主建物30.71,5房5衛,3樓/4樓,"1,580",0
台北市萬華區成都路,44.2年,辦公/大樓,建坪 128.85,主 + 陽102.78,1廳2衛10室,2樓/11樓,"7,337",0
台北市萬華區和平西路三段,54.9年,公寓,建坪 20.04,主 + 陽20.04,3房2廳1衛(含加蓋1房1廳),4樓/4樓,"1,150",0
台北市萬華區貴陽街二段,預售,大樓,建坪 35.78,主+附 21.65,3房2廳2衛,9樓/23樓,"3,088",1
台北市萬華區康定路,44.9年,大樓,建坪 8.52,主 + 陽7.01,1房1廳1衛,11樓/11樓,526,0
台北市萬華區西寧南路,47.3年,店面,建坪 17.51,主建物7.3,2廳,1樓/10樓,"4,380",0
台北市萬華區環河南路二段,44.2年,店面/辦公,建坪 343.27,主建物338.23,1房1廳2衛,-1樓/7樓,"10,000",0
台北市萬華區武昌街二段,43.5年,大樓,建坪 16.28,主 + 陽10.73,1房1廳1衛,8樓/11樓,"1,300",0
台北市萬華區艋舺大道,41.5年,公寓,建坪 11.6,主建物11.6,1房2廳1衛,3樓/5樓,798,0
台北市萬華區萬大路,50.7年,公寓,建坪 24.01,主 + 陽24.01,1房1廳1衛,2樓/4樓,"1,250",0
台北市萬華區艋舺大道,41.5年,公寓,建坪 15.66,主建物11.6,2房4廳2衛(含加蓋2廳1衛),5樓/5樓,988,0
台北市萬華區西園路二段,57.9年,公寓,建坪 23.19,主建物23.19,1廳1衛,1樓/4樓,"1,600",0
台北市萬華區雙和街,50.9年,公寓,建坪 14.58,主建物14.58,3房2廳1衛,4樓/5樓,960,0
台北市萬華區開封街二段,41.8年,華廈/辦公,建坪 72.11,主 + 陽54.73,7房2廳3衛,2樓/9樓,"4,980",0
台北市萬華區艋舺大道,41.5年,公寓,建坪 11.6,主建物11.6,1房2廳1衛,4樓/5樓,788,0
台北市萬華區貴陽街二段,83.6年,透天/店面,建坪 47.4,主建物41.4,7房3廳7衛(含加蓋5房3衛),1-2樓/2樓,"9,292",0
台北市萬華區西寧南路,52.8年,辦公/店面,建坪 388.14,主 + 陽267.04,12廳1衛34室,8樓/10樓,"30,000",0
台北市萬華區中華路一段,13.7年,大樓/辦公,建坪 38.41,主 + 陽23.85,1房1廳2衛,2樓/15樓,"3,560",0
台北市萬華區雙園街,54.8年,店面,建坪 25.68,主建物20.69,1廳1衛(含加蓋1衛),1樓/4樓,"2,188",0
台北市萬華區武成街,56.3年,透天,建坪 63.48,主建物63.48,9房6廳6衛(含加蓋2房4廳1衛),1-3樓/3樓,"7,000",0
台北市萬華區中華路一段,46.6年,店面,建坪 1.59,主建物0.6,1廳,2樓/10樓,158,0
台北市萬華區環河南路二段,38.4年,大樓,建坪 37.61,主 + 陽30.21,3房2廳2衛,4樓/16樓,"2,068",0
台北市萬華區和平西路三段,47.6年,公寓,建坪 37.7,主 + 陽37.69,4房2廳2衛,3樓/5樓,"2,098",0
台北市萬華區南寧路,13.7年,店面/辦公/大樓,建坪 32.42,主 + 陽16.52,1廳1衛,1樓/15樓,"4,888",1
台北市萬華區開封街二段,43.1年,華廈,建坪 39.21,主 + 陽35.23,4房2廳3衛,4樓/9樓,"3,330",0
台北市萬華區漢口街二段,51.8年,辦公/華廈,建坪 61.43,主建物49.93,8房7衛,7樓/10樓,"3,680",0
台北市萬華區西寧南路,47.3年,店面/辦公,建坪 17.5,主建物7.29,1廳,1樓/10樓,"7,980",0
台北市萬華區西寧南路,58.5年,公寓,建坪 35.76,主建物35.76,2房4廳4衛(含加蓋1廳1衛),2-4樓/4樓,"5,600",0
台北市萬華區漢中街,46.6年,辦公,建坪 120,主 + 陽118.07,4房3廳3衛,7樓/9樓,"8,800",0
台北市萬華區西寧南路,52.8年,店面,建坪 15.02,主建物8.52,1廳1室,3樓/10樓,"2,200",0
