路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市松山區南京東路三段,39.1年,店面,建坪 10.56,主建物4.04,1廳,1樓/7樓,"2,398",0
台北市松山區南京東路五段,8.5年,大樓,建坪 20.1,主 + 陽12.75,1房1衛,4樓/12樓,"1,988",0
台北市松山區健康路,45.2年,辦公/公寓,建坪 25.12,主建物21.42,2房2廳1衛,1樓/5樓,"4,180",0
台北市松山區民生東路五段,42.2年,店面/辦公/大樓,建坪 28.5,主建物15.88,1廳1衛,1樓/16樓,"1,980",0
台北市松山區南京東路三段,40.6年,華廈,建坪 9.18,主 + 陽6.04,1房1廳1衛,6樓/7樓,"1,100",0
台北市松山區寧安街,50.1年,店面,建坪 41.55,主建物37.66,4廳4衛,1樓/4樓,"7,388",0
台北市松山區南京東路三段,49.4年,店面,建坪 40.54,主建物32.53,2廳2衛(含加蓋1廳2衛),1樓/7樓,"8,000",0
台北市松山區光復北路,0.5年,大樓,建坪 73.17,主 + 陽33.84,2房2廳2衛,21樓/23樓,"11,600",2
台北市松山區南京東路四段,43.2年,店面,建坪 31.31,主建物24.92,3房2廳1衛2室(含加蓋1室),1樓/5樓,"4,350",0
台北市松山區光復南路,33.7年,辦公/店面,建坪 48.17,主建物35.65,1廳2衛3室,1樓/9樓,"5,288",0
台北市松山區富錦街,56.6年,店面,建坪 32.39,主建物32.39,2廳1衛1室(含加蓋1室),1樓/4樓,"5,680",0
台北市松山區南京東路三段,28.0年,店面,建坪 16.2,主 + 陽10.02,2廳1衛1室(含加蓋1廳1室),1樓/5樓,"2,680",0
台北市松山區八德路二段,17.1年,大樓,建坪 21.05,主 + 陽11.63,1房2廳1衛,2樓/14樓,"2,850",0
台北市松山區民生東路五段,42.5年,大樓,建坪 54.95,主 + 陽43.94,3房2廳2衛,11樓/16樓,"4,950",0
台北市松山區光復北路,21.2年,大樓,建坪 78.93,主 + 陽35.69,3房2廳2衛,7樓/11樓,"7,500",2
台北市松山區八德路四段,50.8年,公寓,建坪 46.2,主 + 陽46.2,7房7衛1室(含加蓋2房2衛1室),5樓/5樓,"3,288",0
台北市松山區饒河街,10.9年,店面,建坪 30.16,主建物14.8,1廳1衛,1樓/15樓,"6,880",1
台北市松山區復興北路,44.5年,華廈,建坪 74.84,主 + 陽52.77,4房4廳4衛3室,3樓/7樓,"5,188",1
台北市松山區八德路三段,42.1年,店面,建坪 16.64,主建物12.69,1廳1衛,1樓/7樓,"2,088",0
台北市松山區民生東路五段,36.7年,辦公/店面/大樓,建坪 10.72,主建物6.03,1廳,2樓/20樓,650,0
台北市松山區八德路四段,60.9年,店面/透天,建坪 58.89,主建物53.34,2房2廳4衛,1-2樓/2樓,"12,000",0
台北市松山區塔悠路,21.1年,店面/辦公,建坪 36.25,主 + 陽21.76,2廳2衛(含加蓋1廳1衛),1樓/4樓,"6,888",0
台北市松山區南京東路三段,40.0年,華廈/套房,建坪 15.19,主 + 陽10.06,1房1廳1衛,4樓/7樓,"1,900",0
台北市松山區八德路三段,41.4年,華廈,建坪 81.25,主建物24.95,5房4廳3衛(含加蓋1廳),B1-1樓/7樓,"4,588",0
台北市松山區八德路三段,66.1年,店面/別墅/透天,建坪 35.03,主建物31.28,4房3廳3衛(含加蓋2房1廳1衛),1-2樓/2樓,"5,880",0
台北市松山區八德路三段,64.1年,透天,建坪 19.85,主建物19.85,2房3廳3衛(含加蓋1房1廳1衛),1-2樓/2樓,"3,150",0
台北市松山區塔悠路,21.1年,華廈,建坪 10.9,主 + 陽6.97,1房1廳1衛(含加蓋1房),2樓/4樓,"1,288",0
台北市松山區三民路,51.6年,華廈,建坪 48.76,主 + 陽41.83,3房3衛,2樓/8樓,"3,588",0
台北市松山區南京東路四段,48.1年,華廈,建坪 45.19,主 + 陽40.76,3房2廳2衛,2樓/7樓,"4,780",0
台北市松山區光復北路,16.4年,華廈,建坪 72.79,主 + 陽32.12,4房2廳2衛,5樓/7樓,"6,880",2
台北市松山區南京東路五段,8.5年,大樓,建坪 15.69,主 + 陽10.16,1房1廳1衛(含加蓋1房),12樓/12樓,"1,980",0
台北市松山區南京東路四段,46.4年,辦公/大樓,建坪 20.63,主 + 陽16.91,1廳,12樓/12樓,"2,046",0
台北市松山區民生東路五段,36.7年,辦公/店面/大樓,建坪 13.81,主 + 陽8.88,1廳,2樓/20樓,"1,088",0
台北市松山區南京東路五段,64.3年,店面,建坪 88.01,主 + 陽82.27,5房3廳4衛(含加蓋2房),1-3樓/3樓,"33,800",0
台北市松山區復興北路,40.8年,大樓,建坪 31.44,主 + 陽24.81,5房3衛,8樓/14樓,"3,150",0
台北市松山區八德路四段,23.8年,大樓,建坪 51.9,主 + 陽27.73,4房2廳2衛(含加蓋1房),12樓/13樓,"5,988",1
台北市松山區南京東路四段,46.4年,辦公/大樓,建坪 57.64,主 + 陽40.5,1廳1衛3室,3樓/12樓,"4,988",0
台北市松山區民權東路三段,41.5年,辦公/大樓,建坪 46.76,主 + 陽35.04,3房1廳,3樓/15樓,"3,788",0
台北市松山區南京東路五段,53.8年,公寓/辦公,建坪 39.01,主 + 陽39.01,1房2廳2衛2室,3樓/4樓,"3,988",0
台北市松山區復興北路,44.5年,店面/辦公,建坪 54.74,主建物45.87,2廳3衛(含加蓋2衛),1樓/7樓,"9,180",0
台北市松山區八德路三段,40.6年,店面,建坪 32.44,主建物26.96,1廳1衛,1樓/5樓,"5,888",0
台北市松山區八德路四段,12.2年,大樓,建坪 19.43,主建物10.51,1房1廳1衛1室(含加蓋1室),3樓/13樓,"2,088",0
台北市松山區八德路四段,12.2年,大樓/套房,建坪 15.27,主建物8.91,1房1廳1衛,10樓/13樓,"2,140",0
台北市松山區南京東路四段,15.5年,大樓,建坪 109.88,主 + 陽67.07,2房1廳2衛3室,8樓/15樓,"11,780",1
台北市松山區光復北路,28.7年,大樓,建坪 63.4,主 + 陽37.85,4房2廳2衛,7樓/12樓,"5,388",0
台北市松山區八德路四段,35.0年,華廈,建坪 33.23,主 + 陽30.11,3房2廳2衛,4樓/5樓,"3,680",0
