路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區農安街,46.9年,華廈,建坪 9.62,主建物7.55,1房1廳1衛,6樓/10樓,749,0
台北市中山區龍江路,47.8年,公寓,建坪 27.44,主 + 陽27.44,4房2廳2衛,2樓/5樓,"2,350",0
台北市中山區明水路,18.0年,辦公/大樓,建坪 17.49,主 + 陽10.66,1房1廳1衛,11樓/12樓,"1,980",0
台北市中山區伊通街,7.9年,華廈,建坪 31.57,主 + 陽11.75,2廳,7樓/9樓,"2,998",1
台北市中山區堤頂大道二段,24.7年,店面,建坪 27.11,主 + 陽12.02,1廳1衛,1樓/11樓,"5,380",0
台北市中山區林森北路,48.5年,華廈/辦公,建坪 24.83,主建物18.13,2房2廳1衛1室,1樓/6樓,"2,700",0
台北市中山區新生北路一段,25.4年,大樓,建坪 19,主 + 陽13.75,2房1廳1衛(含加蓋1房),10樓/12樓,"1,988",0
台北市中山區樂群三路,16.3年,辦公,建坪 52.06,主 + 陽30.05,3房2廳2衛1室(含加蓋1房),9樓/10樓,"5,698",1
台北市中山區長安東路一段,53.0年,華廈,建坪 49.03,主 + 陽49.03,4房1廳2衛,3樓/6樓,"3,500",0
台北市中山區吉林路,53.5年,店面/公寓,建坪 69.11,主 + 陽60.18,2房3廳4衛2室(含加蓋1房2衛1室),1-2樓/5樓,"12,500",0
台北市中山區民生東路一段,45.6年,大樓,建坪 13.98,主 + 陽11.12,1房1廳1衛,6樓/12樓,"1,188",0
台北市中山區五常街,44.9年,公寓,建坪 36.24,主 + 陽36.24,4房1廳4衛,3樓/5樓,"2,280",0
台北市中山區中山北路二段,3.0年,大樓,建坪 23.24,主 + 陽10.28,1房1廳1衛,2樓/13樓,"2,480",1
台北市中山區復興北路,39.8年,大樓,建坪 29.64,主 + 陽23.23,2房2廳1衛1室,13樓/13樓,"3,488",0
