物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
揚昇松江苑金仕曼好邸,松江路,1,0,0,0,0,0,0,0,0,0,0,0,9.3,46.0,9999,1,3,2,3,3,0,14,6,6,1,0,1,0,0,0,121.532749821,25.0489057672
捷運松江南京共構美宅,南京東路二段,1,0,0,0,0,0,0,0,0,0,0,0,15.5,131.0,2138,1,1,1,1,1,0,18,6,6,1,0,1,0,0,0,121.53217589,25.0518451344
F2長安學區精美電梯三房,長安東路一段,1,0,0,0,0,0,0,0,0,0,0,0,47.8,154.0,1780,0,3,2,1,3,0,7,6,6,1,0,1,0,0,0,121.526620653,25.0492511373
華山置產收租雙套房,新生北路一段,1,0,0,0,0,0,0,0,0,0,0,0,48.2,175.0,1220,0,2,2,2,2,0,7,7,7,1,0,0,1,0,0,121.52833387,25.0494336375
富富話合精裝兩房平車,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,8.7,198.0,6698,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0,121.523930052,25.0532294791
富富話合精裝兩房平車,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,8.7,198.0,6698,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0,121.523930052,25.0532294791
富富話合精裝兩房平車,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,8.7,198.0,6588,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0,121.523930052,25.0532294791
富富話合精裝兩房平車,中山北路二段,1,0,0,0,0,0,0,0,0,0,0,0,8.7,198.0,6588,1,2,2,2,2,0,12,2,2,1,0,1,0,0,0,121.523930052,25.0532294791
DZ7行天宮捷運｜兩房兩衛,合江街,1,0,0,0,0,0,0,0,0,0,0,0,40.4,246.0,3288,0,2,2,2,2,0,7,3,3,1,0,1,0,0,0,121.539272186,25.0583371232
C4獨家榮星絕版4米2採光精品,龍江路,1,0,0,0,0,0,0,0,0,0,0,0,12.5,268.0,2388,0,2,1,1,2,0,7,4,4,1,0,1,0,0,0,121.541901439,25.0667490704
