物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS70064,士林大西路低總捷運宅,士林區大西路,1房(室)2廳1衛,97坪,4/5樓,91年,住宅,85萬
WS70448,天母西路庭園華廈3房,士林區天母西路,3房(室)2廳2衛,121坪,2/7樓,116年,住宅,109萬
WS71167,靜安樹語尊榮景觀大戶,士林區忠誠路二段,3房(室)2廳2衛,72坪,12/14樓,66年,住宅,58萬
YS186912,T241正延平北商一角窗透店,士林區延平北路五段,4房(室)7廳5衛,156坪,1-3/3樓,149年,住宅,141萬
YS190540,雙溪綠景樹海3樓,士林區中社路一段,4房(室)2廳2衛,168坪,3/4樓,170年,住宅,85萬
ZS196704,外雙溪翠綠山巒景觀,士林區中社路一段,4房(室)2廳2衛,168坪,3/4樓,170年,住宅,85萬
ZS197809,故宮中社路綠意3樓,士林區中社路一段,4房(室)2廳2衛,168坪,3/4樓,170年,住宅,85萬
WS58182,白雲山莊景觀宅,士林區仰德大道三段,2房(室)2廳2衛,211坪,1/4樓,206年,住宅,109萬
WS69847,士林中正路一樓店辦,士林區中正路,OPEN(1廳1衛),40坪,1/9樓,34年,店面,25萬
XS110322,陽明山新安獨棟透天超值大空間,士林區新安路,12房(室)2廳4衛,69坪,1/1樓,63年,住宅,55萬
WS25264,【延平北路・投報透天】,士林區延平北路六段,7房(室)1廳8衛,85坪,1-2/4樓,89年,住宅,80萬
ZS127917,國安局芝蘭別墅2,士林區仰德大道一段,4/4/6,114坪,1-2/2樓,109年,住宅,103萬
ZS127901,國安局芝蘭別墅1,士林區仰德大道一段,4/3/6,130坪,1-2/2樓,109年,住宅,103萬
YS179254,士林社子街一樓,士林區社子街,1房(室)1廳1衛,144坪,1/3樓,148年,住宅,142萬
YS153905,捷運透天德東金店,士林區德行東路,開放式,167坪,1-2/2樓,169年,店面,165萬
YS174617,農莊環景帶照別莊,士林區仰德大道二段,--房(室)3廳--衛,190坪,1/1樓,192年,住宅,188萬
YS163071,金賺透天店面$,士林區中山北路六段,4房(室)2廳1衛,220坪,1-2/2樓,212年,店面,208萬
YS161663,T115士林三角窗大面寬店王,士林區社中街,--房(室)1廳1衛,241坪,1/4樓,235年,店面,231萬
WS28082,&美國學校精裝一樓,士林區中山北路七段,1房(室)2廳1衛,44坪,1/5樓,37年,住宅,26萬
YS170465,鄉林陽明厝王樓中樓,士林區基河路,4房(室)3廳5衛,74坪,14-15/15樓,68年,住宅,58萬
YS177028,芝山捷運庭院車庫,士林區中山北路六段,4房(室)2廳3衛,99坪,1/7樓,93年,住宅,87萬
ZS185675,芝蘭新村別墅,士林區仰德大道一段,5房(室)2廳6衛,123坪,B1-2/2樓,118年,住宅,110萬
YS171572,天母大面寬住辦好停車,士林區中山北路七段,3房(室)2廳2衛,143坪,1/7樓,138年,住宅,135萬
ZS185679,陽明山庭院別墅,士林區仰德大道一段,5房(室)2廳6衛,157坪,B1-2/2樓,153年,住宅,110萬
YS174009,高島屋邊間黃金二樓美寓,士林區芝玉路二段,3房(室)2廳1衛,180坪,2/4樓,174年,住宅,169萬
YS177467,天玉豪宅庭院奢華一樓,士林區中山北路七段,2廳1衛/加蓋:1房2室,44坪,1/5樓,37年,住宅,26萬
YS177927,忠誠崗石城堡盛宴大戶,士林區忠誠路二段,4房(室)2廳3衛,213坪,2/12樓,208年,住宅,204萬
YS180437,士東國小四房車庫一樓,士林區中山北路六段,4房(室)2廳2衛,234坪,1/5樓,227年,住宅,224萬
