物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
政大普羅旺世三房+車位,政大二街,0,0,0,0,0,0,0,0,0,1,0,0,233.0,1,3.0,2.0,2.0,3.0,0,12,3.0,3.0,1.0,0,1,0,0,0
木新力行頂佳,木新路三段,0,0,0,0,0,0,0,0,0,1,0,0,40.0,0,,2.0,2.0,,0,5,5.0,5.0,1.0,0,1,0,0,0
木柵頭廷土地,,0,0,0,0,0,0,0,0,0,1,0,0,24.0,0,,,,,0,24,24.0,24.0,1.0,0,0,0,0,0
翠堤景觀四房車位,一壽街,0,0,0,0,0,0,0,0,0,1,0,0,86.0,1,4.0,2.0,2.0,4.0,0,8,4.0,4.0,1.0,0,1,0,0,0
台北-文山區忠順大院二期,忠順街二段,0,0,0,0,0,0,0,0,0,1,0,0,109.0,0,3.0,2.0,2.0,3.0,0,14,14.0,14.0,1.0,0,1,0,0,0
猴山岳景觀休閒農場,新光路二段,0,0,0,0,0,0,0,0,0,1,0,0,24.0,0,,,,,0,24,24.0,24.0,1.0,0,0,0,0,0
東山高中土地,,0,0,0,0,0,0,0,0,0,1,0,0,24.0,0,,,,,0,24,24.0,24.0,1.0,0,0,0,0,0
世新致富收租美屋,試院路,0,0,0,0,0,0,0,0,0,1,0,0,159.0,0,16.0,,6.0,16.0,0,4,-2.0,1.0,4.0,0,1,0,0,0
水沐鋼骨景觀豪宅,保儀路,0,0,0,0,0,0,0,0,0,1,0,0,180.0,0,3.0,2.0,2.0,3.0,0,24,14.0,14.0,1.0,0,1,0,0,0
忠順商圈美寓,興隆路四段,0,0,0,0,0,0,0,0,0,1,0,0,203.0,0,3.0,2.0,2.0,3.0,0,5,5.0,5.0,1.0,0,1,0,0,0
露台景觀樓中樓,木柵路三段,0,0,0,0,0,0,0,0,0,1,0,0,224.0,0,6.0,2.0,2.0,6.0,0,17,16.0,17.0,2.0,0,1,0,0,0
政大獨棟大庭院別墅,萬壽路,0,0,0,0,0,0,0,0,0,1,0,0,30.0,0,4.0,3.0,3.0,4.0,0,2,1.0,2.0,2.0,0,1,0,0,0
木柵黃金三樓I,木柵路三段,0,0,0,0,0,0,0,0,0,1,0,0,70.0,0,3.0,1.0,1.0,3.0,0,5,3.0,3.0,1.0,0,1,0,0,0
木柵黃金三樓II,木柵路三段,0,0,0,0,0,0,0,0,0,1,0,0,84.0,0,3.0,1.0,1.0,3.0,0,5,3.0,3.0,1.0,0,1,0,0,0
近樟山寺田地,指南段三小段,0,0,0,0,0,0,0,0,0,1,0,0,26.0,0,,,,,0,26,26.0,26.0,1.0,0,0,0,0,0
