物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
T263士林捷運首購美寓,大北路,0,0,0,0,0,0,1,0,0,0,0,0,174.0,0,3.0,1.0,1.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
劍潭方正黃金二樓,福港街,0,0,0,0,0,0,1,0,0,0,0,0,200.0,0,3.0,2.0,2.0,3.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
T223芝玉陽光微宅所,芝玉路二段,0,0,0,0,0,0,1,0,0,0,0,0,221.0,0,4.0,,4.0,4.0,0,5.0,-1.0,-1.0,1.0,0,0,0,0,0
陽明菁山住一土地,新安段一小段,0,0,0,0,0,0,1,0,0,0,0,0,27.0,0,,,,,0,27.0,1.0,1.0,1.0,0,0,0,0,0
士林收租寶｜近未來捷運典雅美寓,重慶北路四段,0,0,0,0,0,0,1,0,0,0,0,0,31.0,0,6.0,1.0,5.0,6.0,0,3.0,3.0,3.0,1.0,0,1,0,0,0
靜安樹語高樓景觀戶,忠誠路二段,0,0,0,0,0,0,1,0,0,0,0,0,72.0,0,3.0,2.0,3.0,3.0,0,14.0,12.0,12.0,1.0,0,1,0,0,0
士林大西路低總捷運宅,大西路,0,0,0,0,0,0,1,0,0,0,0,0,97.0,0,1.0,2.0,1.0,1.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
天母西路庭園華廈3房,天母西路,0,0,0,0,0,0,1,0,0,0,0,0,121.0,0,3.0,2.0,2.0,3.0,0,7.0,2.0,2.0,1.0,0,0,0,1,0
靜安樹語尊榮景觀大戶,忠誠路二段,0,0,0,0,0,0,1,0,0,0,0,0,72.0,0,3.0,2.0,2.0,3.0,0,14.0,12.0,12.0,1.0,0,1,0,0,0
T241正延平北商一角窗透店,延平北路五段,0,0,0,0,0,0,1,0,0,0,0,0,156.0,0,4.0,7.0,5.0,4.0,0,3.0,1.0,3.0,3.0,0,1,0,0,0
雙溪綠景樹海3樓,中社路一段,0,0,0,0,0,0,1,0,0,0,0,0,168.0,0,4.0,2.0,2.0,4.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
外雙溪翠綠山巒景觀,中社路一段,0,0,0,0,0,0,1,0,0,0,0,0,168.0,0,4.0,2.0,2.0,4.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
故宮中社路綠意3樓,中社路一段,0,0,0,0,0,0,1,0,0,0,0,0,168.0,0,4.0,2.0,2.0,4.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
白雲山莊景觀宅,仰德大道三段,0,0,0,0,0,0,1,0,0,0,0,0,211.0,0,2.0,2.0,2.0,2.0,0,4.0,1.0,1.0,1.0,0,1,0,0,0
士林中正路一樓店辦,中正路,0,0,0,0,0,0,1,0,0,0,0,0,40.0,0,,1.0,1.0,,0,9.0,1.0,1.0,1.0,0,0,0,0,0
陽明山新安獨棟透天超值大空間,新安路,0,0,0,0,0,0,1,0,0,0,0,0,69.0,0,12.0,2.0,4.0,12.0,0,1.0,1.0,1.0,1.0,0,0,0,0,1
