物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
敦化民生雷諾名廈坡車,民生東路三段,0,0,0,0,0,0,0,0,0,0,1,0,119.0,0,4.0,2.0,2.0,4.0,0,12,5.0,5.0,1.0,0,1,0,0,0
A7翔譽101煙火景觀戶,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,143.0,0,1.0,1.0,1.0,1.0,0,13,4.0,4.0,1.0,0,1,0,0,0
【敦化站｜雙敦學區．黃金三樓】,八德路三段,0,0,0,0,0,0,0,0,0,0,1,0,167.0,0,3.0,2.0,2.0,3.0,0,4,3.0,3.0,1.0,0,1,0,0,0
松山機場旁敦北翠苑邊間三房車,敦化北路,0,0,0,0,0,0,0,0,0,0,1,0,189.0,0,3.0,2.0,2.0,3.0,0,12,11.0,11.0,1.0,0,1,0,0,0
BZ7松山捷運｜低總置產宅,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,209.0,0,,,,,0,14,2.0,2.0,1.0,0,1,0,0,0
敦北映虹園電梯3房,民族東路,0,0,0,0,0,0,0,0,0,0,1,0,230.0,0,,2.0,4.0,,0,7,2.0,2.0,1.0,0,1,0,0,0
名人世界高樓４房,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,252.0,0,4.0,2.0,2.0,4.0,0,15,13.0,13.0,1.0,0,1,0,0,0
民生社區好宅景觀戶,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,41.0,0,1.0,1.0,1.0,1.0,0,15,14.0,14.0,1.0,0,1,0,0,0
中工碧硯閣三房車位,三民路,0,0,0,0,0,0,0,0,0,0,1,0,65.0,1,3.0,2.0,2.0,3.0,0,24,6.0,6.0,1.0,0,1,0,0,0
南京三民公寓3樓,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,92.0,0,3.0,2.0,1.0,3.0,0,4,3.0,3.0,1.0,1,0,0,0,0
A7全新｜嘉磐101,八德路,0,0,0,0,0,0,0,0,0,0,1,0,117.0,0,1.0,1.0,1.0,1.0,0,12,7.0,7.0,1.0,0,1,0,0,0
BZ7松山捷運｜擁財庫旺宅,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,140.0,0,,,,,0,14,2.0,2.0,1.0,0,0,0,0,0
F13松山稀有4米2高樓成家,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,163.0,0,,2.0,1.0,,0,13,8.0,8.0,1.0,0,1,0,0,0
敦北小巨蛋三房美宅附車位,敦化北路,0,0,0,0,0,0,0,0,0,0,1,0,187.0,1,3.0,2.0,2.0,3.0,0,12,11.0,11.0,1.0,0,1,0,0,0
民生綠蔭電梯美三房,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,205.0,0,3.0,2.0,2.0,3.0,0,7,5.0,5.0,1.0,0,1,0,0,0
中山國中站電梯三房,民族東路,0,0,0,0,0,0,0,0,0,0,1,0,225.0,0,3.0,2.0,2.0,3.0,0,7,4.0,4.0,1.0,0,1,0,0,0
民生公園二樓,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,243.0,0,3.0,2.0,1.0,3.0,0,4,2.0,2.0,1.0,0,1,0,0,0
D3雙敦璞真久石讓首席戶,南京東路四段,0,0,0,0,0,0,0,0,0,0,1,0,43.0,0,2.0,2.0,2.0,2.0,0,15,8.0,8.0,1.0,0,1,0,0,0
D3雙敦璞真久石讓帝王雙併,南京東路四段,0,0,0,0,0,0,0,0,0,0,1,0,60.0,0,4.0,2.0,2.0,4.0,0,15,8.0,8.0,1.0,0,1,0,0,0
D3雙敦璞真久石讓總裁戶,南京東路四段,0,0,0,0,0,0,0,0,0,0,1,0,76.0,0,2.0,1.0,2.0,2.0,0,15,8.0,8.0,1.0,0,1,0,0,0
小巨蛋雙敦雙車帷幕商辦,延吉街,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,,,,,0,7,4.0,4.0,1.0,0,0,0,0,0
中山國中捷運超實用大空間七樓,民族東路,0,0,0,0,0,0,0,0,0,0,1,0,123.0,0,3.0,2.0,2.0,3.0,0,7,7.0,7.0,1.0,0,1,0,0,0
大面寬邊間稀有2樓釋出,民族東路,0,0,0,0,0,0,0,0,0,0,1,0,136.0,0,3.0,2.0,2.0,3.0,0,4,2.0,2.0,1.0,0,1,0,0,0
民生社區大戶美寓,民生東路四段,0,0,0,0,0,0,0,0,0,0,1,0,164.0,0,4.0,2.0,1.0,4.0,0,4,3.0,3.0,1.0,0,1,0,0,0
驚喜價｜敦北金融特區住辦,敦化北路,0,0,0,0,0,0,0,0,0,0,1,0,187.0,0,4.0,2.0,2.0,4.0,0,12,2.0,2.0,1.0,0,0,0,0,0
南京三民樓中樓鼎佳附車,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,207.0,0,,2.0,2.0,,0,7,7.0,7.0,1.0,0,1,0,0,0
小巨蛋站雙敦學區｜敦北園中園,北寧路,0,0,0,0,0,0,0,0,0,0,1,0,226.0,0,3.0,2.0,2.0,3.0,0,17,9.0,9.0,1.0,0,1,0,0,0
民權電梯華廈大空間,民權東路三段,0,0,0,0,0,0,0,0,0,0,1,0,42.0,0,3.0,2.0,2.0,3.0,0,7,7.0,7.0,1.0,0,0,0,1,0
復北興安亮麗店辦,復興北路,0,0,0,0,0,0,0,0,0,0,1,0,72.0,0,,,,,0,14,1.0,1.0,1.0,0,0,0,0,0
世田介精裝高樓,敦化南路一段,0,0,0,0,0,0,0,0,0,0,1,0,97.0,0,1.0,2.0,2.0,1.0,0,12,10.0,10.0,1.0,0,1,0,0,0
國泰敦化名門頂家,八德路三段,0,0,0,0,0,0,0,0,0,0,1,0,121.0,0,4.0,3.0,3.0,4.0,0,5,5.0,5.0,1.0,0,1,0,0,0
南京三民芝蘭名廈三房,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,142.0,0,3.0,2.0,2.0,3.0,0,7,4.0,4.0,1.0,0,1,0,0,0
雙敦南林蔭景觀大戶,敦化南路一段,0,0,0,0,0,0,0,0,0,0,1,0,164.0,0,4.0,2.0,2.0,4.0,0,12,11.0,11.0,1.0,0,1,0,0,0
松山精華地段|高樓層辦公,南京東路五段,0,0,0,0,0,0,0,0,0,0,1,0,186.0,0,3.0,,1.0,3.0,0,9,8.0,8.0,1.0,0,0,0,0,0
K9南京商圈X電梯鼎王,寶清街,0,0,0,0,0,0,0,0,0,0,1,0,207.0,0,6.0,3.0,3.0,6.0,0,7,7.0,7.0,1.0,0,1,0,0,0
逸仙名園電梯三房車,光復南路,0,0,0,0,0,0,0,0,0,0,1,0,227.0,0,3.0,2.0,2.0,3.0,0,6,2.0,2.0,1.0,0,1,0,0,0
南京三民住辦獨棟華廈,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,246.0,0,4.0,2.0,2.0,4.0,0,7,5.0,5.0,1.0,0,0,0,1,0
民生建成景觀套房,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,40.0,0,1.0,,1.0,1.0,0,20,20.0,20.0,1.0,0,0,1,0,0
饒河塔式休旅車位,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,19.0,1,,,,,0,14,1.0,1.0,1.0,0,0,0,0,0
民生圓環名人裝潢3室,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,87.0,0,,2.0,2.0,,0,15,7.0,7.0,1.0,0,1,0,0,0
新東街寬巷3+1房,新東街,0,0,0,0,0,0,0,0,0,0,1,0,108.0,0,,2.0,2.0,,0,5,4.0,4.0,1.0,0,1,0,0,0
太子敦園高樓雙車,光復北路,0,0,0,0,0,0,0,0,0,0,1,0,129.0,0,3.0,2.0,2.0,3.0,0,11,7.0,7.0,1.0,0,1,0,0,0
DZ8南京復興｜雙敦學區宅,八德路二段,0,0,0,0,0,0,0,0,0,0,1,0,151.0,0,2.0,1.0,1.0,2.0,0,14,13.0,13.0,1.0,0,1,0,0,0
BZ2南京三民信義星池高樓房車,八德路四段,0,0,0,0,0,0,0,0,0,0,1,0,171.0,0,1.0,1.0,1.0,1.0,0,14,9.0,9.0,1.0,0,1,0,0,0
DZ8雙敦高樓稀有釋出,光復南路,0,0,0,0,0,0,0,0,0,0,1,0,192.0,0,2.0,2.0,2.0,2.0,0,9,9.0,9.0,1.0,0,1,0,0,0
民生介壽美鼎家,民生東路五段,0,0,0,0,0,0,0,0,0,0,1,0,212.0,0,,3.0,2.0,,0,4,4.0,4.0,1.0,0,1,0,0,0
FZ5雙敦稀有庭院一樓,光復南路,0,0,0,0,0,0,0,0,0,0,1,0,229.0,0,3.0,2.0,2.0,3.0,0,7,1.0,1.0,1.0,0,1,0,0,0
J6東區｜三角窗店面｜小巨蛋,八德路三段,0,0,0,0,0,0,0,0,0,0,1,0,43.0,0,,1.0,1.0,,0,5,1.0,1.0,1.0,0,0,0,0,0
