物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS71643,世貿文普景觀4房,大安區基隆路二段,4房(室)2廳2衛,144坪,8/12樓,138年,住宅,134萬
WS71493,雙捷運電梯3房美廈,大安區樂利路,3房(室)2廳2衛,185坪,3/7樓,179年,住宅,175萬
WS71691,文普國際精緻四房,大安區基隆路二段,4房(室)2廳2衛,144坪,8/12樓,138年,住宅,134萬
WS71781,新生南路收租▲窗全家金店面,大安區新生南路一段,--房(室)--廳--衛,217坪,1/7樓,211年,其他,205萬
WS71865,給愛車一個家,大安區金華街,--房(室)--廳--衛,24坪,B2/10樓,34年,車位,25萬
YS182637,師大青見倉儲車位,大安區和平東路一段,--房(室)--廳--衛,65坪,B/24樓,59年,車位,54萬
WS53543,忠孝敦化國泰皇家,大安區忠孝東路四段,3房(室)2廳2衛,93坪,8/12樓,86年,住商,78萬
WS71625,光復南一層美寓3房,大安區光復南路,3房(室)2廳2衛,118坪,3/4樓,112年,住宅,105萬
WS71820,東帝士樓中樓+雙坡車,大安區安和路二段,6房(室)4廳3衛,142坪,24-25/25樓,137年,住宅,129萬
ZS200798,瑞安庭院精美大戶,大安區復興南路二段,4房(室)2廳2衛,169坪,1/7樓,162年,住宅,155萬
WS71948,E29信義安和美廈2樓3房3衛,大安區安和路二段,3房(室)2廳3衛,191坪,2/7樓,185年,住宅,180萬
WS72038,忠孝敦化精品華廈,大安區忠孝東路四段,2房(室)2廳2衛,212坪,2/7樓,206年,住宅,202萬
YS197720,光復南傳家大土地透天,大安區光復南路,6房(室)5廳3衛,226坪,1-2/2樓,229年,住宅,223萬
WS72132,大安Money金華設籍美宅,大安區羅斯福路三段,1房(室)1廳1衛,257坪,3/15樓,247年,住宅,246萬
WS72081,敦南傳家三角窗金店面,大安區敦化南路一段,7房(室)2廳2衛,44坪,B1-1/14樓,37年,店面,25萬
WS35624,辛亥.芳和學區宅,大安區辛亥路三段,3房(室)2廳1衛,76坪,2/4樓,69年,住宅,60萬
WS09025,大安面公園百坪大戶,大安區通化街,7房(室)3廳3衛,91坪,1-2/4樓,69年,住宅,89萬
WS39692,金山南路店面,大安區金山南路二段,1房(室)2廳2衛,123坪,1/6樓,117年,住宅,110萬
WS38381,金山南大面寬金店面,大安區金山南路二段,1房(室)2廳2衛,141坪,1/6樓,117年,店面,110萬
WS43895,E98東門捷運大路邊金店面,大安區金山南路二段,1房(室)2廳2衛,137坪,1/6樓,117年,店面,110萬
WS36829,南溫州超級金店面,大安區溫州街,--房(室)1廳1衛,172坪,1/7樓,166年,住宅,161萬
YS197204,附中學區三房進大安森活圈,大安區建國南路一段,3房(室)2廳1衛,191坪,4/14樓,186年,住宅,183萬
WS71183,樂利安和捷運華廈,大安區樂利路,3房(室)2廳2衛,211坪,2/7樓,206年,住宅,202萬
YS197200,大安區經典中的晶典電梯3房方正採光佳,大安區臥龍街,3房(室)2廳2衛,231坪,3/9樓,227年,住宅,222萬
WS71121,仁愛安和華園名廈,大安區仁愛路四段,5房(室)2廳2衛,42坪,7/7樓,35年,住宅,25萬
OS223100,101景觀採光3+1房,大安區基隆路二段,3房(室)2廳2衛,70坪,8/12樓,64年,住宅,57萬
WS71340,國館三青面寬店辦,大安區仁愛路四段,2室1廳1衛,93坪,1/14樓,88年,店面,82萬
WS71458,仁愛樹景景觀美宅,大安區仁愛路四段,2+1房/2廳/2衛,114坪,2/12樓,108年,住宅,104萬
WS71532,信義御邸景觀樓,大安區信義路二段,OPEN,137坪,20/21樓,133年,住宅,126萬
WS71501,信安國際大樓辦公,大安區安和路二段,1廳,160坪,11/12樓,155年,辦公,149萬
YS197459,溫州院書香名邸,大安區溫州街,3房(室)2廳2衛,183坪,6/19樓,177年,住宅,172萬
