物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS25168,國館三角窗金賺錢店舖,信義區光復南路,--房(室)--廳--衛,183坪,1/12樓,178年,其他,174萬
ZS108607,018-紀念館捷運金店面,信義區光復南路,開放式,183坪,1/12樓,178年,店面,174萬
WS32539,忠孝界極品庭院小豪宅,信義區中坡南路,2房(室)1廳1衛,215坪,1/7樓,65年,住宅,209萬
ZS164529,永吉收租金店,信義區永吉路,OPEN,163坪,1/12樓,157年,店面,154萬
WS33514,帛詩華後棟高樓2房車,信義區基隆路二段,2房(室)1廳1衛,43坪,11/15樓,36年,住宅,26萬
ZS135337,130-紀念館精品三房,信義區光復南路,3房(室)2廳2衛,70坪,3/12樓,65年,住商,57萬
ZS184984,新川普,信義區信義路五段,OPEN,94坪,4/19樓,88年,住宅,82萬
WS34079,信義路三角窗金店,信義區信義路六段,1室1廳1衛,118坪,1/7樓,114年,店面,106萬
ZS185408,時尚MOMA精品宅,信義區忠孝東路五段,1房(室)2廳1衛,139坪,4/11樓,133年,住宅,129萬
WS36979,領袖名邸．總裁行館,信義區忠孝東路五段,6房2廳4衛1室,161坪,1/8樓,157年,住宅,151萬
OS199563,信義區黃金2樓~方正3房,信義區忠孝東路五段,3房(室)2廳1衛,174坪,2/4樓,177年,住宅,172萬
WS37967,大巨蛋松菸▲金店面,信義區忠孝東路四段,1室1廳1衛,201坪,1/7樓,196年,店面,193萬
WS40882,【永春站｜忠孝東路・住辦店面】,信義區忠孝東路五段,3房(室)2廳1衛,219坪,1/7樓,214年,住宅,212萬
WS41677,忠孝東路五段M0MA小豪宅,信義區忠孝東路五段,1房(室)1廳1衛,139坪,4/11樓,133年,住宅,129萬
WS36005,130世紀金融商辦,信義區信義路四段,開放式,42坪,3/27樓,35年,辦公,26萬
WS47951,專任!信義麗心高樓2房,信義區松隆路,2房(室)1廳1衛,71坪,8/12樓,65年,住宅,56萬
WS41686,時尚MOMA挑高小豪宅+車位,信義區忠孝東路五段,1房(室)1廳1衛,96坪,4/11樓,90年,住商,83萬
ZS152644,忠孝101高樓美裝景觀宅,信義區忠孝東路五段,2房(室)2廳2衛,117坪,10/13樓,112年,住宅,107萬
TS96004,信義區三角窗收租店面,信義區光復南路,彈性空間,142坪,B1-1/12樓,136年,店面,130萬
OS205959,小資新婚首選(信義小貴族)電梯,信義區吳興街,1房(室)1廳1衛,12坪,2/5樓,160年,住宅,154萬
WS05097,F16信義永馨優質三房,信義區光復南路,3房(室)2廳2衛,186坪,3/12樓,181年,住宅,177萬
WS42567,聯合大哲,信義區忠孝東路四段,OPEN,208坪,17/24樓,203年,住宅,197萬
WS47132,市府站30巷透天,信義區永吉路,4房(室)3廳3衛,222坪,1-2/2樓,226年,住宅,219萬
