物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
信義捷運管理電梯三房,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,117.0,0,,2.0,2.0,,0,12.0,5.0,5.0,1.0,0,1,0,0,0
財經世紀辦公大樓,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,139.0,0,,,,,0,12.0,7.0,7.0,1.0,0,1,0,0,0
FZ9北醫商圈｜三房美寓,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,162.0,0,3.0,2.0,2.0,3.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
六張犁低總次高樓電梯美屋,崇德街,0,0,1,0,0,0,0,0,0,0,0,0,182.0,0,,1.0,1.0,,0,7.0,6.0,6.0,1.0,0,1,0,0,0
$101永春捷運3房,忠孝東路五段,0,0,1,0,0,0,0,0,0,0,0,0,203.0,0,3.0,2.0,2.0,3.0,0,7.0,3.0,3.0,1.0,0,1,0,0,0
稀有信義國寶庭園樓中樓,松平路,0,0,1,0,0,0,0,0,0,0,0,0,224.0,0,5.0,3.0,4.0,5.0,0,8.0,1.0,1.0,1.0,0,1,0,0,0
101景觀鼎佳美寓,信義路五段,0,0,1,0,0,0,0,0,0,0,0,0,249.0,0,5.0,3.0,3.0,5.0,1,5.0,5.0,5.0,1.0,0,1,0,0,0
富陽四季美寓,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,45.0,0,3.0,2.0,2.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
富陽美妝公寓二樓,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,45.0,0,3.0,2.0,2.0,3.0,0,4.0,2.0,2.0,1.0,1,0,0,0,0
富陽新裝潢邊間三房,富陽街,0,0,1,0,0,0,0,0,0,0,0,0,45.0,0,3.0,2.0,2.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
市府晶華美2房,永吉路,0,0,1,0,0,0,0,0,0,0,0,0,93.0,0,2.0,1.0,1.0,2.0,0,7.0,4.0,4.0,1.0,0,1,0,0,0
