物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
內湖科學園區西湖段,瑞光路,0,0,0,1,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
內科金矽谷挑高大露臺廠辦,基湖路,0,0,0,1,0,0,0,0,0,0,0,0,135.0,0,,,,,0,8.0,6.0,6.0,1.0,0,0,0,0,0
DZ5文德站邊間採光正二房,陽光街,0,0,0,1,0,0,0,0,0,0,0,0,157.0,0,2.0,2.0,1.0,2.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
內湖劍南站一樓大空間店面,內湖路一段,0,0,0,1,0,0,0,0,0,0,0,0,180.0,0,1.0,2.0,3.0,1.0,0,6.0,-1.0,1.0,3.0,0,0,0,0,0
內湖江南街住三建地,,0,0,0,1,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
內湖科學園區土地,行愛路,0,0,0,1,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,1.0,1.0,1.0,0,0,0,0,0
大面寬臨路工業地,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,25.0,0,,,,,0,25.0,25.0,25.0,1.0,0,0,0,0,0
領世堡坡道B3機械車位,康寧路三段,0,0,0,1,0,0,0,0,0,0,0,0,24.0,1,,,,,0,15.0,-1.0,-1.0,1.0,0,0,0,0,0
內湖湖山村三車獨棟美墅,康寧路三段,0,0,0,1,0,0,0,0,0,0,0,0,67.0,0,,2.0,4.0,,0,4.0,1.0,4.0,4.0,0,1,0,0,0
內湖翔譽景觀兩房車,新明路,0,0,0,1,0,0,0,0,0,0,0,0,90.0,0,,2.0,1.0,,0,20.0,18.0,18.0,1.0,0,1,0,0,0
內湖成功路公園用地,文德段四小段,0,0,0,1,0,0,0,0,0,0,0,0,24.0,0,,,,,0,24.0,1.0,1.0,1.0,0,0,0,0,0
內湖南京i-come車位,新明路,0,0,0,1,0,0,0,0,0,0,0,0,24.0,1,,,,,0,24.0,-1.0,-1.0,1.0,0,0,0,0,0
內湖長堤高樓附車位,安康路,0,0,0,1,0,0,0,0,0,0,0,0,146.0,1,2.0,2.0,2.0,2.0,0,11.0,11.0,11.0,1.0,0,0,0,0,0
三總湖適獨立坡平車位,成功路二段,0,0,0,1,0,0,0,0,0,0,0,0,24.0,1,,,,,0,12.0,-4.0,-4.0,1.0,0,0,0,0,0
麥帥新城高樓3房,行善路,0,0,0,1,0,0,0,0,0,0,0,0,188.0,0,3.0,2.0,2.0,3.0,0,8.0,8.0,8.0,1.0,0,1,0,0,0
麗山學區靜巷3樓,內湖路三段,0,0,0,1,0,0,0,0,0,0,0,0,210.0,0,3.0,2.0,2.0,3.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
文德好境綠蔭精裝宅,陽光街,0,0,0,1,0,0,0,0,0,0,0,0,231.0,0,1.0,1.0,1.0,1.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
E23超便宜內科一樓店辦,瑞光路,0,0,0,1,0,0,0,0,0,0,0,0,42.0,0,,,,,0,7.0,1.0,1.0,1.0,0,0,0,0,0
&麗湖靜巷精品美廈,金湖路,0,0,0,1,0,0,0,0,0,0,0,0,71.0,0,1.0,1.0,1.0,1.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
陽光靜巷2+1房,大湖山莊街,0,0,0,1,0,0,0,0,0,0,0,0,95.0,0,3.0,2.0,1.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
大湖公園陽光美寓,大湖山莊街,0,0,0,1,0,0,0,0,0,0,0,0,111.0,0,2.0,2.0,1.0,2.0,0,5.0,4.0,4.0,1.0,0,1,0,0,0
東湖大露台電梯三房附車位,五分街,0,0,0,1,0,0,0,0,0,0,0,0,135.0,1,3.0,2.0,2.0,3.0,0,8.0,3.0,3.0,1.0,0,1,0,0,0
內湖店辦好停車1樓+地下室,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,158.0,0,,2.0,2.0,,0,5.0,-1.0,1.0,3.0,0,1,0,0,0
內湖站捷運麗山獨戶美妝,金龍路,0,0,0,1,0,0,0,0,0,0,0,0,182.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
麗山學區金龍美寓,金龍路,0,0,0,1,0,0,0,0,0,0,0,0,182.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
濱湖邊間一樓,康樂街,0,0,0,1,0,0,0,0,0,0,0,0,210.0,0,3.0,2.0,2.0,3.0,0,3.0,1.0,1.0,1.0,0,1,0,0,0
好收租攤位,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,234.0,0,,,,,0,14.0,-1.0,-1.0,1.0,0,0,0,0,0
尊貴不凡雲立方4房+露臺+3車,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,46.0,0,4.0,2.0,2.0,4.0,0,12.0,3.0,3.0,1.0,0,1,0,0,0
B2742內湖捷運超級金三角,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,75.0,0,2.0,2.0,1.0,2.0,0,11.0,2.0,2.0,1.0,0,0,0,0,0
A125瓏山林文德好境綠景,陽光街,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1.0,1.0,1.0,1.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
專任內湖四期福人居透天,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,125.0,0,4.0,2.0,3.0,4.0,0,4.0,1.0,4.0,4.0,0,0,0,0,1
湖光收租店辦,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,151.0,0,,2.0,4.0,,0,16.0,2.0,3.0,2.0,0,0,0,0,0
內湖捷運商場金店辦,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,151.0,0,,,,,0,16.0,2.0,3.0,2.0,0,0,0,0,0
內湖站收租店辦2~3樓,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,151.0,0,,,,,0,16.0,2.0,3.0,2.0,0,0,0,0,0
大湖富邦大戶名邸,東湖路,0,0,0,1,0,0,0,0,0,0,0,0,197.0,0,6.0,4.0,3.0,6.0,0,13.0,12.0,13.0,2.0,0,1,0,0,0
E11獨賣內湖赫里翁社區,文湖街,0,0,0,1,0,0,0,0,0,0,0,0,216.0,0,,5.0,3.0,,0,14.0,3.0,3.0,1.0,0,0,0,0,0
南京新明潛力超戰一樓,新明路,0,0,0,1,0,0,0,0,0,0,0,0,242.0,0,,2.0,1.0,,0,5.0,1.0,1.0,1.0,0,1,0,0,0
內科瑞光路高CP值壹樓廠辦,瑞光路,0,0,0,1,0,0,0,0,0,0,0,0,44.0,0,,,,,0,7.0,1.0,1.0,1.0,0,0,0,0,0
內湖大湖段農地,0490大湖段一小段,0,0,0,1,0,0,0,0,0,0,0,0,27.0,0,,,,,0,27.0,27.0,27.0,1.0,0,0,0,0,0
底特律科技廠辦II,舊宗路二段,0,0,0,1,0,0,0,0,0,0,0,0,91.0,0,,2.0,,,0,4.0,4.0,4.0,1.0,0,0,0,0,0
金矽谷全球經貿中心(企業總部),新湖一路,0,0,0,1,0,0,0,0,0,0,0,0,114.0,0,,,,,0,8.0,1.0,8.0,8.0,0,0,0,0,0
內湖捷運收租店辦,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,138.0,0,,,,,0,16.0,2.0,3.0,2.0,0,0,0,0,0
新明路車位（可單購）,新明路,0,0,0,1,0,0,0,0,0,0,0,0,27.0,1,,,,,1,7.0,27.0,7.0,-19.0,0,0,0,0,0
新明路車位（67號）,新明路,0,0,0,1,0,0,0,0,0,0,0,0,27.0,1,,,,,1,7.0,27.0,7.0,-19.0,0,0,0,0,0
新明路車位（61號）,新明路,0,0,0,1,0,0,0,0,0,0,0,0,27.0,1,,,,,1,7.0,27.0,7.0,-19.0,0,0,0,0,0
內湖美秀館挑高三室,新明路,0,0,0,1,0,0,0,0,0,0,0,0,201.0,0,,2.0,2.0,,0,11.0,3.0,3.0,1.0,0,1,0,0,0
港墘捷運邊間獨戶頂佳,港華街,0,0,0,1,0,0,0,0,0,0,0,0,225.0,0,3.0,3.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
E56文德捷運電梯3房,文德路,0,0,0,1,0,0,0,0,0,0,0,0,44.0,0,3.0,2.0,2.0,3.0,0,12.0,6.0,6.0,1.0,0,1,0,0,0
森大直庭院宅,文湖街,0,0,0,1,0,0,0,0,0,0,0,0,72.0,0,4.0,2.0,2.0,4.0,0,10.0,1.0,2.0,2.0,0,1,0,0,0
內湖成功大商場,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,,,,,0,16.0,2.0,2.0,1.0,0,0,0,0,0
內湖美秀館創意加車,新明路,0,0,0,1,0,0,0,0,0,0,0,0,125.0,0,,2.0,2.0,,0,11.0,3.0,3.0,1.0,0,0,0,0,0
內湖美秀極品樓中樓加車位,新明路,0,0,0,1,0,0,0,0,0,0,0,0,125.0,1,,2.0,1.0,,0,11.0,3.0,3.0,1.0,0,0,0,0,0
內湖捷運金店辦商場,成功路四段,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,,,,,0,16.0,2.0,2.0,1.0,0,0,0,0,0
內湖美套+14車位,成功路二段,0,0,0,1,0,0,0,0,0,0,0,0,179.0,1,1.0,1.0,1.0,1.0,0,11.0,9.0,9.0,1.0,0,1,0,0,0
內湖國賓大戶官邸,成功路二段,0,0,0,1,0,0,0,0,0,0,0,0,200.0,0,4.0,2.0,3.0,4.0,0,14.0,14.0,14.0,1.0,0,1,0,0,0
西湖寧靜綠景四房,內湖路一段,0,0,0,1,0,0,0,0,0,0,0,0,221.0,0,4.0,2.0,2.0,4.0,0,12.0,3.0,3.0,1.0,0,1,0,0,0
內湖環河通商大樓,潭美街,0,0,0,1,0,0,0,0,0,0,0,0,244.0,0,,,,,0,9.0,-3.0,9.0,13.0,0,1,0,0,0
西湖站辦公,文湖街,0,0,0,1,0,0,0,0,0,0,0,0,44.0,0,,,,,0,7.0,2.0,2.0,1.0,0,0,0,0,0
Y422內湖四期美透天別墅,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,77.0,0,6.0,2.0,4.0,6.0,0,4.0,-1.0,4.0,6.0,0,0,0,0,1
港墘捷運一層一戶頂+,內湖路一段,0,0,0,1,0,0,0,0,0,0,0,0,104.0,0,4.0,3.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
Y637東湖黃金收租店面,康樂街,0,0,0,1,0,0,0,0,0,0,0,0,129.0,0,,2.0,1.0,,0,5.0,1.0,1.0,1.0,0,0,0,0,0
內科近捷運廠辦,內湖路一段,0,0,0,1,0,0,0,0,0,0,0,0,151.0,0,,1.0,,,0,8.0,7.0,7.0,1.0,0,0,0,0,0
超近西湖捷運邊間辦公,內湖路一段,0,0,0,1,0,0,0,0,0,0,0,0,164.0,0,4.0,1.0,,4.0,0,8.0,2.0,2.0,1.0,0,0,0,0,0
東湖學區溫馨2房車,康樂街,0,0,0,1,0,0,0,0,0,0,0,0,186.0,0,2.0,2.0,1.0,2.0,0,13.0,3.0,3.0,1.0,0,1,0,0,0
東湖路方正美寓鼎家,東湖路,0,0,0,1,0,0,0,0,0,0,0,0,207.0,0,4.0,2.0,2.0,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
東湖千坪人潮店,安康路,0,0,0,1,0,0,0,0,0,0,0,0,227.0,0,,,,,0,8.0,-1.0,-1.0,1.0,0,0,0,0,0
內湖大型商場店辦,安康路,0,0,0,1,0,0,0,0,0,0,0,0,227.0,0,,1.0,2.0,,0,8.0,-1.0,-1.0,1.0,0,0,0,0,0
生活派對挑高1房+車位,民權東路六段,0,0,0,1,0,0,0,0,0,0,0,0,44.0,1,1.0,2.0,1.0,1.0,0,8.0,2.0,2.0,1.0,0,1,0,0,0
內湖捷運AIT芳鄰雅寓,金湖路,0,0,0,1,0,0,0,0,0,0,0,0,73.0,0,2.0,2.0,1.0,2.0,0,5.0,2.0,2.0,1.0,0,1,0,0,0
B205康樂小套房,康樂街,0,0,0,1,0,0,0,0,0,0,0,0,96.0,0,1.0,1.0,1.0,1.0,0,6.0,2.0,2.0,1.0,0,0,1,0,0
東湖國小公園雅寓,康樂街,0,0,0,1,0,0,0,0,0,0,0,0,118.0,0,,2.0,1.0,,0,5.0,4.0,4.0,1.0,0,1,0,0,0
大湖國小綠景四房車位,大湖山莊街,0,0,0,1,0,0,0,0,0,0,0,0,145.0,1,4.0,3.0,3.0,4.0,0,5.0,4.0,5.0,2.0,0,1,0,0,0
東湖國小公寓,安康路,0,0,0,1,0,0,0,0,0,0,0,0,166.0,0,4.0,2.0,2.0,4.0,0,5.0,4.0,4.0,1.0,1,0,0,0,0
哈拉影城黃金店面,東湖路,0,0,0,1,0,0,0,0,0,0,0,0,190.0,0,,1.0,1.0,,0,5.0,-1.0,-1.0,1.0,0,0,0,0,0
J7捷運東湖人潮實店面,東湖路,0,0,0,1,0,0,0,0,0,0,0,0,213.0,0,,1.0,1.0,,0,5.0,1.0,1.0,1.0,0,0,0,0,0
閱讀歐洲樓中樓花園豪宅,成功路五段,0,0,0,1,0,0,0,0,0,0,0,0,241.0,0,5.0,3.0,5.0,5.0,0,14.0,13.0,14.0,2.0,0,1,0,0,0
文德公園旁一樓,文德路,0,0,0,1,0,0,0,0,0,0,0,0,264.0,0,,,,,0,5.0,1.0,1.0,1.0,0,1,0,0,0
