區域,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位,緯度,經度
中正區,台北市中正區羅斯福路三段,1588,套房,13.7年,建坪14.54,主6.63,2/10樓,1房(室)1廳1衛,0,25.0157479301326,121.532228221983
中正區,台北市中正區臨沂街,788,透天厝,75.5年,建坪8.50,主8.50,1/1樓,1房(室)2廳2衛(含加蓋1房(室)1廳1衛),0,25.034464,121.527673
中正區,台北市中正區羅斯福路二段,2560,華廈,14.9年,建坪15.44,主+陽9.48,2/9樓,--房(室)1廳1衛,1,25.0286787698,121.520246038
中正區,台北市中正區中華路二段,9888,透天厝,52.8年,建坪96.56,主96.56,1~4/4樓,8房(室)4廳4衛,0,25.0344515939,121.506462165
中正區,台北市中正區同安街,3400,透天厝,61.7年,建坪6.86,主6.86,1/1樓,5房(室)1廳1衛(含加蓋2房(室)--廳--衛),0,25.0255024353,121.522200933
中正區,台北市中正區愛國東路,4800,住宅大樓,40.4年,建坪35.96,主+陽24.04,10/12樓,3房(室)2廳2衛,1,25.0321280098,121.521201289
中正區,台北市中正區林森北路,2088,公寓,50.2年,建坪37.35,主+陽37.35,3/4樓,5房(室)--廳5衛,0,25.0455897711,121.524830493
中正區,台北市中正區寧波西街,17800,華廈,35.4年,建坪220.39,主+平+陽186.53,1/7樓,6房(室)3廳5衛,0,25.0288685,121.511794
中正區,台北市中正區惠安街,1980,公寓,45.5年,建坪29.61,主+陽28.16,5/5樓,7房(室)3廳2衛(含加蓋4房(室)1廳1衛),0,25.0294955227,121.506810357
中正區,台北市中正區莒光路,12680,透天厝,71.8年,建坪14.19,主14.19,1/1樓,8房(室)1廳9衛(含加蓋8房(室)1廳9衛),0,25.0309191389,121.507219202
中正區,台北市中正區南陽街,10800,公寓,54.6年,建坪91.39,主91.39,1~4/4樓,--房(室)7廳5衛(含加蓋--房(室)3廳1衛),0,25.0438138579,121.516313195
中正區,台北市中正區忠孝東路二段,12800,透天厝,65.4年,建坪35.73,主35.73,1~2/2樓,--房(室)--廳--衛,1,25.0430454828,121.528586844
中正區,台北市中正區同安街,11000,公寓,39.5年,建坪38.19,主+平32.73,1/5樓,--房(室)1廳1衛,1,25.0246607499,121.522257117
中正區,台北市中正區重慶南路三段,2950,公寓,50.8年,建坪28.21,主28.21,2/4樓,3房(室)2廳1.5衛,0,25.0236590313,121.517006241
中正區,台北市中正區師大路,3850,公寓,49.0年,建坪40.83,主+陽35.74,2/5樓,4房(室)2廳2衛,0,25.0209461346,121.52699274
中正區,台北市中正區南陽街,6850,透天厝,79.6年,建坪77.08,主77.08,1~3/3樓,--房(室)4廳4衛,0,25.0447871388,121.516146956
中正區,台北市中正區公園路,8850,透天厝,--年,建坪110.30,主110.30,1~4/4樓,5房(室)4廳4衛,0,25.0453065942708,121.517174664166
